organisation,documentation-url,resource-url,data-gov-uk,start-date,end-date,esd-dataset
local-authority-eng:CBF,https://www.centralbedfordshire.gov.uk/info/45/planning_policy/472/monitoring/5,https://www.centralbedfordshire.gov.uk/migrated_images/brownfield-register-jan-2018_tcm3-26973.csv,,2018-01-01,,
local-authority-eng:CBF,https://www.centralbedfordshire.gov.uk/info/45/planning_policy/472/monitoring/5,https://www.centralbedfordshire.gov.uk/migrated_images/brownfield-register-jan-2019-2_tcm3-31604.csv,,2019-01-01,,
local-authority-eng:CHA,,https://www.charnwood.gov.uk/files/documents/2017_charnwood_brownfield_land_register_cvs_file/charnwood_brownfieldregister_2017-12-31_rev2.csv,,,,
local-authority-eng:CHC,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/east-dorset-planning-policy/local-development-framework/christchurch-and-east-dorset-brownfield-land-registers.aspx,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/east-dorset-planning-policy/local-development-framework/pdfs/brownfield-land-registers/christchurch-brownfield-register-2017.12.19-rev1-excel.csv,d8a32f35-e59f-4624-bb3d-2b733c78e276,,2019-03-31,
local-authority-eng:CHC,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/east-dorset/local-development-framework/christchurch-and-east-dorset-brownfield-land-registers.aspx,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/east-dorset/local-development-framework/pdfs/brownfield-land-registers/christchurch-brownfieldregister-2018-12-20-rev1.csv,,2018-12-20,,
local-authority-eng:CHE,https://www.cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,http://www.cheshireeast.gov.uk/docs/planning/spatial-planning-ldo-pages/brownfield-register/cheshireeast-brownfieldregister-2017-12-31-rev1.csv,4d304048-182b-47e7-8c3d-317d13d3d382,,,
local-authority-eng:CHI,,http://www.chichester.gov.uk/CHttpHandler.ashx?id=29276&p=0,,,,
local-authority-eng:CHL,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/brownfield-register/,https://www.chelmsford.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=1095043,,,2019-11-29,
local-authority-eng:CHN,,http://www.chiltern.gov.uk/media/11738/Chiltern-Brownfield-Register-Part-1/CSV/Chiltern_Brownfield_Register_-_Part_1.csv,,,2019-11-29,
local-authority-eng:CHN,https://chiltern.gov.uk/planning/brownfieldregister,https://chiltern.gov.uk/media/12650/Chiltern-Brownfield-Land-Register-Part-1/CSV/Chiltern_Brownfield_Register_-_Part_1.csv,,,,
local-authority-eng:CHO,,http://chorley.gov.uk/Documents/Planning/Planning%20Policy/chorley_brownfieldregister_2017-10-12_rev1.csv,,,,
