MBC Brownfield Land Register (2019) : Part 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR reference,URI,Local authority name,Site reference,Other reference,Source of the Site,Site Name,Address 1,Address 2,Coordinate referencing system,Easting,Northing,Site area (ha),Ownership status,Deliverable,Planning status,Permission type,Date granted,Description of the development,No. of dwellings granted (net),Min dwellings,Max dwellings,Non housing development,Under construction at 1 April 2018,Date first entered on the register,Date last updated on the register,,,,
BLR0149,Maidstone E07000110,Maidstone,17/505255,,Extant consent,La Rochelle,Church Lane,"Harrietsham, Kent, ME17 1BG",Cartesian,587486,152725,0.23,Not owned by a public authority,Yes,permissioned,full planning permission,11/01/2019,"Demolition of existing detached dwelling and erection of six dwellings, extension to new vehicular access via Church Lane, and provision of access drive, landscaping and other ancillary works.",6,6,6,None,No,May-19,,,,,
BLR0150,Maidstone E07000110,Maidstone,18/503536,,Extant consent,,61 - 63 Week Street,"Maidstone, ME14 1QU",Cartesian,576018,155963,0.03,Not owned by a public authority,Yes,permissioned,full planning permission,04/09/2018,"Erection of a new dormer and conversion of upper levels to create 5no. new flats, including the creation of a communal terrace.",5,5,5,None,No,May-19,,,,,
BLR0151,Maidstone E07000110,Maidstone,18/501920,,Extant consent,,23 Hayle Road,"Maidstone, Kent, ME15 6PE",Cartesian,576128,154999,0.03,Not owned by a public authority,Yes,permissioned,full planning permission,04/07/2018,Change of use of existing residential building to 5 no. self-contained flats.,5,5,5,None,No,May-19,,,,,
BLR0152,Maidstone E07000110,Maidstone,16/508513,,Extant consent,Lewis Court Cottage,Green Lane,"Boughton Monchelsea, Kent, ME17 4LF",Cartesian,577023,151179,0.28,Not owned by a public authority,Yes,permissioned,full planning permission,20/12/2018,Demolition of existing lean to garage and erection of 2 no. detached dwellings with parking and landscaping.,2,2,2,None,No,May-19,,,,,
BLR0153,Maidstone E07000110,Maidstone,18/506158,,Extant consent,The Mulberry Tree,Hermitage Lane,"Boughton Monchelsea, Kent, ME17 4DA",Cartesian,578267,148874,0.27,Not owned by a public authority,Yes,permissioned,full planning permission,30/01/2019,"Conversion of existing restaurant building, flat and associated staff accommodation to form four residential dwellings with associated minor extensions and alterations to existing building",4,4,4,None,No,May-19,,,,,
BLR0154,Maidstone E07000110,Maidstone,18/503255,,Extant consent,Robins Court,Wordsworth Road,"Penenden Heath, Maidstone, Kent, ME14 2HJ",Cartesian,576705,157398,0.3,Not owned by a public authority,Yes,permissioned,full planning permission,13/08/2018,Proposed loft conversion to Blocks B & C to provide 1 flat to each block with pitched roof dormers to side elevations with 5 roof lights and pitched roof dormers to front and rear elevations.,2,2,2,None,No,May-19,,,,,
BLR0155,Maidstone E07000110,Maidstone,18/506662,,Extant consent,Courtyard Studios,"Hollingbourne House, Hollingbourne Hill","Hollingbourne, Kent, ME17 1QJ",Cartesian,585480,156024,0.36,Not owned by a public authority,Yes,permissioned,full planning permission,29/03/2019,"Demolition of the rear section of the building and erection of replacement structure, and conversion of front section of building including external alterations, to facilitate the creation of 2 dwellings with associated parking and garden areas.",2,2,2,None,No,May-19,,,,,
BLR0156,Maidstone E07000110,Maidstone,18/503248,,Extant consent,,11 Blackmanstone Way,"Maidstone, ME16 0NT",Cartesian,573909,157379,0.36,Not owned by a public authority,Yes,permissioned,full planning permission,13/08/2018,Demolition of existing detached garage and construction of new 3 bedroom detached dwelling with associated paved parking area.,1,1,1,None,No,May-19,,,,,
BLR0157,Maidstone E07000110,Maidstone,18/505555,,Extant consent,The Black Horse Inn,Pilgrims Way,"Thurnham, Maidstone, Kent, ME14 3LD",Cartesian,580651,157867,0.77,Not owned by a public authority,Yes,permissioned,full planning permission,01/02/2019,Removal of existing wedding facility and erection of a bungalow.,1,1,1,None,No,May-19,,,,,
BLR0158,Maidstone E07000110,Maidstone,18/502206,,Extant consent,Land At Nettlestead Green House,Maidstone Road,"Nettlestead, Maidstone, Kent, ME18 5HE",Cartesian,568183,151186,1.35,Not owned by a public authority,Yes,permissioned,full planning permission,09/08/2018,"Removal of the existing equestrian buildings, menage, lunge arena, show jumping training area and hardstandings and the erection of a barn style dwelling and garage, landscaping and ecological enhancements.",1,1,1,None,No,May-19,,,,,
