MBC Brownfield Land Register (2019) : Part 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR reference,URI,Local authority name,Site reference,Other reference,Source of the Site,Site Name,Address 1,Address 2,Coordinate referencing system,Easting,Northing,Site area (ha),Ownership status,Deliverable,Planning status,Permission type,Date granted,Description of the development,No. of dwellings granted (net),Min dwellings,Max dwellings,Non housing development,Under construction at 1 April 2018,Date first entered on the register,Date last updated on the register,,,,
BLR0035,Maidstone E07000110,Maidstone,10/1478,,Extant consent,,"Land West of Eccleston Road,","Maidstone, Kent, ME15 6QP",Cartesian,575490,154861,5.64,Not owned by a public authority,Yes,completed,full planning permission,24/05/2012,Application for the erection of two six storey apartment blocks with associated parking and landscaping,35,35,35,None,Yes,Dec-17,Jun-18,,,, 
BLR0036,Maidstone E07000110,Maidstone,16/506325,,Extant consent,"Cornwallis House,", Pudding Lane,"Maidstone, Kent, ME14 1NY",Cartesian,575895,155772,0.08,Not owned by a public authority,Yes,Completed,prior notification,07/10/2016,Prior notification for the change of use of office building to 33 residential flats,33,33,33,None,Yes,Dec-17,May-19,,,,
BLR0037,Maidstone E07000110,Maidstone,14/502152,,Extant consent,"Lenham United Reformed Church, ",Maidstone Road,"Lenham, Kent, ME17 2QH",Cartesian,589712,152191,0.93,Not owned by a public authority,Yes,completed,full planning permission,14/10/2015,"Demolition of United Reform Church and adjoining hall to facilitate the erection of 24 No. dwellings on this land and land to the south with associated parking, access (from Maidstone Road) and landscaping.",24,24,24,None,Yes,Dec-17,Jun-18,,,,
BLR0038,Maidstone E07000110,Maidstone,14/503755,,Extant consent,Land to The Rear Of Milton Street And Hartnup Street,"Milton Street, ","Maidstone, ME16 8LL",Cartesian,574185,154871,0.45,Not owned by a public authority,Yes,completed,full planning permission,23/11/2015,"Demolition of the existing commercial buildings and the change of use and erection of 22 residential units, together with new access from Hartnup street, and associated landscaping and car parking provision.",22,22,22,None,Yes,Dec-17,Jun-18,,,,
BLR0039,Maidstone E07000110,Maidstone,15/504114 ,,Extant consent,"Sign Trade Supplies, Britannia House,"," Granville Road, ",Maidstone ,Cartesian,576198,156861,0.1,Not owned by a public authority,Yes,permissioned,outline,28/06/2017,Demolition of existing warehouse unit and construction of 18 No. flats,18,18,18,None,No,Dec-17,,,,,
BLR0040,Maidstone E07000110,Maidstone,16/501713,,Extant consent,"Barker Chambers, ",Barker Road,"Maidstone, Kent, ME16 8SF",Cartesian,575759,155312,0.09,Not owned by a public authority,Yes,completed,prior notification,16/05/2016,"Prior notification for the change of use of offices into residential use comprising - Ground floor - 5no. 1 bed flats and 2no. 2 bed flats, First floor - 5no. 1 bed flats and 2no. 2 bed flats, Second floor - 1no. 1 bed flat and 2no. 2 bed flats",17,17,17,None,Yes,Dec-17,May-19,,,,
BLR0041,Maidstone E07000110,Maidstone,17/506006,,Extant consent,"Former Syngenta Works, ",Hampstead Lane,"Yalding, Kent",Cartesian,568323,150063,2.49,Not owned by a public authority,Yes,completed,reserved matters,27/02/2018,"Reserved matters of appearance, landscaping, layout and scale pursuant to outline permission MA/10/2159 for the erection of a total of 16 residential units, comprising of 7 semi-detached and 2 detached dwellings.",16,16,16,None,Yes,Dec-17,Jun-18,,,,
BLR0042,Maidstone E07000110,Maidstone,PN/14/0027,,Extant consent,"Romney Court,","25 Romney Place,","Maidstone, Kent, ME15 6LG",Cartesian,576259,155558,0.05,Not owned by a public authority,Yes,completed,prior notification,27/07/2016,"Prior notification for the change of use of the ground, first and second floors from office (use class B1a) to residential (C3) to provide 15 apartments",15,15,15,None,No,Dec-17,Jun-18,,,,
BLR0043,Maidstone E07000110,Maidstone,15/502813,,Extant consent,,"10 Buckland Road,","Maidstone, Kent, ME16 0SL",Cartesian,575513,155652,0.05,Not owned by a public authority,Yes,completed,full planning permission,02/10/2015,"Erection of a 3 storey building comprising 14no. Apartments with associated landscaping, parking, bicycle storage and bins storage",14,14,14,None,Yes,Dec-17,Jun-18,,,,
BLR0044,Maidstone E07000110,Maidstone,13/1105,,Extant consent,"Naked Foods Ltd,",Smarden Road,"Headcorn, TN27 9TA",Cartesian,584312,144175,0.4,Not owned by a public authority,Yes,completed,full planning permission,28/08/2014,"Demolition of existing commercial buildings, formation of estate road and erection of 14 detached and semi-detached houses with detached and attached garage buildings with associated landscaping and flood mitigation works",14,14,14,None,Yes,Dec-17,May-19,,,,
BLR0045,Maidstone E07000110,Maidstone,15/505906,,Extant consent,"Grafty Green Garden Centre, ",Headcorn Road,"Grafty Green, Kent, ME17 2AT",Cartesian,586526,147862,3.55,Not owned by a public authority,Yes,completing,full planning permission,06/12/2016,"Demolition of the existing garden centre buildings and infrastructure, erection of 14 detached bespoke dwellings including garages with annex above, two storey B1 office unit (5,515sqft); together with associated parking, access and landscaping.",14,14,14,"Two storey B1 office unit (5,515sqft)",Yes,Dec-17,May-19,,,,
BLR0046,Maidstone E07000110,Maidstone,15/500334,,Extant consent,"Stone Court Hotel, ","28 Lower Stone Street,","Maidstone, ME15 6LX",Cartesian,576207,155516,0.1,Not owned by a public authority,Yes,permissioned,full planning permission,23/07/2015,"Conversion of vacant hotel to create 14 residential apartments, including minor internal and external alterations.",14,14,14,None,Yes,Dec-17,May-19,,,,
BLR0047,Maidstone E07000110,Maidstone,15/502885,,Extant consent,"Lenworth House, ",4 Ashford Road,"Maidstone, Kent, ME14 5EA",Cartesian,576523,155694,0.1,Not owned by a public authority,Yes,completed,full planning permission,10/12/2015,Conversion of existing Lenworth House into 8 flats and new block of 6 flats together with undercroft parking ,14,14,14,None,Yes,Dec-17,May-19,,,,
BLR0048,Maidstone E07000110,Maidstone,14/505749,,Extant consent,"Bishops Terrace, ",Bishops Way,"Maidstone, Kent, ME14 1LA",Cartesian,575867,155551,0.13,Not owned by a public authority,Yes,completed,full planning permission,30/06/2015,Extension of the second floor and the erection of an additional storey within a mansard roof to accommodate 14 units of residential accommodation.,14,14,14,None,No,Dec-17,Jun-18,,,,
BLR0049,Maidstone E07000110,Maidstone,17/500623,,Extant consent,,"27-37, Lower Stone Street","Maidstone, Kent, ME15 6LH",Cartesian,576256,155501,0.07,Not owned by a public authority,Yes,permissioned,full planning permission,19/07/2017,"Conversion of part first floor ancillary retail floor space and erection of a second and third floor extension to form 20 residential units, including external alterations to the existing building, bin and associated amenity space.",20,20,20,None,No,Dec-17,May-19,,,,
BLR0050,Maidstone E07000110,Maidstone,15/502154,,Extant consent,,19 - 21 Albion Place,"Maidstone, Kent, ME14 5DY",Cartesian,576547,155838,0.06,Not owned by a public authority,Yes,permissioned,full planning permission,15/12/2016,Erection of a single 4 storey residential block comprising 14 units.,14,14,14,None,No,Dec-17,,,,,
BLR0051,Maidstone E07000110,Maidstone,10./1956,,Expired consent,"Paragon House, ","Granville Road,","Maidstone, Kent, ME14 2BJ",Cartesian,576202,156896,0.09,Not owned by a public authority,Yes,not permissioned,,,,,14,14,None,No,Dec-17,Jun-18,,,,
