OrganisationURL,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,Planning Status,PermisionType,PermissionDate,Planning history,Deliverable,NetDwellingsRangeForm,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,Last updated,EndDate,SiteInformation,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR104,London Road Block ,51.3391,-0.7468,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,1.1,Owned by a public authority,Not permissioned,,,,,469,469,,30 dwellings considered achievable in the 0-5 year period,18/12/2018,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR110,"Land East of, Knoll Road, Camberley, GU15 3SZ",51.338882,-0.742625,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,3.65,Not owned by public authority,Not permissioned,,,,,212,212,,,19/12/2019,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR111,"Tekels Park, Camberley, GU15 2LE",51.330863,-0.735027,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,12.8,Not owned by public authority,Not permissioned,,,,,18,18,,Section of the site has planning permission for 5 dwellings (application referrence 18/1065),19/12/2019,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR117,"11-13 High Street, Camberley, GU15 3RB",51.339612,-0.745446,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.06,Not owned by public authority,Permissioned,,,,Yes,7,7,,,19/12/2019,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR124,"Former Cambridge Hotel, 121 London Road, Camberley, GU15 3LF",51.339834,-0.745394,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.2,Not owned by public authority,Permissioned,Full planning permission,29/11/2018,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMPPRDR894&activeTab=summary,Yes,25,25,,,19/12/2019,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMPPRDR894&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR125,"Land south of Bridge Road, Camberley, GU15 2QN",51.327608,-0.756149,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.1,Not owned by public authority,Not permissioned,,,,Yes,8,8,,,19/12/2019,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR126,"York Town Car Park, Sullivan Road, Camberley, GU15 3BA",51.334965,-0.761301,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.32,Not owned by public authority,Not permissioned,,,,Yes,27,27,,,19/12/2019,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR132,"84-100 Park Street, Camberley, GU15 3NY",51.335475,-0.747501,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.4,Not owned by public authority,Not permissioned,,,,Yes,61,61,,Previous application for a C2 use not permitted (18/0613),19/12/2019,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR133,"469 London Road, Camberley, GU15 3JA",51.334861,-0.765093,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.08,Not owned by public authority,Permissioned,Full planning permission,05/04/2019,https://publicaccess.surreyheath.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Yes,10,10,,,19/12/2019,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR135,"15 High Street, Camberley, GU15 3RB",51.33885,-0.744722,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.02,Not owned by public authority,Pending decision,,,https://publicaccess.surreyheath.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Yes,5,5,,,19/12/2019,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,
