OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningReference
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/DON/002,,"""Land off Park Lane, Donington""",,OSGB36,520650,335681,0.12,Not owned by a public authority,Yes,Permissioned,Full planning permission,02/05/2017,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H04-0180-17&from=planningSearch,,7,Erection of 3 x 2 bed and 4 x 3 bed dwellings,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H04-0180-17&from=planningSearch,,22/11/2017,01/12/2018,H04-0180-17
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/HOB/005,,"""The Bell Inn, 21 High Street, Holbeach""",,OSGB36,535945,324838,0.02,Not owned by a public authority,Yes,Permissioned,Full planning permission,28/11/2016,http://planning.sholland.gov.uk/OcellaWeb/showDocuments?reference=H09-0875-16&module=pl,,5,"""Conversion of first and second floors into self-contained apartments, including alterations and rear extension plus re-building of ground floor toilet block (5 dwellings)""",,,,,http://planning.sholland.gov.uk/OcellaWeb/showDocuments?reference=H09-0875-16&module=pl,,22/11/2017,01/12/2018,H09-0875-16
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/LOS/001,,"""The Bull Hotel, Market Place, Long Sutton""",,OSGB36,534115,322955,0.64,Not owned by a public authority,Yes,Not permissioned,,12/01/2015,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H11-0123-13&from=planningSearch,,39,,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H11-0123-13&from=planningSearch,"""Lapsed permission included retention, refurbishment and enhancement of the Bull Hotel.  Listed building and in conservation area so care needed in terms of design and layout""",22/11/2017,01/12/2018,H11-0123-13
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/PIN/001,,"""Land to the west of Bear Lane, Pinchbeck""",,OSGB36,524062,325966,0.26,Not owned by a public authority,Yes,Not permissioned,,,,,5,,,,,,http://www.southeastlincslocalplan.org/wp-content/uploads/2017/03/Pinchbeck-map-and-report.pdf,"""The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) identifies that redevelopment of the existing commercial site for residential development would be acceptable in highway terms but it would be useful to optimise the position of the access. The site is near to the Pinchbeck Conservation Area and listed buildings. SHLAA ref no: Pin003""",22/11/2017,01/12/2018,
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/PIN/002,,"""Former Dairy Depot, Pennyfield, Pinchbeck""",,OSGB36,523765,325096,0.44,Not owned by a public authority,Yes,Permissioned,Full planning permission,13/07/2018,https://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H14-0241-18&from=planningSearch,,9,Erection of 9 dwellings,,,,,https://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H14-0241-18&from=planningSearch,,22/11/2017,01/12/2018,H14-0241-18
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/PIN/003,,"""Birchgrove Garden Centre, Surfleet Road, Pinchbeck""",,OSGB36,524651,326791,2.44,Not owned by a public authority,Yes,Not permissioned,,,,,49,,,,,,http://www.southeastlincslocalplan.org/wp-content/uploads/2017/03/Pinchbeck-map-and-report.pdf,"""The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) indicates that there is a need to improve the water and foul sewerage network -  SHLAA ref no: Pin065. The site is a proposed housing allocation in the South East Lincolnshire Local Plan (2011-2036): Publication Version (March 2017).""",22/11/2017,01/12/2018,
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/PIN/004,,"""Land to the north of Market Way, Pinchbeck""",,OSGB36,524043,324961,1.32,Not owned by a public authority,Yes,Not permissioned,,,,,26,,,,,,http://www.southeastlincslocalplan.org/wp-content/uploads/2017/03/Pinchbeck-map-and-report.pdf,"""The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) identifies that although the principle of re-developing this existing nursery site for residential use is acceptable in highway terms, there would need to be provision made for pedestrian access. There is filled land to the boundaries. The SHLAA has identified a need to improve the water and foul sewerage network. SHLAA ref no: Pin002. The site is a proposed housing allocation in the South East Lincolnshire Local Plan (2011-2036): Publication Version (March 2017).""",22/11/2017,01/12/2018,
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SUB/001,,"""Land to the south of Bridge Road, Sutton Bridge""",,OSGB36,547455,321364,0.24,Not owned by a public authority,Yes,Not permissioned,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H18-0879-05&from=planningSearch,,5,,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H18-0879-05&from=planningSearch,"""A private driveway serving a limited number of (low density) plots would be the preferred option in highway terms. Outline permission for the development of 6 dwellings expired (H18-0879-05). South East Lincolnshire Strategic Housing Land Availability Assessment (April 2017) ref no: Sub017.""",22/11/2017,01/12/2018,
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/COW/001,,"""Paul Cott Transport, Barrier Bank, Cowbit""",,OSGB36,525583,318178,0.24,Not owned by a public authority,Yes,Permissioned,Outline planning permission,30/06/2017,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H01-0120-17&from=planningSearch,,5,Residential Development (5 plots),,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H01-0120-17&from=planningSearch,,22/11/2017,01/12/2018,H01-0120-17
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/COW/002,,"""Land to the west of Mill Drove, Cowbit""",,OSGB36,526556,318165,0.65,Not owned by a public authority,Yes,Decision pending,,,https://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H01-0871-18&from=planningSearch,,13,,,,,,http://www.southeastlincslocalplan.org/wp-content/uploads/2017/03/Spalding-map-and-report.pdf,"""The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) identifies that Mill Drove has poor visibility at its junction with Stonegate which is a problem that will need to be overcome to the satisfaction of the Highway Authority. SHLAA ref no: Cow008. Pending application is an outline application for up to 45 dwellings and includes adjacent land (greenfield) not included on register. Application seeks to address identified highway issues.""",22/11/2017,01/12/2018,H01-0871-18
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/MOU/001,,"""Former Gardman Premises, High Street, Moulton""",,OSGB36,530796,323935,2.58,Not owned by a public authority,Yes,Not permissioned,,,,,52,,,,,,http://www.southeastlincslocalplan.org/wp-content/uploads/2017/03/Moulton-map-and-report.pdf,"""The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) indicates that there is a Grade 1 listed windmill to the north of the site and it is adjacent to the Moulton Conservation Area. Any development proposal would need to be informed by a Heritage Impact Assessment. In addition, the land is filled in places and is a former factory and so there may be some contamination. SHLAA ref no: Mou035""",22/11/2017,01/12/2018,
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/QUA/001,,"""Land south of Main Road, Quadring""",,OSGB36,522207,333280,0.64,Not owned by a public authority,Yes,Permissioned,Full planning permission,04/08/2017,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H15-0672-16&from=planningSearch,,9,"""Demolition of existing structures and erection of 9 houses along the access, landscaping and associated works""",,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H15-0672-16&from=planningSearch,"""Planning permission for development of 9 dwellings granted on 04/08/2017, but the South East Lincolnshire Strategic Housing Land Availability Assessment SHLAA) (April 2017) indicates site capable of accommodating 13 dwellings. SHLAA ref no: Qua002.""",22/11/2017,01/12/2018,H15-0672-16
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SUR/001,,"""3-11 Park Lane, Surfleet""",,OSGB36,525171,328091,0.19,Not owned by a public authority,Yes,Permissioned,Outline planning permission,27/10/2016,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H17-0537-16&from=planningSearch,,6,Residential development (6 dwellings),,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H17-0537-16&from=planningSearch,,22/11/2017,01/12/2018,H17-0537-16
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SUJ/001,,"""Land to the south of Chapel Gate, Sutton St James""",,OSGB36,539658,318273,0.53,Not owned by a public authority,Yes,Not permissioned,,,,,10,,,,,,http://www.southeastlincslocalplan.org/wp-content/uploads/2017/03/Moulton-map-and-report.pdf,"""Redevelopment of the site would provide an opportunity to enhance the setting of the Grade II listed Church of St James and Grade II* listed Tower to the Church of St James. A significant landscaping component at the Chapel Gate frontage would aid this. The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) identifies that there is a need to improve the water and foul sewerage network.  SHLAA ref no: Suj007. The site is a proposed housing allocation in the South East Lincolnshire Local Plan (2011-2036): Publication Version (March 2017)."" ",22/11/2017,01/12/2018,
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/WHA/002,,"""The Sycamores Farm, Church Gate, Whaplode""",,OSGB36,532477,323975,0.67,Not owned by a public authority,Yes,Permissioned,Outline planning permission,16/03/2015,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H23-1082-14&from=planningSearch,,10,Residential development for 10 units on redundant farmyard,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H23-1082-14&from=planningSearch,,22/11/2017,01/12/2018,H23-1082-14
