OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Planning Reference Number
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Selby-3,,"Land at Canal View, Bawtry Road, Selby",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,461803,431621,0.75,not owned by a public authority,yes,not permissioned,,,,,30,,,,30,30,,,Most of site within health and safety executive consultation zone and edge of site 50m away from a health and safety executive inner zone. Entire site lies within flood zones 2 and 3 and is an area benefiting from flood defences. Possible areas of contaminated land within the site from works buildings. Most of site within health and safety executive consultation zone.,2016-06-22,2018-08-07,
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Selby-31,,"Shipyard Road Pump Station, Shipyard Road",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,462058,432111,0.14,not owned by a public authority,yes,not permissioned,,,,,14,,,,14,14,,,Entire site lies within flood zones 2 and 3 and is benefiting from flood defences. Possible ground contamination on site from former factory.,2016-06-22,2018-08-07,2012/1132/OUT
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Selby-32,,"Bridge Wharf, Ousegate",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,461787,432405,0.17,not owned by a public authority,yes,not permissioned,,,,,13,,,,13,13,,,Entire site lies within flood zone 2 whilst the top half other site also lies within flood zone 3. ,2016-06-22,2018-08-07,2014/0541/FUL
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Selby-39,,"Friendship Inn, 58 Millgate, Selby",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,461407,432722,0.06,not owned by a public authority,yes,permissioned,full planning permission,2016-09-22,http://public.selby.gov.uk/online-applications/,,6,,,,6,6,,,"Entire site in a floodzone 3 area, benefitting from flood defences.",2018-08-07,2018-08-07,2016/0750/FUL
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Selby-47,,"Potter Logistics, Barlby",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,462866,432297,24.29,not owned by a public authority,,not permissioned,,,,,729,,,,729,729,,,"Entire site lies within flood zone 2 and 3 and is an area benefitting from flood defences. Several areas of possible ground contamination from existing works
",2018-08-07,2018-08-07,
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Selby-54,,"Rigid Group Ltd, Denison Road, Selby",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,462274,432015,7.53,not owned by a public authority,yes,not permissioned,,,,,305,,,,305,305,,,Floodzones 2&3 on the entire site. Areas of possible ground contamination from the former factory,2016-06-22,2018-08-07,2012/0159/OUT
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Selby-60,,Council waste depot at the end of Prospect Way,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,461645,431690,0.64,owned by a public authority,,not permissioned,,,,,32,,,,32,32,,,"Sites lies within the inner area of a health and safety executive consultation zone, however this restraint is planned to be removed by the promoter as part of the redevelopment of the site. Area benefitting from flood defences. Floodzone 3 on the majority of the site, apart from the southwest corner, which is in floodzone 2. Areas of possible ground contamination from former uses",2016-06-22,2018-08-07,2004/1264/FUL
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Selby-62,,"Former Civic Centre, Portholme Road, Selby",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,461344,431898,2.29,not owned by a public authority,,not permissioned,,,,,103,,,,103,103,,,"Area benefitting from flood defences. Floodzone 3 on the majority of the site, remainder is in floodzone 2. Areas of possible ground contamination from former uses",2016-06-22,2018-08-07,2013/0291/FUL
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Selby-63,,Police Building south of Portholme Road,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,461503,431957,0.64,owned by a public authority,,not permissioned,,,,,32,,,,32,32,,,"Area benefitting from flood defences. Floodzone 3 on the majority of the site, remainder is in floodzone 2. Areas of possible ground contamination from former uses",2018-08-07,2018-08-07,
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Selby-65,,"Old Maltings Site, Ousegate",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,461946,432244,0.41,not owned by a public authority,,not permissioned,,,,,21,,,,21,21,,,Area benefitting from flood defences. Floodzone 2 on the entire site. Areas of possible ground contamination from former uses. Two listed buildings on the northern edge of the site.,2016-06-22,2018-08-07,
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Selby-66,,"Land at Carr Street / Denison Road, Selby",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,462491,431981,5.44,not owned by a public authority,,not permissioned,,,,,218,,,,218,218,,,Area benefitting from flood defences. Floodzone 3 on the entire site. Areas of possible ground contamination from former uses,2016-06-22,2018-08-07,
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Selby-9,,"Olympia Park, Barlby Road, Barlby",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,462532,432561,42.71,not owned by a public authority,yes,permissioned,other,2015-12-17,http://public.selby.gov.uk/online-applications/,,863,,,,863,863,,,Entire site lies within flood zones 2 and 3 and is an area benefiting from flood defences. Possible ground contamination from existing works,2016-06-22,2018-08-07,2012/0541/EIA
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Sherburn-42,,37 Low Street Sherburn In Elmet,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,449461,433455,0.11,not owned by a public authority,yes,permissioned,outline planning permission,2016-12-07,http://public.selby.gov.uk/online-applications/,,7,,,,7,7,,,,2018-08-07,2018-08-07,2015/1413/OUT
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Skipwith-5,,"North House Farm, Main Street, Skipwith",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,466380,438426,0.4,not owned by a public authority,yes,permissioned,full planning permission,2017-12-06,http://public.selby.gov.uk/online-applications/,,9,,,,9,9,,,,2018-08-07,2018-08-07,2016/1170/FUL
http://opendatacommunities.org/id/district-council/selby,Selby District Council,SMilford-29,,"Milford Hall, Lumby Lane, South Milford",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,449787,430893,0.39,not owned by a public authority,yes,permissioned,full planning permission,2015-12-02,http://public.selby.gov.uk/online-applications/,,14,,,,14,14,,,,2016-06-22,2018-08-07,2015/0691/FUL
http://opendatacommunities.org/id/district-council/selby,Selby District Council,SMilford-31,,"Cragland, Milford Road, South Milford",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,449668,431962,0.43,not owned by a public authority,yes,permissioned,full planning permission,2016-06-08,http://public.selby.gov.uk/online-applications/,,6,,,,6,6,,,,2018-08-07,2018-08-07,2016/0054/FUL
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Tadcaster-12,,Commercial Street Bus Station,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,448840,443464,0.49,unknown ownership,,not permissioned,,,,,17,,,,17,17,,,Entire site within a floodzone 3 area. Entire site within a ground water protection zone 1 area.,2018-08-07,2018-08-07,
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Tadcaster-13,,Land west of Commercial Street,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,448768,443523,0.28,unknown ownership,,not permissioned,,,,,10,,,,10,10,,,"Entire site within a floodzone 3 area. Most of site within a ground water protection zone 1 area, northern edge within zone 2.",2018-08-07,2018-08-07,
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Tadcaster-15,,"Fire Station & Police Station, Station Road, Tadcaster",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,447978,443173,0.72,unknown ownership,,not permissioned,,,,,25,,,,25,25,,,Entire site within a ground water source protection zone 1 area.,2018-08-07,2018-08-07,
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Tadcaster-21,,"The Old Coal Yard, Wighill Lane, Tadcaster",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,448891,443751,0.15,not owned by a public authority,yes,permissioned,full planning permission,2016-01-25,http://public.selby.gov.uk/online-applications/,,8,,,,8,8,,,Whole of site is in a groundwater source protection zone 2,2016-06-22,2018-08-07,2014/0645/FUL
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Tadcaster-4,,"Land at Auster Bank Road, Tadcaster",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,449492,444071,0.27,owned by a public authority,,not permissioned,,,,,9,,,,9,9,,,Whole of site is in a groundwater source protection zone 3.,2018-08-07,2018-08-07,
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Tadcaster-5,,"Land at Edgerton Drive, Tadcaster",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,447906,443234,0.36,owned by a public authority,yes,not permissioned,,,,,11,,,,11,11,,,Whole of site is in a groundwater source protection zone 3,2016-06-22,2018-08-07,
http://opendatacommunities.org/id/district-council/selby,Selby District Council,ThorpeW-8,,"Land at Hollygarth, Thorpe Willoughby",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,457759,431135,0.48,owned by a public authority,yes,permissioned,full planning permission,2018-07-26,http://public.selby.gov.uk/online-applications/,,14,,,,14,14,,,Whole of site is in a groundwater source protection zone 3,2016-06-22,2018-08-07,2018/0432/FULM
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Towton-2,,"Land at Towton Hall, Towton",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,448493,439512,0.67,not owned by a public authority,yes,not permissioned,,,,,13,,,,13,13,,,Site lies within outer health and safety executive consultation zone of a gas pipeline.,2018-08-07,2018-08-07,
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Ulleskelf-11,,"RAF Church Fenton, Busk Lane, Church Fenton",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,452174,437775,3.14,not owned by a public authority,yes,permissioned,full planning permission,2015-12-21,http://public.selby.gov.uk/online-applications/,,39,,,,39,39,,,Areas of floodzone 2 on the western edges of the site.,2016-06-22,2018-08-07,2015/0318/FUL
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Ulleskelf-6,,"RAF Church Fenton, Busk Lane, Church Fenton",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,452337,438033,5.29,not owned by a public authority,yes,pending decision,reserved matters approval,,,,65,,,,65,65,,,Possible ground contamination on the majority of site  from the former airfield.,2016-06-22,2018-08-07,2016/1291/REMM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
