OrganisationURI,OrganisationLabel,Site Reference,Site part of SHLAA [2012 Reference],CoordinateReferenceSystem,GeoX [East],GeoY [North],OS map reference [OSGB 1936 ? British National Grid],"Site Name, Address, Postcode ",Parish,Planning application Reference,Superseded or replaced previous planning application,Approved date,Lapse date,Application Description / Site description in SHLAA,Non-Housing development,Site Area in ha ,Hsg. No in Appl.,NET CHANGE; units developed so far,Outstanding development,Primary Source of Identification at DATE,Ownership_Status: PA_owned [Public Autho-rity]; not PA_owned; mix. ownership; unknown,Plan_Status: permissd. / pending / no application,Permission Types as required in BFLR,Development Status: extant/ commc'd./ part. compltd.,Planning History link,Mapping link [Siteplan URL],Supportg. 5+ dwellings or more than 0.25ha in size,Is the site likely available [and/or deliverable within the next 15 yrs.]?,Capable of housing development [in policy terms],First Added,Last Update,Part 2,Capacity min remaining,Capacity max remaining,Hazardous Substance[s] on site? [as identifiied in Application form],Proposed for PIP,Site Information / constrains,Notes,Site Reference
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire Council,BFL 13,no site ref. in SHLAA 2012,OSGB36,472419,253433,S72419P 53433,"Sun Moon and Stars, 64 High Street Blisworth NN7 3BJ",Blisworth,S/2016/0303/FUL,,22/09/2016,22/09/2019,"Conversion of Sun, Moon and Stars to 6 Flats with the construction of 2 new Maisonettes and 1 new House [disused public house known as The Sun, Moon and Stars ]",currently none proposed [Residential only],1.08,9,0,9,"Plg, Appl.",not PA_owned,permissioned,Full Applict. Approval,Extant,http://snc.planning-register.co.uk/planappsrch.aspx?pageprefix=plan,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, 31/03/2017 for last buil-out data","18/12/2001, ",no,9,9,no,no,"Conversion of Sun, Moon and Stars to 6 Flats with the construction of 2 new Maisonettes and 1 new House [disused public house known as The Sun, Moon and Stars ]",Conversion of Public House,BFL 13
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire Council,BFL 14,no site ref. in SHLAA 2012,OSGB36,451395,233020,SP51395 33020,"Aynhoe Park House, Aynhoe Park, Aynhoe, OX17 3BQ",Aynho,S/2013/1208/MAF,,03/12/2013,03/12/2016,"Hybrid application. Change of use of part of the main house for holding events (weddings, parties etc.) and change of use of part of the house to Spa (Retrospective). Change of use of part of the main house from B1 (offices) to C3 (residential) including 7 self contained apartments. Change of use of garden building to an artisanal bakery. ","Yes; commercial uses assiciated with event holding, such as spa and artisanal bakery",5.41,7,0,7,"Plg, Appl.",not PA_owned,permissioned,Full Applict. Approval,Extant,http://snc.planning-register.co.uk/,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, 31/03/2017 for last buil-out data","18/12/2001, ",no,7,7,no,no,"Hybrid application. Change of use of part of the main house for holding events (weddings, parties etc.) and change of use of part of the house to Spa (Retrospective). Change of use of part of the main house from B1 (offices) to C3 (residential) including 7 self contained apartments. Change of use of garden building to an artisanal bakery. ","Hybrid application: Proposed business use within [change of use of part of the main house] existing building and new residential, 5.41 whole site",BFL 14
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire Council,BFL 15,part-of SNC354 ,OSGB36,459436,237103,SP59436 37103,"Mill Lane, Brackley, stage 1,  NN13 7AL [&NN13 7XU ]",Brackley,S/2015/2758/FUL,,16/02/2015,16/02/2019,Former Hawkins Salmon Site Mill Lane Brackley: Demolition of existing buildings and redevelopment comprising of 7 dwellings with associated landscaping and parking,currently none proposed [Residential only],0.36,7,,7,"Plg, Appl.",not PA_owned,permissioned,Full Applict. Approval,Extant,http://snc.planning-register.co.uk/planappsrch.aspx?pageprefix=plan,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, ","18/12/2001, ",no,7,7,no,no,Former Hawkins Salmon Site Mill Lane Brackley: Demolition of existing buildings and redevelopment comprising of 7 dwellings with associated landscaping and parking,Former Hawkins Salmon Site Mill Lane Brackley,BFL 15
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire Council,BFL 16,no site ref. in SHLAA 2012,OSGB36,458822,237551,SP58822 37551,"100 High Street, Brackley, NN13 7DR ",Brackley,S/2016/2512/FUL,,03/08/2017,03/08/2020,"Replace B1 office building with 5 no Almshouses , 2 no 2 bed flats and a new parking court.",currently none proposed [Residential only],0.73,7,,7,"Plg, Appl.",not PA_owned,permissioned,Full Applict. Approval,Extant,http://snc.planning-register.co.uk/,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, 31/03/2017 for last buil-out data","18/12/2001, ",no,7,7,no,no,"Replace B1 office building with 5 no Almshouses , 2 no 2 bed flats and a new parking court.","Office to Res., applicants have not discharged conditions at 20/11/17",BFL 16
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire Council,BFL 17,none,OSGB36,482851,260619,SP82851 60619,"Old School House, Station Road, Cogenhoe, NN7 1LT",Cogenhoe,S/2015/0914/FUL,,17/06/2015,17/06/2018,"Square Bear, The Old School House Station Road Cogenhoe: Change of use of the Old School (B1a Office) to residential use (C3) providing 5 No. one and two bedroom apartments.  External alterations (insertion of rooflights and doors, replacement of roof) and relocation of existing dropped kerb.",currently none proposed [Residential only],0.73,5,,5,"Plg, Appl.",not PA_owned,permissioned,Full Applict. Approval,Commenced,http://snc.planning-register.co.uk/planappsrch.aspx?pageprefix=plan,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, 31/03/2017 for last buil-out data","18/12/2001, ",no,5,5,no,no,"Square Bear, The Old School House Station Road Cogenhoe: Change of use of the Old School (B1a Office) to residential use (C3) providing 5 No. one and two bedroom apartments.  External alterations (insertion of rooflights and doors, replacement of roof) and relocation of existing dropped kerb.","Change of Use of Square Bear, The Old School House Station Road",BFL 17
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire Council,BFL 18,none,OSGB36,483114,260889,SP83114 60889,Manor Works 50 Church Street Cogenhoe NN7 1LS,Cogenhoe,S/2016/0265/FUL,,14/06/2016,14/06/2019,"Manor Works 50 Church Street Cogenhoe NN7 1LS09/11/2017 Demolition of rear lean-to, conversion and extension of single-storey stone barn building from workshop (B1c use) to 2 no. dwellings (C3 use) and demolition of two-storey brick former office building and the erection of 3 no. dwellings (C3 use), including landscaping, car parking, bin and cycle stores and related works; area too small for BLR",currently none proposed [Residential only],0.15,5,0,5,"Plg, Appl.",not PA_owned,permissioned,Full Applict. Approval,Commenced,http://snc.planning-register.co.uk/,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, ","18/12/2001, ",no,5,5,no,no,"Manor Works 50 Church Street Cogenhoe NN7 1LS09/11/2017 Demolition of rear lean-to, conversion and extension of single-storey stone barn building from workshop (B1c use) to 2 no. dwellings (C3 use) and demolition of two-storey brick former office building and the erection of 3 no. dwellings (C3 use), including landscaping, car parking, bin and cycle stores and related works; area too small for BLR","Convers,/ Extention of former barn & new builts on former Manor Works ",BFL 18
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire Council,BFL 19,none,OSGB36,466770,243786,SP66770 43786, Silverstone C Of E Junior School Green Lane Silverstone NN12 8ES,Silverstone,S/2017/0628/OUT,,27/04/2017,27/04/2020,Silverstone C Of E Junior School Green Lane Silverstone NN12 8ES: Conversion of school building to two dwellings. Demolition of other school buildings and erection of three additional dwellings. ,currently none proposed [Residential only],0.49,5,0,5,"Plg, Appl.",PA_owned,permissioned,Outline Applict. Approval,Commenced,http://snc.planning-register.co.uk/planappsrch.aspx?pageprefix=plan,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, ","18/12/2001, ",no,5,5,no,no,Silverstone C Of E Junior School Green Lane Silverstone NN12 8ES: Conversion of school building to two dwellings. Demolition of other school buildings and erection of three additional dwellings. ,"Redevelopment of former school: School still operates as Primary school, at appl. Date - site owned by Church of England, National Society for the Promotion of Education, applation from Northampton- shire. County Council ",BFL 19
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire Council,BFL 20,SNC043,OSGB36,476146,251411,SP76146 51411,"Hartwell Road, Roade NN7 2NT",Roade,S/2016/0417/FUL,,03/06/2016,03/06/2016,Erection of Four Dwellings & Associated Works to Replace Existing Buildings & Hardstandings,currently none proposed [Residential only],0.60,4,0,5,"Plg, Appl.",not PA_owned,permissioned,Full Applict. Approval,Commenced,http://snc.planning-register.co.uk/,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, ","18/12/2001, ",no,4,4,no,no,Erection of Four Dwellings & Associated Works to Replace Existing Buildings & Hardstandings,B8 to C3: Land at Hartwell Road Roade: ,BFL 20
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire Council,BFL 21,none,OSGB36,466748,244004,SP66748 44004,"Silverstone  Infants School High Street Silverstone NN12 8US, Silverstone",Silverstone,S/2017/0626/OUT,,27/04/2017,27/04/2020,Conversion of school building [former Primary   School]  to two dwellings. Demolition of other school buildings and erection of two additional dwellings.,currently none proposed [Residential only],0.35,4,0,5,"Plg, Appl.",PA_owned,permissioned,Outline Applict. Approval,Extant,http://snc.planning-register.co.uk/planappsrch.aspx?pageprefix=plan,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, ","18/12/2001, ",no,4,4,no,no,Conversion of school building [former Primary   School]  to two dwellings. Demolition of other school buildings and erection of two additional dwellings.,"Redevelopment of former school site,  [Northamptonshire County Council owned.], permananttly closed as school, no new application has come in for this site",BFL 21
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire Council,BFL 22,part-of SNC354 ,OSGB36,459436,237103,SP59436 37103,"Mill Lane, Brackley,  stage 2, NN13 7AL [&NN13 7XU ]",Brackley,none,,,,"Previous withdrawn pre-app proposed to: Demolish existing buildings and erect total of 8 dwellings all 3 bed.: site is behd. /east of site BFL15 [S/2015/2758/F]; however pre-application on site [P/2015/0045/PRW] had been with-drawn and only submitted for the other part of the site. Former Hawkins Salmon Site Mill Lane Brackley, total site area used for timber works , storage and associated office use is 1.84ha; proposed density in SHLAA 2012 is 30 units per ha, [site is east of Mill Lane, Brackley, stage 1, BFL15]. This site is subject to FRZ 2/3. Site capacity therefore reduced from original SHLAA assessment to maximal 30-40 units. ",last proposal had been residential only.,1.48,none,none,none,SHLAA2012,not PA_owned,no application,Full Applict. Approval,no application,http://snc.planning-register.co.uk/,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, ","18/12/2001, ",no,30,40,no,no,"Previous withdrawn pre-app proposed to: Demolish existing buildings and erect total of 8 dwellings all 3 bed.: site is behd. /east of site BFL15 [S/2015/2758/F]; however pre-application on site [P/2015/0045/PRW] had been with-drawn and only submitted for the other part of the site,","Former Hawkins Salmon Site Mill Lane Brackley, total site area used for timber works , storage and associated office use is 1.84ha; proposed density in SHLAA 2012 is 30 units per ha, [site is east of Mill Lane, Brackley, stage 1, BFL15]. This site is subject to FRZ 2/3. Site capacity therefore reduced from original SHLAA assessment to maximal 30-40 units. ",BFL 22
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire Council,BFL 24,SNC241,OSGB36,483087,260497,SP83087 60497,"Short Lane, Cogenhoe, NN7 1LE",Cogenhoe,none,,,,"This site at Cogenhoe is a wholly previously developed site with no identified environmental constraints. The site is being promoted. It is considered to be available, suitable* and achievable. No identified constraints to delivery. Although site is currently in active commercial use, the current occupier of the site is actively looking to relocate and it has been stated that the premises are reaching the end of their life.


",no previous proposal,1.58,none,none,none,SHLAA2012,not PA_owned,no application,none,no application,http://snc.planning-register.co.uk/planappsrch.aspx?pageprefix=plan,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, ","18/12/2001, ",no,32,32,no,no,"This site at Cogenhoe is a wholly previously developed site with no identified environmental constraints. The site is being promoted. It is considered to be available, suitable* and achievable. No identified constraints to delivery. Although site is currently in active commercial use, the current occupier of the site is actively looking to relocate and it has been stated that the premises are reaching the end of their life.


",Net Developable Area recalculated at 30 dwellings per hectare to reflect current market conditions. Site capacity therefore reduced from original SHLAA assessment to maximal 32 units. ,BFL 24
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire Council,BFL 26,SNC273,OSGB38,468405,248113,SP68405 48113,"Green Lane Nursery     Springfield,Towcester NN12 8ES &  NN12 6TQ",Towcester,none,unrelated application on same site for a greenhouse S/1997/0815/P,,,"This site at Green Lane, Towcester has had an application for a new greenhouse in 1997. Site is disconnected from the high-tier road network since the built of the A43 and is now only accessible via Green Lane. Site is right on the edge of the Settlement Confines of Towcester. FRZ 2/3 affects the eastern part of the site. Majority of site unaffected. The commercial use of the nursery has ceased 4-5 years ago. Site might not come immediately forward, but has the potential to come forward within the next 5-10yrs.",no previous proposal,1.30,none,none,none,SHLAA2014,not PA_owned,no application,none,no application,http://snc.planning-register.co.uk/,http://snc-wml-01/wml_planningconstraints/,yes,yes/no,yes,"21/11/2017, ","18/12/2001, ",no,32,40,no,no,"This site at Green Lane, Towcester has had an application for a new greenhouse in 1997. Site is disconnected from the high-tier road network since the built of the A43 and is now only accessible via Green Lane. Site is right on the edge of the Settlement comfines of Towcester. FRZ 2/3 affects the eastern part of the site. Majority of site unaffected..The commercial use of the nursery has ceased 4-5 years ago. Site might not come immediatly forward, but has the potential to come forward within the next 5-10yrs.","Site curently contains one or two occupied dwellinghouses with gardens and some derelict land. Site is neighboured by a restaurant, which is  disconnected from the hig-tier road network [Dec. 2017], but is close to the A43 bypass. Original application for greenhose contained both sites, the SHLAA area and the area of the restaurant.",BFL 26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
