OrganisationURL,OrganisationLabel,SiteReference,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,Planning Status,PermisionType,PermissionDate,MinNetDwellings,Developmentdescription,NonHousingDevelopment,NetDwellingsRangeForm,NetDwellingsRangeTo,SiteInformation,Notes,FirstAddedDate,Application ref,Last updated
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR75,"London Road Block 1, Camberley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,ETRS89,51.3391,-0.7468,1.1,Owned by a public authority,Yes,Not permissioned,,,114,,,114,114,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,,18/12/2017,,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR40,"Peerless site n, Sullivan Road, Camberley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,ETRS89,51.3343,-0.7612,0.17,Not owned by public authority,Yes,Not permissioned,,,8,,,8,8,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,,18/12/2017,,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR41,"Peerless Site P2, Wood Road, Camberley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,ETRS89,51.3176,-0.7552,0.14,Not owned by public authority,Yes,Not permissioned,,,5,,,5,5,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,,18/12/2017,,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR42,"Travis Perkins, 280 Gordon Avenue, Camberley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,ETRS89,51.3289,-0.7552,0.22,Not owned by public authority,Yes,Not permissioned,,,15,,,15,15,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,,18/12/2017,,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR43,"Pembroke House, 148 Frimley Road, Camberley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,ETRS89,51.326,-0.7553,0.18,Owned by a public authority,Yes,Permissioned,Planning permission granted under an order,22/11/2017,25,Demolition of existing building and erection of a four storey building to comprise of 25 residential apartments (100% affordable housing comprising 12 no. 1 bed and 13 no. 2 bed) at part ground and upper levels,Flexible commercial floorspace (Use Class A1/A2/A3/B1/D1/D2) at ground floor level,25,25,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,,18/12/2017,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736594%27&backurl=custom/planning?,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR52,"Flexlands School, Sandpit Hall Road, Chobham",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/10SLAA2017Ap2ChobhamSiteAssmts.pdf,ETRS89,51.3446,-0.5955,1.4,Not owned by public authority,Yes,Permissioned,Full planning permission,15/03/2017,14,"Erection of 8 x 2 bed and 6 x 3 bed dwellings, communal pavilion, car parks, bin store, entrance gates and associated landscaping, following demolition of existing buildings.",,14,14,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/10SLAA2017Ap2ChobhamSiteAssmts.pdf,,18/12/2017,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?pageno=1&pagerecs=10&maxrecords=100&template=DevelopmentControlResults.tmplt&requestType=parseTemplate&usesearch=true&order=REGDATE%3ADESCENDING&q%3ALIKE=16%2F1123,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR53,"Peerless Site, Windsor Court Road, Chobham",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/10SLAA2017Ap2ChobhamSiteAssmts.pdf,ETRS89,51.3536,-0.6034,0.9,Not owned by public authority,Yes,Not permissioned,,,5,,,5,5,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/10SLAA2017Ap2ChobhamSiteAssmts.pdf,,18/12/2017,,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR56,"Princess Royal Barracks 1, Brunswick Road, Deepcut",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/12SLAA2017Ap2DeepcutSiteAssmts.pdf,ETRS89,51.3047,-0.701,44.55,Not owned by public authority,Yes,Permissioned,Outline,27/03/2014,300,"Comprehensive redevelopment of Princess Royal Barracks for up to 1,200 dwellings",,300,300,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/12SLAA2017Ap2DeepcutSiteAssmts.pdf,,18/12/2017,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2734899%27&backurl=custom/planning?,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR61,"The Absolute Building, Lyon Way, Frimley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/14SLAA2017Ap2FrimleySiteAssmts.pdf,ETRS89,31.3157,-0.7486,0.32,Not owned by public authority,Yes,Permissioned,Planning permission granted under an order,19/10/2016,91,"Prior Notification for Change of Use of the ground, first, second and third floors from B1a (Office) to C3 (Residential) to create 91 apartments comprising of 31 studio units, 41 one bedroom units, 11 two bedroom units and 8 two bedroom duplex units.",,91,91,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/14SLAA2017Ap2FrimleySiteAssmts.pdf,,18/12/2017,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2735442%27&backurl=custom/planning?,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR62,"Wyvern House, 55 Frimley High Street, Frimley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/14SLAA2017Ap2FrimleySiteAssmts.pdf,ETRS89,51.3124,-0.746,0.27,Not owned by public authority,Yes,Permissioned,Planning permission granted under an order,15/12/2017,35,"Application for Prior Approval under Schedule 2, Part 3, Class (O) of the General Permitted Development Order for the conversion of existing offices (Class B1) to 35 residential units",,35,35,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/14SLAA2017Ap2FrimleySiteAssmts.pdf,,18/12/2017,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736961%27&backurl=custom/planning?,18/12/2017
