Organisation URL,Organisation Label,Site Reference,Previously Part Of,Site Name Address,Site Plan URL,Coordinate Reference System,UPRN,GeoX,GeoY,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,"Permission
Date",Planning History,Proposed for PiP,Min Net Dwellings,Development Description,Non Housing Development,Part 2,"Net
Dwellings
Range
From","Net
Dwellings
Range
To",Hazardous Substances,Site Information,Notes,"First
Added
Date",Last Updated Date
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,COF_20,COF_20,"Academy Builders And Development Ltd, 31 Fobbing Road, Corringham","https://thurrock.gov.uk/brownfield-map
",WGS84,100091592298,0.46367,51.52607,0.106,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,23/11/2015,,,6,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,CSM_02,CSM_02,"Land adjacent to Thatched Cottage, Baker Street, Orsett","https://thurrock.gov.uk/brownfield-map
",WGS84,010001051561,0.35708,51.49896,0.5482,Not owned by a  Public Authority,Yes,Permissioned,Outline Planning Permission,31/03/2015,,,14,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,CSM_05,CSM_05,"Riverview Methodist Church, River View, Chadwell St Mary, RM16 4BJ","https://thurrock.gov.uk/brownfield-map
",WGS84,100091537816,0.36472,51.48119,0.1016,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,06/01/2016,,,7,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,CSM_09,,"Chadwell Library, corner of Linford Road and Brentwood Road","https://thurrock.gov.uk/brownfield-map
",WGS84,200001553426,0.36933,51.48204,0.2559,Owned by a  Public Authority,Developable,Not Permissioned,,,,,9,,,,,,,,,30/12/2017,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,CSM_10,CSM_10,"Land at St Joseph's Church Hall, Defoe Parade, Chadwell St Mary","https://thurrock.gov.uk/brownfield-map
",WGS84,200001553439,0.3713,51.48859,0.2956,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,13/01/2016,,,35,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,CSM_13,CSM_13,"Land rear of St Johns Way, Chadwell St Mary","https://thurrock.gov.uk/brownfield-map
",WGS84,200001553500,0.37302,51.47979,0.5604,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,19/02/2013,,,20,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,CSM_25,CSM_25,"Church Hall, Rigby Gardens, Chadwell St Mary","https://thurrock.gov.uk/brownfield-map
",WGS84,200001550114,0.36809,51.48412,0.1229,Not owned by a  Public Authority,Yes,Not Permissioned,,,,,6,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,EAT_01,EAT_01,"Star Industrial Estate, Linford Road, Chadwell St Mary","https://thurrock.gov.uk/brownfield-map
",WGS84,200001553464,0.3735,51.47854,3.3431,Not owned by a  Public Authority,Yes,Not Permissioned,,,,,117,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,EAT_02,EAT_02,"St Johns Road / west of Sandy Lane, East Tilbury (building footprint)","https://thurrock.gov.uk/brownfield-map
",WGS84,100091537662,0.37453,51.47914,2.5163,Not owned by a  Public Authority,Developable,Not Permissioned,,,,,88,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,EAT_18,EAT_18,"Land to rear of 4-20 Bata Avenue, East Tilbury","https://thurrock.gov.uk/brownfield-map
",WGS84,010001050434,0.41509,51.48056,0.3282,Not owned by a  Public Authority,Yes,Permissioned,Outline Planning Permission,16/12/2016,,,14,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,EAT_19,,"Former tennis court site, East Tilbury","https://thurrock.gov.uk/brownfield-map
",WGS84,010014292804,0.41717,51.4815,0.9805,Not owned by a  Public Authority,Yes,Not Permissioned,,,,,18,,,,,,,,,30/12/2017,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,EAT_25,EAT_25,"Thames Industrial Estate, Princess Margaret Road, East Tilbury. RM18 8RH","https://thurrock.gov.uk/brownfield-map
",WGS84,,0.41511,51.47818,14.4182,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,02/04/2015,,,50,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,GRI_08,,"Gas works site, London Road, Grays","https://thurrock.gov.uk/brownfield-map
",WGS84,200001555174,0.31463,51.47758,2.525,Not owned by a  Public Authority,Yes,Permissioned,Full Permission,06/01/2017,,,88,,,,,,,,,30/12/2017,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,GRI_25,,"Car Park, Brooke Road, Grays","https://thurrock.gov.uk/brownfield-map
",WGS84,010001051052,0.3229,51.47942,0.0639,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,22/04/2016,,,9,,,,,,,,,30/12/2017,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,GRI_28,GRI_28,"59-65 High Street, Grays","https://thurrock.gov.uk/brownfield-map
",WGS84,200001545793,0.32341,51.47597,0.2657,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,31/03/2012,,,35,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,GRI_31,GRI_31,"Pier Lodge Day Nursery, Argent Street, Grays","https://thurrock.gov.uk/brownfield-map
",WGS84,100091539256,0.32397,51.4732,0.1664,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,15/09/2015,,,21,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,GRI_38,GRI_38,"The Tops Social Club, Argent Street, Grays","https://thurrock.gov.uk/brownfield-map
",WGS84,100091538829,0.32911,51.47348,0.1044,Not owned by a  Public Authority,Yes,Permissioned,Outline Planning Permission,20/01/2017,,,24,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,GRI_40,GRI_40,"Pumping station site Manor Way, Grays","https://thurrock.gov.uk/brownfield-map
",WGS84,200001555193,0.33133,51.47146,0.6093,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,03/06/2016,,,27,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,GTH_06,GTH_06,"Treetops School, Dell Road, Grays","https://thurrock.gov.uk/brownfield-map
",WGS84,100091538312,0.32656,51.48419,3.0898,Owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,28/09/2016,,,74,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,GTH_12,GTH_12,"Scout Hut and Function Hall, Grays Park, Bridge Road, Grays","https://thurrock.gov.uk/brownfield-map
",WGS84,200001550915,0.33133,51.47881,0.3654,Owned by a  Public Authority,Developable,Not Permissioned,,,,,13,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,GTH_21,GTH_21,"Land at 52 Broadway, Grays","https://thurrock.gov.uk/brownfield-map
",WGS84,010001051819,0.33807,51.47541,0.3893,Not owned by a  Public Authority,Yes,Not Permissioned,,,,,14,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,LTB_03,LTB_03,"Deneholm Primary School, Culford Road, Little Thurrock, Grays,  RM16 2SS","https://thurrock.gov.uk/brownfield-map
",WGS84,200001549924,0.33854,51.49476,1.2558,Owned by a  Public Authority,Developable,Not Permissioned,,,,,44,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,LTB_04,LTB_04,"Petrol Station, Daneholes Roundabout, Stanford Road, Grays","https://thurrock.gov.uk/brownfield-map
",WGS84,100091631862,0.34439,51.48895,0.6344,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,30/04/2014,,,9,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,LTB_05,LTB_05,"Land at Thurrock Technical College, Wood View, Grays","https://thurrock.gov.uk/brownfield-map
",WGS84,100091537459,0.35357,51.48631,9.3939,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,28/03/2012,,,62,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,OCK_08,OCK_08,"Arisdale Industrial Estate (remainder), South Ockendon","https://thurrock.gov.uk/brownfield-map
",WGS84,200001555729,0.28875,51.51998,3.4753,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,17/11/2014,,,373,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,OCK_13,OCK_13,"Tamarisk Road, South Ockendon","https://thurrock.gov.uk/brownfield-map
",WGS84,010014292208,0.29082,51.51663,0.1476,Owned by a  Public Authority,Developable,Not Permissioned,,,,,5,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,OCK_16,OCK_16,"9-13 South Road, South Road, South Ockendon","https://thurrock.gov.uk/brownfield-map
",WGS84,100091537223,0.29708,51.52242,0.1119,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,11/05/2017,,,14,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,OCK_17,OCK_17,"Former Congregational Church, North Road, South Ockendon","https://thurrock.gov.uk/brownfield-map
",WGS84,010001051228,0.29778,51.52421,0.111,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,16/10/2013,,,4,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,OCK_31,OCK_31,"Lambourn House, 67 North Road, South Ockendon, RM15 6QA","https://thurrock.gov.uk/brownfield-map
",WGS84,100090747485,0.2977,51.5265,0.1985,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,16/07/2015,,,9,,,,,,,,,30/12/2017,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,OCK_32,,"Piccadilly Whip Catering Ltd, Piccadilly House, Arisdale Avenue, South Ockendon","https://thurrock.gov.uk/brownfield-map
",WGS84,010014294731,0.28891,51.51425,0.1073,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,22/08/2016,,,7,,,,,,,,,30/12/2017,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,ORS_22,ORS_22,"Manor House Farm, Brentwood Road, Bulphan","https://thurrock.gov.uk/brownfield-map
",WGS84,200001546932,0.37155,51.55,0.6263,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,20/11/2015,,,6,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,ORS_31,,"Balgownie Farm, Lower Dunton Road, Bulphan","https://thurrock.gov.uk/brownfield-map
",WGS84,010090752602,0.39264,51.55536,0.8513,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,26/04/2017,,,6,,,,,,,,,30/12/2017,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,SCH_01,SCH_01,"Bannatynes Health Spa, Howard Road, Chafford Hundred, Grays, RM16 6YJ","https://thurrock.gov.uk/brownfield-map
",WGS84,010014293432,0.2919,51.4917,1.1089,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,14/09/2009,,,63,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,SEC_02,SEC_02,"First Floor, Grover House, Grover Walk, Corringham","https://thurrock.gov.uk/brownfield-map
",WGS84,200001555986,0.4464,51.5245,0.0645,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,13/09/2013,,,9,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,SEC_04,SEC_04,"The New Pompadour, St Johns Way, Corringham, SS17 7NA","https://thurrock.gov.uk/brownfield-map
",WGS84,200001544031,0.44789,51.52442,0.1442,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,24/01/2017,,,23,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,STC_04,STC_04,"Land at Stifford Clays Baptist Church, Fleethall Grove, Crammavill Street, Stifford Clays, Grays","https://thurrock.gov.uk/brownfield-map
",WGS84,200002149433,0.32357,51.49877,0.4542,Owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,13/05/2016,,,8,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,STW_03,STW_03,"Stanford Road (rear of Oxford Road cul-de-sac), Stanford-le-Hope","https://thurrock.gov.uk/brownfield-map
",WGS84,200001556392,0.41358,51.51195,0.5424,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,11/10/2011,,,14,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,STW_09,STW_09,"Stanford Body Repairs, Ruskin Road, Stanford-le-Hope","https://thurrock.gov.uk/brownfield-map
",WGS84,100091591098,0.42115,51.51379,0.0676,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,02/04/2015,,,7,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,STW_15,STW_15,"1/2, Southend Road, Stanford-le-Hope, SS17 0PQ","https://thurrock.gov.uk/brownfield-map
",WGS84,100091632199,0.42626,51.51678,0.083,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,18/04/2011,,,17,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,STW_17,STW_17,"Land Adjacent 1 The Green, Stanford-le-Hope","https://thurrock.gov.uk/brownfield-map
",WGS84,010001051344,0.4267,51.51466,0.1007,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,22/03/2017,,,5,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,STW_22,STW_22,"Tanglewood, Billet Lane, Stanford-le-Hope","https://thurrock.gov.uk/brownfield-map
",WGS84,100091302124,0.43269,51.51475,0.1569,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,16/01/2007,,,16,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,TRV_07,TRV_07,"Rourke's Drift Guest House, 197 Dock Road, Tilbury, RM18 7BT","https://thurrock.gov.uk/brownfield-map
",WGS84,100090761962,0.35641,51.4614,0.193,Not owned by a  Public Authority,Developable,Not Permissioned,,,,,7,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,TRV_14,TRV_14,"Tilbury Market, Calcutta Road, Tilbury","https://thurrock.gov.uk/brownfield-map
",WGS84,200001556638,0.36024,51.46205,0.3666,Owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,28/06/2017,,,36,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,TRV_25,TRV_25,"Site at the corner of Brennan Road and London Road, Tilbury","https://thurrock.gov.uk/brownfield-map
",WGS84,200001556628,0.36682,51.46155,0.4608,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,21/05/2013,,,47,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,WTS_03,WTS_03,Purfleet Centre,"https://thurrock.gov.uk/brownfield-map
",WGS84,010014293978,0.24083,51.48083,56.8596,Owned by a  Public Authority,Developable,Permissioned,Outline Planning Permission,23/05/2013,,,1990,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,WTS_07,WTS_07,"Redevelopment Site (remainder), Schoolfield Road, West Thurrock","https://thurrock.gov.uk/brownfield-map
",WGS84,010014294736,0.2777,51.4745,1.4385,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,28/08/2014,,,55,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,WTS_26,WTS_26,"South of West Thurrock Way / east of Euclid Way, West Thurrock (retail / housing / community use)","https://thurrock.gov.uk/brownfield-map
",WGS84,010090751779,0.27632,51.48304,10.3923,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,28/07/2017,,,364,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,WTS_31,,"Land at 545 London Road, South Stifford, Grays","https://thurrock.gov.uk/brownfield-map
",WGS84,200002149233,0.29449,51.47662,0.1569,Not owned by a  Public Authority,Yes,Not Permissioned,,,,,14,,,,,,,,,30/12/2017,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,WTS_50,,"310 London Road, South Stifford, Grays","https://thurrock.gov.uk/brownfield-map
",WGS84,200001552012,0.30407,51.47806,0.0855,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,19/01/2017,,,7,,,,,,,,,30/12/2017,30/12/2017
