OrganisationURI,OrganisationLabel,SiteNameAddress,SiteplanURL,Easting ,Northing ,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"151 - 152 High Street Twerton, Bath",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,372872,164620,0.02,not owned by a public authority,yes,permissioned,full planning permission,2016-05-01,,7,,,,,,,15/03742/FUL ,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"Designer Composites, Fosseway, Westfield",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,367351,153767,0.21,not owned by a public authority,yes,permissioned,full planning permission,2015-03-13,,7,,,,,,,12/00107/FUL,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"44 Lower Bristol Road, Bath",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,374480,164467,0.04,not owned by a public authority,yes,permissioned,full planning permission,2017-01-01,,16,,,,,,,16/02527/FUL,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"The Wharf, Greensbrook, Clutton",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,362713,159225,0.66,not owned by a public authority,yes,permissioned,full planning permission,2015-04-02,,15,,,,,,,12/00293/FUL,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"Riverside, Keynsham",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,365523,168314,0.59,owned by a public authority,yes,permissioned,other,2017-02-01,,98,,,,,,,16/05646/ODCOU,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,Hinton Garage,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,374209,165030,0.43,not owned by a public authority,yes,permissioned,full planning permission,2017-06-20,,67,,,,,,,16/06188/FUL,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,SB8 East of Onega Terrace,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,0.11,not owned by a public authority,yes,not permissioned,,,,1,,,,,,,,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,Onega Centre,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,374136,165078,0.19,not owned by a public authority,yes,permissioned,full planning permission,2017-10-05,,44,,,,,,,17/01204/FUL,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,SB8 West of Onega Terrace,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,0.1,not owned by a public authority,yes,not permissioned,,,,1,,,,,,,,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,SB8 Army Reserves Centre,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,0.34,not owned by a public authority,,not permissioned,,,,1,,,,,,,,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"SB8 Windsor Bridge Road/Upper Bristol Road, Bath",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,0.72,not owned by a public authority,,not permissioned,,,,1,,,,,,,,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,SB16 Burlington Street,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,0.96,not owned by a public authority,yes,not permissioned,,,,1,,,,,,,,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"SSV11 St Peter's Factory, Westfield",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,2.24,not owned by a public authority,yes,not permissioned,,,,81,,,,,,,,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"SB15 Hartwells Garage, Bath",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,1.67,not owned by a public authority,yes,not permissioned,,,,80,,,,,,,,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"Old Pit Yard, Clandown, Radstock",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,368144,155956,1.94,not owned by a public authority,yes,permissioned,outline planning permission,2018-10-08,,44,,,,,,,14/02889/OUT,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"SSV17 Former Radstock County Infants, Radstock",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,0.34,owned by a public authority,yes,not permissioned,,,,9,,,,,,,,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"SSV20 Former St Nicholas School, Radstock",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,0.13,not owned by a public authority,,not permissioned,,,,1,,,,,,,,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"SR14 Wheelers Manufacturing Blockworks, Timsbury",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,0.85,not owned by a public authority,yes,not permissioned,,,,22,,,,,,,,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"SB14 Twerton Park, Bath (part redevelopment)",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,0.62,not owned by a public authority,,not permissioned,,,,1,,,,,,,,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"SB8 Bath Western Riverside, Bath (western)",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,373850,165115,5.11,not owned by a public authority,,permissioned,outline planning permission,2010-12-23,,1,,,,,,,06/01733/EOUT,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,SB8 Recycling Centre,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,1.14,owned by a public authority,,not permissioned,,,,1,,,,,,,,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"Bath Press, Bath",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,373676,164780,2.2,not owned by a public authority,yes,permissioned,full planning permission,2016-09-01,,244,,,,,,,15/02162/EFUL,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"Street Record, St Chad's Green, Midsomer Norton, Bath And North East Somerset",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,366143,154063,0.61,not owned by a public authority,Yes,permissioned,full planning permission,26/04/2018,,16,,,,,,,17/05382/FUL,2018-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"The Laurels, South Road, Timsbury, Bath, Bath And North East Somerset, BA2 0ER",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,366552,158363,0.26,not owned by a public authority,Yes,permissioned,full planning permission,10/05/2018,,11,,,,,,,17/05818/FUL,2018-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"478 Wellsway, Bath, Bath And North East Somerset, BA2 2UB",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,373801,162140,0.59,not owned by a public authority,Yes,permissioned,full planning permission,25/05/0218,,6,,,,,,,17/05737/FUL,2018-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"St Joseph's Church, Sladebrook Road, Southdown, Bath, Bath And North East Somerset, BA2 1LR",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,372623,163678,0.27,not owned by a public authority,Yes,permissioned,full planning permission,30/05/2018,,9,,,,,,,18/00548/FUL,2018-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"Employment Building Unit 2, Bell Lane, Chew Stoke, Bristol,
",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,356208,161977,1.5,not owned by a public authority,Yes,Approved ,outline planning permission,02/07/2018,,5,,,,,,,17/05325/OUT ,2018-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"Acl House, Combe End, Radstock, ",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,368559,155441,1.4,not owned by a public authority,Yes,permissioned,full planning permission,03/08/2018,,7,,,,,,,17/05265/FUL,2018-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"Land to the rear of Yearton House, Water Street,  East Harptree, ",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,356632,155726,0.4,not owned by a public authority,Yes,permissioned,full planning permission,14/08/2018,,8,,,,,,,14/05836/FUL,2018-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"St Hughs R C Church, Wells Road, Westfield ",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,368733,154845,1.2,not owned by a public authority,Yes,permissioned,full planning permission,30/08/2018,,8,,,,,,,18/01744/FUL,2018-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"The Grange Hotel, 42 Bath Road, Keynsham, BS31 1 SN",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,366134,168253,1.2,not owned by a public authority,Yes,permissioned,full planning permission,04/09/2018,,10,,,,,,,17/06216/FUL,2018-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"Ryman Engineering Services, Frome Road, Radstock , BA3 3PY",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,369110,154759,0.36,not owned by a public authority,Yes,permissioned,full planning permission,21/09/2018,,10,,,,,,,17/05597/FUL,2018-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"Derelict Yard, Bath Old Road, Radstock ",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,369054,155467,8.8,not owned by a public authority,Yes,Approved ,outline planning permission,26/09/2018,,26,,,,,,,17/03926/OUT,2018-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"Field between Manor Road Memorial Cottages and The Grove, Manor Road, Upper Weston, Bath",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,373096,166145,0.18,not owned by a public authority,Yes,permissioned,full planning permission,03/10/2018,,8,,,,,,,18/01984/FUL,2018-12-21,2018-12-21
,,,,,,,,,,,,,,,,,,,,,,
