OrganisationURL,OrganisationLabel,SiteReference,PreviouslyPartof,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionTyne,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,Part2,NonHousingDevelopment,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDateBR,LastUpdatedDate,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,3090,,"Newburn Social Services Area Office, Newburn Road",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.742713,54.984896,0.56,Owned by a Public Authority,,Not Permissioned,,,,,21,,,,21,25,,,,2017-12-19,2019-01-30,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,3371,,"Former Denhofer Wines, 47 Bath Lane",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.62217836,54.97181265,0.03,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,27/04/2018,,,21,Erection of 7 storey building containing 16no. 2 bed and 5No. 1 bed residential apartments (Class C3) with associated cycle parking,,,,,,,,2018-12-17,2019-01-31,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,3372,,27 Rutherford Street,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.621972525,54.97123087,0.1,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,08/05/2017,,,162,"Erection of a 26 storey residential building, providing 162 units with associated cycle parking, landscaping and highway works following demolition of existing warehouse",,,,,,,,2017-12-19,2019-02-01,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,3399,,"CD3 - Site of 262-314 Church Street, Walker",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.543470418,54.96779558,0.36,Owned by a Public Authority,,Not Permissioned,,,,,17,,,,17,21,,,,2017-12-19,2019-02-02,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,4014,,"Site of NEP (UK) ltd, Benfield Road",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.559462329,54.98580622,0.46,Not Owned by a Public Authority,,Not Permissioned,,,,,27,,,,27,33,,,,2018-12-17,2019-02-03,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,4157,,Portman House Portland Road Newcastle upon Tyne NE2 1AQ,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.597323,54.977196,0.05,Not Owned by a Public Authority,,Permissioned,Other,29/08/2017,,,34,Notification of Prior Approval: Change of use of floors 1-5 from offices (Class B1) to 34 self contained residential apartments (Class C3),,,,,,,,2018-12-17,2019-02-04,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,4213,,West Benwell Terraces,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.67241917,54.97247134,2.95,Owned by a Public Authority,,Not Permissioned,,,,,77,,,,77,94,,,,2017-12-19,2019-02-05,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,4214,,"Land at Westfield Road, Benwell",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.672678262,54.97074469,2.02,Owned by a Public Authority,,Not Permissioned,,,,,49,,,,49,59,,,,2017-12-19,2019-02-06,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,4253,,"Site of 25-161 Dovercourt Road and 1540-1572 Walker Road, Walker",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.546053079,54.96697002,1.63,Owned by a Public Authority,,Not Permissioned,,,,,72,,,,72,88,,,,2017-12-19,2019-02-07,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,4257,,"Land at site of 1372 - 1452 Walker Road
Walker",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.551097195,54.96497077,0.23,Owned by a Public Authority,,Not Permissioned,,,,,6,,,,6,8,,,,2018-12-17,2019-02-08,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,4263,,"PB3 - Belmont Methodist Church, Enslin Street, Walker",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.554825164,54.9645001,0.27,Owned by a Public Authority,,Not Permissioned,,,,,9,,,,10,11,,,,2017-12-19,2019-02-09,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,4282,,"CF1 - Site of Wharrier Street Primary School, Walker",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.553873124,54.96849498,1.17,Owned by a Public Authority,,Not Permissioned,,,,,41,,,,41,50,,,,2017-12-19,2019-02-10,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,4286,,"Land to the south of Brockwell House, Blakelaw",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.669119659,54.99552559,0.62,Owned by a Public Authority,Yes,Permissioned,Full planning permission,14/03/2018,,,24,Outline Application for the erection of up to 24 no. accessible and adaptable houses for affordable rent (Class C3) including demolition of garage blocks and stopping up of highways  (Amended Description),,,,,,,,2017-12-19,2019-02-11,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,4289,,Quay Timber Site,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.589752412,54.97329004,0.25,Not Owned by a Public Authority,,Not Permissioned,,,,,45,,,,45,55,,,,2017-12-19,2019-02-12,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,4290,,"Ince Building, Hume Street",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.58883548,54.97303126,0.09,Not Owned by a Public Authority,,Not Permissioned,,,,,20,,,,20,24,,,,2017-12-19,2019-02-13,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,4332,,Land south of Skinnerburn Road,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.629519781,54.96062245,0.22,Owned by a Public Authority,,Not Permissioned,,,,,38,,,,38,46,,,,2017-12-19,2019-02-14,,
