OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,EASTING,NORTHING,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningAuthority1,PlanningAuthority2,PlanningAuthority3,PlanningAuthority,SOURCE,STATUS
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,12/P0484,,46  Lake Road SW19 7EX,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,524951,171453,0.05,,,permissioned,Full,3/26/2012,,,,APPLICATION FOR EXTENSION OF TIME FOR IMPLEMENTATION OF PLANNING PERMISSION 09/P0117 (DATED 13/03/2009) BY THE ISSUING OF A NEW PERMISSION FOR DEMOLITION OF EXISTING HOUSE AND ERECTION OF 6 BEDROOM DE,See development description. Search application in Merton Planning Explorer for full details.,,,,,,,10/01/2020,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,12/P0525,,7  Church Hill SW19 7BN,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,524646,171230,0.08,,,permissioned,Full,4/17/2012,,,,DEMOLITION OF EXISTING HOUSE AND ERECTION OF NEW 6 BEDROOM DWELLINGHOUSE WITH ROOMS IN ROOFSPACE AND BASEMENT LEVEL,See development description. Search application in Merton Planning Explorer for full details.,,,,,,,10/01/2020,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,12/P0946,,1  Walton Way CR4 1HQ,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,529158,168379,0,,,permissioned,Full,05/12/2014,,,,"APPLICATION TO EXTEND THE TIME TO IMPLEMENT PLANNING PERMISSION 09/P0480, FOR THE ERECTION OF A TWO STOREY SIDE EXTENSION TO PROVIDE AN ADDITIONAL TWO BEDROOM DWELLING.",See development description. Search application in Merton Planning Explorer for full details.,,,,,,,10/01/2020,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,13/P0279,,17a  Copse Hill SW20 0NB,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,523014,170236,0.07,,,permissioned,Full,10/28/2013,,,,"DEMOLITION OF EXISTING BUILDING AND ERECTION OF A REPLACEMENT THREE-STOREY DETACHED HOUSE WITH GARAGE, BASEMENT, FORMATION OF A NEW VEHICLE ACCESS TO COPSE HILL AND A NEW FRONT BOUNDARY WALL. (AMENDME",See development description. Search application in Merton Planning Explorer for full details.,,,,,,,10/01/2020,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,13/P2982,,11  Church Hill SW19 7BN,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,524678,171231,0.08,,,permissioned,Full,12/05/2013,,,,DEMOLITION OF EXISTING DWELLING HOUSE & ERECTION OF A 6 BEDROOM DETACHED HOUSE.,See development description. Search application in Merton Planning Explorer for full details.,,,,,,,10/01/2020,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,13/P3497,,290-298 1st & 2nd Floors Kingston Road SW20 8LX,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,524379,169322,0.01,,,permissioned,Prior Approval (Class O - formerly J),12/23/2013,,,7,"CHANGE OF USE OF FIRST,SECOND AND THIRD FLOOR OFFICES (CLASS B1) TO RESIDENTIAL (CLASS C3) CREATING 7 x SELF-CONTAINED FLATS",See development description. Search application in Merton Planning Explorer for full details.,,,,,,,31/12/2017,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,13/P3761,,"6-12 1st, 2nd & 3rd Floors Gladstone Road SW19 1QT",https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,525097,170445,0.09,,,permissioned,Prior Approval (Class O - formerly J),1/20/2014,,,11,"CHANGE OF USE OF FIRST, SECOND AND THIRD FLOORS OF COLLINGHAM HOUSE FROM B1(A) OFFICE SPACE TO C3 RESIDENTIAL, TO CREATE 11 x SELF-CONTAINED FLATS",See development description. Search application in Merton Planning Explorer for full details.,,,,,,,31/12/2017,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,13/P3924,,16a  Darlaston Road SW19 4LG,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,523973,170294,0,,,permissioned,Full,3/21/2014,,,,DEMOLITION OF UNLISTED BUILDING IN A CONSERVATION AREA AND ERECTION OF NEW DETACHED DWELLINGHOUSE,See development description. Search application in Merton Planning Explorer for full details.,,,,,,,10/01/2020,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,13/P4024,,"Ashville House, 131 - 139 1st & 2nd Floors The Broadway SW19 1QJ",https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,525284,170415,0.05,,,permissioned,Prior Approval (Class O - formerly J),02/06/2014,,,11,"CHANGE OF USE OF EXISTING OFFICE SPACE (CLASS B1A) TO RESIDENTIAL (CLASS C3), CREATING 11 x SELF-CONTAINED FLATS",See development description. Search application in Merton Planning Explorer for full details.,,,,,,,31/12/2017,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,14/P0698,,2  Lawson Close SW19 5EL,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,523644,172029,0.09,,,permissioned,Full,10/07/2014,,,,DEMOLITION OF EXISTING HOUSE AND ERECTION OF NEW DWELLINGHOUSE WITH A PART BASEMENT.,See development description. Search application in Merton Planning Explorer for full details.,,,,,,,10/01/2020,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,14/P1159,,37  Edge Hill SW19 4NP,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,523674,170324,0.05,,,permissioned,Full,7/23/2014,,,,DEMOLITION OF EXISTING HOUSE AND ERECTION OF A NEW FAMILY DWELLINGHOUSE,See development description. Search application in Merton Planning Explorer for full details.,,,,,,,10/01/2020,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,14/P1581,,60  Pitcairn Road CR4 3LL,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,527710,170329,0.04,,,permissioned,Full,02/02/2015,,,7,"Redevelopment of the site involving the demolition of the existing building and the erection of a part two, part three storey building providing 6 residential dwellings (4, one bedroom flats and 2, tw",See development description. Search application in Merton Planning Explorer for full details.,,,,,,,28/01/2019,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,14/P3076,,24a  High Street SW19 5EE,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,523981,171075,0.03,,,permissioned,Prior Approval (Class O - formerly J),9/26/2014,,,5,PRIOR APPROVAL FOR CHANGE OF USE OF EXISTING OFFICE SPACE (CLASS B1) TO RESIDENTIAL (CLASS C3) CREATING 5 x 1 BED FLATS,See development description. Search application in Merton Planning Explorer for full details.,,,,,,,31/12/2017,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,14/P4565,,35  Parkside SW19 5NB,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,523596,171590,0.06,,,permissioned,Full,02/02/2015,,,,DEMOLITION OF EXISTING HOUSE AND ERECTION OF A TWO STOREY REPLACEMENT DWELLINGHOUSE WITH ACCOMMODATION AT ROOF LEVEL AND LOWER GROUND LEVEL,See development description. Search application in Merton Planning Explorer for full details.,,,,,,,10/01/2020,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,15/P0050,,85 - 86  High Street SW19 5EG,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,524089,171074,0.46,,,permissioned,Full,2/16/2015,,,8,DEMOLITION OF THE EXISITNG BUILDINGS IN CONNECTION WITH THE APPROVED SCHEME LBM REF.09/P1848 (DATED 11 JULY 2012) FOR THE REDEVELOPMENT OF THE SITE BY THE ERECTION OF 4 STOREY BUILDING (PLUS BASEMENT),See development description. Search application in Merton Planning Explorer for full details.,,,,,,,28/01/2019,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,15/P0071,,20  Cottenham Park Road SW20 0RZ,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,523138,170106,0.09,,,permissioned,Full,12/04/2015,,,,DEMOLITION OF EXISTING DETACHED HOUSE AND ERECTION OF A NEW THREE STOREY DETACHED DWELLING WITH BASEMENT AND ASSOCIATED PARKING AND LANDSCAPING,See development description. Search application in Merton Planning Explorer for full details.,,,,,,,10/01/2020,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,15/P1087,,2b  Belvedere Drive SW19 7DG,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,524338,171014,0.03,,,permissioned,Full,10/14/2015,,,,DEMOLITION OF EXISTING HOUSE AND CONSTRUCTION OF A NEW DWELLING HOUSE INCLUDING NEW BASEMENT,See development description. Search application in Merton Planning Explorer for full details.,,,,,,,10/01/2020,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,15/P1193,,"Rowan Court, 56 Units 1, 2, 3 And 6 High Street SW19 5E",https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,523886,171132,0.05,,,permissioned,Prior Approval (Class O - formerly J),5/19/2015,,,7,PRIOR APPROVAL IN RESPECT OF THE PROPOSED CHANGE OF USE OF EXISTING OFFICE SPACE (CLASS B1a) TO RESIDENTIAL (CLASS C3) TO CREATE 7 x RESIDENTIAL UNITS,See development description. Search application in Merton Planning Explorer for full details.,,,,,,,31/12/2017,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,15/P1569,,96 & 98  The Broadway SW19 1RH,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,525189,170488,0.02,,,permissioned,Full,11/16/2018,,,7,ALTERATIONS AND EXTENSIONS TO CREATE 8 X 1 BEDROOM FLATS AND 1 X 2 BEDROOM FLAT TO THE UPPERS FLOORS AND EXTENSION TO RETAIL UNIT,See development description. Search application in Merton Planning Explorer for full details.,,,,,,,10/01/2020,10/01/2020,,,,Merton,LDD,Not started
