OrganisationURI,"SiteReference
",SiteNameAddress,SitePlanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-21,"“Callis Yard, Bunton St Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,179174,543431,0.43,Not owned by a public authority,Permissioned,Full planning permission,2014-12-05,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,152,152,,“14/1355/F. Completed in 2019.”,2017-12-22,2019-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-22,“76 Eltham Rd Eltham“,www.royalgreenwich.gov.uk/brownfieldregister,174757,540394,0.07,Not owned by a public authority,Permissioned,Full planning permission,2014-12-16,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,4,4,,“14/2778/F. Completed in 2019.”,2017-12-22,2019-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-23,“142-144 Eltham High St Eltham“,www.royalgreenwich.gov.uk/brownfieldregister,174384,542921,0.07,Not owned by a public authority,Permissioned,Full planning permission,2015-02-11,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,7,7,,“14/3388/F. Completed in 2019.”,2017-12-22,2019-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-24,"“Kundan Building Supplies, Angerstein Wharf, Horn Lane Greenwich“",www.royalgreenwich.gov.uk/brownfieldregister,178506,540234,0.08,Not owned by a public authority,Permissioned,Full planning permission,2015-03-12,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,8,8,,“14/2669/F. Completed in 2019.”,2017-12-22,2019-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-25,“38 Wellington St Woolwich“,www.royalgreenwich.gov.uk/brownfieldregister,178787,543462,0.08,Not owned by a public authority,Permissioned,Full planning permission,2015-03-19,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,34,34,,"“13/2798/F. Completed 2018.""",2017-12-22,2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-26,"“Kidbrooke Village Phase 3, Kidbrooke Park Rd Kidbrooke“",www.royalgreenwich.gov.uk/brownfieldregister,175501,540982,4.73,Mixed ownership,Permissioned,Full planning permission,2015-03-27,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,1238,1238,,"“14/2607/F. Started""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-27,"“Kidbrooke Village Phase 5, Kidbrooke Park Rd Kidbrooke“",www.royalgreenwich.gov.uk/brownfieldregister,175230,541092,4.78,Mixed ownership,Permissioned,Full planning permission,2015-03-27,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,1144,1144,,"“14/2611/F. Started""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-28,"“Kidbrooke Village Phase 6, Kidbrooke Park Rd Kidbrooke“",www.royalgreenwich.gov.uk/brownfieldregister,175720,540623,4.09,Mixed ownership,Permissioned,Full planning permission,2015-03-27,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,713,713,,"""14/2554/O Hybrid Application, with full permission for residential element. Not started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-29,"“Former Car Park & Units 12, 14, 15 and 16 Gunnery Terrace, Plumstead Rd Woolwich (Crossrail over station development).""",www.royalgreenwich.gov.uk/brownfieldregister,178978,544082,0.84,Owned by a public authority,Permissioned,Full planning permission,2015-04-01,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,394,394,,"""13/3307/F. Not started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-30,“36-38 Artillery Place Woolwich“,www.royalgreenwich.gov.uk/brownfieldregister,178552,543069,0.25,Not owned by a public authority,Permissioned,Full planning permission,2018-03-07,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,65,65,,"""17/2546/F. Started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
