OrgainisationURL,OragisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,Last UpdatedDate
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-029,,"""Herne Bay Court, Canterbury Road, Herne Bay, CT6 5TD""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=618210,167173,27700&scale=2000",ETRS89,1.133075,51.361695,3.76,Unknown,Yes,Permissioned,Full Planning Permission,03/12/2014,,,157,Erection of retirement village,"Clubhouse, health and wellness centre and spa",,,,,,,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-034,,"""Site of Former Sturry Road Social Club, East Street, Canterbury, CT1 1EE""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=616452,159095,27700&scale=1000",ETRS89,1.10296,51.289839,0.26,Public Authority,Yes,Permissioned,Full Planning Permission,16/10/2017,,,10,Erection of 10 bungalows,,,,,,,,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-041,,"""49-55 Canterbury Road, Whitstable, CT5 4HH""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=610739,165919,27700&scale=500",ETRS89,1.025181,51.353253,0.06,Unknown,Yes,Permissioned,Full Planning Permission,27/01/2016,,,4,"Change of use of part of the ground floor of 49-55 Canterbury Road from restaurant to three flats, and change of use of first floor of 49-51 Canterbury Road to two flats.",,,,,,,,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-047,,"""Wesley Manse, 71 Whitstable Road, Canterbury, CT2 8EA""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614039,158490,27700&scale=500",ETRS89,1.068045,51.285318,0.11,Unknown,Yes,Permissioned,Full Planning Permission,02/03/2016,,,8,"Alteration, extension and conversion of property to nine no. apartments.",,,,,,,,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-053,,"""Old Brewery Business Centre, 75 Stour Street, Canterbury, CT1 2NR""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614775,157773,27700&scale=500",ETRS89,1.078152,51.278603,0.07,Unknown,Yes,Permissioned,Full Planning Permission,13/05/2016,,,5,"Demolition of rear extension to 75 Stour Street together with internal alterations, change of use and construction of 2 new buildings within the courtyard to form 5 new residential dwellings.",,,,,,,,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-059,,"""Northgate House, 115-120 Northgate, Canterbury, CT1 1EZ""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615340,158367,27700&scale=500",ETRS89,1.086598,51.283723,0.12,Unknown,Yes,Permissioned,Planning Permission granted under an order,17/08/2016,,,24,Convert existing offices into 24 flats.,,,,,,,,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-062,,"""10 Upper Bridge Street, Canterbury, CT1 2NA""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615125,157506,27700&scale=500",ETRS89,1.083002,51.276074,0.04,Unknown,Yes,Permissioned,Planning Permission granted under an order,27/09/2016,,,8,Convert existing offices into 8 units of residential accommodation.,,,,,,,,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-063,,"""21 St Georges Terrace, Herne Bay, CT6 8RH""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=617086,168211,27700&scale=500",ETRS89,1.117588,51.371445,0.04,Unknown,Yes,Permissioned,Full Planning Permission,10/03/2017,,,6,Proposed four-storey building containing 7 apartments following demolition of the existing dwelling.,,,,,,,,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-065,,"""8b-11 North Lane, Canterbury, CT2 7SL""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614626,158205,27700&scale=500",ETRS89,1.076278,51.282538,0.04,Unknown,Yes,Permissioned,Full Planning Permission,02/12/2016,,,7,Conversion to 4 townhouses and demolition of existing outbuildings to rear and erection of 2no. apartments and 1no. studio unit.,,,,,,,,01/11/2017,30/11/2018
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-066,,"""226A and 226B Tankerton Road, Whitstable, CT5 2AY""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=612515,167140,27700&scale=500",ETRS89,1.051378,51.363556,0.03,Unknown,Yes,Permissioned,Full Planning Permission,10/04/2017,,,3,Roof extension and alterations to provide 5 flats,,,,,,,,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-087,,"""64-65 Central Paradee, Herne Bay, CT6 5JG""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=617748,168390,27700&scale=500",ETRS89,1.127194,51.372799,0.03,Unknown,Yes,Permissioned,Full Planning Permission,28/04/2017,,,12,Demolition of existing building and erection of five-storey building with 12,"Ground floor commercial unit, bin and cycle store",,,,,,,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-088,,"""St Benedict Nursing Home, 22-23 St George's Terrace, Herne Bay, CT6 8RH""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=617063,168206,27700&scale=500",ETRS89,1.117255,51.371409,0.09,Unknown,Yes,Permissioned,Full Planning Permission,03/10/2017,,,10,"Proposed change of use from care home to residential; together with two-storey rear and roof extension, to provide 10 apartments.",,,,,,,,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-091,,"""Herne Bay Golf Driving Range, Greenhill""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=616854,166853,27700&scale=500",ETRS89,1.113434,51.359341,0.31,Unknown,No,Not Permissioned,,,,,1,,,,1,8,,,This is part of a larger Local Plan allocated site for 40 dwellings,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-092,,"""Land at Chislet Colliery, Hersden""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=620845,161972,27700&scale=2000",ETRS89,1.167528,51.312367,19.24,Unknown,Yes,Permissioned,Outline Planning Permission,22/11/2018,,,370,Mixed-use development of up to 370 dwellings,"370m2 of A1 floorspace. Local centre, open space, community ecological park, hard and soft landscaping and associated infrastructure with access from a new roundabout on Island Road.",,,,,,,22/11/2018,30/11/2018
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-095,,"""7-9 Ethelbert Road, Canterbury, CT1 3ND""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615448,156923,27700&scale=500",ETRS89,1.087275,51.270717,0.22,Unknown,Yes,Permissioned,Full Planning Permission,17/05/2018,,,9,Proposed change of use from house in multiple occupation to 10 no. flats with associated alterations and demolition.,,,,,,,,01/11/2018,30/11/2018
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-096,,"""Land adjacent to 64 Warwick Road, Canterbury, CT1 1RQ""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=616264,157588,27700&scale=500",ETRS89,1.099357,51.276379,0.09,Public Authority,Yes,Permissioned,Outline Planning Permission,12/01/2018,,,8,Proposed 8 flats together with associated parking,,,,,,,,01/11/2018,30/11/2018
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-097,,"""Two Acres, Hardes Court Road, Canterbury, CT4 6EA""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615069,149162,27700&scale=500",ETRS89,1.077194,51.201174,0.4,Unknown,Yes,Permissioned,Full Planning Permission,01/02/2018,,,4,Proposed five two-storey detached dwellings with associated garages following demolition of detached dwelling and outbuilding.,,,,,,,,01/11/2018,30/11/2018
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-099,,"""Arter Brothers, Eagle Motor Works, Old Dover Road, Barham, CT4 6EX""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=622064,149438,27700&scale=500",ETRS89,1.17733,51.200979,0.33,Unknown,Yes,Permissioned,Full Planning Permission,09/08/2018,,,10,Proposed 10 two-storey dwellings following demolition of existing commercial buildings.,,,,,,,,01/11/2018,30/11/2018
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-100,,"""Builders Yard and, 14 Ivy Lane, Canterbury""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615380,157629,27700&scale=500",ETRS89,1.086727,51.277082,0.07,Unknown,Yes,Permissioned,Full Planning Permission,03/07/2018,,,6,Proposed six two-storey dwellings following the demolition of storage/office buildings.,,,,,,,,01/11/2018,30/11/2018
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-101,,"""28-30 St Peters Street, Canterbury, CT1 2BQ""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614636,158076,27700&scale=500",ETRS89,1.076344,51.281376,0.04,Unknown,Yes,Permissioned,Planning Permission granted under an order,23/12/2016,,,22,Convert offices into 22 dwellings,,,,,,,,01/11/2018,30/11/2018
