OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Easting,Northing
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR018,,260 Knight's Hill,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.106338,51.423352,0.11,not owned by a public authority,yes,permissioned,full planning permission,05/05/2017,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OL66ZMBOKQK00,,6,"“Erection of a three storey building comprising office (B1 use class) on ground floor, 9 self-contained residential flats on first and second floors (C3 use class), the creation of a service access, associated hard and soft landscaping, cycle parking and refuse and recycling storage.”",office (B1 use class) on ground floor, ,,,,,,15/12/2017,17/12/2018,531758,171072
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR020,,2-7 Stockwell Green,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.119938,51.468723,0.09,not owned by a public authority,yes,pending decision,,,,,24,"“Demolition of the existing building and erection of a new building between two and six storeys in height, to provide a mixed-use scheme comprising of retail floorspace at ground floor and 24 residential units comprising of 10 x 1 bed, 10 x 2 beds and 4 x 3 beds across the development and associated landscaping.”","""Use Class A1 (retail), 129sqm.""",,,,,,,15/12/2017,15/12/2017,530683,176093
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR021,,"""Land to rear of Viking House, Denmark Road""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.098914,51.471208,0.08,not owned by a public authority,yes,permissioned,full planning permission,26/11/2018,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ORYE8EBOMN400,,8,Erection of a 2 storey building to provide 4 x 3 bed dwelling houses and 4 x 1 bed apartments to land at the rear of Viking House., , ,,,,,,15/12/2017,17/12/2018,532136,176407
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR022,,184 Larkhall Lane,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.132815,51.470377,0.06,not owned by a public authority,yes,permissioned,full planning permission,06/04/2018,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=makeComment&keyVal=O4G9WSBOK2J00,,14,"“Demolition of existing vacant public house and erection of a five storey (plus basement) building to provide a ground floor/basement commercial unit (Use Class A1, A2, A3 or A4) and 14 residential units above.”","""Flexible Use Class A1/A2/A3/A4 (shops/café/restaurant/public house), 336 sqm.""", ,,,,,,15/12/2017,17/12/2018,529784,176254
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR024,,2-4 Hercules Road,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.112791,51.498518,0.02,not owned by a public authority,yes,permissioned,full planning permission,22/06/2018,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ONZNCQBOH3X00,,6,Demolition of 2 existing properties (2 & 4 Hercules Road) and construction of eight storey development with two basement levels to create flexible retail use at ground and basement level and 8 residential dwellings above.,"""Use Classes A1/A3 (flexible retail/restaurant), 165 sqm.""", ,,,,,,15/12/2017,17/12/2018,531094,179419
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR025,,Central Hill Estate,https://maps.london.gov.uk/brownfield-site-register,ETRS89,0.086676,51.420577,6.86,owned by a public authority,,not permissioned,,,,,503,Redevelopment of Central Hill Estate to provide additional homes., ,,,,,,,15/12/2017,15/12/2017,533133,170799
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR026,,Cressingham Gardens,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.111573,51.446745,4.2,owned by a public authority,,not permissioned,,,,,159,Redevelopment of Cressingham Gardens Estate to provide additional homes., ,,,,,,,15/12/2017,15/12/2017,531327,173664
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR027,,Fenwick Estate,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.127103,51.464639,3.15,owned by a public authority,,not permissioned,,,,,236,Redevelopment of Fenwick Estate to provide additional homes., ,,,,,,,15/12/2017,15/12/2017,530197,175626
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR028,,Westbury Estate,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.141008,51.470381,2.81,owned by a public authority,yes,pending decision,,,,,232,"“Partial redevelopment of the Westbury Estate comprising demolition of 89 existing homes and construction of eight new blocks (Use Class C3) between 4 and 8 storeys in height to provide up to 270 residential units, together with new and improved open space and public realm, playspace, vehicular and cycle parking and ancillary works.”", ,,,,,,Lambeth Housing Zone site,15/12/2017,17/12/2018,529215,176240
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR029,,Hemans Estate,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.130305,51.478601,1.91,owned by a public authority,,not permissioned,,,,,21,Redevelopment of Hemans Estate to provide additional homes., ,,,,,,Lambeth Housing Zone site,15/12/2017,15/12/2017,529935,177173
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR030,,South Lambeth Estate,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.118092,51.477911,1.86,owned by a public authority,yes,pending decision,,,,,219,"“Construction of a new building (4 to 6 storeys) on the corner of Dorset Road and Clapham Road to provide 30 residential units (Use Class C3) with associated parking and landscape works and; improvements to the ground floor of Wimborne House including extension and conversion of the existing Caretakers room to provide a community room (Use Class D1) together with works to provide an additional entrance and refuse store. Demolition of 101 homes in Broadstone House, Sturminster House, Swanage House, Verwood House and Osmington House and the construction of new buildings arranged in five blocks (with varying heights of 3, 4 and 6 storeys and, a tower block of 16 storeys) to provide 332 new residential units (Use Class C3), up to 230sqm (Gross Internal Area) of retail floorspace (Use Class A1) and up to 325sqm (Gross Internal Area) of flexible floorspace (Use Class A1, D1, B1) and; highway works and parking layout improvements.”","“Community room (Use Class D1). Up to 230sqm (Gross Internal Area) of retail floorspace (Use Class A1) and up to 325sqm (Gross Internal Area) of flexible floorspace (Use Class A1, D1, B1)”",,,,,,Lambeth Housing Zone site,15/12/2017,17/12/2018,530785,177118
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR031,,"""Tesco, 263-275 Kennington Lane""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.114947,51.486431,1.31,not owned by a public authority,yes,pending decision,,,,,248,Demolition of existing building and redevelopment of the site to provide a mixed-use development comprising the erection of 3 new buildings ranging from 4-17 storeys to provide 571 residential units and a replacement Tesco store of 4655 sqm,Replacement Tesco store of 4655 sqm,,,,,,,15/12/2017,17/12/2018,530979,178071
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR032,,Knight's Walk Estate,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.106378,51.491608,0.93,owned by a public authority,yes,pending decision,,,,,60,"“Demolition of 18 homes (Use Class C3) and a garage block and the construction of a building to provide 84 residential flats (Use Class C3) comprising a part 4, part 5 storey northern block and a part 5, part 6, part 7 storey southern block, and a community room (Use Class D1), with associated parking, landscaping, access and ancillary works”",Community room (Use Class D1),,,,,,Lambeth Housing Zone site,15/12/2017,17/12/2018,531559,178662
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR033,,Pope's Road,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.112058,51.463606,0.47,owned by a public authority,,not permissioned,,,,,150,"""Mixed-use development with retail, commercial, community, leisure, residential and town centre car and cycle parking.""","Mixed-use development with retail, commercial, community, leisure, residential and town centre car and cycle parking.",,,,,,Part of Lambeth Local Plan allocated site (Site 15) and Lambeth Housing Zone site,15/12/2017,15/12/2017,531245,175538
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR034,,Fitch Court,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.113797,51.457393,0.34,owned by a public authority,,not permissioned,,,,,18,Redevelopment of Fitch Court to provide additional homes., ,,,,,,Lambeth Housing Zone site,15/12/2017,15/12/2017,531142,174844
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR035,,"""Gasholder Station, Kennington Oval""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.114696503,51.48551857,2.03,not owned by a public authority,yes,permissioned,full planning permission,23/08/2018,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?keyVal=P031HPBOI0700&activeTab=summary,,738,"“Demolition of existing buildings and structures and redevelopment to provide a mixed-use development comprising re-erection of restored gas-holder no.1, erection of new buildings ranging from 4-18 storeys to provide 738 residential units (Class C3), 10,160sqm of Class B1 office and Class B1 shared working space incorporating ancillary cafe and space for community use, 800sqm for waste management use, 148sqm of D1 community space, the provision of a new publically accessible open space, new pedestrian and vehicle routes, accesses and amenity areas, basement level car park with integral servicing areas, provision of new gas governor and substation, and other associated works of de-contamination.”","“10,160sqm of Class B1 office and Class B1 shared working space incorporating ancillary cafe and space for community use, 800sqm for waste management use, 148sqm of D1 community space.”", ,,,,,,17/12/2018,17/12/2018,530999,177970
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR036,,133-139 Leigham Court Road,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.118610493,51.43343238,0.15,not owned by a public authority,,not permissioned,,,,,5,Redevelopment  of the site to provide additional homes.,,,,,,,,17/12/2018,17/12/2018,530876,172171
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR037,,41-45 Acre Lane,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.121018612,51.45959515,0.11,not owned by a public authority,yes,permissioned,full planning permission,10/08/2018,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OUB92IBOKC800,,24,"“Demolition of buildings and erection of a part 2, part 4 and part 5-storey building with basement level to provide 613sqm of office space (B1 Use Class), 22 self-contained flats and 2 dwelling houses (C3 Use Class) together with provision of cycle and refuse storage, plus a  landscaped communal amenity space.”",613sqm of office space (B1 Use Class),,,,,,,17/12/2018,17/12/2018,530634,175076
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR038,,Land to the rear of Colin Court at Woodfield Avenue,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.133278723,51.43712025,0.16,not owned by a public authority,yes,pending decision,,,,,9,Demolition of existing garage at rear of the property and redevelopment to provide part three and part two storey building  accommodating 9 residential units.,,,,,,,,17/12/2018,17/12/2018,529846,172555
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR039,,Land at 396 Streatham High Road,https://maps.london.gov.uk/brownfield-site-register,ETRS89,0.130281437,51.42348445,0.04,not owned by a public authority,yes,permissioned,full planning permission,04/05/2018,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?keyVal=P0AJHRBOID800&activeTab=summary,,8,"“Erection of a 5 storey building to provide 8 residential units (3 x 1 bed, 4 x 2 bed, 1 x 3 bed), together with amenity space, landscaping, cycle storage and refuse storage.”", ,,,,,,,17/12/2018,17/12/2018,530093,171044
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR040,,31-37 Auckland Hill,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.096928565,51.42929619,0.07,not owned by a public authority,yes,pending decision,,,,,7,"“Demolition of existing buildings and the erection of a four storey replacement building comprising of 7 x residential units (Class C3), associated amenity space, landscaping, cycle parking and refuse storage.”",,,,,,,,17/12/2018,17/12/2018,532395,171750
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR041,,Garages at Walcot Square,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.109953182,51.49433603,0.12,not owned by a public authority,yes,permissioned,full planning permission,05/06/2018,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OOXAH2BOI7D00,,6,"“Redevelopment of the site involving the demolition of the existing garage buildings and adjacent boundary wall and erection of a terrace of five 2-storey plus basement mews houses (3-bedrooms) and one detached house (4-bedroom) together with associated parking, landscaping and pedestrian and vehicular accesses from Walcot Square; alterations to boundary treatments, including the erection of new boundary walls and reconstruction of part of the boundary wall to 1-7 Walcot Square.”", ,,,,,,,17/12/2018,17/12/2018,531303,178959
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR042,,341 - 343 Norwood Road,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.10558864,51.44077653,0.07,not owned by a public authority,yes,permissioned,full planning permission,03/10/2018,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?keyVal=OWIW98BOJ5E00&activeTab=summary,,6,"“Redevelopment of the car sales lot to erect a part three, part five storey building to provide 5no. self-contained flats and 1no. maisonette with associated amenity space, cycle storage and refuse storage. Change of use of the ground floor of no. 341 Norwood Road from sui generis to use class A1/A2 and change of use of no. 343 Norwood Road from sui generis to use class B1 affordable office space.”",Change of use of the ground floor of no. 341 Norwood Road from sui generis to use class A1/A2 and change of use of no. 343 Norwood Road from sui generis to use class B1 affordable office space,,,,,,,17/12/2018,17/12/2018,531754,173011
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR043,,12G Leigham Court Road,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.125262346,51.43611995,0.03,not owned by a public authority,yes,pending decision,,,,,6,"“Demolition of existing dwellinghouse and erection of new 4-storey building plus basement to provide 1 x 3-bed apartment, 2 x 2-bed apartments and 3 x 1-bed apartments, together with associated bin store and cycle storage.”",,,,,,,,17/12/2018,17/12/2018,530406,172458
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR044,,Land adjacent to 16 Beardell Street,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.081461296,51.42042872,0.02,not owned by a public authority,yes,permissioned,full planning permission,25/05/2018,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P1VRG2BOK1I00,,5,"“Erection of 3 storey building plus basement including a front lightwell to provide 5 residential units, together with provision of cycle stores, refuse/recycling storages and private gardens.”", ,,,,,,,17/12/2018,17/12/2018,533496,170792
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR045,,Land between 33 and 35 Medora Road,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.116477156,51.44997188,0.06,not owned by a public authority,yes,permissioned,full planning permission,15/11/2018,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OTLVHLBOJNM00,,5,"“Erection of a three-storey plus basement building to provide three self-contained units fronting Medora Road , and erection of part-single, part-two storey buildings to rear to provide two dwellings and associated landscaping, cycle parking, and refuse and recycling storage.”",,,,,,,,17/12/2018,17/12/2018,530977,174014
