OrganisationURI,SiteReference,SiteNameAddress,GeoY,GeoX,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/lewes,BLR18,"""138 South Coast Road, Peacehaven""",50.790248,0.007258,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,0.05,not owned by a public authority,permissioned,full planning permission,2018-12-20,http://padocs.lewes-eastbourne.gov.uk/civica/Resource/Civica/Handler.ashx/Doc/pagestream?cd=inline&pdf=true&docno=12966373 ,Yes,9,,,"""Demolition of existing single storey building and garage and construction of four storey mixed use development with two commercial units at ground floor and 9 no. self-contained flats on the upper storeys including 1 and 2 bed units and a 3-bedroom unit. Planning application reference LW/18/0630.""",2019-12-19,2019-12-19,
http://opendatacommunities.org/id/district-council/lewes,BLR13,"""81-85 South Coast Road, Peacehaven""",50.788942,0.012643,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,0.14,not owned by a public authority,permissioned,full planning permission,2019-03-14,http://padocs.lewes-eastbourne.gov.uk/civica/Resource/Civica/Handler.ashx/Doc/pagestream?cd=inline&pdf=true&docno=12945031,Yes,9,,,"""Demolition of 81-83 South Coast Road and construction of 3 storey mixed-use development with ground floor retail unit (A1) and 9 flats (C3), refurbishment of 85 South Coast Road (A1) and construction of 1st floor offices (B1a), new hard and soft landscaping throughout the site together with off-street car parking, cycle parking and refuse/recyling storage. Planning application reference LW/18/0366.""",2019-12-19,2019-12-19,
http://opendatacommunities.org/id/district-council/lewes,BLR14,"""16-28 Cripps Avenue, Peacehaven""",50.804581,0.007144,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,0.67,not owned by a public authority,pending decision,full planning permission,,,Yes,31,,,"""Erection of 31 residential dwellings, consisting of a mix of one, two and three bedroom units. Planning application LW/19/0398.""",2019-12-19,2019-12-19,
http://opendatacommunities.org/id/district-council/lewes,BLR15,"""Avondale Hotel, 4-5 Avondale Road, Seaford""",50.774218,0.104343,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,0.04,not owned by a public authority,,full planning permission,2018-09-21,http://padocs.lewes-eastbourne.gov.uk/civica/Resource/Civica/Handler.ashx/Doc/pagestream?cd=inline&pdf=true&docno=12904433 ,Yes,6,,,"""Change of use from hotel (C1) to six self contained flats. Planning application reference LW/18/0614""",2019-12-19,2019-12-19,
http://opendatacommunities.org/id/district-council/lewes,BLR16,"""1-5 South Road, Newhaven""",50.793224,0.049765,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,0.04,not owned by a public authority,permissioned,full planning permission,2019-06-03,,Yes,7,,,"""Change of use & redevelopment of former guesthouse to form 7 no. self-contained flats. Planning application LW/19/0231""",2019-12-19,2019-12-19,
http://opendatacommunities.org/id/district-council/lewes,BLR17,"""Homefield Place, Homefield Road, Seaford""",50.779351,0.106628,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,0.39,not owned by a public authority,permissioned,full planning permission,2019-11-22,https://planningpa.lewes.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Yes,22,,,"""Demolition of existing building and erection of a 55-bedroom care home (within Use Class C2), with associated works including access, parking, and landscaping. Planning application reference LW/19/0364.""",2019-12-19,2019-12-19,
http://opendatacommunities.org/id/district-council/lewes,BLR19,"""Reprodux House, Norton Road""",50.790959,0.058137,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,0.62,not owned by a public authority,pending decision,full planning permission,,https://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OE7K6KJDIXJ00,Yes,80,,,"""Mixed use development of 80 new dwellings (consisting of 1, 2 and 3 bedroom flats, a proportion of which will be affordable) and 600m2 of B1 floor space, associated vehicle parking and hard/soft landscaping""",2019-12-19,2019-12-19,
http://opendatacommunities.org/id/district-council/lewes,BLR20,"""Land between Beach Road and Transit Road""",50.789828,0.055784,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,0.41,not owned by a public authority,permissioned,full planning permission,2019-04-02,https://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OMJMD0JD00F00,Yes,39,,,"""Full planning application for the development of an 80 bedroom hotel, 25 flats, 14 houses  and B1 commercial uses (144sqm) with a multi storey car park, other associated ground level parking, landscaping and access arrangements.""",2019-12-19,2019-12-19,
http://opendatacommunities.org/id/district-council/lewes,BLR21,"""2 South Way, Newhaven (former Conservative club)""",50.793429,0.046963,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,0.04,not owned by a public authority,pending decision,full planning permission,,https://planningpa.lewes.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Yes,14,,,"""Erection of a block of flats to accommodate sixteen units""",2019-12-19,2019-12-19,
http://opendatacommunities.org/id/district-council/lewes,BLR22,"""1-10 Talland Parade, High Street, Seaford""",50.771114,0.102591,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,0.17,not owned by a public authority,permissioned,full planning permission,,https://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?keyVal=LTODNEJD03300&activeTab=summary,Yes,10,,,"""Erection of an additional floor to provide 10 No. self-contained one bedroom flats and provision of off-street car parking facilities, refuse and recycling storage areas and soft landscaping""",2019-12-19,2019-12-19,
