OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,AlternativeReference,AlternativeReference,AlternativeReference
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0016,,"""343 Rayleigh Road, Thundersley""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3940.pdf&ver=6644,WGS84,0.59505,51.569153,0.13,not owned by a public authority,,not permissioned,,,,,10,,,,10,10,,,No current planning permission. Delivery lead in time 2 years.  14/11/17. 12/09/18.,14/11/2017,12/09/2018,2007/40,S0232,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0017,,"""125-127 High Street, Canvey Island""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3941.pdf&ver=6645,WGS84,0.600961,51.522996,0.19,not owned by a public authority,yes,permissioned,full planning permission,14/07/2014,https://publicaccess.castlepoint.gov.uk/online-applications/,,14,"""Erection of part two/part three storey building containing 14no. 2 bed flats with associated parking.""",,,14,14,,https://publicaccess.castlepoint.gov.uk/online-applications/,Full planning permission granted at appeal. Works have commenced. 14/11/17. 12/09/18.,14/11/2017,12/09/2018,CPT/490/13/FUL,CTC/019,S0028
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0018,,"""4-12 Park Chase, Hadleigh, Benfleet, SS7 2BZ.""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3942.pdf&ver=6646,WGS84,0.614904,51.550297,0.27,not owned by a public authority,yes,permissioned,full planning permission,23/11/2015,https://publicaccess.castlepoint.gov.uk/online-applications/,,21,"""Erection of part 3/part 4 storey block of 25 flats with parking and refuse storage.""",,,21,21,,https://publicaccess.castlepoint.gov.uk/online-applications/,Full planning permission granted. Works have commenced. 4 existing dwellings demolished. 15/11/17. 12/09/18.,15/11/2017,12/09/2018,CPT/327/11/FUL,CPT/193/07/FUL,S0051
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0019,,"""Prout Industrial Estate, Point Road, Canvey Island.""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3944.pdf&ver=6648,WGS84,0.621824,51.519561,0.76,not owned by a public authority,,not permissioned,,,,,27,,,,27,27,,,No current planning permission. Site area reduced to area where landowners permitted site to be included. Delivery lead in time 3 years. 15/11/17. 12/09/18.,15/11/2017,12/09/2018,ELR02 Site 1,S0111,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0020,,"""Benfleet Tavern Public House, High Road, Benfleet.""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3943.pdf&ver=6647,WGS84,0.557424,51.554011,0.25,not owned by a public authority,,not permissioned,,,,,14,,,,14,14,,,No current planning permission. Site area reduced to area where landowners permitted site to be included. Delivery lead in time 2 years. 21/11/17. 12/09/18.,21/11/2017,12/09/2018,2007/15,S0173,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0021,,"""West of Venebles Close, Canvey Island""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3945.pdf&ver=6649,WGS84,0.59736,51.522592,0.26,not owned by a public authority,yes,permissioned,outline planning permission,09/03/2018,https://publicaccess.castlepoint.gov.uk/online-applications/,,24,"""Demolish all buildings and construct two blocks of 24 No. self contained flats with 2 No. retail shops at ground floor.""","""Demolish all buildings and construct two blocks of 24 No. self contained flats with 2 No. retail shops at ground floor.""",,24,24,,https://publicaccess.castlepoint.gov.uk/online-applications/,Outline permission granted. Works have not commenced. Permission expires 09/03/2021. Delivery lead in time 1.5 years. 12/09/18.,12/09/2018,12/09/2018,16/0212/OUT,CTC/005,S0118
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0022,,"""316 London Road, Benfleet""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3946.pdf&ver=6650,WGS84,0.563118,51.566099,0.22,not owned by a public authority,yes,permissioned,full planning permission,23/09/2016,https://publicaccess.castlepoint.gov.uk/online-applications/,,1,"""Construction of two storey building with children's nursery at ground floor and 1No. flat at first floor with associated parking and rear garden area for nursery (revised application).""","""Construction of two storey building with children's nursery at ground floor and 1No. flat at first floor with associated parking and rear garden area for nursery (revised application).""",,1,1,,https://publicaccess.castlepoint.gov.uk/online-applications/,Full planning permission. Works have not commenced. Permission expires 22/09/2021. Delivery lead in time 1 year. 12/09/18.,12/09/2018,12/09/2018,16/0573/FUL,S0001,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0023,,"""87-97 High Street, Benfleet""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3947.pdf&ver=6651,WGS84,0.562359,51.544224,0.13,not owned by a public authority,yes,not permissioned,,,https://publicaccess.castlepoint.gov.uk/online-applications/,,14,,,,14,14,,https://publicaccess.castlepoint.gov.uk/online-applications/,No current planning permission. Permission sought for 14 flats was withdrawn. Delivery lead in time 2 years. 12/09/18.,12/09/2018,12/09/2018,2013/4,CPT/555/13/FUL,S0014
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0025,,"""Briar Cottage, Leige Avenue, Canvey Island""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3951.pdf&ver=6655,WGS84,0.584758,51.530915,0.08,not owned by a public authority,yes,not permissioned,,,https://publicaccess.castlepoint.gov.uk/online-applications/,,11,,,,11,11,,https://publicaccess.castlepoint.gov.uk/online-applications/,Delivery lead in time 2 years. 10/10/18.,10/10/2018,10/10/2018,18/0039/FUL,CPT/606/13/FUL,S0036
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0026,,"""Tower Radio, 573-581 London Road, Hadleigh""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3948.pdf&ver=6652,WGS84,0.618916,51.550642,0.15,not owned by a public authority,yes,permissioned,full planning permission,10/05/2016,https://publicaccess.castlepoint.gov.uk/online-applications/,,14,"""Demolition of existing buildings and construction of part 2/part 4 storey block of 14 self-contained flats with car parking, refuse, cycle storage and alteration of vehicular access.""",,,14,14,,https://publicaccess.castlepoint.gov.uk/online-applications/,Full planning permission. Works have commenced. 12/09/18.,12/09/2018,12/09/2018,16/0144/FUL,2007/111,S0052
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0027,,"""82 High Street, Hadleigh""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3950.pdf&ver=6654,WGS84,0.607791,51.553311,0.04,not owned by a public authority,yes,permissioned,full planning permission,26/04/2016,https://publicaccess.castlepoint.gov.uk/online-applications/,,6,"""Raise roof and erect roof extension to rear and roof lights to front to form self-contained flat.""",,,6,6,,https://publicaccess.castlepoint.gov.uk/online-applications/,"Full planning permission. Works have commenced. Prior approval not required for change of use to propvide 5 flats, 6 flats in total being created. 12/09/18.",12/09/2018,12/09/2018,16/0107/FUL,15/0715/CPA,S0059
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0028,,"""231 London Road, Hadleigh""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3952.pdf&ver=6656,WGS84,0.609426,51.55383,0.04,not owned by a public authority,yes,permissioned,full planning permission,12/04/2016,https://publicaccess.castlepoint.gov.uk/online-applications/,,6,"""Conversion of existing first floor to form 4 No. one bedroom flats and lowering of existing main roof and construction of second floor to form 2 No. one bedroom flats. Alterations to ground floor including access/egress from flats, cycle storage, plant room and bin storage together with associated alterations to shop front and rear elevation.""",,,6,6,,https://publicaccess.castlepoint.gov.uk/online-applications/,Full planning permission granted. Works have commenced. 12/09/18.,12/09/2018,12/09/2018,16/0069/FUL,S0060,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0029,,"""Beaver Doors, 211-213 London Road, Thundersley""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3953.pdf&ver=6657,WGS84,0.556386,51.567219,0.07,not owned by a public authority,,permissioned,full planning permission,27/11/2015,https://publicaccess.castlepoint.gov.uk/online-applications/,,10,"""Demolish existing commercial building and construct three storey building with undercroft parking, comprising of 8 No. one bed flats and 2 No. two bedroom flats.""",,,10,10,,https://publicaccess.castlepoint.gov.uk/online-applications/,Full planning permission. Works have not commenced. Permission expires 26/11/2020. Delivery lead in time 1 year. 12/09/18.,12/09/2018,12/09/2018,15/0545/FUL,2010/2/MR,S0091
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0030,,"""Rear of 179-181 Church Road, Thundersley""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3954.pdf&ver=6658,WGS84,0.560915,51.572058,0.31,not owned by a public authority,yes,not permissioned,,,https://publicaccess.castlepoint.gov.uk/online-applications/,,40,,,,40,40,,https://publicaccess.castlepoint.gov.uk/online-applications/,No current planning permission. Permission previously granted for one property on small section of the site. Delivery lead in time 2 years. 12/09/18.,12/09/2018,12/09/2018,CPT/197/13/FUL,S0095,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0031,,"""Benfleet Police Station, 90-92 High Road, Benfleet""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3955.pdf&ver=6659,WGS84,0.563505,51.549123,0.13,not owned by a public authority,yes,permissioned,,05/10/2018,https://publicaccess.castlepoint.gov.uk/online-applications/,,13,"""Demolish existing buildings and erect three storey building comprising 13 No. flats.""",,,13,13,,https://publicaccess.castlepoint.gov.uk/online-applications/,Full planning permission. Delivery lead in time 1 year. 10/10/18.,12/09/2018,12/09/2018,18/0531/FUL,2012/3,S0099
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0037,,"""320 London Road, Hadleigh""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3961.pdf&ver=6665,WGS84,0.613299,51.551516,0.13,not owned by a public authority,,permissioned,full planning permission,21/09/2010,https://publicaccess.castlepoint.gov.uk/online-applications/,,20,"""Residential development comprising of 32 No two Bedroom flats""",,,20,20,,https://publicaccess.castlepoint.gov.uk/online-applications/,"Full planning permission granted. Works have commenced. Phase 1 - 12 dwellings built 2006, 20 with extant permission remain. 12/09/18.",12/09/2018,12/09/2018,CPT/24/05/FUL,S0249,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0038,,"""High Road, Tarpots Town Centre, Benfleet""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3963.pdf&ver=6667,WGS84,0.549672,51.566398,0.38,not owned by a public authority,,not permissioned,,,https://publicaccess.castlepoint.gov.uk/online-applications/,,17,,,,17,17,,https://publicaccess.castlepoint.gov.uk/online-applications/,No current planning permission. Delivery lead in time 2 years. 12/09/18.,12/09/2018,12/09/2018,2007/TC/TP,S0251,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0039,,"""286 London Road, Benfleet""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3962.pdf&ver=6666,WGS84,0.560938,51.566228,0.13,not owned by a public authority,,not permissioned,,,https://publicaccess.castlepoint.gov.uk/online-applications/,,5,,,,5,5,,https://publicaccess.castlepoint.gov.uk/online-applications/,No current planning permission. Delivery lead in time 2.5 years. 12/09/18.,12/09/2018,12/09/2018,FA05 SITE 12,S0252,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0040,,"""Maharaja Restaurant, 358 London Road, Benfleet""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3964.pdf&ver=6668,WGS84,0.565625,51.565062,0.12,not owned by a public authority,yes,not permissioned,,,https://publicaccess.castlepoint.gov.uk/online-applications/,,6,,,,6,6,,https://publicaccess.castlepoint.gov.uk/online-applications/,No current planning permission. Delivery lead in time 2 years. 12/09/18.,12/09/2018,12/09/2018,2007/67,S0253,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0041,,"""61-69 Hart Road, Thundersley""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3965.pdf&ver=6669,WGS84,0.581429,51.569106,0.11,not owned by a public authority,,not permissioned,,,https://publicaccess.castlepoint.gov.uk/online-applications/,,2,,,,2,2,,https://publicaccess.castlepoint.gov.uk/online-applications/,No current planning permission. 4 existing flats on site. Delivery lead in time 2 years. 12/09/18.,12/09/2018,12/09/2018,S0399,,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0042,,"""210 & 212 High Road, Benfleet""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3971.pdf&ver=6675,WGS84,0.561969,51.552102,0.04,not owned by a public authority,yes,not permissioned,,,https://publicaccess.castlepoint.gov.uk/online-applications/,,5,,,,5,5,,https://publicaccess.castlepoint.gov.uk/online-applications/,No current planning permission. Delivery lead in time 2 years. 12/09/18.,12/09/2018,12/09/2018,S0403,,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0043,,"""191-193 High Road, Benfleet""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3967.pdf&ver=6672,WGS84,0.56161,51.551641,0.12,not owned by a public authority,yes,pending decision,,,https://publicaccess.castlepoint.gov.uk/online-applications/,,14,"""Demolition of existing buildings and erection of three storey building containing 14No. sheltered flats, with communal rooms and recessed roof garden in the roof, new cross-over and driveway, and off-street parking at rear.""",,,14,14,,https://publicaccess.castlepoint.gov.uk/online-applications/,Full planning permission pending decision. Delivery lead in time 1 year with permission. 12/09/18.,12/09/2018,12/09/2018,18/0035/FUL,S0406,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0044,,"""30-32 Essex Way, Benfleet""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3968.pdf&ver=6671,WGS84,0.564914,51.545419,0.1,not owned by a public authority,yes,not permissioned,,,https://publicaccess.castlepoint.gov.uk/online-applications/,,14,,,,14,14,,https://publicaccess.castlepoint.gov.uk/online-applications/,No current planning permission. Delivery lead in time 2 years. 12/09/18.,12/09/2018,12/09/2018,S0423,,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0045,,"""Stafford Court Care Home, Venables Close, Canvey Island""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3968.pdf&ver=6671,WGS84,0.597211,51.52219,0.33,not owned by a public authority,yes,not permissioned,,,https://publicaccess.castlepoint.gov.uk/online-applications/,,0,,,,0,0,,https://publicaccess.castlepoint.gov.uk/online-applications/,"No current planning permission. Delivery lead in time 2 years. 28 existing flats, like for like redevelopment. 12/09/18.",12/09/2018,12/09/2018,S0426,,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0046,,"""364 London Road, Hadleigh """,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3970.pdf&ver=6674,WGS84,0.614474,51.550929,0.01,not owned by a public authority,yes,not permissioned,,,https://publicaccess.castlepoint.gov.uk/online-applications/,,9,,,,9,9,,https://publicaccess.castlepoint.gov.uk/online-applications/,No current planning permission. Delivery lead in time 2 years. 12/09/18.,12/09/2018,12/09/2018,14/0525/PREAPP,S0436,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0047,,"""54 Beech Road, Hadleigh""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3969.pdf&ver=6673,WGS84,0.609916,51.551193,0.12,not owned by a public authority,yes,pending decision,,,https://publicaccess.castlepoint.gov.uk/online-applications/,,14,"""Demolition of existing warehouse and construction of three/four storey building comprising twelve 2 bedroom apartments and two 3 bedroom apartments and gym.""",,,14,14,,https://publicaccess.castlepoint.gov.uk/online-applications/,Outline permission pending decision. Delivery lead in time 1.5 years with outline permission. 12/09/18.,12/09/2018,12/09/2018,18/0661/OUT,S0437,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0052,,"""246-250 High Road, Benfleet""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3976.pdf&ver=6680,WGS84,0.561097,51.553217,0.09,not owned by a public authority,yes,pending decision,,,https://publicaccess.castlepoint.gov.uk/online-applications/,,11,"""Demolition of existing Class A1 retail unit and erection of three storey mixed-use development comprising ground floor commercial space (Classes A1, A2 and A3) and 11No. Apartments.""",,,11,11,,https://publicaccess.castlepoint.gov.uk/online-applications/,Full planning permission pending decision. Delivery lead in time 1 year with permission. 12/09/18.,12/09/2018,12/09/2018,18/0366/FUL,S0445,
