OrganisationURI,OrganisationLabel,"SiteReference
",PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedforPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-12,,"?South East London Aquatic Centre, Europe Rd Woolwich (King Henry's Dock)?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,542828,179234,0.13,Unknown ownership,Yes,Permissioned,Full planning permission,2012-03-30,,,100,"?11/1584/F. Redevelopment of site to provide a 16 storey building (height, scale and bulk of building to remain the same from previous consultation) with new purpose built community facilities for angling club and 100 residential units above comprising 27 x 1-brm, 69 x 2-brm (with a greater number of larger 2-brm/4 person units) and 4 x 3-brm units with associated car parking, cycle parking, refuse storage and amenity space. (Departure from Unitary Development Plan).?",?Community facilities for angling club ?,,,,,,"?Started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-13,,"?Former Westcombe Park police station, 11 Combedale Rd Westcombe Park?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540200,178236,0.10,Unknown ownership,Yes,Permissioned,Full planning permission,2012-09-03,,,9,?12/1668/F. Conversion of property to form 9 x 2-brm flats with associated car parking and landscaping.?,,,,,,,"?Started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-14,,"?Warren Masterplan, Beresford St Woolwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543766,179134,14.98,Unknown ownership,Yes,Permissioned,Outline planning permission,2013-06-19,,,2032,"?13/0117/O. Mixed-use development comprising 2,032 residential units and 2,442 (GEA) m� of non-residential floor space (A1 / A2 / A3 / A4 / B1 / D1 uses), access, landscaping, publicly accessible open space, car and cycle parking provision and refuse and recycling storage areas.?","?2,442 (GEA) m� of non-residential floor space (A1 / A2 / A3 / A4 / B1 / D1 uses)'?",,,,,,"?Started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-15,,?Land adjacent to 106-116 McLeod Rd & Dahlia Rd Abbey Wood?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,546816,178594,0.11,Unknown ownership,Yes,Not Permissioned,,,,,9,"""Residential""",,,,,,,"""Permission 13/2193/O lapsed""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-16,,?139 Greenwich High Rd Greenwich?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,537852,177213,0.03,Unknown ownership,Yes,Permissioned,Full planning permission,2015-01-14,,,9,"?14/2868/F. Demolition of existing building and construction of a part 4/part 6-storey building comprising of commercial space at ground and lower ground floors and 9 apartments (1x1-bed, 8x2-bed).?",?Commercial space at ground and lower ground floors?,,,,,,"?Started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-19,,?Grove Market Place & 60 Eltham High St Eltham?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,542612,174392,0.43,Unknown ownership,Yes,Permissioned,Full planning permission,2014-05-15,,,144,"?13/2407/F. Mixed use development scheme consisting of the construction of buildings up to 8-storeys comprising 313 m� commercial unit (A1/A3), 144 residential units, 49 car parking spaces, cycle spaces and associated works.?",?313 m� commercial unit (A1/A3)?,,,,,,"?Started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-20,,"?Former Woolwich Congregational Church, Rectory Place Woolwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543123,178746,0.09,Unknown ownership,Yes,Permissioned,Full planning permission,2014-07-30,,,9,?14/1324/F. Construction of a replacement church and 3 x 3-brm 6 x 2-brm flats/maisonettes.?,?Replacement church?,,,,,,"?Started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-21,,"?Callis Yard, Bunton St Woolwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543431,179174,0.43,Unknown ownership,Yes,Permissioned,Full planning permission,2014-12-05,,,152,"?14/1355/F. Partial demolition of existing buildings and redevelopment of the site to provide 152 residential dwellings (comprising 57 x 1-brm, 80 x 2-brm, and 15 x 3-brm accommodation), together with indoor children?s play centre, ancillary gym, and associated landscaping and car parking.""","""Indoor children?s play centre & ancillary gym.?",,,,,,"?Started""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-22,,?76 Eltham Rd Eltham?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540394,174757,0.07,Unknown ownership,Yes,Permissioned,Full planning permission,2014-12-16,,,4,"?14/2778/F. Demolition of existing building and construction of a 4-storey block comprising 4 x 1-brm, 4 x 2-brm and 4 x 3-brm flats.?",,,,,,,"?Started""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-23,,?142-144 Eltham High St Eltham?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,542921,174384,0.07,Unknown ownership,Yes,Permissioned,Full planning permission,2015-02-11,,,7,"?14/3388/F. Conversion of first floor to form 7 self-contained flats (4 x 1-brm, 2 x 2-brm, 1 x 3-brm).?",,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-24,,"?Kundan Building Supplies, Angerstein Wharf, Horn Lane Greenwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540234,178506,0.08,Unknown ownership,Yes,Permissioned,Full planning permission,2015-03-12,,,8,"?14/2669/F. Redevelopment of site to create 4 live/work units (3 x 2-brm, 1 x 3-brm) and 4 flats (3 x 2-brm and 1 x 3-brm).?",,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-26,,"?Kidbrooke Village Phase 3, Kidbrooke Park Rd Kidbrooke?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540982,175501,4.73,Unknown ownership,Yes,Permissioned,Full planning permission,2015-03-27,,,1238,"?14/2607/F. Demolition of existing buildings and construction of 1,238 residential units (an increase of 255 residential units over and above the 2013 consent figure of 983 dwellings) (Use Class C3) together with 1,957 m� retail / commercial (Use Class A1), 1,305 m� of retail / commercial (Use Class A2-A5), 345 m� restaurant (Use Class A3), 5,713 m� of community (Use Class D1), a 2,696 m� supermarket (Use Class A1), a public square, publicly accessible open space and associated access, servicing, car parking, cycle parking and landscaping.""","?1,957 m� retail/commercial (Use Class A1), 1,305 m� of retail / commercial (Use Class A2-A5), 345 m� restaurant (Use Class A3), 5,713 m� of community (Use Class D1), a 2,696 m� supermarket (Use Class A1), a public square, publicly accessible open space.?",,,,,,"?Started""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-27,,"?Kidbrooke Village Phase 5, Kidbrooke Park Rd Kidbrooke?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,541092,175230,4.78,Unknown ownership,Yes,Permissioned,Full planning permission,2015-03-27,,,1144,"?14/2611/F. Demolition of existing buildings and construction of 1,144 residential units (an increase of 258 residential units over and above the 2013 consent figure of 886 dwellings), publicly accessible open space and associated access, car parking, cycle parking and landscaping.""",,,,,,,"?Started""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-28,,"?Kidbrooke Village Phase 6, Kidbrooke Park Rd Kidbrooke?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540623,175720,4.09,Unknown ownership,Yes,Permissioned,Outline planning permission,2015-03-27,,,713,"?14/2554/O. Hybrid Application: i) Detailed planning permission for the demolition and construction of 713 residential units (an increase of 78 residential units over and above the 2009 consent of 635 dwellings for this phase) (use class C3), new publicly accessible open space and associated access, servicing, parking, landscaping and works; and ii) Outline planning permission, with all matters reserved apart from access, layout and scale, for 133 extra care units (use class C3), 2,971 m. community floor space (use class D1), a 3,200 m� replacement primary school (use class D1), 250 m� retail floor space (use class A1) and associated access, servicing, parking, landscaping and works (as part of the proposals to increase the 2009 approved Kidbrooke masterplan from 4,000 dwellings to 4,763 dwellings).""","?133 extra care units (use class C3), 2,971 sq.m. community floor space (use class D1), a 3,200 sq.m. replacement primary school (use class D1), 250 sq.m. retail floor space (use class A1) ?",,,,,,"""Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-29,,"?Former Car Park & Units 12, 14, 15 and 16 Gunnery Terrace, Plumstead Rd Woolwich (Crossrail over station development).""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,544082,178978,0.84,Unknown ownership,Yes,Permissioned,Full planning permission,2015-04-01,,,394,"?13/3307/F. Construction of 394 residential units and 734 m� of non-residential floor space (use classes A1, A2, A3, A4, B1, D1 and D2) within five buildings surrounding a central landscaped podium and the east ventilation shaft and service buildings at Woolwich Crossrail station. All with associated car parking access, servicing and landscaping.?","?734 m� of non-residential floor space (use classes A1, A2, A3, A4, B1, D1 and D2)?",,,,,,"""Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-30,,?36-38 Artillery Place Woolwich?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543069,178552,0.25,Unknown ownership,Yes,Permissioned,Full planning permission,2018-03-07,,,52,"""17/2546/F. Demolition of the existing buildings and erection of two 6-storey buildings to provide 65 residential flats (25x1-bed, 20x2-bed and 20x3-bed) with associated landscaping, amenity space, cycle parking, refuse and recycling storage, and the provision of six on street disabled car parking spaces.""",,,,,,,?Construction likely to begin early 2018.?,2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-31,,"?Connaught Estate, land south of Sandy Hill Lane west of Brookhill Rd Woolwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543544,178375,3.03,Unknown ownership,Yes,Permissioned,Outline planning permission,2015-04-02,,,354,"?14/0086/O. Redevelopment of the Connaught Estate, comprising of the construction of up to 684 residential units, of which 332 are subject to detailed application (Phase 1), with associated access, parking and private and public open space (Hybrid Application).?",,,,,,,"""Started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-32,,"?Kings Arms, 1 Frances St Woolwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,542853,178502,0.05,Unknown ownership,Yes,Permissioned,Full planning permission,2015-05-02,,,11,"?11/3032/F Demolition of the existing public house and erection of a part three, part four-storey building comprising a replacement pub at basement and ground floor level with 12 flats above (4 x 1, 5 x 2 & 3 x 3 bed) and 10 parking spaces.?","""Replacement pub at basement and ground floor level""",,,,,,"""Application 17/2771/F under consideration for the site""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-33,,"?Ava Cars, 188 Court Rd Mottingham?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,542632,173191,0.05,Unknown ownership,Yes,Permissioned,Full planning permission,2015-04-02,,,14,"?13/1841/F. Construction of a 4-storey building comprising a commercial unit and two wheelchair flats at ground floor, 5 x 1-brm, 5 x 2-brm and 2 x 3-brm flats on mezzanine, first, second and third floors.?","""Commercial unit""",,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-34,,"?3rd & 4th Floors Farndale Court, 1-3 Master Gunner Place Woolwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,542216,177107,0.10,Unknown ownership,Yes,Permissioned,Full planning permission,2015-08-12,,,7,"?15/0783/F. Extension of the existing third and fourth floors to form 6 x 4-brm flats and 1 x 1-brm flat, with the additional conversion of part of an existing outbuilding into a new laundry room, office, and bicycle store.?",,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-35,,?54 Westcombe Hill Westcombe Park?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540268,178142,0.09,Unknown ownership,Yes,Not Permissioned,,,,,7,"""Residential""",,,,,,,"""Previous permission 15/0919/F included in 2017 Brownfield Register lapsed. Application 17/1393/F under consideration."" ",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-37,,?Garages adjacent to 39 Samuel St Woolwich?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,542545,178866,0.06,Unknown ownership,Yes,Permissioned,Full planning permission,2015-09-22,,,13,"?15/0138/F. Construction of a 5 storey block comprising 13 self-contained flats (7 x 1-brm, 4 x 2-brm and 2 x 3-brm).?",,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-38,,"?Lord Clyde, 1 Brookhill Rd Woolwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543618,177968,0.15,Unknown ownership,Yes,Permissioned,Full planning permission,2015-09-29,,,8,"?15/0655/F. Construction of a new building consisting of 1, 2, & 3-brm flats (Units 01, 04, 05, 08 & 09) on the land to the rear and demolition of existing Lord Clyde public house to replace with a ground floor A4 unit, and new 1, 2, & 3-brm flats above (Units 02, 03, 06 & 07).?","""Ground floor A4 unit""",,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-39,,"?Kitchener House & Ellington House, Ashmore Rd Woolwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543056,177111,0.04,Unknown ownership,Yes,Permissioned,Full planning permission,2015-10-22,,,5,"?15/2686/F. Change of use of the D1 ancillary accommodation on the ground floor to residential, to provide 3 x 2-brm and 2 x 1-brm self-contained flats.?",,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-42,,?6 Frances St Woolwich?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,542873,178525,0.02,Unknown ownership,Yes,Permissioned,Full planning permission,2015-11-10,,,6,"?15/2187/F. Re-development of 3-storey building with part 3/part 4 storey building, to provide 1 commercial unit (Class A1 use), 4 x 1-brm flats and 2 x 2-brm flats.?",?1 commercial unit (use class A1)?,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-43,,"?Equitable House, 7 General Gordon Square Woolwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543707,178855,0.14,Unknown ownership,Yes,Permissioned,Full planning permission,2015-11-30,,,9,?15/2150/F. Conversion of the upper floors into 3 x 2-brm and 6 x 3-brm self-contained units.?,,,,,,,"?Started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
