EASTING,NORTHING,SITENAME,COORDREFER,HECTARES,PLANSTATUS,PLANHISTOR,OWNERSHIP,NOTES,FIRSTADDED,LASTUPDATE,LATITUDE,LONGITUDE,ORGANISATI,ORGANISA_1,PREVIOUSLY,SITEPLANUR,DELIVERABL,PERMTYPE,PERMDATE,PROPFORPIP,MINNETDWEL,DEVDESCR,NONHOUSING,SITEINFORM,PART2,NETRANGEFR,NETRANGETO,SITEREF,HAZSUB,SHAPE_AREA,SHAPE_LEN
"371,239.87","401,044.73",Land adjacent Holy Family RC Church Astley,OSGB36,0.66,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=370939.86965409,401194.73181967,371539.86965409,400894.73181967,27700",Not owned by a public authority,A/16/83156 refers,01/04/2016,04/10/2017,53.505316,-2.435085,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0031",Yes,Full planning permission,18/09/2017, ,15,"Erect 8 four bedroomed and 7 three bedroomed dwellings""""",New Community Hall D2 472m2, , , , ,SHLAA0031,,"6,636.22",397.5334327
"359,359.22","404,795.32",Incefield House 234 Ince Green Lane Ince Wigan,OSGB36,0.08,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=359059.21749105,404945.31520239,359659.21749105,404645.31520239,27700",Not owned by a public authority,A/14/79561 refers,01/04/2016, ,53.538238,-2.614689,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0310",Yes,Full planning permission,26/01/2015, ,10,"Change of use to 8 one bedroomed and 2 two bedroomed apartments""""", , , , , ,SHLAA0310,,829.5761425,110.6439247
"357,425.17","406,411.25",Pagefield Hotel 168 Gidlow Lane Wigan,OSGB36,0.4,Pending decision,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=357125.16844537,406561.24577618,357725.16844537,406261.24577618,27700",Not owned by a public authority,A/16/82916 refers,01/04/2016,31/07/2017,53.552607,-2.64409,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0362", , , , ,31, , , , , , ,SHLAA0362,,"3,976.40",291.0203773
"359,880.73","404,564.38",Land At Wigan Enterprise Park Seaman Way Ince,OSGB36,10.79,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=359580.72908649,404714.3804502,360180.72908649,404414.3804502,27700",Not owned by a public authority,A/13/78163 refers,01/04/2016, ,53.536202,-2.606791,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0360",Yes,Outline planning permission,06/04/2016, ,325,"Erect 325 dwellings""""", , , , , ,SHLAA0360, ,"107,949.86","1,530.83"
"365,450.02","400,758.66",Former Hilton Park site Atherleigh Way Leigh,OSGB36,2.23,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=365150.02047936,400908.65766691,365750.02047936,400608.65766691,27700",Not owned by a public authority,A/15/81063 refers,01/04/2016,31/07/2017,53.502394,-2.522344,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0171",Yes,Full planning permission,23/01/2017, ,149,"""Erect 97 bedroom extra care unit, 24 apartments and 28 bungalows""", , , , , ,SHLAA0171,,"22,282.15",630.5660539
"362,231.12","402,171.37",Former Bickershaw Methodist Church  Grange Road Bickershaw,OSGB36,0.22,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=361931.12093961,402321.36987385,362531.12093961,402021.36987385,27700",Not owned by a public authority,A/15/81807 refers,01/04/2016,31/07/2017,53.514869,-2.571041,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0343",Yes,Full planning permission,13/05/2016, ,9,"Erect 9 four bedroomed dwellings""""", , , , , ,SHLAA0343,,"2,150.47",197.4835328
"364,643.00","401,983.80",North Leigh Park Nel Pan Lane Leigh,OSGB36,15.7,Pending decision,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=364342.99792403,402133.80189934,364942.99792403,401833.80189934,27700",Not owned by a public authority,A/16/82085 Reserved Matters to A/12/76665 Outline,01/04/2016, ,53.513352,-2.534649,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,SHLAA0001," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0001A", , , , ,162, , , , , , ,SHLAA0001A,,"157,005.89","3,151.52"
"357,959.26","406,984.25",Apollo Printing Services Heeley Street Wigan,OSGB36,0.08,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=357659.2623019,407134.2458605,358259.2623019,406834.2458605,27700",Not owned by a public authority,A/16/81990 refers,01/04/2016, ,53.5578,-2.636106,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0354",Yes,Full planning permission,09/05/2016, ,8,"Erect 8 three bedroomed dwellings""""", , , , , ,SHLAA0354,,822.910095,127.2490367
"352,683.36","403,368.50",Hawkins House 1 Cross Lane Billinge,OSGB36,0.09,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=352383.35748789,403518.49754861,352983.35748789,403218.49754861,27700",Not owned by a public authority,A/12/76810 refers,31/07/2017, ,53.524854,-2.715197,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0249",Yes,Full planning permission,19/11/2013, ,12,"Conversion to 12 apartments""""", , , , , ,SHLAA0249,,886.65757,120.3650909
"367,160.53","403,475.60","Collier Brook Industrial Estate, Bag Lane, Atherton",OSGB36,0.48,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=366860.53008019,403625.59527701,367460.53008019,403325.59527701,27700",Not owned by a public authority,A/11/75721 refers,31/07/2017, ,53.526925,-2.496844,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0181",Yes,Full planning permission,06/09/2011, ,15,"Conversion to12 and erection of 3 dwellings""""", , , , , ,SHLAA0181,,"4,781.33",297.9677852
"356,827.97","404,990.84",Site Of 95-101 Ormskirk Road Wigan WN5 9EA,OSGB36,0.08,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=356527.97483053,405140.8389126,357127.97483053,404840.8389126,27700",Not owned by a public authority,A/14/79167 refers,31/07/2017, ,53.539792,-2.652908,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0306",Yes,Full planning permission,21/01/2015, ,5,"Erect 5 dwellings""""", , , , , ,SHLAA0306,,792.689725,184.3970628
"359,623.13","404,921.12",1 The Grove Ince Wigan WN2 2BU,OSGB36,0.03,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=359323.12671504,405071.12244697,359923.12671504,404771.12244697,27700",Not owned by a public authority,A/15/80767 refers,31/07/2017, ,53.539389,-2.610723,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0336",Yes,Full planning permission,19/08/2015, ,6,"Change of use to 2 one bedroomed and 4 two bedroomed apartments""""", , , , , ,SHLAA0336,,329.684092,72.87375116
"353,164.17","404,545.15",Land at 3 Holgate Drive Orrell,OSGB36,0.24,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=352864.17254149,404695.14852232,353464.17254149,404395.14852232,27700",Not owned by a public authority,Call for sites,31/07/2017, ,53.535472,-2.708121,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0395", , , , ,7, , , , , , ,SHLAA0395,,"2,367.31",219.033601
"362,929.02","397,796.91",Site of The Rose Centre Hesketh Meadow Lane Lowton,OSGB36,0.82,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=362629.02327227,397946.91337487,363229.02327227,397646.91337487,27700",Not owned by a public authority,A/16/83385 refers,31/07/2017,27/11/2017,53.475601,-2.55999,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0396",Yes,Full planning permission,04/08/2017, ,36,"Erect 11 two bedroomed and 25 three bedroomed dwellings""""", , , , , ,SHLAA0396,,"8,213.87",429.061346
"358,145.45","406,229.81",1 - 2 Bridgeman Terrace Wigan WN1 1SX,OSGB36,0.02,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=357845.45052757,406379.80713773,358445.45052757,406079.80713773,27700",Not owned by a public authority,A/17/84176 refers,31/07/2017,04/10/2017,53.551034,-2.633195,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0400",Yes,Full planning permission,07/08/2017, ,8,"Change of use from A1 retail to 8 one bedroomed apartments""""", , , , , ,SHLAA0400,,174.926,60.98421655
"356,490.94","410,079.23",Standish Ambulance Station Glebe Close Standish Wigan WN6 0DD,OSGB36,0.15,Pending decision,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=356190.94371355,410229.22656145,356790.94371355,409929.22656145,27700",Not owned by a public authority,A/17/83276 refers,31/07/2017, ,53.585498,-2.657702,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0398", , , , ,9, , , , , , ,SHLAA0398,,"1,474.46",153.9103971
"364,711.59","400,291.10",The Colliers Rest  28 Firs Lane Leigh WN7 4SB,OSGB36,0.04,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=364411.59127658,400441.09806434,365011.59127658,400141.09806434,27700",Not owned by a public authority,A/17/83701 refers,31/07/2017,04/10/2017,53.498142,-2.533423,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0401",Yes,Full planning permission,06/07/2017, ,7,"Change of use from A4 to 5 one bedroomed and 2 two bedroomed apartments""""", , , , , ,SHLAA0401,,386.832532,90.23271567
"365,364.47","398,904.82",Beech Grove House  155 St Helens Road Leigh WN7 3UA,OSGB36,0.13,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=365064.46799262,399054.8246423,365664.46799262,398754.8246423,27700",Not owned by a public authority,A/17/84018 refers,31/07/2017,12/12/2017,53.485726,-2.523428,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0402",Yes ,Full planning permission,13/10/2017, ,10,"Erect 4 one bedroomed and 3 two bedroomed flats"""" ", , , , , ,SHLAA0402,,"1,300.61",225.0102479
"354,578.98","404,308.18",60 Brook Lane Orrell Wigan WN5 8JG,OSGB36,0.1,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=354278.9821099,404458.17749207,354878.9821099,404158.17749207,27700",Not owned by a public authority,A/17/84107 refers,31/07/2017,04/10/2017,53.533467,-2.686742,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0403",Yes,Full planning permission,09/08/2017, ,9,"Erect 6 two bedroomed and 3 one bedroomed apartments""""", , , , , ,SHLAA0403,,957.01,126.057152
"360,017.05","405,276.61",Pickup Street Ince,OSGB36,0.66,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=359717.05084049,405426.61324548,360317.05084049,405126.61324548,27700",Not owned by a public authority, ,31/07/2017, ,53.542614,-2.604825,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0363", , , , ,33, , , , , , ,SHLAA0363,,"6,596.24",554.5719445
"360,500.09","398,028.44",Site Of 86 To 94 High Street Golborne,OSGB36,0.13,Pending decision,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=360200.08539873,398178.43952076,360800.08539873,397878.43952076,27700",Not owned by a public authority,A/14/79339 refers,01/04/2016, ,53.477505,-2.596621,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0309", , , , ,18, , , , , , ,SHLAA0309,,"1,273.91",166.1645109
"360,247.44","405,651.92",Belle Green Industrial Estate and adjacent land Belle Green Lane Ince,OSGB36,0.74,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=359947.44459367,405801.92441531,360547.44459367,405501.92441531,27700",Not owned by a public authority, ,01/04/2016, ,53.546005,-2.601397,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0012A", , , , ,22, , , , , , ,SHLAA0012A,,"7,399.66",426.1957539
"360,734.16","403,330.54",Land Off Liverpool Road Platt Bridge Wigan,OSGB36,0.39,Pending decision,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=360434.15532889,403480.53812738,361034.15532889,403180.53812738,27700",Not owned by a public authority,A/15/81702 refers,01/04/2016, ,53.525177,-2.59376,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0355", , , , ,18, , , , , , ,SHLAA0355,,"3,888.89",335.3831312
"360,766.54","403,242.75",Remaining land at Springbank Ind Est Liverpool Road Platt Bridge Wigan,OSGB36,0.65,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=360466.53807101,403392.74680232,361066.53807101,403092.74680232,27700",Not owned by a public authority, ,01/04/2016, ,53.524391,-2.59326,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0356", , , , ,20, , , , , , ,SHLAA0356,,"6,498.48",437.4784925
"362,458.14","403,175.47",South of Hindley Wigan,OSGB36,109.02,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=361230.14042,404010.46970911,364337.14042,402326.46970911,27700",Mixed ownership, ,01/04/2016, ,53.52391,-2.567738,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0002", , , , ,2000, , , , , , ,SHLAA0002, ,"1,090,177.82","7,241.87"
"355,948.32","407,219.62",Site of 186 Wigan Lower Road Standish Lower Ground,OSGB36,0.15,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=355648.32329454,407369.61503398,356248.32329454,407069.61503398,27700",Not owned by a public authority,A/15/80335 refers,01/04/2016, ,53.55975,-2.666494,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0317",Yes,Full planning permission,23/03/2015, ,8,"Erect 8 three bedroomed dwellings""""", , , , , ,SHLAA0317,,"1,474.79",174.8093023
