OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,Siteplan,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,FirstAddedDate,LastUpdatedDate,HELAA Reference
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR124,N/A,"""Brook Road Garage, Brook Road, Redhill""",http://www.reigate-banstead.gov.uk/downloads/file/5940/rbbcblr124,OSGB36,527837.00,149998.00,0.16,Not owned by a public authority,Yes,Permissioned,Full planning,2019-07-19,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000UJ2MVLI000,48,Demolition of existing buildings and erection of a building comprising 48 flats.,N/A,N/A,N/A,N/A,2019-12-31,2019-12-31,N/A
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR125,N/A,"""The Abbot Public House, 14 Station Road, Redhill""",http://www.reigate-banstead.gov.uk/downloads/file/5941/rbbcblr125,OSGB36,528034.00,150577.00,0.30,Not owned by a public authority,Yes,Permissioned,Full planning,2019-01-24,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000ILBMVLI000,10,"Proposed conversion and extension of existing three-storey former public house and apartment building to provide four-storey building comprising ten apartments and ground floor flexible active frontage commercial unit within any or either use class A1 retail, A2 professional services, A3 restaurant/cafe, A4 pub/bar, B1 office, D1 community or D2 gym use.","Ground floor flexible active frontage commercial unit within any or either use class A1 retail, A2 professional services, A3  restaurant/cafe, A4 pub/bar, B1 office, D1 community or D2 gym use.",N/A,N/A,N/A,2019-12-31,2019-12-31,N/A
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR126,N/A,"""Great Meadows Hostel, Princes Road, Redhill""",http://www.reigate-banstead.gov.uk/downloads/file/5942/rbbcblr126,OSGB36,527968.00,148862.00,0.16,Not owned by a public authority,Yes,Permissioned,Full planning,2019-08-01,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000KUCMVLI000,6,"Development of sheltered housing, comprising 6 x 1 bed apartments, with office/concierge, 1 x independence/training room, 1 x independence/training/sleep in room with frontage parking and access to Princes Road, as supported accommodation for adults with learning difficulties.",N/A,N/A,N/A,N/A,2019-12-31,2019-12-31,N/A
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR127,N/A,"""Harps Oak House, 180 London Road North, Merstham""",http://www.reigate-banstead.gov.uk/downloads/file/5943/rbbcblr127,OSGB36,528541.00,154562.00,0.95,Not owned by a public authority,Yes,Permissioned,Full planning,2019-04-18,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0008LNMVLI000,5,"Alteration (including partial rebuilding of the north wing), repair, refurbishment and conversion of grade II listed harps oak house to create four residential dwellings, and the rebuilding, extending and conversion of the associated outbuildings to create a further two residential dwellings (C3). Provision of car parking spaces and associated landscaping works, including the removal of trees and the creation of a new vehicular and pedestrian access from harps oak lane.",N/A,N/A,N/A,N/A,2019-12-31,2019-12-31,N/A
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR128,N/A,"""Land R/O 77-83 Bell Street, Reigate""",http://www.reigate-banstead.gov.uk/downloads/file/5944/rbbcblr128,OSGB36,525485.00,149957.00,0.06,Not owned by a public authority,Yes,Permissioned,Full planning,2019-03-27,https://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OZVQL2MVK8S00,6,"Redevelopment of existing surface car park and construction of 3 no. Studio flats and 3 no. 1-bed flats with associated cycle parking, refuse store and landscaping.",N/A,N/A,N/A,N/A,2019-12-31,2019-12-31,N/A
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR129,N/A,"""2 Blanford Road, Reigate""",http://www.reigate-banstead.gov.uk/downloads/file/5945/rbbcblr129,OSGB36,526290.00,149806.00,0.19,Not owned by a public authority,Yes,Permissioned,Full planning,2019-04-12,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0012DKMVLI000,8,The construction of 9 apartments and 12 parking spaces following the demolition of the existing residential property.,N/A,N/A,N/A,N/A,2019-12-31,2019-12-31,N/A
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR130,N/A,"""Drill Service Ltd, 89 Albert Road, Horley""",http://www.reigate-banstead.gov.uk/downloads/file/5946/rbbcblr130,OSGB36,528304.00,143338.00,0.09,Not owned by a public authority,Yes,Permissioned,Outline planning permission,2019-09-17,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001FYCMVLI000,7,"Conversion of existing ground floor commercial property, alterations to existing first and second floor residential properties and single storey side extension to create 3 no. 1-bed, 3 no. 2-bed and 1 no. 3-bed flats.",N/A,N/A,N/A,N/A,2019-12-31,2019-12-31,N/A
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR131,N/A,"""Land R/O 127-139 Ruden Way, Epsom Downs""",http://www.reigate-banstead.gov.uk/downloads/file/5947/rbbcblr131,OSGB36,523010.00,159916.00,0.30,Not owned by a public authority,Yes,Permissioned,Outline planning permission,2019-11-29,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000FALMVLI000,4,Demolition of no.s 129 and 131 Ruden Way and the erection of 6 new detached dwellings with access from Ruden Way together with car parking.,N/A,N/A,N/A,N/A,2019-12-31,2019-12-31,N/A
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR132,N/A,"""Warwick House, 67 Station Road, Redhill""",http://www.reigate-banstead.gov.uk/downloads/file/5948/rbbcblr132,OSGB36,527747.00,150639.00,0.20,Not owned by a public authority,Yes,Permissioned,Prior Approval,2019-11-21,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IVG16ZMVR5005,56,Change of use to 56 residential flats.,N/A,N/A,N/A,N/A,2019-12-31,2019-12-31,N/A
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR133,N/A,"""Berkley House, Redhill""",http://www.reigate-banstead.gov.uk/downloads/file/5949/rbbcblr133,OSGB36,527903.00,150413.00,0.13,Not owned by a public authority,No,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000OLEMVLI000  ,N/A,N/A,25,N/A,N/A,The site is located in the secondary retail frontage of Redhill town centre. Development would need to retain the active retail frontage.   ,2019-12-31,2019-12-31,"N/A
(The site was previously included in the HELAA as site RW11 but was removed following the request of the landowner who has now again actively promoted the site for redevelopment). "
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR134,N/A,"""Cambridge Hotel, Horley""",http://www.reigate-banstead.gov.uk/downloads/file/5950/rbbcblr134,OSGB36,528387.00,144726.00,0.53,Mixed,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0015IHMVLI000 ,N/A,N/A,N/A,20,N/A,"The site is comprised of the main hotel a large Grade II Listed Building and a smaller building to the rear of the existing hotel which is a Grade II Listed Curtilage Building. 
The site promoter has suggested conversion of the existing building into 20 residential units. This has not been reality-checked. 
The site is located within the Green Belt and any wider redevelopment of the site (other than the conversion of the listed buildings) would need to comply with Paragraph 145(g) of the revised NPPF. 
The site is located within Flood Zones 2 and 3.  ",2019-12-31,2019-12-31,N/A
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR135,N/A,"""Collingwood Batchelor, 46-48 Victoria Road, Horley""",http://www.reigate-banstead.gov.uk/downloads/file/5951/rbbcblr135,OSGB36,528565.00,142909.00,0.17,Mixed,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000YPQMVLI000,N/A,N/A,N/A,40,N/A,"The site promoter has suggested the retention of the retail/ office/ storage uses and the development of 40 1- and 2-bed units above. The feasibility of this development has not been reality-checked as part of this application. 
The site is located within the primary frontage of Horley town centre, development would therefore need to retain retail uses and an active retail frontage.      ",2019-12-31,2019-12-31,N/A
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR136,N/A,"Former Park Hall Nursing Home, Reigate",http://www.reigate-banstead.gov.uk/downloads/file/5952/rbbcblr136,OSGB36,525368.00,151183.00,1.50,Owned by a public authority,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000XQLMVLI000 ,N/A,N/A,N/A,25,N/A,N/A,2019-12-31,2019-12-31,RH24
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR137,N/A,"""Redhill Family Centre, 134-148 Station Road, Redhill""",http://www.reigate-banstead.gov.uk/downloads/file/5953/rbbcblr137,OSGB36,527641.00,150587.00,0.14,Owned by a public authority,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000I74MVLI000 ,N/A,N/A,N/A,10,N/A,N/A,2019-12-31,2019-12-31,"N/A

(The site was included in previous SHLAA’s with the site reference RW12 but was taken out following discussion with the landowner. The landowner has since re-promoted the site for development). "
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR138,N/A,"""Wray Park, Reigate""",http://www.reigate-banstead.gov.uk/downloads/file/5954/rbbcblr138,OSGB36,525998.00,150907.00,2.90,Owned by a public authority,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=HVUKMPMVR5000,N/A,N/A,N/A,120,N/A,"A larger part of the site has been promoted for redevelopment, this includes the St David’s recreation ground. 
The wider site includes two areas of Urban Area of Open Space. ",2019-12-31,2019-12-31,RH22
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR139,N/A,"""Gasholder Site, Hooley Lane, Redhill""",http://www.reigate-banstead.gov.uk/downloads/file/5955/rbbcblr139,OSGB36,528076.00,149756.00,0.93,Mixed,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PM1JHJMV0FL00 ,N/A,N/A,N/A,25,N/A,N/A,2019-12-31,2019-12-31,RE10
