OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,31220,"Land adj 22 Marchant Road, Stowlawn",394503,297225,,0.1073044,Unknown ownership,,Under Construction,,,11/00317/EXT,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,37650,First Floor 1 - 13 Mount Pleasant Bilston WV14 7LJ,395047,296594,,0.0363,Unknown ownership,,Full Planning Permission,,,15/00166/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,35220,"64 Green Lanes, Wolverhampton, WV14 6DA",394399,297079,,0.06,Unknown ownership,,Outline Planning Permission,,,11/00716/RP,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,34680,"15-18 Queen Street, City Centre WV1 3JW",391589,298650,,0.02,Unknown ownership,,Full Planning Permission,,,10/01019/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,34700,203 Trysull Road WV3 7JP,388705,297072,,0.07,Unknown ownership,,Full Planning Permission,,,10/01050/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,33660,149 Merridale Street West Wolverhampton West Midlands WV3 0RW,390379,297906,,0.07,Unknown ownership,,Other Commitment,,,09/00759/OUT,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,34200,4-6 Broad Street,391601,298823,,0.01,Unknown ownership,,Under Construction,,,10/00072/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,34690,85 Prestwood Road West WV11 1HT,393858,301120,,0.07,Unknown ownership,,Full Planning Permission,,,10/01025/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,34730,"Plot Adjoining 40 Bilston Road, Portobello WV13 2JL",396206,297629,,0.01,Unknown ownership,,Full Planning Permission,,,10/01138/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,34740,94 Compton Road WV3 9PS,390241,298700,,0.008,Unknown ownership,,Full Planning Permission,,,10/01142/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,34720,132 Cannock Road WV10 8PW,393412,301676,,0.03,Unknown ownership,,Full Planning Permission,,,10/01133/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,35300,"The Meat Shop, 28 Victoria Street, Wolverhampton, West Midlands, WV1 3PW",391287,298443,,0.13,Unknown ownership,,Under Construction,,,11/00028/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,35100,"169 Caledonia Road, Wolverhampton, West Midlands, WV2 1JA",392288,297555,,0.11,Unknown ownership,,Other Commitment,,,11/00172/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,33870,Garage Site Rear Of 44 To 62 Cheviot Road Wolverhampton West Midlands,392738,296943,,0.21,Unknown ownership,,Other Commitment,,,10/00325/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,27370,Royal Hospital Development Area (City Centre),391960,298170,,6.25,Unknown ownership,,Outline Planning Permission,,,16/01024/OUT  17/01209/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,35190,"49 & 50 Bridge Street, Portobello, Wolverhampton, West Midlands, WV13 3EQ",395630,298175,,0.061,Unknown ownership,,Full Planning Permission,,,11/00646/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,34590,"Garage Site Adjacent 42 To 44 Elizabeth Avenue, Bradley WV14 8DY",395951,295487,,0.08,Unknown ownership,,Outline Planning Permission,,,10/00660/DWO,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,35110,"85 Northwood Park Road, Wolverhampton, West Midlands, WV10 8EX",392441,303173,,0.038,Unknown ownership,,Full Planning Permission,,,11/00182/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,33550,251 Parkfield Road Parkfield Wolverhampton West Midlands WV4 6EG,392094,296594,,0.2397,Unknown ownership,,Full Planning Permission,,,11/00738/EXT,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,35430,"26 Clarendon Street, Wolverhampton, West Midlands, WV3 9PP",390344,298730,,0.078,Unknown ownership,,Under Construction,,,10/01398/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,34360,"Garage Site adj 142 Prosser St, Heath Town",392198,300190,,0.04,Unknown ownership,,Other Commitment,,,09/01004/DWO,,,,,,,
