OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/chesterfield,,156,"""Boat Sales (Former), Sheffield Road, Unstone""",437590,376061,https://www.chesterfield.gov.uk/media/562123/156-boat-sales-former-sheffield-road-unstone.pdf,1.3,not owned by a public authority,,permissioned,outline planning permission,10/10/2017,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=O48IFAEP04100&activeTab=summary&previousCaseNumber=CHE%2F16%2F00171%2FOUT&keyVal=000DW4EPLI000,,48,48,Yes,Outline permission received. REM pending consideration.,19/12/2017,10/12/2019,
http://opendatacommunities.org/id/district-council/chesterfield,,192,"""Walton Hospital, Whitecotes Lane, Chesterfield""",437238,369505,https://www.chesterfield.gov.uk/media/562126/192-walton-hospital-whitecotes-lane-chesterfield.pdf,3.09,not owned by a public authority,,not permissioned,,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=NJNL0NEPGXY00&activeTab=summary&previousCaseNumber=CHE%2F15%2F00108%2FOUT&keyVal=00155XEPLI000,,90,90,Yes,Outline permission lapsed in 2018.,19/12/2017,10/12/2019,
http://opendatacommunities.org/id/district-council/chesterfield,,193,"""Land South Of Walton Hospital, Harehill Road, Chesterfield""",437528,369385,https://www.chesterfield.gov.uk/media/562129/193-land-south-of-walton-hospital-harehill-road-chesterfield.pdf,1.5,not owned by a public authority,,not permissioned,,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=NUPO72EP00T00&activeTab=summary&previousCaseNumber=CHE%2F15%2F00598%2FOUT&keyVal=NUQ08QEP03B00,,60,60,Yes,Outline permission lapsed in 2019.,19/12/2017,10/12/2019,
http://opendatacommunities.org/id/district-council/chesterfield,,244,"""Middle Farm, Duckmanton, Chesterfield""",444305,372069,https://www.chesterfield.gov.uk/media/562132/244-middle-farm-duckmanton.pdf,1.35,unknown ownership,,not permissioned,,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=ND6FUEEP02A00&activeTab=summary&previousCaseNumber=CHE%2F14%2F00728%2FFUL&keyVal=0015DLEPLI000,,3,3,Yes,Site had full planning permission. Lapsed in 2017.,19/12/2017,11/12/2019,
http://opendatacommunities.org/id/district-council/chesterfield,,276,"""The Conservatory Centre, Hazlehurst Lane, Stonegravels, Chesterfield""",438460,372196,https://www.chesterfield.gov.uk/media/562135/276-the-conservatory-centre-hazlehurst-lane-stonegravels-chesterfield.pdf,0.2,not owned by a public authority,,not permissioned,,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=NUPLCAEP00T00&activeTab=summary&previousCaseNumber=CHE%2F15%2F00595%2FOUT&keyVal=001996EPLI000,,9,9,Yes,Site had outline planning permission which lapsed in Feb 2019.,19/12/2017,09/12/2019,
http://opendatacommunities.org/id/district-council/chesterfield,,315,"""Pondhouse Farm, Troughbrook Road, Hollingwood, Chesterfield""",441688,374248,https://www.chesterfield.gov.uk/media/562138/315-pondhouse-farm-troughbrook-road-hollingwood-chesterfield.pdf,0.55,not owned by a public authority,,not permissioned,,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=OQPCVFEPL3U00&activeTab=summary&previousCaseNumber=CHE%2F17%2F00390%2FOUT&keyVal=000QS3EPLI000,,1,10,Yes,The brownfield element of the site is in a suitable location in respect to services and facilities and identified constraints are likely to be mitigable.,19/12/2017,19/12/2017,
http://opendatacommunities.org/id/district-council/chesterfield,,317,"""Edale Road (garage court), Mastin Moor, Chesterfield""",445122,375492,https://www.chesterfield.gov.uk/media/562141/317-edale-road-garage-court-mastin-moor.pdf,0.2,owned by a public authority,,not permissioned,,,,,1,6,Yes,The site is within a regeneration priority area and is suitable in priniciple for residential (Housing) development despite being currently distant from existing services and facilities. Identified constraints are likely to be mitigable.,19/12/2017,19/12/2017,
http://opendatacommunities.org/id/district-council/chesterfield,,336,"""Land Off Dunston Road, Chesterfield""",436714,374708,https://www.chesterfield.gov.uk/media/562144/336-land-off-dunston-road-chesterfield.pdf,4.49,not owned by a public authority,,permissioned,reserved matters approval,23/11/2017,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=NJR4RQEPGYP00&activeTab=summary&previousCaseNumber=CHE%2F15%2F00116%2FOUT&keyVal=IF6PNZEP20000,,106,106,Yes,Reserved matters permission received. Dwellings under construction.,19/12/2017,11/12/2018,
http://opendatacommunities.org/id/district-council/chesterfield,,382,"""Basil Close, Chesterfield""",438460,371462,https://www.chesterfield.gov.uk/media/562150/382-basil-close-chesterfield-s41-7sl.pdf,0.15,not owned by a public authority,,permissioned,reserved matters approval,05/02/2016,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IA5SMDEPN1001,,22,22,Yes,Reserved matters permission received.,19/12/2017,11/12/2019,
http://opendatacommunities.org/id/district-council/chesterfield,,383,"""Ryro Engineering, Shaw Street, Chesterfield""",438443,373542,https://www.chesterfield.gov.uk/media/562153/383-ryro-engineering-shaw-street-chesterfield.pdf,0.07,not owned by a public authority,,permissioned,outline planning permission,08/04/2019,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0019XEEPLI000,,8,8,Yes,Reserved matters permission lapsed. New ouline permission approved April 2019.,19/12/2017,11/12/2019,
