OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR71,"Former Birchwood Primary School, Russett Way, Swanley",0.166408,51.405334,https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,0.66,Owned by a public authority,Not Permissioned,,,,Yes,39,,,"Sport England would need to be consulted on any loss of the playing fields. Overall the previously developed part of the site is considered able to accommodate development. Therefore, site area reduced to previously developed land only.",2017-11-01,2018-12-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR15,"Sevenoaks Adult Education Centre, Bradbourne Road, Sevenoaks",0.190291,51.28299,https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,0.6,Not owned by a public authority,Not Permissioned,,,,,30,,,Any development proposal must address the loss of education facilities.,2017-11-01,2018-12-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR12,"Sevenoaks Community Centre, Otford Road, Sevenoaks",0.193393,51.290177,https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,0.89,Not owned by a public authority,Not Permissioned,,,,Yes,75,,,"Overall the site is considered able to accommodate a mixed use
development including community facilities as part of a wider
development scheme being considered by the Sevenoaks Northern
Masterplan as part of the Sevenoaks Town Neighbourhood
Development Plan.
Site of Special Scientific Interest Impact Risk Zone for 10 residential units
or more.",2017-11-01,2018-12-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR92,Keston and The Beeches,0.185011,51.402345,https://pa.sevenoaks.gov.uk/online-applications/,0.31,Not owned by a public authority,Permissioned,Full planning permission,2005-11-24,https://pa.sevenoaks.gov.uk/online-applications/,Yes,48,,,,2017-11-01,2017-12-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR76,"Stacklands Retreat House, School Lane",0.25868,51.33407,https://pa.sevenoaks.gov.uk/online-applications/,2.7,Not owned by a public authority,Permissioned,Full planning permission,2018-01-18,https://pa.sevenoaks.gov.uk/online-applications/,Yes,6,,,,2017-11-01,2019-01-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR106,"West Kent Cold Store, Rye Lane, TN14 5HD",0.172099,51.292544,https://pa.sevenoaks.gov.uk/online-applications/,7.5,Not owned by a public authority,Permissioned,Full planning permission,2010-03-11,https://pa.sevenoaks.gov.uk/online-applications/,Yes,500,,,,2017-11-01,2017-12-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR105,"Bramblefield Close and Park Drive, Hartley, DA3 7RT",0.29921,51.395643,https://pa.sevenoaks.gov.uk/online-applications/,5.5,Not owned by a public authority,Permissioned,Full planning permission,2013-11-12,https://pa.sevenoaks.gov.uk/online-applications/,Yes,71,,,,2017-11-01,2017-12-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR97,"Tri Officers Mess, 1-4 Armstrong Close, TN14 7BS",0.150873,51.315777,https://pa.sevenoaks.gov.uk/online-applications/,0.42,Not owned by a public authority,Permissioned,Full planning permission,2018-03-29,https://pa.sevenoaks.gov.uk/online-applications/,Yes,9,,,,2017-11-01,2019-01-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR80,139 London Road TN13 1BH,0.187137,51.274777,https://pa.sevenoaks.gov.uk/online-applications/,0.04,Not owned by a public authority,Permissioned,Full planning permission,2015-01-27,https://pa.sevenoaks.gov.uk/online-applications/,Yes,8,,,,2017-11-01,2017-12-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR85,"First Floor, 33 Swanley Centre (above Wilko and adjacent shops) BR8 7TL",0.17363,51.3964,https://pa.sevenoaks.gov.uk/online-applications/,0.08,Not owned by a public authority,Permissioned,Planning permission granted under an order,2014-10-09,https://pa.sevenoaks.gov.uk/online-applications/,Yes,10,,,,2017-11-01,2017-12-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR91,"Former site of the Farmers, London Road",0.182989,51.27737,https://pa.sevenoaks.gov.uk/online-applications/,0.23,Not owned by a public authority,Permissioned,Full planning permission,2014-04-29,https://pa.sevenoaks.gov.uk/online-applications/,Yes,39,,,,2017-11-01,2017-12-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR93,98-116 London Road (Salmon's) TN13 1BB,0.188514,51.274517,https://pa.sevenoaks.gov.uk/online-applications/,0.33,Not owned by a public authority,Permissioned,Full planning permission,2015-06-04,https://pa.sevenoaks.gov.uk/online-applications/,Yes,60,,,,2017-11-01,2017-12-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR86,"First Floor & Second Floor, 96 High Street",0.193373,51.270685,https://pa.sevenoaks.gov.uk/online-applications/,0.1,Not owned by a public authority,Permissioned,Planning permission granted under an order,2014-05-28,https://pa.sevenoaks.gov.uk/online-applications/,Yes,6,,,,2017-11-01,2017-12-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR104,"Fort Halstead, Crow Drive, TN14 7BU",0.14678,51.312699,https://pa.sevenoaks.gov.uk/online-applications/,40.1,Not owned by a public authority,Permissioned,Outline planning permission,2015-09-10,https://pa.sevenoaks.gov.uk/online-applications/,Yes,450,,,,2017-11-01,2017-12-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR96,"Pells Farm, Pells Lane, TN15 6AU",0.271078,51.334605,https://pa.sevenoaks.gov.uk/online-applications/,0.38,Not owned by a public authority,Permissioned,Full planning permission,2015-05-19,https://pa.sevenoaks.gov.uk/online-applications/,Yes,6,,,,2017-11-01,2017-12-01,
