OrganisationURI,SiteReference,GeoX,GeoY,Hectares,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org.id/unitary-authority/herefordshire,131206,359839.000,224173.000,0.1,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,150055,360028.000,224218.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,150234,359987.000,224049.000,0.14,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,152308,359816.000,224416.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,153001,361273.000,223983.000,0.58,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,153155,359899.000,224121.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,153797,360054.000,224100.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,161429,360548.000,223907.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,161967,359829.000,224160.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,162035,360084.000,224409.000,0.01,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,160948,350373.000,251335.000,0.01,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,150173,346008.000,241934.000,1.21,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,152524,346536.000,242463.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,161262,349262.000,248134.000,0,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
