OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/044,"Telephone Repeater Station, Rackfield BARNSTAPLE EX31 1RL",-4.059656,51.083595,https://www.northdevon.gov.uk/media/378043/bfl-bar-044-telephone-repeater-station-1-750.pdf,0.23,not owned by a public authority,,not permissioned,,,,10,20,,"""Site is allocated within the adopted Local Plan (BAR1f) for about 20 dwellings.""",2017-08-02,2017-08-02,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/049,"Golden Coast Amusements, Wilder Road ILFRACOMBE EX34 9AE",-4.124422,51.20964,https://www.northdevon.gov.uk/media/378087/bfl-ilf-049-former-golden-coast-amusements-ilfracombe-1-750.pdf,0.1,not owned by a public authority,,not permissioned,,,,23,,,"""35991 - DEMOLITION OF REDUNDANT ARCADE & ERECTION OF 23 FLATS & 2 SHOPS (AMENDED PLANS). Lapsed Planning Permission

Site is within a floodzone and existing culvert will need to be diverted.""",2017-08-02,2017-08-02,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BTA/051,"Workshops, Village Street Bishops Tawton Barnstaple EX32 0DS",-4.045392,51.050893,https://www.northdevon.gov.uk/media/378079/bfl-bta-051-workshops-village-street-bishops-tawton-1-1250.pdf,0.1,not owned by a public authority,,not permissioned,,,,5,,,"""Proposed for residential in the emerging Local Plan (BTA01)""",2017-08-02,2017-08-02,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/053,"Former Wellington Laundry, Regents Place ILFRACOMBE EX34 9AA",-4.123811,51.208796,https://www.northdevon.gov.uk/media/378088/bfl-ilf-053-former-wellington-laundry-ilfracombe-1-750.pdf,0.08,not owned by a public authority,,not permissioned,,,,3,5,,"""49797 : DEMOLITION OF WAREHOUSE & ERECTION OF 5 DWELLINGS. Refused 07/04/10""",2017-08-02,2017-08-02,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/INS/057,"Mollands Garage, Quay Lane INSTOW EX39 4JR",-4.180367,51.051977,https://www.northdevon.gov.uk/media/378091/bfl-ins-057-mollands-garage-instow-1-1250.pdf,0.18,not owned by a public authority,,not permissioned,,,,7,,,"""41172 - OUTLINE APPLICATION FOR ERECTION OF 7 DWELLINGS TOGETHER WITH IMPROVED ACCESS & VISIBILITY WORKS ON TO QUAY LANE approved 3/10/08. Lapsed permission

52220 - EXTENSION OF TIME LIMIT FOR IMPLEMENTATION OF PLANNING APPLICATION 41172 - Approved 6/6/13. Lapsed permission

52222 : EXTENSION OF TIME LIMIT FOR IMPLEMENTATION OF PLANNING PERMISSION 41173 FOR CONSERVATION AREA APPLICATION FOR DEMOLITION OF NON-LISTED BUILDINGS IN CONNECTION WITH ERECTION OF 7 DWELLINGS TOGETHER WITH IMPROVED ACCESS & VISIBILITY WORKS ON TO QUAY LANE. Approved 13/06/13. Lapsed permission""",2017-08-02,2017-08-02,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/INS/058,"Sands Residential Care Home, 4-5 Bath Terrace Instow Bideford EX39 4JJ",-4.180799,51.054191,https://www.northdevon.gov.uk/media/378092/bfl-ins-058-former-sands-residential-home-instow-1-1250.pdf,0.14,not owned by a public authority,,not permissioned,,,,6,,,"""49762 - CONVERSION OF FORMER CARE HOME TO FORM 12 APARTMENTS. Refused 22/04/16""",2017-08-02,2017-08-02,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/063,"Chambercombe Bakery (ILF1a), Chambercombe Road Ilfracombe EX34 9PH",-4.104507,51.204937,https://www.northdevon.gov.uk/media/378089/bfl-ilf-063-former-chambercombe-bakery-ilfracombe-1-1250.pdf,0.45,not owned by a public authority,,not permissioned,,,,20,25,,"""40002 	Outline Application in respect of demolition of existing buildings & erection of 16 flats & 15 houses Refused 04	/07/05

40737 	Outline Application in respect of demolition of existing buildings & erection of 16 flats & 15 houses together with surface & underground garaging, landscaping & associated works Withdrawn 03/03/06

38946 	Outline Application in respect of demolition of existing buildings & erection of 16 flats & 16 houses together with surface & underground garaging & associated works Refused 03/02/05

32555 	Outline Application in respect of demolition of existing building and erection of 19no. flats and 16no. houses including affordable housing together with surface and underground garaging, landscaping and associated works Refused 04/10/04""",2017-08-02,2017-08-02,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/066,"Montebello Hotel, Fore Street Ilfracombe EX34 9DJ",-4.119623,51.209259,https://www.northdevon.gov.uk/media/378090/bfl-ilf-066-former-montebello-hotel-ilfracombe-1-750.pdf,0.06,not owned by a public authority,,not permissioned,,,,20,25,,,2017-08-02,2017-08-02,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/067,"Old Laundry Works, Lower Raleigh Road BARNSTAPLE EX31 4HY",-4.052099,51.088665,https://www.northdevon.gov.uk/media/378075/bfl-bar-067-old-laundry-works-lower-raleigh-road-1-1250.pdf,0.5,not owned by a public authority,,not permissioned,,,,6,12,,"""52590 : Outline consent for residential development of 12 dwellings. Approved 16/07/13 (Lapsed permission)""",2017-08-02,2017-08-02,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/SMO/068,"Former Tannery Site & Land Adjoining, 77 East Street South Molton EX36 3DQ",-3.82686,51.01758,https://www.northdevon.gov.uk/media/378099/bfl-smo-068-former-tannery-site-77-east-street-south-molton-1-1250.pdf,0.51,not owned by a public authority,,not permissioned,,,,6,12,,"""Due to the current access constraints, conservation area and listing status of no. 77 East Street, it is considered that a conversion of the existing buildings is the most appropriate form of development for this site. More detailed design work will establish the overall level of development that is likely to be acceptable.""",2017-08-02,2017-08-02,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/069,"Former Lace Works, Derby Road Barnstaple EX32 7HA",-4.055134,51.084007,https://www.northdevon.gov.uk/media/378076/bfl-bar-069-former-lace-factory-derby-road-1-1250.pdf,1.01,owned by a public authority,,not permissioned,,,,50,70,,"""Site is in close proximity to Barnstaple town centre. Development opportunities could include conversion of some of the more traditional buildings, including the Grade II listed building plus an element of demolition and rebuild of the more modern industrial buildings. Avoid development within the flood zone.""",2017-08-02,2017-08-02,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/075,"Riversvale, Litchdon Street Barnstaple EX32 8LN",-4.05597,51.076141,https://www.northdevon.gov.uk/media/378077/bfl-bar-075-riversvale-litchdon-street-1-1250.pdf,0.25,not owned by a public authority,,pending decision,,,,6,11,,"""The site is within an extreme risk of flooding although a solution has been found in consultation with the EA that can deliver a viable development whilst avoiding flood risk and providing a means of escape. Current scheme (13 units) within application 63863 is considered too intensive and a development of around 10 or 11 units is likely to be more acceptable that will also have less impact on the listed building and conservation area.""",2017-10-16,2017-10-16,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/FRE/076,"Oakwell Residential Home, Lyddicleave Bickington Barnstaple EX31 2JZ",-4.094096,51.071885,https://www.northdevon.gov.uk/media/378080/bfl-fre-076-oakwell-residential-home-bickington-1-1250.pdf,0.6,not owned by a public authority,,permissioned,full planning permission,2017-11-10,,21,,yes,,2017-11-13,2017-11-10,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/077,"Upper Floors, Regent House Queen Street Barnstaple EX32 8RR",-4.055928,51.079047,https://www.northdevon.gov.uk/media/378078/bfl-bar-077-regent-house-queen-street-barnstaple-1-1250.pdf,0.16,not owned by a public authority,,permissioned,full planning permission,2017-10-13,,28,,yes,,2017-11-21,2017-10-13,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/078,"Victoria House, Victoria Road Barnstaple EX32 8NP",-4.047303,51.077067,https://www.northdevon.gov.uk/media/378117/bfl-bar-078-victoria-house-victoria-street-barnstaple-1-1250.pdf,0.11,not owned by a public authority,,permissioned,full planning permission,2017-11-30,,8,,yes,,2017-12-04,2017-12-04,
