OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR26,The Appleby Burton,-1.631746,52.798697,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.1,not owned by a public authority,,permissioned,full planning permission,2015-01-14,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,9,9,yes,Site included in the Housing Permissions  - Under Construction but no residential completions on site yet. Demolition of part of existing public house to facilitate the conversion to form 6 self contained flats and erection of a detached building to form 3 self contained flats to rear,2017-09-29,2018-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR27,126 New Street Burton,-1.634981,52.801961,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.14,not owned by a public authority,,permissioned,full planning permission,2016-08-01,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,7,7,yes,"Site included in the Housing Permissions  - Not yet commenced. Conversion of the first, second and third floors to form seven self contained apartments",2017-09-29,2017-09-29,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR29,Rear of 143 Horninglow Street,-1.631055,52.808494,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.38,not owned by a public authority,,permissioned,full planning permission,2016-12-08,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,32,32,yes,Site included in the Housing Permissions  - Under Construction but no residential completions on site yet. Conversion and alterations to the Plough Maltings to form 32 apartments,2017-09-29,2018-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR30,Rear of 38-54 Bridge Street,-1.862094,52.897981,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.2,not owned by a public authority,,permissioned,full planning permission,2013-09-06,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,14,14,yes,"Site included in the Housing Permissions  - Under Construction but no residential completions on site yet. Erection of 2 detached buildings to form 14 one-bedroomed apartments, including the formation of two new access and details of landscaping",2017-09-29,2018-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR31,Wellington Inn,-1.865384,52.901482,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.15,not owned by a public authority,,not permissioned,,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,5,5,,Site included in the Housing Permissions previously but has since expired due to non commencement. Erection of four detached bungalows and one detached dwelling,2017-09-29,2018-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR32,Uttoxeter Household Waste Site,-1.86423,52.904465,http://www.eaststaffsbc.gov.uk/planning/planning-policy,1.45,not owned by a public authority,,not permissioned,,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,49,49,yes,Site included in the Housing Permissions previously but has since expired due to non commencement. Erection of 49 dwellings,2017-09-29,2019-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR33,Tutbury Mill Mews,-1.684646,52.858764,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.01,not owned by a public authority,,permissioned,full planning permission,2014-07-07,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,5,5,yes,Site included in the Housing Permissions  - Under Construction but no residential completions on site yet. Conversion of existing first floor retail space and existing second/third floor apartment to form five self contained apartments,2017-09-29,2018-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR34,Howards Transport,-1.665783,52.789143,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2.56,not owned by a public authority,,permissioned,outline planning permission,2016-11-29,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,86,86,yes,Site included in the Housing Permissions  - Not yet commenced (Reserved Mattes application for 84 units received 07/08/2018 - awaiting determination). Outline application for residential purposes (up to 86 dwellings),2017-09-29,2018-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR35,Proposed Residential Development Phase 1 Rose Cottage Gardens,-1.637192,52.796475,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.09,not owned by a public authority,,not permissioned,,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,5,5,,Site included in the Housing Permissions previously but has since expired due to non commencement. Demolition of existing garages to facilitate the erection of 5 dwellings,2017-09-29,2018-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR37,Land adjacent to Eastfield Uttoxeter,-1.861792,52.89941,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.17,not owned by a public authority,,not permissioned,,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,25,25,,Site included in the Housing Permissions previously but has since expired due to non commencement. Erection of a detached building to form 24 sheltered accommodation apartments for the elderly with 1 apartment for warden accommodation,2017-09-29,2018-09-30,
