Organisation URI,Organisation Label,Site Reference,Previously Part Of,Site Name ,Site Address ,Site Plan URL,Coordinate Reference System,Geo X,Geo Y,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed For PIP,Min Net Dwellings,Development Description,Non Housing Development,Part 2,Net Dwellings Range From,Net Dwellings Range To,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR173-16,,Eastry Hospital,"Eastry Hospital, Mill Lane, Eastry",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR173-16.pdf,OSGB36,630800,154560,3.29,Not in public ownership,Yes ,Pending decision,,25/04/2014,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_223626,,80,"Redevelopment of site to provide a total of 100 residential units comprising: two storey terrace, semi-detached and detached new build dwellings; Change of use and conversion of Tewkesbury House and the Chapel to provide 568 sq m of community space (Use Class D1) and employment space (Use Class B1) two residential units; minor demolition, alteration and conversion of the 'Old Workhouse' to provide ten residential units; retention and reinstatement of the fire damaged Range building and erection of a two-storey terrace of ten residential units' ; car parking, landscaping, public open space and alteration to existing access (Amended plans and documents)",,,80,80,,,,20/06/2016,20/06/2016
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR174-16,,"The Old Chalk Pit, Heronden Road, Eastry","The Old Chalk Pit, Heronden Road, Eastry",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR174-16.pdf,OSGB36,630129,154417,0.68,Not in public ownership,Yes ,Not Permissioned,,,,,20,Allocated in the Land Allocations Local Plan (LA30) on the 28/01/2015,,,20,20,,,,20/06/2016,20/06/2016
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR181-16,,"Prima Windows, Easole Street, Nonington","Prima Windows, Easole Street, Nonington",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR181-16.pdf,OSGB36,626333,152171,1.14,Not in public ownership,Yes ,Not Permissioned,,,,,35,Allocated in the Land Allocations Local Plan (LA41) on the 28/01/2015,,,35,35,,,,20/06/2016,20/06/2016
http://opendatacommunities.org/doc/district-council/dover,Dover District Council ,BR219 -16 ,,Connaught Barracks ,"Connaught Barracks, Dover Road, Guston, CT16 1HL ",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR219-16.pdf,OSGB36,632341,142390,10.12,Public ownership,Yes ,Not Permissioned,,,,,436,Allocated in Core Strategy (CP10) on the 24/02/2010,,,,436,,,Not Started ,20/06/2016,20/06/2016
http://opendatacommunities.org/doc/district-council/dover,Dover District Council ,BR225-17,,"Former Connaught Barracks, Dover (Officers' Mess)","Former Connaught Barracks, Dover Road, Guston, CT16 1HL",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR225-17.pdf,OSGB36,632178,142467,2.38,Not in public ownership,Yes ,Permissioned,Outline planning permission,01/07/2016,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_226317,,64,"Outline application with all matters reserved for the erection of up to 64 dwellings, associated access, parking, road/footway/cycleway provision, open space, landscaping, surface water attenuation, and ancillary works (existing buildings and structures to be demolished) ",,,64,64,,,Not Started - forms part of a wider allocated site (CP10) in the Core Strategy (2010),07/12/2017,07/12/2017
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR220-16,,Buckland Paper Mill,"Buckland Paper Mill, Crabble Hill, Dover",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR220-16.pdf,OSGB36,630457,142856,4,Public ownership,Yes ,Not Permissioned,,,,,265,Allocated in the Land Allocations Local Plan (LA9) on the 28/01/2015,,,265,265,,,Approx third of the site has the benefit of full planning permission (BR62-16). The remainder of the site is an allocated site.,20/06/2016,20/06/2016
http://opendatacommunities.org/doc/district-council/dover,Dover District Council ,BR227-17,,Land at Salvatori ,"Land at Salvatori, North and South of Grove Road, Preston, CT3 1EF",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR227-17.pdf,OSGB36,625037,161433,5.07,Not in public ownership,Yes ,Permissioned ,Reserved Matters,29/05/2015,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_226312,,70,"Reserved matters application for the erection of 70 residential dwellings and related infrastructure on Site B (details pursuant to outline permission DOV/14/00842 - for the erection of 73 residential dwellings and related infrastructure, together with the creation of meadow-land (existing buildings to be demolished)",,,70,70,,,Under Construction ,18/12/2017,18/12/2017
http://opendatacommunities.org/doc/district-council/dover,Dover District Council ,BR229-17,,Southern Water Pumping Station,"Southern Water Pumping Station, St Richards Road, Deal ",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR229-17.pdf,OSGB36,636420,150877,0.33,Not in public ownership,Yes ,Permissioned ,Full planning permission ,17/01/2017,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_218321,,14,"Erection of 11 dwellings, a detached building incorporating 3 self contained flats, construction of vehicular access and associated parking",,,14,14,,,Not Started ,18/12/2017,18/12/2017
http://opendatacommunities.org/doc/district-council/dover,Dover District Council ,BR233-17,,Ambulance Depot ,"Ambulance Depot, Winchelsea Road, Dover, CT17 9TT ",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR233-17.pdf,OSGB36,631024,141329,0.2,Not in public ownership,Yes ,Permissioned ,Outline planning permission,28/06/2016,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_219062,,9,"Outline application for the erection of an Ambulance Community Response Post (ACRP), 9 dwellings and associated access, parking and refuse storage (existing buildings to be demolished)",,,9,9,,,Not Started ,18/12/2017,18/12/2017
http://opendatacommunities.org/doc/district-council/dover,Dover District Council ,BR238-17,,1 Malvern Road,"1 Malvern Road, Dover ",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR238-17.pdf,OSGB36,631271,141311,0.12,Not in public ownership,Yes ,Permissioned ,Full planning permission ,23/09/2016,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_227838,,7,Erection of a terrace of 7no. dwellings,,,7,7,,,Not Started ,18/12/2017,18/12/2017
http://opendatacommunities.org/doc/district-council/dover,Dover District Council ,BR240-17,,Rear of 162 Folkestone Road,"Site rear of 162 Folkestone Road, Vale View Road, Dover, CT17 9NP",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR240-17.pdf,OSGB36,630695,141249,0.1,Not in public ownership,Yes ,Permissioned ,Full planning permission ,02/12/2016,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_228028,,6,"Change of use of land to facilitate the erection of a residential care home comprising 6 flats, associated parking and turning area",,,6,6,,,Not Started,18/12/2017,18/12/2017
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR249-18,,Land off Ark Lane,"Land off Ark Lane, Deal",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,OSGB36,637572,153338,0.35,Not in public ownership,Yes ,Permissioned,Full planning permission ,09/01/2018,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_229229,,41,"Erection of a three storey building incorp 41 1 & 2 bed sheltered apartments including residents communal areas, refuse and plant with associated access, parking and landscaping ",,,41,41,,,Not Started,30/11/2018,30/11/2018
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR250-18,,"Land at 191 and Forge Bungalow, London Road","Land at 191 and Forge Bungalow, London Road, Temple Ewell",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,OSGB36,628584,144412,0.19,Not in public ownership,Yes ,Permissioned,Full planning permission ,27/05/2016,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_226021,,10,Erection of ten semi-detached dwellings and creation of vehicular access and parking spaces (existing bungalow and garage to be demolished) (amended plans),,,10,10,,,Under Construction,30/11/2018,30/11/2018
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR251-18,,"Land adjoining Mill Field, New Street","Land adjoining Mill Field, New Street, Ash, CT3 2BD",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,OSGB36,629382,158121,0.36,Not in public ownership,Yes ,Permissioned,Full planning permission ,21/09/2016,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_228099,,10,"Erection of ten dwellings and associated garages, parking and vehicular access",,,10,10,,,Not Started,30/11/2018,30/11/2018
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR252-18,,"65 Folkestone Road, Dover","65 Folkestone Road, Dover, CT17 9RZ",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,OSGB36,631448,141407,0.06,Not in public ownership,Yes ,Permissioned,Outline planning permission,11/10/2016,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_226508,,10,Outline application for the erection of 10 flats with under-croft parking (with all matters reserved),,,10,10,,,Not Started,30/11/2018,30/11/2018
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR253-18,,"Land south of New Dover Road, Capel-le-Ferne","Land south of New Dover Road, Capel-le-Ferne",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,OSGB36,625461,138601,3,Not in public ownership,Yes ,Permissioned,Full planning permission ,07/12/2016,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_226790,,40,"Erection of 40 dwellings, creation of access, associated parking, landscaping and open space",,,10,10,,,Under construction,30/11/2018,30/11/2018
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR254-18,,"Land on the West side of Albert Road, Deal","Land on the West side of Albert Road, Deal, CT14 9RB",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,OSGB36,637080,152928,4.7,Not in public ownership,Yes ,Permissioned,Outline planning permission,27/02/2017,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_228193,,142,"Outline application for a mixed-use development incorporating 142 residential units, 960sqm B1 Office, 370sqm of A1, 280sqm of D1, and a link road between Albert Road and Southwall Road (some matters reserved)",,,142,142,,,Not started,30/11/2018,30/11/2018
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR255-18,,"Protea House, Waterloo Crescent, Dover","Protea House, Waterloo Crescent, Dover, CT17 9BW",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,OSGB36,632054,141138,0.06,Not in public ownership,Yes ,Permissioned,Full planning permission ,17/03/2017,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_230595,,9,Change of use and conversion to nine self-contained flats,,,9,9,,,Not Started,30/11/2018,30/11/2018
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR256-18,,"Bellrose Hotel 18-19, East Cliff, Dover ","Bellrose Hotel 18-19, East Cliff, Dover ",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,OSGB36,632789,141575,0.0511,Not in public ownership,Yes ,Permissioned,Full planning permission ,06/04/2017,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_231341,,9,Conversion of a hotel into 9 self-contained flats with assoc internal and external alterations,,,9,9,,,Not Started,30/11/2018,30/11/2018
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR257-18,,"Ryder House, 115-116 London Road, Dover ","Ryder House, 115-116 London Road, Dover ",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,OSGB36,630863,142519,0.132,Not in public ownership,Yes ,Permissioned,Listed Building,17/11/2017,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_232797,,8,"Works to facilitiate conversion into 9 supported living units to include removal of staircase & installation of lift, creation of new openings, removal of existing partitions & erection of new ",,,8,8,,,Not Started,30/11/2018,30/11/2018
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR258-18,,"Anchor Works, West Street, Deal ","Anchor Works, West Street, Deal ",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,OSGB36,637513,152705,0.0605,Not in public ownership,Yes ,Permissioned,Full planning permission ,03/11/2017,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_232632,,12,Erection of 12 1 & 2 bedroom flats ,,,12,12,,,Not Started,30/11/2018,30/11/2018
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR259-18,,"Three Tuns, The Street, Staple ","Three Tuns, The Street, Staple ",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,OSGB36,626904,156643,0.4822,Not in public ownership,Yes ,Permissioned,Full planning permission ,27/04/2017,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_229113,,8,"Erection of 7 dwellings, COU & conversion of the existing p/h into a single residential dwelling creation of vehicular access, parking area & associated works",,,8,8,,,Not Started,30/11/2018,30/11/2018
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR260-18,,"Railway Hotel, 85 Station Road, Walmer ","Railway Hotel, 85 Station Road, Walmer ",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,OSGB36,636367,150218,0.12,Not in public ownership,Yes ,Permissioned,Full planning permission ,14/08/2017,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_231974,,7,"Erection of 7 dwellings, creation of access and parking ",,,7,7,,,Under Construction,30/11/2018,30/11/2018
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR261-18,,"3 Market Square, Dover","3 Market Square, Dover, CT16 1LZ",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,OSGB36,631942,141457,0.016,Not in public ownership,Yes ,Permissioned,Prior Approval,06/06/2017,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_231647,,8,Prior notification for the COU from office to 8 self-contained flats  ,,,8,8,,,Not Started,30/11/2018,30/11/2018
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR262-18,,"Snelgrove House, Harold Street, Dover ","Snelgrove House, Harold Street, Dover ",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,OSGB36,631950,141943,0.31,Not in public ownership,Yes ,Permissioned,Full planning permission ,07/07/2017,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_228383,,16,Erection of 2 buildings inc 10 self-contained flats & erection of 3 pairs of semi-detached dwellings with assoc parking & landscaping ,,,16,16,,,Not Started,30/11/2018,30/11/2018
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR263-18,,"Dublin Man of War PH, Lower Road, River ","Dublin Man of War PH, Lower Road, River ",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,OSGB36,629135,143596,0.3,Not in public ownership,Yes ,Permissioned,Full planning permission ,22/03/2018,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_233216,,8,"COU, conversion & extension to create 3 terraced dwellings, erection of 3 detached & a pair of semi-detached dwellings, formation of vehicle crossovers, excavation works and landscaping",,,8,8,,,Not Started,30/11/2018,30/11/2018
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR264-18,,"Land at North Barrack Site, (East Section) Trafalgar Drive ","Land at North Barrack Site, (East Section) Trafalgar Drive ",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,OSGB36,637540,151660,0.68,Not in public ownership,Yes ,Permissioned,Full planning permission ,12/02/2018,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_228238,,30,"Erection of 30 dwellings comprising of 3 detached, 8 pairs of semi-detached & 2 blocks of 4 terraced & 1 block of 3 terraced, together with parking and landscaping ",,,30,30,,,Under Construction,30/11/2018,30/11/2018
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR265-18,,"The Qube, St Radigunds Road, Dover ","The Qube, St Radigunds Road, Dover ",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,OSGB36,630666,142519,0.38,Not in public ownership,Yes ,Permissioned,Full planning permission ,05/01/2018,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_232558,,27,Conversion to 27 self contained apartments with associated parking & landscaping,,,27,27,,,Not Started,30/11/2018,30/11/2018
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR266-18,,"50 & 51 Biggin Street, Dover ","50 & 51 Biggin Street, Dover ",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,OSGB36,631822,141565,0.0212,Not in public ownership,Yes ,Permissioned,Full planning permission ,02/02/2018,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_233171,,7,"COU & conversion of first, second, third floor to seven self-contained flats & installation of a replacement shopfront ",,,7,7,,,Under Construction,30/11/2018,30/11/2018
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR267-18,,"2-9 Cambridge Terrace, Dover ","2-9 Cambridge Terrace, Dover ",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,OSGB36,632019,141230,0.10985,Not in public ownership,Yes ,Permissioned,Full planning permission ,13/03/2018,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_232916,,25,COU and conversion from offices to 25 residential dwellings ,,,25,25,,,Not Started,30/11/2018,30/11/2018
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR268-18,,"Delfbridge, 10 Dover Road, Sandwich ","Delfbridge, 10 Dover Road, Sandwich ",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,OSGB36,633177,157581,0.4838,Not in public ownership,Yes ,Permissioned,Full planning permission ,09/05/2017,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_227685,,8,Erection of 2 two storey linked buildings incorporating 8 flats with associated parking,,,8,8,,,Not Started,30/11/2018,30/11/2018
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR269-18,,"1 & 2 Alphege Road, Dover ","1 & 2 Alphege Road, Dover ",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,OSGB36,631439,142331,0.65,Not in public ownership,Yes ,Permissioned,Full planning permission ,12/05/2017,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_231355,,8,COU and conversion to independent and assisted living accommodation (SG) and alterations to existing access and driveway ,,,8,8,,,Not Started,30/11/2018,30/11/2018
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR270-18,,"Plough Filling Station, Folkestone Road, Dover ","Plough Filling Station, Folkestone Road, Dover ",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,OSGB36,628345,139746,0.27,Not in public ownership,Yes ,Permissioned,Full planning permission ,12/05/2017,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_230974,,9,Erection of 3 buildings incorporating 9 flats & creation of vehicular access & parking (existing building to be demolished),,,9,9,,,Not Started,30/11/2018,30/11/2018
