OrganisationURI,Organisation Label,Site Reference,Previously Part Of,Site Name Address,Site plan URL,Coordinate Reference System,GeoX,GeoY,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed For PIP,Min Net Dwellings,Development Description,Non Housing Development,Part2,Net Dwellings Range From,Net Dwellings Range To,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date,Location
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR32,,"Tyre Depot, South of Cassington Road, Yarnton",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,447951,211899,0.9,Not owned by a public authority,yes,Pending Decision,,,https://www.publicaccess.cherwell.gov.uk/online-applications/,,16,13/00330/OUT - Erection of 16 dwellings and new access road was approved subject to legal agreement.,,,,,,,2018 HELAA site - HELAA268.,2017-12-04,2017-12-04,Yarnton
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR33,,"Gosford Hill Court, Bicester Road, Kidlington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,449912,213415,0.26,Not owned by a public authority,yes,Permissioned,full planning permission,2017-12-28,https://www.publicaccess.cherwell.gov.uk/online-applications/,,2,17/02208/F - Roof extension to existing block of flats to create additional two number two bedroom flats.,,,,,,,,2018-12-03,2018-12-03,Gosford and Water Eaton
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR34,,"Akeman Spinney, Heyford Road, Kirtlington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,450062,220359,0.56,Not owned by a public authority,yes,Permissioned,full planning permission,2017-12-19,https://www.publicaccess.cherwell.gov.uk/online-applications/,,4,"17/02158/F - Demolition of existing dwellin, erection of 5 No dwellings.",,,,,,,,2018-12-03,2018-12-03,Kirtlington
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR35,,"153 And 155 Middleton Road, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,446491,241052,0.051,Not owned by a public authority,yes,Permissioned,full planning permission,2017-04-21,https://www.publicaccess.cherwell.gov.uk/online-applications/,,8,"17/00378/F - Alteration, conversion and rear extension to form 8 flats.",,,,,,,,2018-12-03,2018-12-03,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR36,,"Garage Blocks Rear Of Mold Crescent Penrose Drive, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,446491,241052,0.17,Not owned by a public authority,yes,Permissioned,full planning permission,2017-05-30,https://www.publicaccess.cherwell.gov.uk/online-applications/,,6,17/00756/F - Erection of 6 No. dwellings and associated car parking on site of former garage block.,,,,,,,,2018-12-03,2018-12-03,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR37,,"Garage Block Opposite 5 Penrhyn Close, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,443386,241156,0.09,Not owned by a public authority,yes,Permissioned,full planning permission,2017-12-01,https://www.publicaccess.cherwell.gov.uk/online-applications/,,9,17/01693/F - Erection of a building to provide 9 No. age-restricted retirement living apartments on a former garage site.,,,,,,,,2018-12-03,2018-12-03,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR38,,"Garage Block 1 Rear Of 214 To 226 Bretch Hill, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,443685,240420,0.17,Not owned by a public authority,yes,Permissioned,full planning permission,2018-02-14,https://www.publicaccess.cherwell.gov.uk/online-applications/,,5,17/02270/F - Demolition of garage block and erection of 5 No. new dwellings and associated parking.,,,,,,,,2018-12-03,2018-12-03,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR39,,"Inside Out Interiors Ltd, 85 - 87 Churchill Road, Bicester",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,459330,223175,0.19,Not owned by a public authority,yes,Permissioned,outline planning permission,2017-05-19,https://www.publicaccess.cherwell.gov.uk/online-applications/,,10,"16/02461/OUT - Conversion of existing building to provide 5No two bed house, 1No two bed flat and 1No one bed flat. New build to provide 1No commercial unit with outside space, parking and cycle storage + 3No two bed flats",1 commercial unit,,,,,,,2018-12-03,2018-12-03,Bicester
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR40,,"Land Adjacent 83 And 85 Part Of Car Park Sheep Street, Bicester",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,458352,222705,0.1,Not owned by a public authority,yes,Permissioned,full planning permission,2018-02-19,https://www.publicaccess.cherwell.gov.uk/online-applications/,,9,17/02585/F - Retail units and 9 residential apartments.,Retail units,,,,,,,2018-12-03,2018-12-03,Bicester
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR41,,"78 Bicester Road, Kidlington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,450060,213423,0.09,Not owned by a public authority,,Permissioned,full planning permission,2017-07-05,https://www.publicaccess.cherwell.gov.uk/online-applications/,,6,17/01067/F - Demolition of existing bungalow and erection of building to form six apartments with parking.,,,,,,,,2018-12-03,2018-12-03,Kidlington
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR42,,"Gurkha Village, 174 Oxford Road, Kidlington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,449587,213246,0.23,Not owned by a public authority,,Permissioned,full planning permission,2017-04-18,https://www.publicaccess.cherwell.gov.uk/online-applications/,,5,17/00419/F - Erection of 2 storey building to provide 5 No flats.,,,,,,,,2018-12-03,2018-12-03,Kidlington
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR43,,"44 Banbury Road, Kidlington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,448834,214291,0.07,Not owned by a public authority,,Permissioned,full planning permission,2017-08-29,https://www.publicaccess.cherwell.gov.uk/online-applications/,,5,17/01430/F - Demolition of existing bungalow and erection of a 3 storey building with the upper storey in the roofspace to provide 4 x 2 bedroom flats and 2 x 1 bedroom flats.,,,,,,,,2018-12-03,2018-12-03,Kidlington
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR8,,"Ambulance Station, Cope Road, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445168,240971,0.15,Owned by a public authority,yes,Permissioned,full planning permission,2015-03-20,https://www.publicaccess.cherwell.gov.uk/online-applications/,,0,14/02149/CDC - Redevelopment to provide 6 dwellings of shared accommodation including 2 self-contained units for staff.,,,,,,,The site was completed in December 2017 (2017/18).,2017-12-04,2018-12-03,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR13,,"Mercia House, 51 South Bar Street, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445276,240337,0.14,Not owned by a public authority,yes,Permissioned,full planning permission,2017-02-17,https://www.publicaccess.cherwell.gov.uk/online-applications/,,0,"16/02363/F - Conversion of existing office building to form 10 No residential apartments; new aluminium windowsto rear building; painting existing East facade off white; internal modifications and some minor alterations to
existing windows on South and West elevations; bin storage and cycle storage areas.",,,,,,,The site was completed in December 2017 (2017/18).,2017-12-04,2018-12-03,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR14,,"Morrison Property Consultants, 24 Horse Fair, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445370,240512,0.1,Not owned by a public authority,yes,Permissioned,full planning permission,2017-03-31,https://www.publicaccess.cherwell.gov.uk/online-applications/,,0,17/00225/F - Change of Use from Single Residential Use to 8 No. Residential Apartments and Associated Internal Alterations and Refurbishment,,,,,,,The site was completed in September 2017 (2017/18).,2017-12-04,2018-12-03,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR19,,"Bessemer Close/Launton Road, Bicester",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,459145,222696,1.18,Not owned by a public authority,yes,Permissioned,Reserved Matters,2017-08-25,https://www.publicaccess.cherwell.gov.uk/online-applications/,,0,"17/01253/REM - Reserved Matters for demolition of existing industrial buildings and erection of 21 affordable dwellings and 49 open market dwellings, with associated new access, open space and landscaping.",,,,,,,Development has commenced on site.,2017-12-04,2018-12-03,Bicester
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR24,,"B Line Business Centre, Station Road, Enslow",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,448324,218178,0.61,Not owned by a public authority,yes,Permissioned,full planning permission,2016-11-21,https://www.publicaccess.cherwell.gov.uk/online-applications/,,0,"15/00822/F - Erection of office building and 14 no. dwellings together with associated car parking, cycle parking, garages, public amenity spaces and new footway link.",B1a office (170 sqm),,,,,,Development has commenced on site.,2017-12-04,2018-12-03,Bletchingdon
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR29,,"Co Op, 26 High Street, Kidlington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,449146,214027,0.55,Not owned by a public authority,,Permissioned,full planning permission,2018-01-03,https://www.publicaccess.cherwell.gov.uk/online-applications/,,0,"15/01872/F - Erection of new buildings off Sterling Road Approach to contain 46 x 2 bedroom flats, conversion of offices above existing retail store to form 8 x 2 bedroom flats, and alterations to existing retail store.",,,,,,,Development has commenced on site.,2017-12-04,2018-12-03,Kidlington
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR30,,"South Building, 16 Lyne Road, Kidlington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,448825,214072,0.06,Not owned by a public authority,yes,Permissioned,full planning permission,2016-11-28,https://www.publicaccess.cherwell.gov.uk/online-applications/,,0,16/02005/O56 - Change of use of office building to 5 x 1 bedroom flats.,,,,,,,The site was completed in September 2017 (2017/18).,2017-12-04,2018-12-03,Kidlington
