OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
E06000041,Wokingham Borough Council,BR200,"7-9 Wiltshire Road, RG40 1TP",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,481518,168990,0.3828854,not owned by a public authority,Yes,permissioned,full planning permission,2015-12-24,152192,,33,"Demolition of existing buildings and erection of a block of 33 sheltered apartments for the elderly; construction of basement parking and surface parking spaces; associated integral refuse bin store, electric pavement car store and cycle store; modification of existing access.",No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR201,"Carnival Pool, Wellington Rd, Wokingham",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,480889,168280,2.1620235,not owned by a public authority,Yes,permissioned,full planning permission,2018-02-02,172012,,55,Full planning application for the redevelopment of the Carnival Pool site to create leisure led development as part of the regeneration of Wokingham town centre. The proposals include the demolition of all existing buildings on site and the construction of: a leisure centre (use class D2); library (use class D1); restaurant (use class A3); commercial unit for non-residential institution or assembly and leisure use (use classes D1 or D2); 55 dwellings (use class C3); pedestrian and vehicular access including a pedestrian boulevard and realignment of Wellington Road; car parking; hard and soft landscaping; realignment of an existing footpath; drainage and,No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR202,Hewden Plant Hire Old Forest Road Wokingham RG41 1HY,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,479237,169951,0.7942108,not owned by a public authority,Yes,permissioned,full planning permission,2017-05-18,163058,,43,"Full application for proposed erection of 43 dwellings (7 x 1 bedroom apartments, 11 x 2 bedroom apartments, 17 x 3 bedroom houses and 8 x 4 bedroom houses) together with associated access improvements, parking and refuse storage following the demolition of existing buildings.",No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR203,134-146 London Road Twyford RG10 9HJ,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,479465,176780,0.6319767,not owned by a public authority,Yes,permissioned,full planning permission,2017-08-15,161845,,31,"Full application for the erection of 31 two bedroom apartments with associated communal areas, landscaping and parking (C3 residential use).",No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR204,Valley Nurseries Whistley Green Hurst RG10 0DX,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,479414,174023,1.0782996,not owned by a public authority,Yes,permissioned,full planning permission,2017-08-15,162219 (SA104),,16,Full planning application for the proposed erection of 16 no. dwellings with garages and parking spaces with new access to Whistley Green following demolition of derelict greenhouses.,No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR205,58 Hurst Road Twyford Reading RG10 0AN,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,479059,175361,0.6940669,not owned by a public authority,Yes,permissioned,full planning permission,2015-04-02,F/2014/2353,,12,"Proposed erection of 12no dwellings ( including 4no affordable dwellings ) with access, parking, open space and landscaping.",No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR206,Land adj to Norton Road Wokingham Berkshire RG40 2BD,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,481066,168226,0.1395096,not owned by a public authority,Yes,permissioned,full planning permission,2016-10-07,150066,,9,Full application for the proposed erection of 6no two bedroom flats and 3no two bedroom terraced houses including demolition of existing light industrial unit.,No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR207,"UoR Bulmershe Campus, Woodlands Ave, (phase 2) RG5 4BJ",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,474974,172859,8.8437125,not owned by a public authority,Yes,permissioned,full planning permission,2014-10-17,F/2014/0875,,257,"Proposed erection of 68 dwellings with associated roads, parking, amenity space, landscaping and creation of new access onto Loddon Bridge Road.",No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR208,"Marlborough House, Basingstoke Rd, Spencers Wood. RG7 1AE",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,471536,166733,0.1598035,not owned by a public authority,Yes,permissioned,full planning permission,2016-03-15,OFF/2013/2477 + 153258,,15,"Full application for the proposed conversion, alteration and extension of existing office building to provide 15 flats ( 12no 1bed, & 3no 2beds)",No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR209,"81-109 Crockhamwell Road, Woodley, RG5 3JP",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,476114,173214,0.1032181,not owned by a public authority,Yes,permissioned,full planning permission,2018-03-28,180184,,8,Prior approval submission for the conversion of part of first floor of existing offices (Use Class B1(a)) to 8no residential units (Use Class C3).,No,,,,,,,2018-04-01,2018-12-10
