OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Northing,Easting,Hectares,OwenrshipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Notes,FirstAddedDate,LastUpdatedDate,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,17/01111/FUL,,"""Land to the rear of Acorn House, Elms Road, Hook""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.9623907562,51.2832763556,154304,472461,0.18,Not owned by a public authority,Yes,permissioned,FUL,2017-08-18,,,5,Erection of 5 dwellings,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,15/02201/REM,,"""Winkworth Business Park, Hartley Wintney""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.9231402685,51.2920937707,155324,475184,0.5,Not owned by a public authority,Yes,permissioned,REM,2016-01-08,,,5,Reserved Matters for 14/01093/OUT erection of 5 dwellings,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,14/02942/FUL,,"""Land to the rear of Chantryland, New Road, Eversley""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.8598306420,51.3449986634,161274,479507,0.36,Not owned by a public authority,Yes,permissioned,FUL,2015-02-24,,,6,"Demolition of Chantryland and erection of one 5 bedroom, two 4 bedroom and three 2 bedroom houses",,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,15/00230/FUL,,"""Fleet Autos, St James Road, Fleet""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.8457120805,51.2777321844,153809,480608,0.05,Not owned by a public authority,Yes,permissioned,FUL,2015-07-06,,,5,"Residential development to provide five residential units, comprising one x studio unit, three x one bed houses and one x two-bed house",,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,15/02977/FUL,,"""Clare Park Private Retirement Residences Ltd, Clare Park""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.8463037486,51.2243146133,147868,480660,2.15,Not owned by a public authority,Yes,permissioned,FUL,2016-04-22,,,6,Extension of original General Managers Cottage to form additional cottage for residents. Construction of five new residents cottages,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,15/02225/FUL,,"""32 Reading Road, Fleet""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.8442545397,51.2775379563,153789,480710,0.03,Not owned by a public authority,Yes,permissioned,FUL,2016-01-12,,,6,Conversion of existing B2 premises to 6 apartments,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,14/02454/PNDW,,"""Branksome Chambers, Branksomewood Road, Fleet""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.8431157290,51.2812135739,154199,480783,0.08,Not owned by a public authority,Yes,permissioned,other,2014-12-03,,,5,Change of use from office under Class B1(a) to dwelling under Class C3- 5 x 2-bed flats,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,17/00244/PRIOR,,"""Silvergate Redfields Industrial Park, Feet""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.8491386687,51.2524437381,150993,480413,0.45,Not owned by a public authority,,permissioned,other,2017-04-12,,,44,Change of use from office (B1a) to dwellings (C3) for 44 dwellings,,Scheme has no SANG mitigation and therefore can not be considered deliverable,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,17/01039/FUL,,"""144 Clarence Road, Fleet""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.8409533720,51.2793936848,153999,480937,0.05,Not owned by a public authority,Yes,permissioned,FUL,2017-09-07,,,5,Demolition of existing building and erection of a new building to house 5 2-bedroom apartments,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,17/02008/PRIOR,,"""Victoria House, 18-22 Albert Street, Fleet""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.8377345988,51.2836601895,154477,481154,0.1,Not owned by a public authority,Yes,permissioned,other,2017-10-05,,,5,Change of use of ground floor from B1a offices to 5 1-bed flats,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,17/02010/PRIOR,,"""Victoria House, 18-22 Albert Street, Fleet""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.8377345988,51.2836601895,154477,481154,0.1,Not owned by a public authority,Yes,permissioned,other,2017-10-05,,,5,Change of use of first floor from B1a offices to 5 1-bed flats,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,17/00477/PRIOR,,"""Lorica House, Lorica Consulting Ltd, Minley Road, Fleet""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.8300019526,51.2962268853,155883,481671,0.32,Not owned by a public authority,Yes,permissioned,other,2017-04-26,,,18,Change of use from B1a offices to 18 apartments,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,17/00475/PRIOR,,"""Infineon House, Fleet Mill, Minley Road, Fleet""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.8300130342,51.2969194176,155960,481669,0.43,Not owned by a public authority,Yes,permissioned,other,2017-04-26,,,20,Change of use from B1a office to form 20 apartments,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,17/00947/PRIOR,,"""Zenith House, 3 Rye Close, Fleet""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.8246626969,51.2986105643,156154,482039,0.29,Not owned by a public authority,,permissioned,other,2017-05-25,,,20,Change of use from B1a offices to 20 dwellings,,Scheme has no SANG mitigation and therefore can not be considered deliverable,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,17/00530/FUL,,"""White Hart House, London Road, Blackwater""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.7773843781,51.3315688373,159873,485274,0.16,Not owned by a public authority,Yes,permissioned,FUL,2017-09-07,,,5,Construction of 5 apartments,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,17/00525/PRIOR,,"""Vantage House, Meridian Office, Osborn Way, Hook""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.9592068594,51.2788688476,153817,472690,0.15,Not owned by a public authority,,permissioned,other,2017-04-27,,,15,Change of use of offices (B1a) on first and second floors to form 15 apartments,,Scheme has no SANG mitigation and therefore can not be considered deliverable,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,17/00814/PRIOR,,"""Building 260-270 Bartley Wood, Bartley Wood Business Park, Bartley Way, Hook""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.9499673842,51.2785165261,153787,473335,2.15,Not owned by a public authority,,permissioned,other,2017-05-30,,,116,Change of use of offices (B1a) to dwellinghouse (C3),,Scheme has no SANG mitigation and therefore can not be considered deliverable,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,SHL100 17/00771/FUL,,"""Sun Park, Guillemont Park North""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.7930704581,51.3059510251,157006,484228,12,Not owned by a public authority,Yes,pending decision,,,,,323,Demolition of the existing office buildings. Construction of 313 residential dwellings,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,SHL197 17/00471/OUT,,"""Hartland Park, Farnborough""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.8070550488,51.2839457282,154543,483293,56,Not owned by a public authority,Yes,permissioned,permission in principle,,,,1500,1500 units,Local centre with retail and commercial uses. Primary School,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,17/02644/PRIOR,,"""Wimpey Homes Holdings Ltd, Stratfield House, Station Road, Hook""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.9626073507,51.2812999792,154084,472449,0.19,Not owned by a public authority,Yes,pending decision,,,,,22,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,SHL320 17/01710/FUL,,"""125-147 Fleet Road, Fleet""",https://www.hart.gov.uk/Evidence-base#SHLAA Docs,OSGB36,-0.8385141712,51.2834520836,154453,481100,0.59,Not owned by a public authority,Yes,not permissioned,,,Withdrawn planning application 17/01710/FUL,,40,Erection of 40 residential apartments following the demolition of 2 office blocks,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,SHL041,,"""Imac Systems, Fleet""",https://www.hart.gov.uk/Evidence-base#SHLAA Docs,OSGB36,-0.8415370090,51.2795613285,154017,480896,0.05,Not owned by a public authority,Yes,not permissioned,,,,,6,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,SHL104,,Land at Elvetham Heath,https://www.hart.gov.uk/Evidence-base#SHLAA Docs,OSGB36,-0.8729391609,51.2894088842,155078,478689,0.84,Not owned by a public authority,Yes,not permissioned,,,,,40,,,Part of SHLAA site SHL104. The southern part of the whole site is not brownfield land,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,SHL113,,"""Thurlston House, Fleet""",https://www.hart.gov.uk/Evidence-base#SHLAA Docs,OSGB36,-0.8501810720,51.2830726981,154398,480287,0.68,Not owned by a public authority,Yes,not permissioned,,,,,16,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,SHL192,,"""140-150 Fleet Road, Fleet""",https://www.hart.gov.uk/Evidence-base#SHLAA Docs,OSGB36,-0.8424462991,51.2821781398,154307,480828,0.21,Not owned by a public authority,Yes,not permissioned,,,,,12,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,SHL195,,"""Lismoyne Hotel, 45 Church Road, Fleet""",https://www.hart.gov.uk/Evidence-base#SHLAA Docs,OSGB36,-0.8456546180,51.2840352946,154510,480601,0.98,Not owned by a public authority,Yes,not permissioned,,,,,40,Potential for 40-unit residential (C3 use) or a 70-unit care home (C2 use),,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,SHL208,,"""Admiral House, Fleet""",https://www.hart.gov.uk/Evidence-base#SHLAA Docs,OSGB36,-0.8474411420,51.2796825758,154024,480484,0.46,Not owned by a public authority,Yes,not permissioned,,,,,20,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,SHL038,,"""Rawlings, Hook""",https://www.hart.gov.uk/Evidence-base#SHLAA Docs,OSGB36,-0.9610586214,51.2787684044,153804,472561,1.13,Not owned by a public authority,Yes,not permissioned,,,Two pre-applications: 17/01453/PREAPP and 16/03353/PREAPP,,50,Either 50 residential units including extra care assisted living development (C2 use) or 110 residential units plus 400m2 of retail space,Potential for 400m2 of retail space,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,SHL200,,"""Scrapyard, Totters Lane, Potbridge""",https://www.hart.gov.uk/Evidence-base#SHLAA Docs,OSGB36,-0.8474268077,51.2796824346,154024,480485,0.29,Mixed ownership,Yes,not permissioned,,,Pre-application 17/01436/PREAPP includes this land as part of a larger area. The proposal for the land SHL200 is for 5 dwellings,,5,,,"""There are a number of enforcement cases on site which would need to be resolved prior to submission of a planning application, therefore the site os not considered deliverable""",2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,SHL039,,"""Fermoy, Farnham Road""",https://www.hart.gov.uk/Evidence-base#SHLAA Docs,OSGB36,-0.9077298384,51.2543451517,151142,476321,1.29,Not owned by a public authority,Yes,not permissioned,,,Pre-application 16/03257/PREAPP proposes 9 new dwellings,,9,,,Part of SHLAA site SHL039. The eastern part of the whole site is not brownfield land,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,SHL128,,"""Rose Court, Crondall""",https://www.hart.gov.uk/Evidence-base#SHLAA Docs,OSGB36,-0.8782427913,51.2471240409,150370,478391,0.92,Not owned by a public authority,Yes,not permissioned,,,,,15,,,Part of SHLAA site SHL128. The eastern part of the whole site is not brownfield land,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,SHL357,,"""Land at Sankey Lane, Fleet""",https://www.hart.gov.uk/Evidence-base#SHLAA Docs,OSGB36,-0.8155759447,51.294418704,155698,482680,0.89,Not owned by a public authority,Yes,not permissioned,,,,,20,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,SHL034,,"""Land adjoining Winchfield Court""",https://www.hart.gov.uk/Evidence-base#SHLAA Docs,OSGB36,-0.8802881400,51.2814762773,154188,478190,0.29,Not owned by a public authority,Yes,not permissioned,,,17/02620/FUL Erection of 10 no. dwellings pending decision. 17/02621/FUL Erection of 17 no. dwellings pending decision. 14/00707/MAJOR Erection of 18 dwellings - refused,,6,,,Part of SHLAA site SHL034. The southern and northern parts of the whole site are not brownfield land,2017-12-22,2017-12-22,
