OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings, DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,AlternativeReferences,UPRN,PlanningAppNumber
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,64,,Transport Yard Badminton Road Old Sodbury BS37 6LX,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ZZZTR0OKXT794,OSGB36,375075,181546,0.26,not owned by a public authority,yes,permissioned,full planning permission,2004-06-24,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZTR0OKXT794,,9,Erection of 9 dwellings,Recent application DOC17/2783,,,,,,,2016-06-30,2018-12-31,rls:Small site,1815465, PK01/3133/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,70,,The Gables Costers Close Alveston Bristol South Gloucestershire BS35 3HZ,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NZV1HZOK0C500,OSGB36,363057,188458,0.30,not owned by a public authority,yes,permissioned,full planning permission,2017-02-27,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZV1HZOK0C500,,9,"Demolition of existing industrial building and dwelling. Erection of 10no. dwellings with alteration to access, car parking and associated works",,,,,,,,2017-12-31,2018-12-31,rls:0193,569761,PT15/5521/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,71,,Wesleyan Chapel Blackhorse Road Kingswood Bristol,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NY2586OKMJM00,OSGB36,364533,173711,0.14,not owned by a public authority,yes,permissioned,full planning permission,2016-08-18,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NY2586OKMJM00,,15,Change of use of  former chapel from Ballet School (Class D2) to Residential (Class C3) for conversion to 15no. self-contained flats ,,,,,,,,2017-12-31,2018-12-31,rls:0192,516456,PK15/4995/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,72,,Land Off The High Street Hanham Bristol South Gloucestershire,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NUGV9POKKIQ00,OSGB36,364059,172516,0.90,not owned by a public authority,yes,permissioned,full planning permission,2016-11-10,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NUGV9POKKIQ00,,54,"Erection of 54no. bed Extra Care Accommodation (Class C2) with communal facilities, landscaping, car parking, access and associated works.",,,,,,,,2017-12-31,2018-12-31,rls:0189,514944,PK15/3950/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,74,,Land Off Beaufort Road Downend Bristol South Gloucestershire,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OAYM1VOKMYZ00,OSGB36,366344,177681,0.26,not owned by a public authority,yes,permissioned,full planning permission,2017-03-23,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OAYM1VOKMYZ00,,16,Erection of 12no. self contained flats and 4no. semi-detached dwellings with access and associated works.,,,,,,,,2017-12-31,2018-12-31,rls:0174y,548360,PK16/4492/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,76,,11 Willow Way Coalpit Heath Bristol South Gloucestershire,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N3VJL9OK7T000,OSGB36,367398,181006,0.17,not owned by a public authority,yes,permissioned,full planning permission,2014-04-14,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N3VJL9OK7T000,,8,Erection of 8no. dwellings and associated works,,,,,,,,2017-12-31,2018-12-31,rls:0174e,576878,PT14/1496/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,79,,Land To The Rear Of 61-67 Cleeve Hill Downend Bristol South Gloucestershire BS16 6HQ,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O6YH9XOKK5O00,OSGB36,364896,177080,0.96,not owned by a public authority,yes,permissioned,outline planning permission,2017-07-28,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O6YH9XOKK5O00,,12,"Erection of 12no dwellings (Outline) with layout, scale and access to be determined. All other matters reserved.",,,,,,,,2017-12-31,2018-12-31,rls:0195,522618,PK16/2577/O
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,80,,Frenchay Hospital Beckspool Road Frenchay South Gloucestershire BS16 1JE,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NZI6VZOKFMP00,OSGB36,363890,177610,4.54,not owned by a public authority,yes,permissioned,reserved matters approval,2016-08-17,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZI6VZOKFMP00,,35,"Erection of 88no. dwellings with the provision of public open Space and ancillary supporting infrastructure. (Reserved Matters application to be read in conjunction with outline planning permission PT13/0002/O in regards to scale, appearance and layout)",,,,,,,54 completions since last update,2017-12-31,2018-12-31,rls:0138a,666321,PT15/5412/RM
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,81,,Charlton Hayes Parcels H3 H4 And H5 North Field Filton South Gloucestershire BS34 7QD,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O48TYHOKID400,OSGB36,359461,181125,3.70,not owned by a public authority,yes,permissioned,reserved matters approval,2016-07-06,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O48TYHOKID400,,72,"Erection of 118 no. dwellings with garages, parking, associated engineering and landscaping. H3, H4, H5. (Approval of Reserved Matters to be read in conjunction with Outline Planning Permission PT03/3143/O).",,,,,,,46 completions since last update,2017-12-31,2018-12-31,rls:0008g,504227,PT16/1319/RM
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,85,,1 - 13 (excluding 11) High Street Kingswood Bristol South Gloucestershire BS15 4AA,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O340NMOKHOG00,OSGB36,364966,173863,0.13,not owned by a public authority,yes,permissioned,full planning permission,2016-10-27,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O340NMOKHOG00,,9,"Demolition of existing buildings. Erection of 4 no. two bed dwellings, retail building with 5 no. two bed maisonettes above. Creation of new pedestrian access and associated works.",Ground Floor retail building,,,,,,,2017-12-31,2018-12-31,rls:Small site,637604,PK16/0908/F
