OrganisationURI,OrganisationLabel,SIteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,EndDate,EndReason
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/HPU/073,,"""Chivenor Business Park, Chivenor   Braunton EX31 4AY""",,ETRS89,-4.1296371268,51.0929349517,250964,134783,1.37,Not owned by a Public Authority,,Not permissioned,,,,,0,,,,0,0,,,"""Site is within the countryside, not well related to a recognised settlement in terms of housing distribution strategy in the development plan.""",2017-09-18,2019-12-03,29-Oct-18,"Site is within the countryside, not well related to a recognised settlement in terms of housing distribution strategy in the development plan."
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/LAN/074,,"""Hillside Industrial Estate, Manor Road Landkey  Barnstaple EX32 0JW""",,ETRS89,-4.0170332962,51.0622236841,258755,131146,0.64,Not owned by a Public Authority,,Not permissioned,,,,,0,,,,0,0,,,"""Site is within the countryside, not well related to a recognised settlement in terms of housing distribution strategy in the development plan.""",2017-09-18,2019-12-03,29-Oct-18,"Site is within the countryside, not well related to a recognised settlement in terms of housing distribution strategy in the development plan."
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/075,,"""Riversvale House, Litchdon Street   Barnstaple EX32 8LN""",https://www.northdevon.gov.uk/media/379746/bfl-bar-075-riversvale-litchdon-street-barnstaple-1-750.pdf,ETRS89,-4.0559704152,51.0761414013,256070,132769,0.25,Not owned by a Public Authority,,Permissioned,Full planning permission,2019-01-31,,,6,"""CONVERSION OF RIVERSVALE HOUSE INTO 6 APARTMENTS TOGETHER WITH ERECTION OF 6 TOWNHOUSES IN GROUNDS TO INCLUDE DEMOLITION OF RIVERSVALE CENTRE & ASSOCIATED HIGHWAY WORKS (AMENDED PLANS & DESCRIPTION)""",,,6,12,,,"""63863:  CONVERSION OF RIVERSVALE HOUSE INTO 6 APARTMENTS TOGETHER WITH ERECTION OF 6 TOWNHOUSES IN GROUNDS TO INCLUDE DEMOLITION OF RIVERSVALE CENTRE & ASSOCIATED HIGHWAY WORKS (AMENDED PLANS & DESCRIPTION).

The site is within an extreme risk of flooding although a solution has been found in consultation with the EA that can deliver a viable development whilst avoiding flood risk and providing a means of escape. Current scheme (13 units) within application 63863 is considered too intensive and a development of around 10 or 11 units is likely to be more acceptable that will also have less impact on the listed building and conservation area.""",2017-10-16,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/FRE/076,,"""Oakwell Residential Home, Lyddicleave Bickington  Barnstaple EX31 2JZ""",,ETRS89,-4.0940958940,51.0718848424,253386,132371,0.6,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2017-11-10,,,21,"""ERECTION OF 21 DWELLINGS TOGETHER WITH ASSOCIATED ROADS, DRAINAGE,
GARAGES, PARKING & LANDSCAPING (AMENDED LANDSCAPING DETAILS, ECOLOGICAL
INFORMATION & SHADOW PATH SURVEY)""",,,21,21,,,"""Site is built.""",2017-11-13,2019-12-03,31-Oct-19,Site is built.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/077,,"""Ground & Upper Floors, Regent House Queen Street  Barnstaple EX32 8RR""",,ETRS89,-4.0559279283,51.0790470492,256082,133092,0.16,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2017-10-13,,,28,"""PRIOR APPROVAL FOR PROPOSED CHANGE OF USE OF FIRST, SECOND AND THIRD FLOORS FROM B1(A) (OFFICES) TO CLASS C3 (DWELLINGHOUSES - 31 UNITS)""",,,28,34,,,"""Site is under construction. Three additional units have been granted on the ground floor under reference (66467)""",2017-11-21,2019-12-03,01-Apr-18,Site is under construction with a national house builder.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/078,,"""Victoria House, Victoria Road   Barnstaple EX32 8NP""",https://www.northdevon.gov.uk/media/379747/bfl-bar-078-victoria-house-victoria-street-barnstaple-1-750.pdf,ETRS89,-4.0473027438,51.0770670457,256680,132855,0.11,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2017-11-30,,,8,"""CONVERSION OF CHILDRENS CENTRE TO FORM 8 FLATS""",,,8,20,,,"""Undetermined application (66336) for the conversion of Victoria House to form 6 flats & 1 dwelling, erection of 12 flats & erection of 1 dwelling.""",2017-12-04,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/079,,"""Former Garage Site, Buller Road   Barnstaple EX32 8JP""",https://www.northdevon.gov.uk/media/379748/bfl-bar-079-former-garage-site-buller-road-barnstaple-1-1500.pdf,ETRS89,-4.0546725137,51.0790691331,256170,133092,0.04,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2018-03-13,,,8,"""ERECTION OF 8 DWELLINGS""",,,8,8,,,"""65106: APPROVAL OF DETAILS IN RESPECT OF DISCHARGE OF CONDITION 6 (LAND CONTAMINATION ASSESSMENT) & 7 (CONSTRUCTION MANAGEMENT PLAN) ATTACHED TO PLANNING PERMISSION 61410 (ERECTION OF 8 DWELLINGS). Approved 23/08/18.

70744 : Variation of conditions 2 (approved plans) & 3 (materials) attached to planning permission 65992 (erection of 8 dwellings) to allow a change in external finish from brick to render (amended description). Pending Decision

65992 : VARIATION OF CONDITION 2 (APPROVED PLANS) ATTACHED TO PLANNING PERMISSION 61410 (ERECTION OF 8 DWELLINGS) TO ALLOW AMENDED DESIGN. Approved 10/6/19""",2018-03-08,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/080,,"""Former Paint Warehouse, Buller Road   Barnstaple EX32 8JP""",https://www.northdevon.gov.uk/media/379749/bfl-bar-080-former-paint-warehouse-buller-road-barnstaple-1-1500.pdf,ETRS89,-4.0550981063,51.0790076871,256140,133086,0.04,Not owned by a Public Authority,,Permissioned,Full planning permission,2004-11-17,,,9,"""DEMOLITION OF FORMER PAINT WAREHOUSE & ERECTION OF 9 NO. UNITS OF RESIDENTIAL ACCOMMODATION WITH ASSOCIATED PARKING
(AMENDED DESCRIPTION)""",,,9,9,,,"""Development has commenced through demolition of the former building but work has since stalled and the site remains vacant surrounded by a hoarding

49063: APPROVAL OF DETAIL IN RESPECT OF DISCHARGE OF CONDITIONS 3 (WESTERN ELEVATION DETAIL), 5 (BUILDING DETAILING), 10 (SOUND ATTENUATION), 11 (SITE CONTAMINATION STUDY / STRATEGY) & 13 (CONSTRUCTION MATERIALS) ATTACHED TO PLANNING PERMISSION 35509 (AMENDED DESCRIPTION). Approved 16/11/09""",2018-03-08,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/081,,"""Ilfracombe Nurseries,    ILFRACOMBE EX34 8HR""",https://www.northdevon.gov.uk/media/379760/bfl-ilf-081-former-bicclescombe-nurseries-ilfracombe-1-1250.pdf,ETRS89,-4.1202174258,51.1991398400,251964,146573,,Not owned by a Public Authority,,Pending Decision,,,,,7,"""DEMOLITION OF EXISTING BUILDINGS & STRUCTURES & ERECTION OF TEN DETACHED DWELLINGS WITH ASSOCIATED WORKS) (AMENDED DESCRIPTION, PLANS & SUPPORTING DOCUMENTS)""",,,7,15,,,"""Lapsed planning permission on this site for the erection of 15 dwellings. Site is under the control of a local house builder but progress on the application has stalled.""",2018-06-01,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/082,,"""51 High Street, & Buildings rear of Greenclose Road  ILFRACOMBE EX34 9QB""",,ETRS89,-4.1255087912,51.2074256029,251621,147505,,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2018-07-27,,,7,"""DEMOLITION OF THE EXISTING BUILDINGS AND ERECTION OF 7 X 2 BEDROOM RESIDENTIAL UNITS WITH ASSOCIATED LANDSCAPING, ACCESS AND PARKING""",,,7,7,,,"""Planning permission (62955). Site is under construction.""",2018-07-30,2019-12-03,01-Apr-19,Site is under construction with a local house builder.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/083,,"""41 Torrs Park, The Regency   Ilfracombe EX34 8AZ""",,ETRS89,-4.1317959400,51.2059171744,251177,147350,,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2018-09-25,,,6,"""CONVERSION OF BUILDING TO FORM 6 APARTMENTS""",,,6,6,,,"""Planning permission (65114) approved 25/9/18. Site is under construction.""",2018-10-01,2019-12-03,01-Apr-19,Site is under construction with a local housebuilder.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/SMO/084,,"""Beech House, North Road   South Molton EX36 3AZ""",,ETRS89,-3.8381306708,51.0199297891,271173,126115,,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2018-10-19,,,21,"""DEMOLITION OF CARE HOME & ERECTION OF 21 DWELLINGS (AMENDED DESCRIPTION & AMENDED PLANS)""",,,21,21,,,"""Planning permission (64405) approved 19/10/18. Site is under construction by a local house builder.""",2018-10-22,2019-12-03,01-Apr-19,Site is under construction by a local house builder.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/GEO/085,,"""1-6 Seabirds Park, Withywell Lane Croyde  Braunton EX33 1PY""",,ETRS89,-4.2304922273,51.1258048444,244013,138647,,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2017-10-16,,,6,"""REMOVAL OF CONDITION 4 (OCCUPANCY) ATTACHED TO APPLICATION 81/652/28/3 (PROPOSED 3NO. PAIRS OF SEMI DETACHED CHALETS TO REPLACE EXISTING SIX BERTH CARVANS) TO ALLOW FULL RESIDENTIAL USE""",,,6,6,,,"""Application to vary holiday condition to allow for full time residential use. The six units are currently occupied on a full time basis.""",2018-12-06,2019-12-03,31-Mar-18,Built
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/086,,"""North Devon Leisure Centre, Seven Brethren Bank   Barnstaple EX31 2AP""",https://www.northdevon.gov.uk/media/379750/bfl-bar-086-north-devon-leisure-centre-seven-brethren-barnstaple-1-1500.pdf,ETRS89,-4.0583080207,51.0750929698,255903,132657,,Owned by a Public Authority,,Not permissioned,,,,,100,,,,100,245,,,"""The site is within the development boundary for Barnstaple, with the principle of development being set out in policy ST06 ot the adopted North Devon & Torridge Local Plan. If it is demonstrated that the proposed residential development will facilitate the delivery of the site?s regeneration as set out in BAR13, then an element of housing development would be supported as long as it does not prejudice the requirements of BAR13, subject to being policy compliant on all other matters. The site has been granted Land Release Funding from the Government.""",2019-01-21,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/087,,"""Crescent House Hotel, 46-48 Fore Street   ILFRACOMBE EX34 9DN""",,ETRS89,-4.1195505270,51.2095572652,252044,147730,,Not owned by a Public Authority,,Not permissioned,,,,,8,"""CONVERSION OF PART OF HOTEL TO FORM EIGHT APARTMENTS""",,,8,8,,,"""Previous application to convert to 8 flats has been withdrawn. Availability is now uncertain.""",2019-05-17,2019-12-03,31-Mar-17,Previous application to convert to 8 flats has been withdrawn. Availability is now uncertain.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ASH/088,,"""FAIR OAK FARM, BRAUNTON ROAD   BARNSTAPLE EX31 4AU""",https://www.northdevon.gov.uk/media/379736/bfl-ash-088-fair-oak-farm-braunton-road-ashford-1-2500.pdf,ETRS89,-4.099808,51.093270,253052,134760,,Not owned by a Public Authority,Yes,Permissioned,Outline planning permission,2019-10-07,,,6,"""OUTLINE APPLICATION FOR DEMOLITION OF EXISTING MAINTENANCE & REPAIR WORKSHOP & ERECTION OF 4 OPEN MARKET & 2 AFFORDABLE DWELLINGS (ALL MATTERS RESERVED)""",,,6,6,,,"""The development has been approved under outline planning permission (64290).""",2019-05-17,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/SMO/089,,"""Former South Molton Junior Primary School, North Street   South Molton EX36 3GN""",https://www.northdevon.gov.uk/media/379766/bfl-smo-089-former-south-molton-junior-school-north-street-1-750.pdf,ETRS89,-3.8364829846,51.0189817268,271285.93,126006.7,,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2019-06-26,,,9,"""DEMOLITION OF OUTBUILDING & CONVERSION OF MAIN BUILDING TO FORM 9
DWELLINGS (AMENDED DESCRIPTION & AMENDED PLANS)""",,,9,9,,,,2019-07-01,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/TAW/090,,"""Le Chalet, Bickington Road   Barnstaple EX31 2DB""",,ETRS89,-4.0745367872,51.0721528437,254757,132362,,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2019-10-18,,,1,"""DEMOLITION OF CAREHOME & ERECTION OF 3 DWELLINGS""",,,1,3,,,"""Proposed site area and new housing delivery is below the threshold as set out within Reg 4 (1a - the land has an area of at least 0.25 ha or is capable of supporting at least 5 dwellings) of the  Town and Country Planning (Brownfield Land Register) Regulations 2017.""",2019-10-22,2019-12-03,18-Oct-19,Proposed site area and new housing delivery is below the threshold  as set out within Reg 4 (1a - the land has an area of at least 0.25 ha or is capable of supporting at least 5 dwellings) of the  Town and Country Planning (Brownfield Land Register) Regulations 2017.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/091,,"""Oliver Buildings, Anchorwood Bank   Barnstaple EX31 2AA""",https://www.northdevon.gov.uk/media/379751/bfl-bar-091-oliver-buildings-anchorwood-bank-barnstaple-1-1500.pdf,ETRS89,-4.0619470661,51.0769893891,255654,132875,,Not owned by a Public Authority,Yes,Pending Decision,,,,,50,"""Conversion Of Building To 50 No. Residential Units""","1,220 Square Metres Of Floorspace Of Commercial Uses (A1, A2, A3, A4, A5, B1a, B1c, D1, D2) Conversion Of Existing Buildings Together With The Erection Of 4 No. New Buildings Along With Car & Cycle Parking, Landscaping, Refuse Storage & Other Associated Works & The Demolition Of Modern Extensions To The Existing Buildings",,50,50,,,,2019-12-03,2019-12-03,,
