OrganisationURI,OrganisationLabel,SIteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,EndDate,EndReason
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/MOR/021,,"""The Rocks Hotel, Beach Road Woolacombe  Ilfracombe EX34 7BT""",,ETRS89,-4.2046280206,51.1726936540,245979,143806,0.06,Not owned by a Public Authority,Yes,Not permissioned,,,,,5,,,,5,7,,,"""Gross 7 residential units net 5. Previous planning permission 57076 lapsed in April 2018. No subsequent permissions have been sought as a renewal of the previous consent.""",2017-08-02,2019-12-03,01-Apr-19,Previous planning permission lapsed in April 2018. Availability is now uncertain.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/022,,"""John Fowler Holidays, Ilfracombe Holiday Park Marlborough Road  Ilfracombe EX34 8PF""",,ETRS89,-4.1121737960,51.2001038201,252529,146664,3.14,Not owned by a Public Authority,Yes,Not permissioned,,,,,60,,,,60,80,,,"""Planning permission for up to 80 dwellings lapsed in June 2019. There has been no application to renew the previous consent. Availability and achievability is now uncertain.""",2017-08-02,2019-12-03,10-Jun-19,Planning permission expired in June 2019. Availability and achievability is now uncertain.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/024,,"""Arlington Hotel, Sommers Crescent   Ilfracombe EX34 9DP""",,ETRS89,-4.1202400994,51.2096077175,251996,147737,0.05,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2012-05-14,,,10,"""CONVERSION OF HOTEL TO FORM 10 APARTMENTS""",,,10,10,,,"""Site is now built in HLA 2018/2019.""",2017-08-02,2019-12-03,31-Mar-19,Built
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/FRE/026,,"""Fremington Training Camp, Hill Top Fremington  BARNSTAPLE EX31 3BJ""",,ETRS89,-4.1252100798,51.0751902239,251217,132801,15.5,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2013-07-02,,,277,"""RESIDENTIAL DEVELOPMENT OF 277 DWELLINGS WITH ASSOCIATED PUBLIC SPACE, AFFORDABLE HOUSING, RECREATIONAL FACILITIES, LANDSCAPING & ACCESS FOLLOWING THE DEMOLITION OF EXISTING BUILDINGS,  (AMENDED PLANS & SUPPORTING DOCUMENTS) (FURTHER AMENDED INFORMATION RELATING TO CHANGES TO KEY BUILDINGS, CHARACTER AREA 2 & SIGNALISED JUNCTION (ADDITIONAL PLANS REGARDING AMENDED ACCESS PLANS & ROAD SAFETY AUDIT)""",,,277,277,,,"""Site is currently under construction by major house builder.""",2017-08-02,2019-12-03,03-Dec-19,Site is currently under construction by major house builder.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/LAN/027,,"""Westacott Heights, Whiddon Valley   BARNSTAPLE EX32 7NF""",https://www.northdevon.gov.uk/media/379763/bfl-lan-027-westacott-heights-barnstaple-1-1250.pdf,ETRS89,-4.0208502693,51.0787506693,258538,132991,0.6,Not owned by a Public Authority,,Not permissioned,,,,,18,,,,18,21,,,"""This site forms part of the strategic urban extension at Westacott in the adopted North Devon & Torridge Local Plan (BAR01). Redevelopment of this brownfield site must not prejudice the comprehensive delivery of BAR01.""",2017-08-02,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/FRE/028,,"""Land at Yelland Quay, Yelland   BARNSTAPLE EX31 3EZ""",https://www.northdevon.gov.uk/media/379753/bfl-fre-028-land-at-yelland-quay-fremington-1-3500.pdf,ETRS89,-4.1622466572,51.0697708848,248605,132274,11.9,Not owned by a Public Authority,,Pending Decision,,,,,250,"""OUTLINE APPLICATION FOR 280 DWELLINGS (USE CLASS C3)""","EMPLOYMENT (USE CLASS B1) SPACE OF UP TO 6000 SQM GROSS FLOORSPACE; EMPLOYMENT (USE CLASS B2) SPACE OF UP TO 5,500 SQM; STORAGE OR DISTRIBUTION (CLASS USE B8) SPACE OF UP TO 7000 SQM GROSS FLOORSPACE; COMMUNITY FACILITIES (USE CLASS D1) OF UP TO 300 SQM; RESTAURANT & CAFE (USE CLASS A3) OF UP TO 300 SQM; (C) ALL THE ASSOCIATED INFRASTRUCTURE INCLUDING REMOVAL OF ANY CONTAMINATION, ROADS, FOOTPATHS, CYCLEWAYS, DRAINAGE (INCLUDING ATTENUATION WORKS), FLOOD DEFENCE WORKS, LANDSCAPING, PUBLIC OPEN SPACE, UTILITIES & VEHICLE PARKING ALSO INCLUDING DEMOLITION OF BUILDINGS",,250,250,,,"""Site is allocated for approximately 250 dwellings in the adopted North Devon & Torridge Local Plan (FRE02).""",2017-08-02,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/MOR/029,,"""Panorama, Rockfield Road Woolacombe  Ilfracombe EX34 7DH""",,ETRS89,-4.2112746970,51.1758597408,245525,144172,0.54,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2018-10-17,,,1,"""APPLICATION FOR A NON MATERIAL AMENDMENT TO PLANNING PERMISSIONS 56934 (DEMOLITION OF ONE DWELLING & ERECTION OF FIVE FLATS TOGETHER  WITH ASSOCIATED WORKS) & 62118 (NON-MATERIAL AMENDMENT TO PLANNING PERMISSION 56934 IN RESPECT OF ALTERATIONS TO FOOTPRINT TO MEET CURRENT BUILDING REGULATIONS) IN RESPECT OF AMENDED DESIGN & MATERIALS""",,,1,5,,,"""Gross 5 residential units net 4.

56934 : DEMOLITION OF ONE DWELLING & ERECTION OF FIVE FLATS TOGETHER  WITH ASSOCIATED WORKS. Approved 02/06/14

54876 : EXTENSION OF TIME LIMIT FOR IMPLEMENTATION OF PLANNING PERMISSION 50819 DEMOLITION OF BUNGALOW & ERECTION OF 5 APARTMENTS TOGETHER WITH  FORMATION OF PARKING AREA. Approved 21/12/12

50819 : EXTENSION OF TIME LIMIT FOR IMPLEMENTATION OF PLANNING PERMISSION 45947 FOR DEMOLITION OF BUNGALOW & ERECTION OF 5 APARTMENTS WITH PARKING AREA. Approved 22/09/10

45947 : DEMOLITION OF BUNGALOW & ERECTION OF 5 APARTMENTS TOGETHER WITH  FORMATION OF PARKING AREA (AMENDMENT TO PLANNING PERMISSION  41949). Approved 31/03/08

41949 : DEMOLITION OF BUNGALOW & ERECTION OF 5 APARTMENTS TOGETHER WITH  FORMATION OF PARKING AREA (AMENDMENT TO PLANNING PERMISSION 40183) (AMENDED PLANS). Approved 08/09/06

40183 : DEMOLITION OF BUNGALOW & ERECTION OF 4 APARTMENTS TOGETHER WITH FORMATION OF PARKING AREA (AMENDED PLANS & DESCRIPTION). Approved 03/01/06""",2017-08-02,2019-12-03,03-Dec-19,Site is under construction by a local developer.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/030,,"""Transco Site (BAR1i), Barbican Road   Barnstaple EX32 9HE""",,ETRS89,-4.0520538480,51.0763541517,256345,132785,0.6,Not owned by a Public Authority,Yes,Permissioned,Reserved matters approval,2018-07-26,,,21,"""VARIATION OF CONDITION 2 (APPROVED PLANS) ATTACHED TO PLANNING PERMISSION 62837 (VARIATION OF CONDITIONS 14 (SITE ACTIVITY) 17 (PEDESTRIAN LINK) 34 & 36 (CSH, DESIGN STATE/POST CONSTRUCTION & SAP) ATTACHED TO PLANNING PERMISSION 50834 (OUTLINE APPLICATION FOR 21 DWELLINGS) & VARIATION OF CONDITIONS 2 & 4 (APPROVED DRAWINGS) 11 (SITE ACTIVITY) 14 (PEDESTRIAN LINK), 30 (CSH PRE-ASSESSMENT & DESIGN ASSESSMENT) ATTACHED TO PLANNING PERMISSION 58651 (RESERVED MATTERS FOR OUTLINE APPLICATION 50834 FOR 21 DWELLINGS TO ALLOW FOR A CHANGE OF WORDING TO CONDITIONS & REVISED DRAINAGE LAYOUT) TO ALLOW A CHANGE IN THE SITE LAYOUT""",,,21,21,,,"""Site is currently under construction with a Regional housebuilder.""",2017-08-02,2019-12-03,31-Mar-19,Site is currently under construction with a Regional housebuilder.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/031,,"""St Johns Garden Centre, St Johns Lane Newport  Barnstaple EX32 9DD""",https://www.northdevon.gov.uk/media/379739/bfl-bar-031-st-johns-garden-centre-barnstaple-1-2000.pdf,ETRS89,-4.0379603217,51.0720681141,257319,132281,1.6,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2014-10-21,,,44,"""DEMOLITION OF EXISTING GARDEN CENTRE & REDEVELOPMENT OF SITE TO ACCOMMODATE 44 RESIDENTIAL DWELLINGS TOGETHER WITH NEW ADOPTABLE HIGHWAY & ASSOCIATED WORKS (AMENDED DRAWINGS)""",,,44,44,,,"""62957: APPROVAL OF DETAILS IN RESPECT OF DISCHARGE OF CONDITION 12 (LIGHTING SCHEME) 18 (LIGHTING PLAN INCLUDING ECOLOGICAL ASSESSMENT), 20 (AMS) & 22 ( ECOLOGICAL SURVEY) ATTACHED TO PLANNING PERMISSION 57304. Approved 03/07/17.

62838 : APPROVAL OF DETAILS IN RESPECT OF DISCHARGE OF CONDITION 3 (WATER COURSE, BUFFER ZONE, LANDSCAPING) 4 (SURFACE WATER DRAINAGE) 5 (LAND CONTAMINATION) 6 (UNSUSPECTED CONTAMINATION) 8 (REFUSE STORAGE), 10 (CONSTRUCTION TRAFFIC MANAGEMENT PLAN) 12 (ROADS, CYCLEWAYS, FOOTWAYS, FOOTPATHS ETC) 16 (SURFACE WATER DISPOSAL) ATTACHED TO PLANNING PERMISSION 57304. Approved 09/06/17""",2017-08-02,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/032,,"""Robins and Putts Garage, Northfield Road   ILFRACOMBE EX34 9QB""",,ETRS89,-4.1254413445,51.2081373058,251628,147584,0.1,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2016-06-28,,,12,"""ERECTION OF 12 DWELLINGS""",,,12,12,,,"""Site is under construction with a local housebuilder.""",2017-08-02,2019-12-03,31-Mar-19,Site is under construction with a local housebuilder.
