OrganistionURI,OrganistionLabel,Site Reference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateRefernceSystem,GeoX,GeoY,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0018c,CHC/0018,"""Northgate Redevelopment Site: Land Bounded By Hunter Street, Northgate Street, Watergate Street And St Martins Way Chester Cheshire""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824809.16,-193365.0066,340355,366387,5.68,mixed ownership,,permissioned,outline planning permission,21/09/2016,,,70,"""Hybrid application for part-demolition and part-retention of existing buildings and the construction of comprehensive mixed-use development comprising; retail stores, restaurants, cafes, drinking establishments (Use Classes A1, A2, A3 and A4), offices (Use Class B1), cinema and leisure uses (Use Class D2), 70-120 residential units (Use Class C3), public toilets, shopmobility, a relocated hotel and indoor market with associated new public squares, car and cycle parking, provision for buses and associated highway works and infrastructure, landscaping and public realm works. 
16/02282/OUT Phase Two includes residential at upper floors""",,,,,,,"02/00838/FUL   07/00061/S73 10/11534/EXT
16/02282/OUT",21/12/2017,30/12/2018
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0027,,"""New Crane Street car park, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824927.21,-193656.3836,340068,366225,0.33,owned by a public authority,,not permissioned,,,,,15,"""Residential development""",,,,,,,,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0029,,"""Former car garage, Lower Bridge Street, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3825191.349,-193072.0815,340661,365925,0.22,not owned by a public authority,yes,pending decision,,,,,20,"""Mixed use scheme including 43 apartments and 5 town houses, with ground floor retail/commercial""",,,,,,,18/04893/FUL (pending),21/12/2017,30/12/2018
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0030,,"""Garden Lane car park, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824471.531,-193408.2647,340300,366806,0.33,owned by a public authority,,not permissioned,,,,,6,"""Residential development""",,,,,,,,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0032,,"""BT Building and Newgate House, St John's Street, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824932.57,-192870.874,340853,366258,0.32,not owned by a public authority,,not permissioned,,,,,29,"""Residential development""",,,,,,,,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0034,,"""Loves Garage, Garden Lane, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824496.481,-193465.1857,340244,366772,0.14,not owned by a public authority,,not permissioned,,,,,6,"""Residential development""",,,,,,,,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0058B,CHC/0058,"""Land at Bollands Court, Commonhall Street, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824990.868,-193272.2643,340454,366165,,not owned by a public authority,,not permissioned,,,,,15,"""24 town houses and apartments and ground floor shop on corner plot.""",,,,,,,,21/12/2017,30/12/2018
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0072,,"""104 Watergate Street, Chester, CH1 2LF""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824944.697,-193580.9269,340144,366207,0.02,not owned by a public authority,,not permissioned,,,,,9,"""Conversion of building to form nine (9) self contained flats. (2x1bed and 3x2bed flats, 4xbedsits)""",,,,,,,,30/12/2018,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0100,,"""35 Eastgate Street, Chester, CH1 1LG""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824862.206,-193064.591,340657,366336,0.17,not owned by a public authority,yes,permissioned,full planning permission,16/06/2017,,,5,"""change of use from offices to 5 apartments over three storeys""",,,,,,,17/01670/FUL,30/12/2018,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0120,CHC/0008,"""14 - 20 Watergate Street, Chester (within boundary of CHC/0008/H)""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824882.615,-193253.4706,340469,366301,0.1,mixed ownership,yes,permissioned,full planning permission,19/04/2018,,,23,"""Change of use / conversion / extension to / part-demolition of for mixed-use development incorporating retail (Use Class A1) / residential (23 apartments) (Use Class C3) / food and beverage (Use Class A3).
HELAA capacity = 25 dwellings""",,,,,,,16/00580/FUL,21/12/2017,30/12/2018
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0163,,"""Clemence House St Werburgh Street Chester Cheshire CH1 2DY """,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824795.99,-193195.3967,340524,366412,0.03,not owned by a public authority,yes,permissioned,full planning permission,28/06/2016,,,8,"""Conversion of 2nd and 3rd floors into 8 apartments """,,,,,,,16/00844/FUL,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0176,,"""Car park off Hunter Street, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824703.016,-193452.3805,340264,366515,0.08,not owned by a public authority,yes,permissioned,full planning permission,20/09/2016,,,70,"""77 self contained student units""",,,,,,,15/04014/FUL,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0183,,"""Land at Volunteer Street, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3825079.662,-193039.1555,340690,366066,0.0548,not owned by a public authority,yes,permissioned,full planning permission,10/08/2017,,,8,"""demolition of warehouse and erection of four storey building for 8 apartments""",,,,,,,17/02631/FUL,30/12/2018,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHV/0013,,"""White Lane Depot, White Lane, Christleton""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3825613.803,-190110.1316,343635,365547,0.26,not owned by a public authority,,not permissioned,,,,,7,"""Residential development""",,,,,,,,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHV/0092,,"""The Moorings, Rowton Bridge Road, G716Christleton, CH3 7AE""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3825976.057,-189432.1427,344325,365129,0.23,not owned by a public authority,yes,permissioned,full planning permission,02/08/2013,,,5,"""Demolition of existing office buildings and erection of five (5) dwellings with associated parking and drive improvements""",,,,,,,13/00999/FUL,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHV/0126,,"""Christleton Hall, Pepper Street, Christleton, CH3 7AB""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3825455.274,-189926.4307,343813,365754,5.14,not owned by a public authority,,not permissioned,,,,,42,"""residential development of 42 dwellings""",,,,,,,18/03803/FUL refused 25/01/2019,30/12/2018,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,DAM/0038(a),DAM/0038,"""Land at 44 Church Street, Shipbrook Road, Davenham""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3821977.492,-167168.5755,366428,371202,0.27,not owned by a public authority,,not permissioned,,,,,5,"""Residential development""",,,,,,,,21/12/2017,30/12/2018
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,DAM/0054(a),DAM/0054,"""Land to side and rear of The Salt Museum, London Road, Northwich""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3820383.415,-167745.5365,365796,373162,0.26,owned by a public authority,,not permissioned,,,,,18,"""Residential development""",,,,,,,,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,DAM/0072(a),DAM/0072,"""Land at 618 London Road, Davenham""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3822756.108,-167529.0918,366095,370214,0.73,not owned by a public authority,,not permissioned,,,,,53,"""Residential development""",,,,,,,,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,DOH/,,"""Former Huntington Primary School, Butterbache Road, Huntington, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3826486.196,-191552.875,342224,364386,,owned by a public authority,yes,not permissioned,,,,,,"""Residential development""",,,,,,,,30/12/2018,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,DOH/0016,,"""Land at Decoy Farm, Lache Lane, Marlston cum Lache, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3827545.514,-195765.5975,338052,362851,1.13,not owned by a public authority,yes,permissioned,outline planning permission,20/09/2016,,,24,"""Mixed use development comprising up to 24 dwellings and 24 commercial units with associated access. """,,,,,,,15/01429/OUT,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,DOH/0022,,"""Balderton Saw Mills, Welsh Road, Dodleston, CH4 9LF""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3828092.443,-196304.1519,337533,362141,1.67,,,not permissioned,,,,,25,"""Redevelopment of site for residential development of up to 25 dwellings""",,,,,,,,30/12/2018,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,DOH/0052,,"""Lyndale Farm, Wrexham Road, Pulford, CH4 9DG""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3830049.68,-195965.1158,337940,359715,1.19,not owned by a public authority,yes,permissioned,outline planning permission,24/11/2017,,,24,"""Construction of mixed use development up to 24 dwellings and 24 commercial units""",,,,,,,17/00049/OUT|17/05230/DIS,30/12/2018,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0038C,EPT/0038b,"""CROMWELL ROAD - Phase 3 - Land north of Cromwell Road, Ellesmere Port (HH Roberts)""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3816887,-192638.8615,340804,376301,,not owned by a public authority,yes,permissioned,outline planning permission,20/03/2015,,,102,"""Residential development comprising up to 350 dwellings together with associated road infrastructure and open space (outline)-Phase 1a, 1b and 2 complete""",,,,,,,14/00041/OUT,30/12/2018,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0041,,"""Wellington Road North car park, rear of 89 - 109 Cambridge Road, Ellesmere Port""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3816938.972,-192919.9291,340525,376222,0.82,owned by a public authority,,not permissioned,,,,,26,"""Residential development""",,,,,,,Site in Middle;Outer hazard zone,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0059,,"""The Knot PH, Whitby Road, Ellesmere Port""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3816908.176,-193264.1639,340180,376243,0.24,not owned by a public authority,,not permissioned,,,,,9,"""Residential development""",,,,,,,,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0063B,EPT/0063,"""Land at Coronation Road (site of former leisure centre and office building), Stanney Lane, Ellesmere Port""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3817369.374,-193428.3998,340032,375660,2.02,owned by a public authority,,not permissioned,,,,,30,"""Demolition of Former Leisure Centre Building - permission granted 
Local Authority surplus land / site
HELAA capacity = 85 for wider site""",,,,,,,,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0067,,"""Land south of Cromwell  Road (former PZ Cussons), Ellesmere Port""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3817063.565,-192557.95,340891,376085,1.54,not owned by a public authority,,permissioned,outline planning permission,19/03/2010,,,71,"""Erection of 71 Dwellings (Outline) (Demolition Of Existing Buildings)""",,,,,,,P/08/745   P/2008/102/ST/745,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0096,,"""53 Whitby Road, Ellesmere Port CH65 8AB""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3816910.968,-193294.2884,340150,376238,0.05,not owned by a public authority,yes,permissioned,full planning permission,26/07/2016,,,10,"""Conversion of first floor to mixed use drinking establishment (Use Class A4)/snooker hall (Use Class D2) (relocation from first floor) and one flat and conversion of first floor to form 9 flats (total 10 flats)""",,,,,,,16/02077/FUL,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0117,,"""Agra Fort, 3 to 7 Cambridge Road, Ellesmere Port, CH65 8AB""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3816832.07,-193201.4528,340240,376341,0.0337,not owned by a public authority,yes,permissioned,full planning permission,14/09/2017,,,8,"""Conversion of building to provide residetial accommodtaion - 8no one-bed apartments""",,,,,,,17/02172/FUL,30/12/2018,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0118,,"""Phoenix Social Club, Cromwell Road, Ellesmere Port, CH65 4AA",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3816818.844,-193111.911,340329,376362,0.0162,not owned by a public authority,yes,permissioned,full planning permission,08/12/2017,,,20,"""Conversion of first floor to dwelling use to create 20 bedsits/flats""",,,,,,,17/02173/FUL,30/12/2018,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0126,,"""Grace Arms, Stanney Lane, Ellesmere Port""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3817515.177,-193335.4025,340130,375483,0.4,not owned by a public authority,yes,not permissioned,,,,,,"""2no three-storey apartment blocks to provide 42no social rented units""",,,,,,,17/04425/FUL (withdrawn),30/12/2018,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,FAR/0054,,"""Grosvenor Estate Yard, Middle Lane, Aldford, Chester CH3 6JA""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3830623.784,-191939.523,341982,359202,0.66,not owned by a public authority,,not permissioned,,,,,8,"""Re-organisation of existing estate yard, provision of new forestry building and conversion of existing storage barns into 8 affordable units with associated bins/cycle stores and parking areas """,,,,,,,08/01294/FUL  11/04335/EXT,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,FRO/0038,,"""Land off Greenfield Lane, Frodsham""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3815954.784,-181759.3877,351641,378004,0.37,not owned by a public authority,,not permissioned,,,,,11,"""Residential development""",,,,,,,Site in Outer hazard zone,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,FRO/0041,,"""Land adjacent Frodsham High School, Queensway, Frodsham""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3816203.987,-181770.0857,351639,377693,,owned by a public authority,,not permissioned,,,,,,"""Residential development""",,,,,,,,30/12/2018,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,FRO/0054,,"""Mersey View Club, Overton Hill, Bellemonte Road, Frodsham Cheshire WA6 6HH """,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3816897.556,-181665.1688,351768,376834,1.39,not owned by a public authority,yes,permissioned,outline planning permission,19/11/2015,,,12,"""12 Dwellings (4 affordable), Provision of Revised Car Parking Layout to existing Hotel, Revised Access, Provision of New Access and Open Space (demolition of existing buildings) """,,,,,,,14/03835/OUT,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,GAQ/0005,,"""Land to rear of Crane Bank Garage, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824768.357,-193897.0543,339822,366411,0.18,not owned by a public authority,,not permissioned,,,,,12,"""Residential development""",,,,,,,Site in Middle;Outer hazard zone,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,GAQ/0006,,"""Southern Tail development (remaining part of allocation), New Crane Street""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824843.124,-193891.6583,339830,366318,0.66,not owned by a public authority,,not permissioned,,,,,31,"""Residential development""",,,,,,,,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,GAQ/0024,,"""Raymond House and Diocesan House, Raymond Street, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824603.346,-193637.0665,340076,366630,0.05,not owned by a public authority,yes,permissioned,full planning permission,14/10/2015,,,10,"""Change of use of existing buildings to form 18 bedroom student accommodation with ancillary rooms""",,,,,,,15/02650/FUL,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,GRA/0010,,"""Council depot and garage court off Sutton Way, Ellesmere Port""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3817120.615,-194061.2908,339391,375938,,owned by a public authority,,not permissioned,,,,,,"""Residential development""",,,,,,,,21/12/2017,30/12/2018
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,GRA/0012(a),GRA/0012,"""Former school site (The Acorns Primary and Nursery), Pooltown Road, Ellesmere Port""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3816768.682,-194526.4311,338914,376353,0.46,owned by a public authority,,not permissioned,,,,,59,"""Local Authority owned vacant site""",,,,,,,,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,GRB/0034(a),GRB/0034,"""Beechmoor Garden Centre / Shed sales, Whitchurch Road, Chester, Cheshire, CH3 5QD""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3825336.322,-190651.9537,343084,365866,0.93,not owned by a public authority,,not permissioned,,,,,5,"""Residential development""",,,,,,,,21/12/2017,30/12/2018
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,GRB/0042,,"""Foxwood, Caldy Valley Road, Great Boughton Chester Cheshire CH3 5PR""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3825291.464,-190810.5335,342924,365914,0.2,not owned by a public authority,yes,permissioned,full planning permission,10/02/2016,,,7,"""Demolition of existing bungalow and construction of 7no new two storey houses and associated garages and external works""",,,,,,,15/01278/FUL,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,HAG/0028,,"""176 and 178 Chester Road, Northwich, CW8 4AL""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3820477.668,-169059.0856,364487,372982,0.1,not owned by a public authority,,not permissioned,outline planning permission,23/08/2013,,,10,"""Demolition of existing retail units and temporary buildings and re development of the site with residential accommodation, up to 10 units""",,,,,,,13/02368/OUT,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,HAG/0065,,"""Abbey Lodge, Abbey Lane, Hartford, CW8 1LX""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3821264.868,-169868.3034,363706,371962,0.46,not owned by a public authority,yes,permissioned,full planning permission,05/04/2017,,,8,"""Demolition of existing dwelling and construction of 6no detached dwellings and pair of semi-detached dwellings""",,,,,,,16/03165/FUL (allowed on appeal),30/12/2018,
