OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,BNG_Easting,BNG_Northing
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,NW/1605,,"""North Wingfield Primary School, Draycott Road, North Wingfield""",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3399-nw-1605/file,ETRS89,-1.39016,440808,1.01,owned by a public authority,,not permissioned,,,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NT28SQLILR200,,28,"""Former school buildings are already demolished (15/00830/DEM) but no application received for re-development.""",,,,,,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file,,2017-10-31,2018-10-31,440808,365345
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,NW/2201,,"""103 Williamthorpe Road, North Wingfield""",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3401-nw-2201/file,ETRS89,-1.37925,441489,0.41,not owned by a public authority,,not permissioned,,,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=KJZO7QLI03L00,,12,"""The site was part of a larger area which has had permission for a scheme of 43 dwellings covered by 3 applications but now expired.""",,,,,,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file,,2017-10-31,2018-10-31,441489,365415
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,S&H/902,,"""Garage site and Plots off Byron Grove, Stonebroom""",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3402-s-h-902/file,ETRS89,-1.39453,440535,0.25,owned by a public authority,,not permissioned,,,,,8,,,,,,,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file,,2017-10-31,2018-10-31,440535,359076
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,WW/2201a,,"""Mill Lane, Wingerworth""",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3405-ww-2201-a/file,ETRS89,-1.41220,439230,5.38,owned by a public authority,,not permissioned,,,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=INVLYJLII2000,,143,"""In Oct 2007, planning permission (05/01143/OL) granted for a mix of uses including residential units (C3), commercial development (B1) and industrial development (B2) but expired.""",,,,,,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file,"""This brownfield site is part of the larger Avenue Strategic Site.""",2017-10-31,2018-10-31,439230,367428
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,17/00609/OL,,"""The Bungalow, Park Farm, Park Avenue, Holmesfield""",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3412-17-00609-ol/file,ETRS89,-1.52072,431899,0.38,not owned by a public authority,,permissioned,outline planning permission,2017-07-27,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OQRTQLLIK2A00,,2,"""Outline application with all matters reserved for two dwellings.""",,,,,,,"""Although located in the Green Belt it is considered that this proposal complies with para 89 of the 2012 NPPF.""",2017-10-31,2018-10-31,431899,377889
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,17/00751/FL,,"""NEDDC Area Housing Office, High Street, Dronfield, S18 1PY""",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3413-17-00751-fl/file,ETRS89,-1.47652,434850,0.2,owned by a public authority,yes,permissioned,full planning permission,2017-12-14,,,10,"""Conversion of existing buildings into residential dwellings and the development of 4 new dwellings on associated car park.""",,,,,,,,2017-10-31,2018-10-31,434850,378493
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,18/00596/FL,16/00748/FL,"""Commercial Inn, Bridge Street, Pilsley, Chesterfield, S45 8HE""",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3390-18-00596-fl/file,ETRS89,-1.36785,442258,0.11,not owned by a public authority,,pending decision,full planning permission,,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?keyVal=NQ2ZQELIL9600&activeTab=summary,,5,"""Proposed demolition of the existing Commercial Inn and construction of a purpose built residential care and nursing home""",,,,,,,,2017-10-31,2018-10-31,442258,362376
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,17/00054/FL,,"""St Peter and St Paul Church, Rectory Road, Duckmanton, Chesterfield, S44 5JH""",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3411-17-00054-fl/file,ETRS89,-1.33793,444187,0.35,not owned by a public authority,yes,permissioned,full planning permission,2018-06-13,https://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OJPVQZLI06K00,,2,"""Application for the construction of 2 detached dwellings""",,,,,,,,2017-10-31,2018-10-31,444187,371491
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,17/01059/FL,,"""Duckmanton Lodge, Chesterfield Road, Calow, Chesterfield, S44 5UJ""",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3388-17-01059-fl/file,ETRS89,-1.37594,441656,0.45,not owned by a public authority,yes,pending decision,full planning permission,,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?keyVal=M8JOI9LI2Z000&activeTab=summary,,1,"""Demolition of existing club and outbuildings and construction of 5 bed detached dwelling and garage""",,,,,,,,2017-10-31,2018-10-31,441656,371006
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,15/01141/FL,,"""The Telmere Lodge, Mansfield Road, Hasland""",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3407-15-01141-fl/file,ETRS89,-1.39443,440388,0.41,not owned by a public authority,yes,permissioned,full planning permission,2017-09-27,,,5,"""Proposed demolition of public house and ancillary buildings/structures and construction of 3 houses and 2 bungalows""",,,,,,,"""The Council considers that the re-development of the site for five houses would not have an impact on the openness of the Green Belt compared to the existing use and occupation of the site.""",2017-10-31,2018-10-31,440388,368734
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,16/01160/OL,,"""115, North Wingfield Road, Grassmoor""",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3409-16-01160-ol/file,ETRS89,-1.39857,440149,0.28,not owned by a public authority,,permissioned,outline planning permission,2017-06-02,,,7,"""Demolition of retail unit and proposed residential development""",,,,,,,,2017-10-31,2018-10-31,440149,367585
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,17/01162/FL,16/00113/OL,"""Pilsley Miners Welfare, Rupert Street, Pilsley""",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3389-17-01162-fl/file,ETRS89,-1.37287,441922,0.3,owned by a public authority,yes,permissioned,full planning permission,2018-03-06,,,4,"""Demolition of Former Miners Welfare and erection of 4 detached  dwellings""",,,,,,,"""Although situated outside the Settlement Development Limit the principles of redevelopment have been accepted as part of the outline planning permission.""",2017-10-31,2018-10-31,441922,363030
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,16/00569/FL,,"""The Rectory, Rectory Road, Long Duckmanton""",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3408-16-00569-fl/file,ETRS89,-1.33928,444059,0.39,not owned by a public authority,yes,permissioned,full planning permission,2016-10-14,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?keyVal=O84U5ALIGQQ00&activeTab=summary,,8,"""Demolition of existing care home and construction of 8 dwellings""",,,,,,,"""Currently decision pending for  application to discharge conditions (18/01065/DISCON)""",2017-10-31,2018-10-31,444059,371400
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,15/01085/FL,,"""Fleur de Lys Hotel, Main Road, Unstone, Dronfield, S18 4AB""",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3406-15-01085-fl/file,ETRS89,-1.44325,437081,0.13,mixed ownership,,permissioned,full planning permission,2016-12-14,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?keyVal=MML62LLI01800&activeTab=summary,,8,"""Demolition of public house and erection of 8 no. dwellings""",,,,,,,,2017-10-31,2018-10-31,437081,377360
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,16/01251/FL,,"""Danesmoor County Infant School Pilsley Road Danesmoor Chesterfield S45 9BN""",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3410-16-01251-fl/file,ETRS89,-1.40131,440042,0.12,owned by a public authority,,permissioned,full planning permission,2018-02-16,https://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=OHI3TALIIF500,,5,"""Erection of 28 new Dwellings""",,,,,,,"""Section 106 completed""",2018-10-31,2018-10-31,440042,363215
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,18/00613/FL,,"""Deans Foods Ltd Stocks Lane Duckmanton Chesterfield S44 5HZ""",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3391-18-00613-fl/file,ETRS89,-1.33739,444199,0.77,not owned by a public authority,,pending decision,full planning permission,,https://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PAD864LIFVR00,,32,"""Application for residential development of 32 dwellings""",,,,,,,"""Latest planning permission (13/00314/FL) for redevelopment of site for 27 two storey dwellings expired in Jan 2017; principle of residential re-development established.""",2018-10-31,2018-10-31,444199,371383
