OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURI,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part 2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0051,,"""Ash Hotel, 232 Manchester Road, Heaton Norris, Stockport""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.166793216,53.4232351,0.44,Unknown ownership,yes,Not permissioned,,,,,17,,,,17,17,,,,21/12/2017,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0053,,"""Broadstone Mill, Broadstone Road, Reddish, SK5 7DL""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.165234584,53.43498716,0.61,Unknown ownership,yes,Not permissioned,,,,,90,,,,90,90,,,,21/12/2017,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0054,,"""Springmount Mill, Northgate Road, Stockport""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.179431757,53.40568991,0.77,Unknown ownership,yes,Not permissioned,,,,,175,,,,175,175,,,,21/12/2017,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0055,,"""The Rope Works, Stanbank Street, South Reddish""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.163727277,53.42207867,0.26,unknown ownership,yes,Permissioned,full planning permission,20180228,,,34,,,,34,34,,,DC/063392,21/12/2017,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0057,,"""Meadow Mill Water Street Portwood SK1 2BX""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.151490271,53.41841887,1.12,mixed ownership,yes,Permissioned,full planning permission,20170918,,,217,,,,217,217,,,DC/063280,21/12/2017,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0058,,"""Roland Road, Reddish, Stockport, SK5 6TJ""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.158687468,53.43580223,1.25,Unknown ownership,yes,Not permissioned,,,,,35,,,,35,35,,,,21/12/2017,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0059,,"""Adswood Road/Siddington Avenue, Adswood""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.167182212,53.39447306,2.03,Unknown ownership,yes,Not permissioned,,,,,70,,,,70,70,,,,21/12/2017,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0060,,"""Factories at Compstall Village, Andrew Street, Romiley""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.053995562,53.41333423,3.33,Mixed ownership,yes,Not permissioned,,,,,160,,,,160,160,,,,21/12/2017,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0061,,"""Former Cheadle Brickwork Site, Adswood Road, Cheadle Hulme""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.171774766,53.38429012,9.33,Unknown ownership,yes,Not permissioned,,,,,160,,,,160,160,,,,21/12/2017,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0067,,"""Offerton Industrial Estate, Hempshaw Lane, Offerton, Stockport, SK2 5TJ""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.136892188,53.40212297,3.15,Unknown ownership,yes,Not permissioned,,,,,144,,,,144,144,,,,21/12/2017,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0068,,"""Green Lane, Romiley, Stockport SK6 3JQ""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.096803644,53.41228592,0.76,Unknown ownership,yes,Not permissioned,,,,,27,,,,27,27,,,,11/12/2018,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0069,,"""Goyt Mill""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.064579319,53.38571699,0.73,Unknown ownership,yes,Not permissioned,,,,,40,,,,40,40,,,,11/12/2018,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0070,,"""Hurstfield Industrial Estate, Hurst Street, Reddish""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.163288823,53.43380056,1.22,Unknown ownership,yes,Not permissioned,,,,,43,,,,43,43,,,,11/12/2018,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0071,,"""Woodbank Works Industrial Estate, Turncroft Lane, Stockport""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.144693069,53.40980419,2.33,Unknown ownership,yes,Not permissioned,,,,,69,,,,69,69,,,,11/12/2018,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0072,,"""Royal Oak Hotel, 104 Commercial Road Hazel Grove  SK7 4BP""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.118251556,53.38406455,0.34,unknown ownership,yes,Permissioned,full planning permission,20161109,,,10,,,,10,10,,,DC/062666,11/12/2018,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0073,,"""Further Hey, 41-43 Werneth Road, Woodley, SK6 1HP""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.08802247,53.42646928,0.5,mixed ownership,yes,Permissioned,outline planning permission,20161116,,,5,,,,5,5,,,DC/062746,11/12/2018,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0074,,"""Land South Of Booth Street Edgeley""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.163213849,53.40123109,1.42,unknown ownership,yes,Permissioned,full planning permission,20180209,,,47,,,,47,47,,,DC/067397,11/12/2018,11/12/2018
