OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/south-lakeland,BLR11,"""Mixed use allocation at Guide's Lot, Grange""",-2.7481,54.3228,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR11,1.15,owned by a public authority,not permissioned,,,,,16,16,,"Allocated in Local Plan, 0.37ha for employment land.",01/12/2017,01/12/2019,
http://opendatacommunities.org/id/district-council/south-lakeland,BLR12,"""Morecambe Road Scrapyard, Ulverston""",-2.7488,54.3328,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR12,0.39,not owned by a public authority,not permissioned,,,,,12,12,,Allocated in Local Plan,01/12/2017,01/12/2019,
http://opendatacommunities.org/id/district-council/south-lakeland,BLR13,"""North of Watery Lane, Ulverston""",-3.0631,54.2182,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR13,0.12,not owned by a public authority,pending decision,,,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2018/0311&ApplicationNumber=2018%2F0311&AddressPrefix=&Postcode=&Submit=Search,yes,8,8,,Residential development for up to 28 dwellings (brownfield and greenfield areas),01/12/2017,01/12/2019,
http://opendatacommunities.org/id/district-council/south-lakeland,BLR14,"""Millers Scrap Yard, Back Lane, Ulverston""",-2.8318,54.2032,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR14,0.2,not owned by a public authority,not permissioned,,,,,6,10,,"Permission for dismantling/removal of steel portal and demolition of workshops and relocation of scrapyard to another location, leaving this site available for redevelopment.",01/12/2017,01/12/2019,
http://opendatacommunities.org/id/district-council/south-lakeland,BLR15,"""Dragley Beck Depot, Ulverston""",-2.8301,54.1939,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR15,0.15,owned by a public authority,not permissioned,,,,,6,6,,County Council depot site available for redevelopment. Within Flood Zone 2 therefore the sequential test would need to be undertaken.,01/12/2017,01/12/2019,
http://opendatacommunities.org/id/district-council/south-lakeland,BLR16,"""Land off Queen's Drive, Arnside""",-3.0922,54.1964,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR16,0.12,not owned by a public authority,not permissioned,,,,,6,6,,"Garage block in residential area, allocated for residential development in the Arnside and Silverdale AONB Local Plan. (See Policy AS17)",01/12/2017,01/12/2019,
http://opendatacommunities.org/id/district-council/south-lakeland,BLR17,"""Land at Sandside Road and Quarry Lane, Sandside""",-2.7435,54.3196,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR17,3.09,not owned by a public authority,not permissioned,,,,,20,40,,"Allocated in Arnside and Silverdale AONB Local Plan for mixed uses including employment , residential and community (See Policy AS25).",01/12/2017,01/12/2019,
http://opendatacommunities.org/id/district-council/south-lakeland,BLR18,"""Police Station, Neville St, Ulverston""",-2.7481,54.3249,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR18,0.28,not owned by a public authority,not permissioned,,,,,10,10,,Site was sold in early 2019 and had been marketed as a redevelopment opportunity.,01/12/2017,01/12/2019,
http://opendatacommunities.org/id/district-council/south-lakeland,BLR19,"""Rear of Captain French Health Centre, Chapel Lane""",-2.7478,54.3348,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR19,0.28,not owned by a public authority,not permissioned,,,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2014/0527&ApplicationNumber=2014%2F0527&AddressPrefix=&Postcode=&Submit=Search,,8,8,,Recently expired planning permission for an apartment building comprising 8 apartments.,01/12/2017,01/12/2019,
http://opendatacommunities.org/id/district-council/south-lakeland,BLR20,"""Armadale Hotel, Arrad Foot""",-2.7279,54.3226,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR20,0.04,not owned by a public authority,permissioned,outline planning permission,26/04/2018,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2018/0092&ApplicationNumber=&AddressPrefix=armadale+hotel&Postcode=&Submit=Search,,5,5,,"Permission granted April 2018 for residential development. Redevelopment of hotel site. Gross 7 units, net 5.",01/12/2017,01/12/2019,
http://opendatacommunities.org/id/district-council/south-lakeland,BLR21,"""Former Garage, Ashleigh Road, Arnside""",-2.7434,54.3247,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR21,0.07,not owned by a public authority,not permissioned,,,,,5,5,,"Former garage site, with potential for 5 dwellings if small apartments.",01/12/2017,01/12/2019,
http://opendatacommunities.org/id/district-council/south-lakeland,BLR22,"""Garages at Stewart Close, Arnside""",-2.7476,54.331,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR22,0.07,not owned by a public authority,not permissioned,,,,,5,5,,Garage block in residential area.,01/12/2017,01/12/2019,
http://opendatacommunities.org/id/district-council/south-lakeland,BLR23,"""Hartley's Brewery, Ulverston""",-2.7209,54.1818,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR23,0.34,not owned by a public authority,not permissioned,,,,,20,50,,Being marketed for redevelopmnet.  Previous lapsed planning permission for retail development.,01/12/2018,01/12/2019,
http://opendatacommunities.org/id/district-council/south-lakeland,BLR24,"""K Village, Kendal""",-3.0839,54.1861,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR24,0.93,not owned by a public authority,permissioned,full planning permission,29/11/2018,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2018/0707&ApplicationNumber=&AddressPrefix=k+village&Postcode=&Submit=Search,yes,88,88,,"Part redevelopment of existing building (via change of use, occupation of redundant plant space and conversion / extension of roof space) to provide 69 bedroom hotel (Class C1), 88 one-bedroom apartments (Class C3), office space (Class B1) and flexible retail / office space (Classes A1, A2, A3 and B1) with external alterations to existing elevations and internal courtyard space. Under construction.",01/12/2018,01/12/2019,
http://opendatacommunities.org/id/district-council/south-lakeland,BLR25,"""114 Highgate, Kendal""",-2.7422,54.32,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR25,0.07,not owned by a public authority,not permissioned,,,,,5,15,,"Vacant retail premises and upper floors, on Kendal’s high street, recently marketed for redevelopment and sold in August 2019. A planning application (SL/2018/0120) was submittted but not progressed. ",01/12/2018,01/12/2019,
http://opendatacommunities.org/id/district-council/south-lakeland,BLR26,"""Kendal Magistrates' Court""",-2.742,54.321,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR26,0.53,not owned by a public authority,pending decision,pending decision,,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2019/0841,yes,64,64,,Current application for demolition of existing building and redevelopment to form 64 retirement living apartments.,01/12/2018,01/12/2019,
http://opendatacommunities.org/id/district-council/south-lakeland,BLR27,"""Garage site east of Castle Drive, Kendal""",-3.0963,54.195,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR27,0.13,not owned by a public authority,permissioned,full planning permission,25/09/2019,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2019/0176&ApplicationNumber=2019%2F0176&AddressPrefix=&Postcode=&Submit=Search,yes,5,5,,Redevelopment of garage site for five affordable dwellings.,01/12/2019,01/12/2019,
http://opendatacommunities.org/id/district-council/south-lakeland,BLR28,"""9 and 10 Aynam Road, Kendal""",-2.9544,54.2023,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR28,0.06,not owned by a public authority,permissioned,full planning permission,29/11/2019,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2018/0181&ApplicationNumber=2018%2F0181&AddressPrefix=&Postcode=&Submit=Search,,7,7,,"Demolition of shop, workshop, stores and house and erection of 8 apartments. Gross 8 units, net 7 units.",01/12/2019,01/12/2019,
