Organisation URI,Organisation Label,Site Reference,Previously Part Of,Site Name Address,Site Plan URL,Coordinate Reference System,GeoX,GeoY,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed For PIP,Min Net Dwellings,Development Description,Non Housing Development,Part 2,Net Dwellings Range From,Net Dwellings Range To,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date,Alternative References,Owners,Housing Delivery Estimate,Site status
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/LON/001,,"""Former Cygnet House Care Home, Long Stratton""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C2015%2F0385 ,OSGB36,619531,293062,2.39,Not owned by a public authority,Yes,Permissioned,Reserved matters approval,18/03/2016,https://info.south-norfolk.gov.uk/online-applications/,,50,"""Demolition and redevelopment for 50 dwellings and 800 sqm offices (B1a)""","""Permission includes 800 sqm office (B1(a)) use""",,,,,,"""Outline planning permission (2013/0265) and reserved matters approval (2015/0385) for redevelopment for 50 dwellings and 800 sqm office (class B1a)"" ",31/12/2017,31/12/2017,,Not known,2017-18,Started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/LON/002,,"""39 Swan Lane, Long Stratton""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C2016%2F0904 ,OSGB36,619373,293026,0.07,Not owned by a public authority,Yes,Permissioned,Full planning permission,08/06/2016,https://info.south-norfolk.gov.uk/online-applications/,,5,"""Demolition and redevelopment of house/office for 6 flats""",,,,,,,"""Full planning permission (2016/0904) for rededelopment of house / office for 6 one bedroom flats""",31/12/2017,31/12/2017,,Not known,2017-18,Started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/TRO/001,,"""May Gurney & Keir site & Carrow Yacht Club, Trowse""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C2011%2F0152 ,OSGB36,624621,307167,2.78,Not owned by a public authority,,Permissioned,Outline planning permission,12/07/2013,https://info.south-norfolk.gov.uk/online-applications/,,90,"""Redevelopment for 670 dwellings and commercial uses, 580 of the units are in Norwich City Council area""","""Permission includescommercial uses (A1,A2,A3) restaurant and public house (A3/A4) (2475 sqm gross internal floorspace)""",,,,,,"""Outline permission (2011/0152) for 670 dwellings, commercial uses, restaurant and public house.  Overlaps district boundary, with 580 units located in Norwich City Council area"".",31/12/2017,31/12/2017,,Not known,2022- 2027,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/WIC/001,,"""High Oaks Works, Wicklewood""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C2011%2F0664 ,OSGB36,607115,301047,1.59,Not owned by a public authority,Yes,Permissioned,Reserved matters approval,22/05/2014,https://info.south-norfolk.gov.uk/online-applications/,,6,"""Redevelopment for 6 dwellings""",,,,,,,"""Outline permission (2011/0664) and reserved matters approval (2014/0259) for redevelopment of industrial area for 6 dwellings""",31/12/2017,31/12/2017,,Not known,2017-18,Started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/WYM/001,,"""Former Sale Ground,  Cemetery Rd, Wymondham""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2CWYM%202 ,OSGB36,611371,301060,1.88,Not owned by a public authority,Yes,,,,https://info.south-norfolk.gov.uk/online-applications/,,64,"""Redevelopment for 64 dwellings and commercial use""","""Allocation includes an element of commercial use""",,,,,,"""Allocated site (WYM2) for mixed use - 64 dwellings and an element of commercial use""",31/12/2017,31/12/2017,WYM2,Not known,2020-22,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/WYM/002,,"""BOCM Paul, Rightup Lane, Wymondham""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C2012%2F1716 ,OSGB36,611939,300728,0.82,Not owned by a public authority,Yes,Permissioned,Reserved matters approval,02/10/2013,https://info.south-norfolk.gov.uk/online-applications/,,14,"""Redvelopment for 14 dwellings""",,,,,,,"""Outline permission (2012/1716) and reserved matters approval (2016/2286) for redevelopment of former mill for 14 dwellings""",31/12/2017,31/12/2017,,Not known,2018-19,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/DIC/001,,"""Off Ipswich Road, Dickleburgh & Rushall""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2CGNLP0361,OSGB36,616684,282229,0.56,Not owned by a public authority,Yes,Not permissioned,,,https://info.south-norfolk.gov.uk/online-applications/,,10,"""Low density development of up to 10 dwellings""",,,,,,,"""Approx 50% inside settlement boundary""",,,GNLP0361 ,Mrs Pauline Garnham,2018-21,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/HAR/,,"""Apollo Club, Mendham Lane, Hartleston, Norfolk IP20 9DN""",,,,,,Not owned by a public authority,Yes,Not permissioned,,,https://info.south-norfolk.gov.uk/online-applications/,,,,,,,,,,,,,GNLP0263,,,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/COS/,,"""Roundwell Works, Costessey, Norfolk""",,,,,,Not owned by a public authority,Yes,Not permissioned,,,https://info.south-norfolk.gov.uk/online-applications/,,,,,,,,,,,,,GNLP0593,,,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/HAR/003,,"""Apollo Club, Mendham Lane, Hartleston""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2CGNLP0263 ,OSGB36,624712,283002,0.48,Not owned by a public authority,Yes,Not permissioned,,,https://info.south-norfolk.gov.uk/online-applications/,,10,"""10-15 homes or retail""","""Possible retail - small food store/supermarket c1000m2""",,,,,,"""Former garage site""",,,GNLP0263,PFK Ling Ltd,2018-21,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/COS/002,,"""Roundwell Works, Costessey""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2CGNLP0593 ,OSGB36,616922,310159,1.28,Not owned by a public authority,Yes,Not permissioned,,,https://info.south-norfolk.gov.uk/online-applications/,,25,"""Residential - 55 dwellings.""",,,,,,,"""Currently an employment site""",,,GNLP0593,Tredwell Developments Ltd,2018-21,Not started
