OrganisationURI,Organisation Label,Site Reference,Previously Part Of,Site Name Address,Site plan URL,Coordinate Reference System,GeoX,GeoY,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed For PIP,Min Net Dwellings,Development Description,Non Housing Development,Part2,Net Dwellings Range From,Net Dwellings Range To,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date,Location
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR17,,"The Imperial Oriental, 13 - 14 South Bar Street, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445346,240268,0.03,Not owned by a public authority,yes,Not permissioned,,,,,7,"Planning permission for partial demolition of
ground floor rear
extension, conversion and
alterations to property to
provide 7 No. self
contained residential units
with class A1 retail unit to
ground floor frontage expired in March 2018.",,,,,,,Planning permission expired in March 2018,04/12/2017,03/12/2018,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR20,,"Former Bicester Library, Old Place Yard, Bicester",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,458354,222208,0.04,Owned by a public authority,yes,Not permissioned,,,,,3,2017 HELAA site - HELAA080. The site could accommodate 3 dwellings.,,,,,,,The site was previously used as a library however is now vacant. Part of land identified for residential development in the Non-Statutory Cherwell Local Plan 2011.,04/12/2017,30/10/2019,Bicester
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR22,,"McKay Trading Estate, Station Approach, Bicester",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,458622,222054,1.2,Not owned by a public authority,yes,Not permissioned,,,,,60,2017 HELAA site - HELAA070.  The site could accommodate 60 dwellings as part of a mixed-use scheme.,Employment - B use class (commensurate scale),,,,,,The site is currently being used for employment purposes and is located at an industrial estate. Planning permission given for redevelopment to include new offices.,04/12/2017,04/12/2017,Bicester
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR23,,"St Edburg's School, Cemetery Road, Bicester",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,458143,222246,0.37,Not owned by a public authority,yes,Not permissioned,,,,,10,2017 HELAA site - HELAA262. The site could accommodate 14 dwellings.,,,,,,,Development principles approved in October 2008 for re-use of school buildings.,04/12/2017,04/12/2017,Bicester
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR26,,"Varneys Garage, Quarry Road, Hornton",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,437897,245768,0.35,Not owned by a public authority,yes,Permissioned,outline planning permission,30/05/2018,https://planningregister.cherwell.gov.uk/Search,,3,"18/00568/OUT - Application for redevelopment of existing car repair/sales, scrap yard/waste handling depot to residential development for three dwellings.",,,,,,,,04/12/2017,30/10/2019,Hornton
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR28,,"Builder's Yard, The Moors, Kidlington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,449362,214579,0.3,Owned by a public authority,,Permissioned,full planning permission,25/05/2018,https://planningregister.cherwell.gov.uk/Search,,6,18/00384/OUT - Outline development of up to 6 no dwellings and the demolition of the former Smithy building and garages. All matters reserved other than means of access.,,,,,,,2017 HELAA Site - HELAA149,04/12/2017,30/10/2019,Kidlington
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR31,,"The Plough Inn, Merton",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,457575,217639,0.38,Not owned by a public authority,yes,Not permissioned,,,,,1,15/00429/OUT - Development of 1No dwelling house - all matters reserved,,,,,,,Planning permission expired in May 2018.,04/12/2017,30/10/2019,Merton
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR35,,"153 And 155 Middleton Road, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,446491,241052,0.051,Not owned by a public authority,yes,Permissioned,full planning permission,21/04/2017,https://planningregister.cherwell.gov.uk/Search,,8,"17/00378/F - Alteration, conversion and rear extension to form 8 flats.",,,,,,,,03/12/2018,03/12/2018,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR39,,"Inside Out Interiors Ltd, 85 - 87 Churchill Road, Bicester",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,459330,223175,0.19,Not owned by a public authority,yes,Permissioned,outline planning permission,19/05/2017,https://planningregister.cherwell.gov.uk/Search,,10,"16/02461/OUT - Conversion of existing building to provide 5No two bed house, 1No two bed flat and 1No one bed flat. New build to provide 1No commercial unit with outside space, parking and cycle storage + 3No two bed flats",1 commercial unit,,,,,,,03/12/2018,03/12/2018,Bicester
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR40,,"Land Adjacent 83 And 85 Part Of Car Park Sheep Street, Bicester",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,458352,222705,0.1,Not owned by a public authority,yes,Permissioned,full planning permission,19/02/2018,https://planningregister.cherwell.gov.uk/Search,,9,17/02585/F - Retail units and 9 residential apartments.,Retail units,,,,,,,03/12/2018,03/12/2018,Bicester
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR42,,"Gurkha Village, 174 Oxford Road, Kidlington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,449587,213246,0.23,Not owned by a public authority,yes,Permissioned,full planning permission,18/04/2017,https://planningregister.cherwell.gov.uk/Search,,5,17/00419/F - Erection of 2 storey building to provide 5 No flats.,,,,,,,,03/12/2018,03/12/2018,Kidlington
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR43,,"44 Banbury Road, Kidlington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,448834,214291,0.07,Not owned by a public authority,yes,Permissioned,full planning permission,29/08/2017,https://planningregister.cherwell.gov.uk/Search,,5,17/01430/F - Demolition of existing bungalow and erection of a 3 storey building with the upper storey in the roofspace to provide 4 x 2 bedroom flats and 2 x 1 bedroom flats.,,,,,,,,03/12/2018,03/12/2018,Kidlington
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR44,,"2A - 4 Broad Street, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445720,240553,0.02,Not owned by a public authority,yes,Permissioned,full planning permission,16/08/2018,https://planningregister.cherwell.gov.uk/Search,,6,18/00799/F - Division of ground floor into two retail units. Conversion of first and second floor from retail to domestic (change of use). Additional floor at rear for domestic accomodation.,Retail units,,,,,,,30/10/2019,30/10/2019,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR45,,"Land to the rear of 45 to 53 Hightown Road, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445913,230533,1.5,Not owned by a public authority,yes,Permissioned,full planning permission,01/11/2018,https://planningregister.cherwell.gov.uk/Search,,8,"18/01441/F - Demolition of 47 High Town Road, Banbury and the erection of 9 dwellings, new access and ancillary works.",,,,,,,,30/10/2019,30/10/2019,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR46,,"Banbury Cycles, 56 - 58 Broad Street, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445688,240494,0.04,Not owned by a public authority,yes,Permissioned,full planning permission,08/01/2019,https://planningregister.cherwell.gov.uk/Search,,7,18/01971/F - Conversion of first floor and construction of a new second floor over to form 6 self contained flats. Conversion of rear cottage to form a ground floor office and a maisonette on the first and second floors.,Ground floor office,,,,,,,30/10/2019,30/10/2019,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR47,,"Ilbury Farm, Nether Worton Road, Hempton, Deddington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,443429,231034,0.35,Not owned by a public authority,yes,Permissioned,full planning permission,28/02/2019,https://planningregister.cherwell.gov.uk/Search,,0,"18/02208/F - Demolition of existing dwelling, erection of replacement dwelling and garage with associated access and landscaping and associated change of use of land.",,,,,,,,30/10/2019,30/10/2019,Deddington
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR48,,"76 Bicester Road, Kidlington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,450045,213423,0.09,Not owned by a public authority,yes,Permissioned,full planning permission,14/01/2019,https://planningregister.cherwell.gov.uk/Search,,6,18/01758/F - Alteration and extension to form 7 no one and two bedroom flats with parking and ancillary space.,,,,,,,,30/10/2019,30/10/2019,Gosford and Water Eaton
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR49,,"Land adjacent Braeside Rope Way, Hook Norton",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,435786,232928,0.25,Not owned by a public authority,yes,Permissioned,full planning permission,28/09/2018,https://planningregister.cherwell.gov.uk/Search,,3,18/01061/F - Demolition of existing garage and alteration of existing access. Erection of four dwellings with associated garages and parking spaces.,,,,,,,,30/10/2019,30/10/2019,Hook Norton
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR50,,"Brymbo Bungalows, Station Road, Hook Norton",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,436846,233910,0.49,Not owned by a public authority,yes,Permissioned,full planning permission,26/10/2018,https://planningregister.cherwell.gov.uk/Search,,-1,18/01507/F - Demolition of 2 no existing bungalows and erection of 1 no replacement dwellings; conversion of existing engine shed to ancillary accomodation.,,,,,,,,30/10/2019,30/10/2019,Hook Norton
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR51,,"British Waterways Site, Langford Lane, Kidlington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,448183,214939,0.4,Not owned by a public authority,yes,Permissioned,full planning permission,23/11/2018,https://planningregister.cherwell.gov.uk/Search,,10,"17/01556/F - Redevelopment of site comprising the erection of 10 dwellings, formation of new boaters car park and conversion of existing outbuildings to form ancillary accomodation to residential properties.",,,,,,,,30/10/2019,30/10/2019,Kidlington
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR52,,"2 - 4 High Street, Kidlington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,449034,214064,0.11,Not owned by a public authority,yes,Permissioned,full planning permission,12/07/2018,https://planningregister.cherwell.gov.uk/Search,,16,18/00809/O56 - Change of use from offices to residential comprising of 16 no flats.,,,,,,,,30/10/2019,30/10/2019,Kidlington
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR53,,"Kings Two Wheel Centre 139 Oxford Road, Kidlington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,449569,213494,0.11,Not owned by a public authority,yes,Permissioned,full planning permission,28/03/2019,https://planningregister.cherwell.gov.uk/Search,,10,18/01388/F - Demolition of existing vacant workshop and show room buildings. Erection of two and three storey building to provide 10 no dwellings and provision of off-street car parking.,,,,,,,,30/10/2019,30/10/2019,Kidlington
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR54,,"162 The Moors, Kidlington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,448718,214832,0.07,Not owned by a public authority,yes,Permissioned,full planning permission,25/05/2018,https://planningregister.cherwell.gov.uk/Search,,5,18/00259/F - Demolition of existing two storey house and erection of building to form 6 flats.,,,,,,,,30/10/2019,30/10/2019,Kidlington
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR55,,"Winterlake Springwell Hill, Bletchingdon",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,450130,218782,0.58,Not owned by a public authority,yes,Permissioned,full planning permission,03/12/2018,https://planningregister.cherwell.gov.uk/Search,,0,18/01750/F - Demolition of existing dwellings and erection of a replacement dwelling.,,,,,,,,30/10/2019,30/10/2019,Kirtlington
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR56,,"High Haven Farm, Hawthorn Hill, South Newington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,439888,232027,0.95,Not owned by a public authority,yes,Permissioned,full planning permission,28/02/2019,https://planningregister.cherwell.gov.uk/Search,,0,19/00007/F - Demolition of existing dwellings and erection of a replacement dwelling and associated outbuilding.,,,,,,,,30/10/2019,30/10/2019,South Newington
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR57,,"Former Garage Block to the rear of 63 To 65 Spencer Avenue, Yarnton",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,447589,212434,0.21,Not owned by a public authority,yes,Permissioned,full planning permission,20/12/2018,https://planningregister.cherwell.gov.uk/Search,,5,18/01860/F - Erection of building comprising of 5 x flats.,,,,,,,,30/10/2019,30/10/2019,Yarnton
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR58,,"198 & 200 Woodstock Road, Yarnton",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,447442,213121,0.31,Not owned by a public authority,yes,Permissioned,full planning permission,17/01/2019,https://planningregister.cherwell.gov.uk/Search,,0,18/02034/F - Demolition of existing pair of semi-detached dwellings and erection of 2 replacement dwellings with garaging and associated landscaping.,,,,,,,,30/10/2019,30/10/2019,Yarnton
OrganisationURI,Organisation Label,Site Reference,Previously Part Of,Site Name Address,Site plan URL,Coordinate Reference System,GeoX,GeoY,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed For PIP,Min Net Dwellings,Development Description,Non Housing Development,Part2,Net Dwellings Range From,Net Dwellings Range To,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date,Location
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR1,,"The Tally Ho Inn, 45 Ploughley Road, Arncott",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,461025,218018,0.4,Not owned by a public authority,yes,Permissioned,full planning permission,14/08/2017,https://www.publicaccess.cherwell.gov.uk/online-applications/,,0,17/01079/F - Change of use of accommodation Blocks 2 and 3 (bedroom accommodation) (Use Class C1) to 9 no. 1 bedroom retirement homes (Use Class C3),,,,,,,The permission has been superseded by 19/00933/F which is change of use from hotel (C1) to residential training institute (C2).,04/12/2017,30/10/2019,Arncott
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR3,,"15 - 16 South Bar Street, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445345,240259,0.02,Not owned by a public authority,yes,Permissioned,full planning permission,13/02/2018,https://www.publicaccess.cherwell.gov.uk/online-applications/,,0,17/01313/F - Conversion of existing 3-storey commercial building into 3 flats and erection of new rear extension to accommodate a further 5 residential apartments,,,,,,,Development has commenced on site,04/12/2017,30/10/2019,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR6,,"60 - 62 Broad Street, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,`,445688,240512,0.06,Not owned by a public authority,yes,Permissioned,full planning permission,24/04/2017,https://www.publicaccess.cherwell.gov.uk/online-applications/,,0,16/02529/F -  alterations to building and change of use to form retail units at ground floor level and 12 No self contained flats over,2 retail units at ground floor (346 sqm),,,,,,Development has commenced on site,04/12/2017,30/10/2019,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR18,,"The Unicorn, Market Place, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445612,240640,0.04,Not owned by a public authority,yes,Permissioned,full planning permission,24/01/2017,https://www.publicaccess.cherwell.gov.uk/online-applications/,,0,16/01661/F - Conversion of Unicorn Inn and coach house to residential use (7 flats).  Internal and external alterations.,,,,,,,Development has commenced on site,04/12/2017,30/10/2019,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR21,,"Garage Block Rear Of 52 To 58 Bucknell Road, Bicester",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,457893,223267,0.1,Not owned by a public authority,yes,Permissioned,full planning permission,19/09/2016,https://www.publicaccess.cherwell.gov.uk/online-applications/,,0,16/01421/F - Demolition of existing garage. Development of 4 apartments (2 x 1 bed units and 2 x 2 bed units). Provision of associated external areas to include parking| bin and cycle stores.,,,,,,,Permission superseded by 18/00102/F which was completed in September 2018 (2018/19).,04/12/2017,30/10/2019,Bicester
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR25,,"The George And Dragon, 15 East Street, Fritwell",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,452817,229340,0.15,Not owned by a public authority,,Permissioned,full planning permission,15/11/2017,https://www.publicaccess.cherwell.gov.uk/online-applications/,,0,"17/01954/F - 7 No new residential
dwellings with associated
access and parking
arrangements.",,,,,,,Development has commenced on site,04/12/2017,30/10/2019,Fritwell
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR27,,"65 Oxford Road, Kidlington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,449288,213797,0.1,Not owned by a public authority,yes,Permissioned,full planning permission,24/02/2017,https://www.publicaccess.cherwell.gov.uk/online-applications/,,0,16/02550/F - Demolition of existing dwelling; erection of 6 No two bed flats; parking for six vehicles is to be provided as well as accompanying ancillary/amenity provision.,,,,,,,"The site was completed in
March 2018 (2017/18).",04/12/2017,30/10/2019,Kidlington
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR32,,"Tyre Depot, South of Cassington Road, Yarnton",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,447951,211899,0.9,Not owned by a public authority,yes,Not permissioned,,,,,0,13/00330/OUT - Erection of 16 dwellings and new access road was approved subject to legal agreement but then withdrawn.,,,,,,,The application was withdrawn. Commercial uses implemented.,04/12/2017,30/10/2019,Yarnton
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR33,,"Gosford Hill Court, Bicester Road, Kidlington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,449912,213415,0.26,Not owned by a public authority,yes,Permissioned,full planning permission,28/12/2017,https://www.publicaccess.cherwell.gov.uk/online-applications/,,0,17/02208/F - Roof extension to existing block of flats to create additional two number two bedroom flats.,,,,,,,"The site was completed in
June 2018 (2018/19).",03/12/2018,30/10/2019,Gosford and Water Eaton
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR34,,"Akeman Spinney, Heyford Road, Kirtlington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,450062,220359,0.56,Not owned by a public authority,yes,Permissioned,full planning permission,19/12/2017,https://www.publicaccess.cherwell.gov.uk/online-applications/,,0,"17/02158/F - Demolition of existing dwelling, erection of 5 No dwellings.",,,,,,,Development has commenced on site,03/12/2018,30/10/2019,Kirtlington
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR36,,"Garage Blocks Rear Of Mold Crescent Penrose Drive, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,446491,241052,0.17,Not owned by a public authority,yes,Permissioned,full planning permission,30/05/2017,https://www.publicaccess.cherwell.gov.uk/online-applications/,,0,17/00756/F - Erection of 6 No. dwellings and associated car parking on site of former garage block.,,,,,,,"The site was completed in
March 2019 (2018/19).",03/12/2018,30/10/2019,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR37,,"Garage Block Opposite 5 Penrhyn Close, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,443386,241156,0.09,Not owned by a public authority,yes,Permissioned,full planning permission,01/12/2017,https://www.publicaccess.cherwell.gov.uk/online-applications/,,0,17/01693/F - Erection of a building to provide 9 No. age-restricted retirement living apartments on a former garage site.,,,,,,,Development has commenced on site,03/12/2018,30/10/2019,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR38,,"Garage Block 1 Rear Of 214 To 226 Bretch Hill, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,443685,240420,0.17,Not owned by a public authority,yes,Permissioned,full planning permission,14/02/2018,https://www.publicaccess.cherwell.gov.uk/online-applications/,,0,17/02270/F - Demolition of garage block and erection of 5 No. new dwellings and associated parking.,,,,,,,Development has commenced on site,03/12/2018,30/10/2019,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR41,,"78 Bicester Road, Kidlington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,450060,213423,0.09,Not owned by a public authority,yes,Permissioned,full planning permission,05/07/2017,https://www.publicaccess.cherwell.gov.uk/online-applications/,,0,17/01067/F - Demolition of existing bungalow and erection of building to form six apartments with parking.,,,,,,,Development has commenced on site,03/12/2018,30/10/2019,Kidlington
