Organisation URL,Organisation Label,Site Reference,Land Type,Alt Site Reference,Previously Part Of,Site Name Address,Site Plan URL,Geo X,Geo Y,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed For PIP,Min Net Dwellings,Development Description,Non Housing Development,Proposed Use,C2 (RI),C3 (H),C3 (HOP),C3 (SB/CB),Sui Generis,Other,A1,A2,A3,A4,A5,AA,B1,B2,B8,C1,D1,D2,Other.1,First Added date,Last Updated date,Part 2,Net Dwellings Range From,New Dwellings Range to,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0011,brownfield,16/0933,,"William Street, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2016%20Planning%20Applications/16-0933/16-0933-Location%20Plan.pdf,351522.0,530385.0,0.12,not owned by a public authority,Y,permission,full planning permission,2017-02-17,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0933&ApplicationNumber=16%2F0933&AddressPrefix=&Postcode=&Submit=Search,,7.0,Demolition of existing buildings and erection of 4 dwellings and 3 apartments,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0012,brownfield,16/0950,,"Former car park, Brentfield Way, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2016%20Planning%20Applications/16-0950/16-0950-Location%20Plan.pdf,351842.0,530343.0,0.14,not owned by a public authority,Y,permission,full planning permission,2017-02-22,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0739&ApplicationNumber=16%2F0739&AddressPrefix=&Postcode=&Submit=Search │  http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0950&ApplicationNumber=16%2F0950&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0158&ApplicationNumber=17%2F0158&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0167&ApplicationNumber=17%2F0167&AddressPrefix=&Postcode=&Submit=Search,,7.0,Erection of 7 dwellings,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0013,brownfield,16/1071,,"Garage Roper Street, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2016%20Planning%20Applications/16-1071/16-1071-LocationPlan.pdf,351873.0,529895.0,0.1,not owned by a public authority,Y,permission,full planning permission,2017-03-16,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=04/0949&ApplicationNumber=04%2F0949&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=05/1036&ApplicationNumber=05%2F1036&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=07/0188&ApplicationNumber=07%2F0188&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=09/0024&ApplicationNumber=09%2F0024&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=09/0100&ApplicationNumber=09%2F0100&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0765&ApplicationNumber=16%2F0765&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/1071&ApplicationNumber=16%2F1071&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0771&ApplicationNumber=17%2F0771&AddressPrefix=&Postcode=&Submit=Search,,6.0,Demolition of car showroom and construction of 6 dwellings,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/GAS/0014,brownfield,15/0083,,"Barn End, Great Asby",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0083/0083-Site-Plan.pdf,367896.0,512981.0,0.01,not owned by a public authority,Y,permission,full planning permission,2015-03-30,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=04/1024&ApplicationNumber=04%2F1024&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=11/0117&ApplicationNumber=11%2F0117&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0083&ApplicationNumber=15%2F0083&AddressPrefix=&Postcode=&Submit=Search,,1.0,Change of use of domestic storage building to dwelling.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0015,brownfield,14/0547,,"33/34 Sandgate, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0547/0547-Location-Plan.pdf,351681.0,530250.0,0.008594173029404,not owned by a public authority,Y,permission,other,2014-08-13,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/0547&ApplicationNumber=14%2F0547&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0268&ApplicationNumber=15%2F0268&AddressPrefix=&Postcode=&Submit=Search,,2.0,Prior notification for the change of use of office to form 2 no. residential dwellings.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/KST/0016,brownfield,14/0687,,"Cerebus Printing Ltd, Fairview, Nateby Road, Kirkby Stephen",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0687/0687-Location-Plan.pdf,377553.0,508502.0,0.0033,not owned by a public authority,Y,permission,full planning permission,2014-09-29,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=10/0200&ApplicationNumber=10%2F0200&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=10/0203&ApplicationNumber=10%2F0203&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/0687&ApplicationNumber=14%2F0687&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0421&ApplicationNumber=15%2F0421&AddressPrefix=&Postcode=&Submit=Search,,1.0,Change of use from office space into a residential dwelling.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/KST/0017,brownfield,11/0671,,"Methodist Church, Victoria Sq, Kirkby Stephen",http://eforms.eden.gov.uk/fastweb_upload/2011%20Planning%20Applications/11-0971/0971-site-location-plan1.pdf,377512.0,508461.0,0.12,not owned by a public authority,Y,permission,full planning permission,2014-11-05,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=11/0671&ApplicationNumber=11%2F0671&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/1056&ApplicationNumber=15%2F1056&AddressPrefix=&Postcode=&Submit=Search,,2.0,Change of use to create two dwellings.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/KST/0018,brownfield,14/1055,,"30 Market Street, Kirkby Stephen",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-1055/1055-Site-Location-Plan.pdf,377478.0,508675.0,0.044,not owned by a public authority,Y,permission,full planning permission,2015-02-16,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=13/0632&ApplicationNumber=13%2F0632&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=13/0686&ApplicationNumber=13%2F0686&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/1055&ApplicationNumber=14%2F1055&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/1114&ApplicationNumber=14%2F1114&AddressPrefix=&Postcode=&Submit=Search,,3.0,Change of use from one retail unit to two retail units with two associated one bedroom apartments above. Change of use of former cottage from workshop to two bedroomed dwelling.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/GAS/0019,brownfield,14/0769,,"Former Methodist Chapel, Catherine Holme, Great Asby",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0769/0769-location-plan.pdf,368606.0,515140.0,0.001,not owned by a public authority,Y,permission,full planning permission,2015-03-19,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/0532&ApplicationNumber=14%2F0532&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/0769&ApplicationNumber=14%2F0769&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0784&ApplicationNumber=17%2F0784&AddressPrefix=&Postcode=&Submit=Search,,1.0,Conversion of methodist chapel to dwelling.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/ALS/0020,brownfield,15/0011,,"School Hall, The Butts, Alston",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0011/0011-Site-Plan.pdf,371812.0,546614.0,0.03,not owned by a public authority,Y,permission,full planning permission,2015-03-05,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=06/0032&ApplicationNumber=06%2F0032&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0011&ApplicationNumber=15%2F0011&AddressPrefix=&Postcode=&Submit=Search,,1.0,Conversion of former Church School to 3 bedrrom dwelling.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/ORT/0021,brownfield,14/0399,,"Orton Liberal Club, Front Street, Orton",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0399/0399-Existing-Plans-and-Elevations.pdf,362244.0,508096.0,0.025,not owned by a public authority,Y,permission,full planning permission,2014-07-04,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/0399&ApplicationNumber=14%2F0399&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0670&ApplicationNumber=15%2F0670&AddressPrefix=&Postcode=&Submit=Search,,1.0,Conversion to one dwelling.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/ORT/0022,brownfield,14/1085,,"Combe Leigh, Orton",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-1085/1085-Location-Plan.pdf,362442.0,508339.0,0.007,not owned by a public authority,Y,permission,full planning permission,2015-02-16,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/1085&ApplicationNumber=14%2F1085&AddressPrefix=&Postcode=&Submit=Search,,2.0,Proposed sub division of dwelling to provide two dwellings with shared parking.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/SHA/0023,brownfield,14/1083,,"1st and 2nd Floors, Central Buildings, Main Street, Shap",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-1083/1083-Plans.pdf,356291.0,515123.0,0.01,not owned by a public authority,Y,permission,other,2015-02-11,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=12/0071&ApplicationNumber=12%2F0071&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/1083&ApplicationNumber=14%2F1083&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/1084&ApplicationNumber=14%2F1084&AddressPrefix=&Postcode=&Submit=Search,,1.0,Change of use from office to dwelling.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/AIN/0024,brownfield,15/0245,,"Whinney House, Ainstable",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0245/0245-Site-Location-Plan.pdf,352931.0,546333.0,0.02,not owned by a public authority,Y,permission,full planning permission,2015-05-07,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0245&ApplicationNumber=15%2F0245&AddressPrefix=&Postcode=&Submit=Search,,1.0,Proposed change of use of residential education centre to dwelling.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0025,brownfield,15/0402,,"Land at Elm Bank, Elm Terrace, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0402/0402-Site-Plan.pdf,351369.0,530158.0,0.072,not owned by a public authority,Y,permission,full planning permission,2015-07-06,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0069&ApplicationNumber=15%2F0069&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0402&ApplicationNumber=15%2F0402&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/1103&ApplicationNumber=16%2F1103&AddressPrefix=&Postcode=&Submit=Search,,3.0,Proposed residential development of 3 dwellings.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/APP/0026,brownfield,15/0497,,"17 Doomgate, Appleby-in-Westmorland",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0497/0497-Location-paln.pdf,368306.0,520257.0,0.0179,not owned by a public authority,Y,permission,full planning permission,2015-07-27,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0246&ApplicationNumber=15%2F0246&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0497&ApplicationNumber=15%2F0497&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0500&ApplicationNumber=15%2F0500&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/1126&ApplicationNumber=15%2F1126&AddressPrefix=&Postcode=&Submit=Search,,2.0,Proposed division of existing house to create 2 separate 2 bed dwellings.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0027,brownfield,15/1027,,"21 Sandgate, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-1027/1027-Location-Plan.pdf,351733.0,530317.0,,not owned by a public authority,Y,permission,full planning permission,2016-01-14,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=11/0698&ApplicationNumber=11%2F0698&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/1027&ApplicationNumber=15%2F1027&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0529&ApplicationNumber=16%2F0529&AddressPrefix=&Postcode=&Submit=Search,,1.0,Change of use of beauty salon to residential.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/MEL/0028,brownfield,16/0017,,"Land at Elseghyll, Rear of Elseghyll Court, Melmerby",http://eforms.eden.gov.uk/fastweb_upload/2016%20Planning%20Applications/16-0017/1-1250%20LOCATION%20PLAN.pdf,361695.0,537253.0,0.06,not owned by a public authority,Y,permission,full planning permission,2016-05-04,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=07/0115&ApplicationNumber=07%2F0115&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0017&ApplicationNumber=16%2F0017&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0695&ApplicationNumber=16%2F0695&AddressPrefix=&Postcode=&Submit=Search,,1.0,Demolition of shed and erection of single detached dwelling.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
