 OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,Permission Date,Planning History,ProposedForPIP,MinNetDwellings,DevelopmentDescription,Non Housing Development,Part2,Net Dwellings Range From,Net Dwellings RangeTo,HazardousSubstances,Site Information,Notes,FirstAddedDate,LastUpdatedDate,additional field address 2,additional field calc area,additional field no at 30per ha,additional field no at 45perha
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,15,,Tramway Road Ruspidge,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora10&scale=1024,OSGB36,365016.12,211389.24,0.86,not owned by a public authority,,not permissioned,,,,,20,new build on site of former employment,,,20,30,,,"part former pithead baths and part under used employment site, all considered suitable for redevelopment for a variety of accommodation",2017-10-31,2017-10-31,Cinderford,8647.030357,29,43
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,6,,Valley Road Former Foundry Cinderford,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora6&scale=1024,OSGB36,365079.07,213899.23,0.96,not owned by a public authority,yes,not permissioned,,,,,25,new housing on former employment site now cleared,,,30,40,,,Adjoins land above and could be developed in conjunction with it or separately in a manner that would relate to its eventual development.  Site cleared. Able to be commenced and with some delivery possible within five years,2017-10-31,2017-10-31,Cinderford,9648.204928,29,43
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,9,,Valley Road Former Employment Centre Cinderford,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora7&scale=1024,OSGB36,365075.69,214436.52,1.37,not owned by a public authority,,not permissioned,,,,,35,new housing on former employment site now largely derelict,,,35,45,,,former business / training use able to be redeveloped for housing and allocated for the purpose in the AP Now largely derelict,2017-10-31,2017-10-31,Cinderford,13692.92004,41,62
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,5,,Station Street Cinderford,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora4&scale=1024,OSGB36,365182.92,213940.97,2.91,not owned by a public authority,,not permissioned,,,,,90,new housing on former employment site largely vacant and derelict,,,90,120,,,largest element of site allocated in AP has had previous permissions but no longer current.  Suitable for a variety of housing and may be developed in conjunction with adjoining land to which it must relate,2017-10-31,2017-10-31,Cinderford,29094.87841,87,131
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,40,,Steam Mills Rd Northern Quarter Cinderford,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora2&scale=2048,OSGB36,364599.61,215601.20,6.80,owned by a public authority,yes,permissioned,outline planning permission ,2014-11-14,https://publicaccess.fdean.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N4FS82HI01000,,150,Outline permission for up to 195 dwellings as part of an hybrid permission.  Site formerly part of ,,,150,195,,,site owned by FoDDC- allocated in AAP and suitable for housing with a current outline approval for up to 195 dwellings part of hybrid scheme.  Some delivery possible within five years,2017-10-31,2017-10-31,Cinderford,68004.49104,1,1
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,17,,Newland Street Coleford,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora12&scale=1024,OSGB36,357442.68,210653.60,0.02,not owned by a public authority,yes,permissioned,full planning permission ,2016-07-22,https://publicaccess.fdean.gov.uk/online-applications/search.do?action=simple&searchType=Application,,6,"permission for construction of eight, two bedroom apartments.  (Revised Scheme, originally 6)",,,8,8,,,permission for new apartments ,2017-10-31,2017-10-31,Coleford,200.2300195,1,2
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,18,,Kings Head Coleford,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora13&scale=1024,OSGB36,357607.01,210785.93,0.04,not owned by a public authority,,not permissioned,,,,,8,conversion of former pub and associated new build,,,8,12,,,conversion and new build on former pub currently used in the interim for a shop but upper floors vacant,2017-10-31,2017-10-31,Coleford,377.4855284,3,5
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,53,,10-14 Newland Street Coleford,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora43&scale=1024,OSGB36,357411.61,210682.09,0.12,not owned by a public authority,,not permissioned,,,,,6,conversion of listed building and new build to retain ground floor commercial or retail unit,,,6,10,,,Listed frontage building and located in Conservation Area suitable for new development to rear and conversion of upper floors of frontage building site includes former tramroad which will need to be retained as an open feature,2017-10-31,2017-10-31,Coleford,1153.604922,7,11
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,19,,Former Lawnstone House Coleford,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora14&scale=1024,OSGB36,357494.56,210570.57,0.20,owned by a public authority ,yes,not permissioned ,,,,,7,new build to deliver retail/ commercial units and housing,,,7,12,,,vacant site allocated in AP for mixed development to include apartments.  Likely to be developed by/ for Council as owners,2017-10-31,2017-10-31,Coleford,2030.63304,7,11
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,54,,Boxbush Rd Coleford,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora44&scale=1024,OSGB36,357402.12,210734.73,0.23,owned by a public authority,,not permissioned,,,,,12,conversion and new build ,,,12,20,,,suitable for conversion and new build within site.  Close to Conservation Area and also listed Church,2017-10-31,2017-10-31,Coleford,2336.385188,25,37
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,16,,Lakers Road Berry Hill Coleford,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora11&scale=1024,OSGB36,357856.70,212553.31,0.24,not owned by a public authority,yes,permissioned ,full planning permission ,2017-08-16,https://publicaccess.fdean.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ORWL3NHIMMB00,,7,Erection of 7 dwellings with associated works.,,,7,7,,,permitted scheme for the redevelopment of a former bus depot,2017-10-31,2017-10-31,Coleford,2439.950337,25,37
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,55,,Tufthorn Avenue Coleford,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora45&scale=1024,OSGB36,357966.76,209851.78,0.83,not owned by a public authority,yes,permissioned,outline planning permission,2017-11-14,https://publicaccess.fdean.gov.uk/online-applications/search.do?action=simple&searchType=Application,,15,outline permission for up to 65 dwellings and B1 units on a larger site has been resolved to be granted.  The PDL element of the permission is capable of supporting about  20 dwellings and B1 units.,,,15,20,,,part of a larger site which has a resolution to grant permission for up to 65 dwellings and B1 units.  Previously developed element is approximately 50% of the total.,2017-10-31,2017-10-31,Coleford,8291.490426,24,36
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,20,,Five Acres campus Berry Hill surplus land,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora15&scale=1024,OSGB36,358242.04,212609.64,0.98,owned by a public authority,yes,not permissioned,,,,,30,new build on site suitable for redevelopment of some elements on site,,,40,80,,,land to become available following the relocation of the present further education college as part of a mixed scheme.  Identified in Allocations Plan as an opportunity for mixed development.  May be developed on site of former college or part thereof.  Site area of total brownfield element is approximately 2.6ha though not all may be available for redevelopment-  available area between 0.98 ha and 2.6ha,2017-10-31,2017-10-31,Coleford,9796.489884,24,36
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,21,,Drybrook Road Drybrook,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora16&scale=1024,OSGB36,364457.1,216950.20,0.79,not owned by a public authority,yes,permissioned,outline planning permission 15/07/15,2015-07-15,https://publicaccess.fdean.gov.uk/online-applications/search.do?action=simple&searchType=Application,,7,current permission for seven dwellings on parts of site,,,7,12,,,"parts of site have permission although there may be some limited additional potential, likely to be developed for 7 dwellings",2017-10-31,2017-10-31,Drybrook,7900.215468,20,30
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,44,,Court Farm Littledean,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora37&scale=1024,OSGB36,366792.78,213569.25,0.67,not owned by a public authority,,not permissioned,,,,,16,new housing on former employment site,,,16,20,,,Current use as garage but could be redeveloped for housing.  Almost all within Conservation Area.,2017-10-31,2017-10-31,Littledean,6663.574161,4,7
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,22,,Adj Northumberland House Longhope,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora17&scale=1024,OSGB36,368871.40,218921.99,0.15,not owned by a public authority,yes,not permissioned,,,,,5,new housing on former employment site,,,5,5,,,small haulage depot in area of residential/ mixed development has potential for redevelopment- within Conservation Area,2017-10-31,2017-10-31,Longhope,1496.824868,20,30
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,23,,Longhope Industrial Estate Longhope,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora18&scale=1024,OSGB36,368731.65,219047.64,0.66,not owned by a public authority,,not permissioned,,,,,6,housing as part of a mixed redevelopment,,,6,10,,,mixed employment site allocated in plan to include a residential element,2017-10-31,2017-10-31,Longhope,6617.878193,12,17
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,47,,Forge Hill Lydbrook Joys Green,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora39&scale=1024,OSGB36,360213.10,216301.18,0.39,not owned by a public authority,,not permissioned,,,,,10,new housing on employment site (sawmill),,,10,12,,,sawmill and related land for redevelopment,2017-10-31,2017-10-31,Lydbrook,3884.55514,30,44
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,26,,Former Temco Lydbrook,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora21&scale=1024,OSGB36,358915.51,217427.57,0.98,not owned by a public authority,,not permissioned,,,,,0,housing as an element of mixed development ,,,10,10,,,part of larger area separated by road and suitable for part development for housing which could be carried out independently of remainder of allocation,2017-10-31,2017-10-31,Lydbrook,9843.547487,47,70
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,24,,Former Rothdean Main Road Lydbrook,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora19&scale=2048,OSGB36,359715.08,216350.71,1.55,not owned by a public authority,yes,not permissioned,,,,,30,new housing on former employment site,,,30,45,,,includes site granted permission but lapsed for new dwellings on former employment site.  Adjoining land of same ownership/ character included in register,2017-10-31,2017-10-31,Lydbrook,15547.20808,232,349
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,25,,Stowfield Works Lydbrook,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora20&scale=2048,OSGB36,358730.96,217491.76,7.75,not owned by a public authority,,not permissioned,,,,,25,housing as an element of mixed development ,,,25,45,,,element of much larger site which is identified for mixed development degree of housing is flexible within terms of the policy,2017-10-31,2017-10-31,Lydbrook,77455.91291,6,9
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,45,,Swan Rd Lydney,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora38&scale=1024,OSGB36,363502.39,203019.66,0.19,mixed ownership,,not permissioned,,,,,5,redevelopment of former utility and employment sites,,,5,8,,,small area undeveloped (former gasholder and adjoining premises which could be redeveloped) majority in public ownership,2017-10-31,2017-10-31,Lydney,1901.959589,9,13
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,43,,Rear of High Street Lydney,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora36&scale=1024,OSGB36,363019.34,203016.95,0.29,not owned by a public authority,yes,pending decision,,,https://publicaccess.fdean.gov.uk/online-applications/search.do?action=simple&searchType=Application,,10,new housing as redevelopment of town centre site,,,10,15,,,current application for majority of site but this area which is slightly larger includes garage court adjoining.  ,2017-10-31,2017-10-31,Lydney,2929.217626,13,19
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,31,,St Michaels Close Coach depot Mitcheldean,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora25&scale=1024,OSGB36,366273.52,218617.52,0.43,not owned by a public authority,yes,not permissioned,,,,,8,redevelopment for housing,,,12,12,,,former coach depot now allocated in plan for about 12 dwellings adjoins conservation area and close to Grade 1 listed church,2017-10-31,2017-10-31,Lydney,4273.385614,31,47
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,29,,Railway Station Lydney,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora24&scale=1024,OSGB36,363411.62,201948.02,1.04,owned by a public authority,,not permissioned,,,,,5,housing component of mixed development scheme,,,5,20,,,within an area identified for redevelopment including the station itself there is potential for an element of new housing supported by the plan policy,2017-10-31,2017-10-31,Lydney,10387.66129,32,48
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,27,,Highfield Hill Lydney,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora22&scale=1024,OSGB36,364468.67,204028.28,1.08,not owned by a public authority,,not permissioned,,,,,6,employment site (garage) to be redeveloped in whole or part for housing,,,6,21,,,garage premises formerly covered by permission for housing redevelopment which could be developed accordingly,2017-10-31,2017-10-31,Lydney,10776.34822,145,217
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,30,,Pine End Works Harbour Road Lydney,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora23&scale=2048,OSGB36,364583.50,201406.71,4.82,not owned by a public authority,,not permissioned,,,,,0,housing component of mixed development scheme,,,20,30,,,"part of large mixed allocation, which can include an element of housing as part of the mix.  Likely to support up to 30 units but this is neither a fixed requirement nor an absolute limit.  Currently vacant but subject to pre application consultation.",2017-10-31,2017-10-31,Lydney,48226.7813,9,14
 ,Forest of Dean District Council ,32,,Stars Pitch Former George Hotel Mitcheldean,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora26&scale=1024,OSGB36,366431.01,218550.14,0.31,not owned by a public authority,yes,permissioned,outline planning permission ,2015-07-20,https://publicaccess.fdean.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NFBWB2HIH4U00,,15,development of housing on former pub,,,15,31,,,site with permission for 31 new units (flats) but could be dveloped for smaller number of houses.  Former pub and associated outbuildings,2017-10-31,2017-10-31,Mitcheldean,3118.453973,52,78
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,33,,Bradley Court Rd Mitcheldean,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora27&scale=1024,OSGB36,366503.34,218940.94,1.74,not owned by a public authority,,not permissioned,,,,,40,redevelopment of land and building within employment area,,,40,50,,,allocated site presently within large employment area but suitable for housing served from a separate access ,2017-10-31,2017-10-31,Mitcheldean,17378.40565,5,7
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,34,,9 Culver St Newent,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora28&scale=1024,OSGB36,372138.81,225811.17,0.16,not owned by a public authority,yes,permissioned ,full planning permission ,2013-11-28,https://publicaccess.fdean.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=KJOMV8HI01R00,,9,Erection of 9 dwellings and associated works ,,,9,9,,,flats within built up area,2017-10-31,2017-10-31,Newent,1591.043851,8,12
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council ,35,,North of Church St Newent,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora29&scale=1024,OSGB36,372275.05,372275.05,0.26,not owned by a public authority,,not permissioned,,,,,15,mixed development opportunity within town centre,,,20,25,,,"identified in plan for range of redevelopment and conversion, this area is within the town centre and is presently a mixture of uses including garages outbuildings and retail/ residential.  Site and plan policy identified in order to realise potential to provide additional mixed uses",2017-10-31,2017-10-31,Newent,2607.757093,15,23
