OrganisationURI,OrganisationLabel,Site Ref,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,Ownership Status,Site Yes (within 5 years),Planning_Status_Reference,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2193,,"Land adjacent to 2 Clifford Road,
West Bromwich",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,399593,290377,0.07,,Yes,Permissioned,Full,25.04.2013,,No,12,,,,All units under construction,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2227,,"The Boat Gauging House & Adjoining Land,
Factory Road,
tipton, DY4 9AU",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,395109,252659,0.57,,,Permissioned,Other,,,No,35,,,,permission expired,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2259,,"Sentinel Plastics Limited, 39 Wrights Lane,
Cradley Heath,
B64 6QY",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,396009,286428,0.27,,,Permissioned,Other,2012,,No,13,,,,,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2284,,"2-4 Cape Hill
Smethwick",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,402683,287647,0.04,,Yes,Permissioned,Full,01.12.2015,,No,6,,,,under construction,01/12/2017,01/12/2017,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2368,,"Central Avenue,
The existing Summerhill Primary School,
Tipton",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,396017,292838,1.09,Public Ownership,,Permissioned,Other,2012,,No,40,,,,,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2370,,"Bradleys Lane / High Street,
Tipton",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,395322,293779,5.60,,,Permissioned,Other,2012,,No,230,,,,,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2371,,"North Smethwick Canalside,
Smethwick",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,402401,288853,8.77,Public Ownership,,Permissioned,Other,2012,,No,400,,,,Part SMBC and part private,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2372,,"Rabone Lane,
Smethwick",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,402783,288791,5.98,,,Permissioned,Other,2012,,No,209,,,,,30/06/2016,01/12/2017,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2373,,"Cranford Street (SME5) residential allocation,
Smethwick",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,403548,288407,4.07,,Yes,Permissioned,Full,15.11.2012,,No,113,,,,"45 completed, 37 under construction",30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2375,,"Lyng Industrial Estate,
West Bromwich",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,400401,290775,10.20,Public Ownership,,Permissioned,Other,2012,,No,357,,,,Few small plots in SMBC ownership,30/06/2016,01/12/2017,
