OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,17/02762/FUL,"144 Clarence Road, Fleet, GU51 3RS",https://publicaccess.hart.gov.uk/online-applications/,51.279394,-0.840953,0.05,not owned by a public authority,permissioned,full planning permission,07/09/2017,,,5,5,,Redevelopment of site to construct building to house 5 2-bedroom residential units. Development complete at April 2019.,22/12/2017,22/12/2017,21/11/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,17/02011/PRIOR,"Victoria House, 18-22 Albert Street, Fleet, Hampshire, GU51 3RJ",https://publicaccess.hart.gov.uk/online-applications/,51.28366,-0.837735,0.1,not owned by a public authority,permissioned,other,05/10/2017,,,12,12,,"Change of use from B1a offices to 5 flats on ground floor (17/02008/PRIOR), 5 flats on first floor (17/02010/PRIOR), and 2 flats on second floor (17/02011/PRIOR) all granted the same day. Development complete at April 2019.",22/12/2017,20/12/2018,21/11/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,18/00649/PRIOR,"Lorica Consulting Ltd, Lorica House, Fleet Mill, Minley Road, Fleet, Hampshire, GU51 2RD",https://publicaccess.hart.gov.uk/online-applications/,51.296227,-0.830002,0.32,not owned by a public authority,permissioned,other,10/05/2018,,Y,8,25,,"Change of use from B1a offices to 17 apartments. Previous approval 17/00477/PRIOR (18 apartments) granted 2017-04-26. Also permission 17/01977/FUL to create a second floor to provide 8 flats, granted 2018-02-08. Development (18/00649/PRIOR and 17/01977/FUL) under construction at April 2019.",22/12/2017,20/12/2018,21/11/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,18/00650/PRIOR,"Infineon House, Fleet Mill, Minley Road, Fleet, Hampshire, GU51 2RD",https://publicaccess.hart.gov.uk/online-applications/,51.296919,-0.830013,0.43,not owned by a public authority,permissioned,other,10/05/2018,,Y,10,29,,"Change of use from B1a offices to 19 apartments. Previous approval 17/00475/PRIOR (20 apartments) granted 2017-04-26. Also permission 17/01978/FUL to create a second floor to provide 10 flats, granted 2018-02-09. Development (18/00650/PRIOR and 17/01978/FUL) under construction at April 2019.",22/12/2017,20/12/2018,21/11/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,17/02118/PRIOR,"Zenith House, 3 Rye Close, Fleet, Hampshire, GU51 2UY",https://publicaccess.hart.gov.uk/online-applications/,51.298611,-0.824663,0.29,not owned by a public authority,permissioned,other,01/11/2017,,,23,23,,Change of use from B1a offices to 23 dwellings. Scheme has no SANG mitigation and therefore can not be considered deliverable. Site not included in housing trajectory. Site covered by Article 4 Direction removing right to change from B1 to C3 with effect from 2019-05-06. Permission lapses 2020-11-01.,22/12/2017,20/12/2018,
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,17/02652/PRIOR,"Vantage House, Meridian Office Park, Osborn Way, Hook, Hampshire, RG27 9HY",https://publicaccess.hart.gov.uk/online-applications/,51.278869,-0.959207,0.15,not owned by a public authority,permissioned,other,21/12/2017,,,2,17,,Change of use of offices (B1a) to form 15 apartments on first and second floors (17/00525/PRIOR granted 2017-04-27) and 2 apartments on third floor (17/02652/PRIOR granted 2017-12-21). Scheme has no SANG mitigation and therefore can not be considered deliverable. Site not included in housing trajectory. Site covered by Article 4 Direction removing right to change from B1 to C3 with effect from 2019-05-06. Final permission lapses 2020-12-21.,22/12/2017,20/12/2018,
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,18/02748/PRIOR,"Building 260 and 270, Bartley Wood Business Park, Bartley Way, Hook, Hampshire",https://publicaccess.hart.gov.uk/online-applications/,51.278517,-0.949967,2.15,not owned by a public authority,permissioned,other,31/01/2019,,,116,122,,Change of use of offices (B1a) to dwellinghouse (C3) (122 dwgs). Previous approval (18/00624/PRIOR) for Change of use from B1a to C3 (116 dwgs) granted 2018-05-16. Scheme has no SANG mitigation and therefore can not be considered deliverable. Site not included in housing trajectory. Site covered by Article 4 Direction removing right to change from B1 to C3 with effect from 2019-05-06. Final permission lapses 2022-01-31.,22/12/2017,21/11/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,17/00771/FUL,"Guillemont Park, Minley Road, Blackwater, Camberley, Surrey, GU17 9QG",https://publicaccess.hart.gov.uk/online-applications/,51.305951,-0.79307,12,not owned by a public authority,permissioned,full planning permission,15/01/2018,,Y,313,313,,Demolition of the existing office buildings and construction of 313 residential dwellings. Also known as Sun Park. Previous permission 13/02633/MAJOR for 150 dwellings lapsed 2017-11-21. Development 17/00771/FUL under construction at April 2019 (21 dwgs completed).,22/12/2017,20/12/2018,21/11/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,17/02644/PRIOR,"Wimpey Homes Holdings Ltd, Stratfield House, Station Road, Hook, Hampshire, RG27 9PQ",https://publicaccess.hart.gov.uk/online-applications/,51.2813,-0.962607,0.19,not owned by a public authority,permissioned,other,20/12/2017,,,22,22,,Change of use from B1 office to 22 residential units. Scheme has no SANG mitigation and therefore can not be considered deliverable. Site not included in housing trajectory.,22/12/2017,20/12/2018,
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,18/00931/PRIOR,"125-147 Fleet Road, Fleet, Hampshire, GU51 3PD",https://publicaccess.hart.gov.uk/online-applications/,51.283452,-0.838514,0.59,not owned by a public authority,permissioned,other,25/10/2018,,,30,30,,Change of use of B1 offices to 30 apartments. Scheme has no SANG mitigation and therefore can not be considered deliverable. Site not included in housing trajectory.,22/12/2017,20/12/2018,
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,19/00493/PRIOR,"Europa House, 5 Bartley Wood Business Park, Bartley Way, Hook, Hampshire, RG27 9UF",https://publicaccess.hart.gov.uk/online-applications/,51.279398,-0.955023,1.11,not owned by a public authority,permissioned,other,30/04/2019,,,77,116,,Change of use of B1 offices to 116 dwellings. Previous approvals: 16/02737/PRIOR for Change of use of B1 office to 77 C3 dwellings granted 2016-12-05; 16/03054/PRIOR for Change of use of B1 office to 77 C3 dwellings granted 2016-12-30; 17/00219/PRIOR for Change of Use from offices (B1a use) to residential (C3 use) to form 114 flats granted 2019-04-30. Site covered by Article 4 Direction removing right to change from B1 to C3 with effect from 2019-05-06. 19/00493/PRIOR lapses 2022-04-30.,20/12/2018,16/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,17/02484/PRIOR,"Flagship House, Reading Road North, Fleet, Hampshire, GU51 4WD",https://publicaccess.hart.gov.uk/online-applications/,51.279128,-0.846838,0.49,not owned by a public authority,permissioned,other,30/11/2017,,,31,31,,Change of use of B1 office to 23 x one and 8 x two bedroom apartments. Scheme has no SANG mitigation and therefore can not be considered deliverable. Site not included in housing trajectory. Description corrected in 2019 following a review of the original permission.,20/12/2018,14/11/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,16/02784/PRIOR,"110 Fleet Road, Fleet, Hampshire, GU51 4BE",https://publicaccess.hart.gov.uk/online-applications/,51.282533,-0.841032,0.11,not owned by a public authority,permissioned,other,23/11/2016,,,15,15,,Change of use of office to 15 dwellings. Development complete at April 2019.,20/12/2018,20/12/2018,21/11/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,16/02083/PRIOR,"Technology House, 1 Fleetwood Park, Barley Way, Fleet, Hampshire, GU51 2QX",https://publicaccess.hart.gov.uk/online-applications/,51.298686,-0.831302,0.5,not owned by a public authority,permissioned,other,04/10/2016,,Y,43,43,,Change of use from B1 offices to 43 apartments. Development under construction April 2019.,20/12/2018,20/12/2018,21/11/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,16/03332/FUL,"Microgen Management Services Ltd, Fleet House, 3 Fleetwood Park, Barley Way, Fleet, Hampshire, GU51 2QT",https://publicaccess.hart.gov.uk/online-applications/,51.297814,-0.830492,0.77,not owned by a public authority,permissioned,other,09/02/2018,,Y,60,60,,Change of use of office to form 46 apartments (16/01267/PRIOR granted 2016-10-14) and create a second floor to provide 14 flats (16/03332/FUL granted 2018-02-09. Conversion element under construction at April 2019.,20/12/2018,20/12/2018,21/11/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,16/01704/PRIOR,"Rosebank Parade, Plough Road, Yateley, Hampshire, GU17 7RN",https://publicaccess.hart.gov.uk/online-applications/,51.341889,-0.820929,0.11,not owned by a public authority,permissioned,other,19/08/2016,,,11,11,,Change of use of 1st floor office to form 11 flats. Scheme has no SANG mitigation and therefore can not be considered deliverable. Site not included in housing trajectory. Permission lapsed 2019-08-19.,20/12/2018,20/12/2018,21/11/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,19/00101/FUL,"The Acorn, London Road, Hook, Hampshire, RG27 9DY",https://publicaccess.hart.gov.uk/online-applications/,51.283158,-0.96225,0.09,not owned by a public authority,permissioned,full planning permission,15/03/2019,,Y,5,7,,Change of Use of the existing commercial property (Use Class A2) into five 1 bed and two 2 bed flats (Use Class C3). Previous permission for conversion into 5 dwellings granted 2018-01-24.,20/12/2018,21/11/2019,
