FirstAddedDate,LastUpdatedDate,ID,OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,PlanningReference,DevelopmentDescription,NonHousingDevelopment,ConstructionStatus,OtherSiteInformation,Part2allocation,ProposedForPIP,Notes,Hazardous Substances Regs 2015,NetDwellingsRangeFrom,NetDwellingsRangeTo
20-Nov-17,11-Dec-18,13,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/014,,"Land to the north of Fountain Lane, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22164&p=0,OSGB36,532693,344312,0.29,owned by public authority,yes,not permissioned,,,,9,,,,not started,http://www.southeastlincslocalplan.org/south-east-lincolnshire-strategic-housing-land-availability-assessment-april-2018-up-date/,no,no,The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) identifies that the site is near to the Boston Conservation Area and listed buildings - adverse impacts should be prevented by careful design. SHLAA ref no: Wit009,If the site is allocated in Part 2 it requires assessment against Reg26(3) of Hazardous Substances Regulations and Schedule 2(3) of Brownfield Land Register Regulations 2017.,9,12
20-Nov-17,11-Dec-18,14,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/015,,"Land to the south of Swineshead Road, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22165&p=0,OSGB36,530042,342883,2.84,not owned by public authority,yes,not permissioned,,,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/05/0027,85,,,,not started,http://www.southeastlincslocalplan.org/south-east-lincolnshire-strategic-housing-land-availability-assessment-april-2018-up-date/,no,no,"Planning application B/05/0027 was refused and dismissed at appeal. However, the site is identified as a housing allocation capable of providing 85 dwellings in the South East Lincolnshire Local Plan 2011-2036: Publication Version (March 2017), site ref no: Wyb013. The South East Lincolnshire Strategic Housing Land Availability Assessment (April 2017) states that the Highway Authority indicates that access could be achieved via the existing main access off Wortleys Lane (perhaps with some carriageway widening & highway improvements). The existing access off the A52 is potentially acceptable but, as a point of principle, it would be safer if access were taken from Wortleys Lane.""",If the site is allocated in Part 2 it requires assessment against Reg26(3) of Hazardous Substances Regulations and Schedule 2(3) of Brownfield Land Register Regulations 2017.,85,114
20-Nov-17,11-Dec-18,15,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/016,,"291-293 London Road, Wyberton, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22166&p=0,OSGB36,531442,341211,1.38,not owned by public authority,yes,not permissioned,,,,28,,,,not started,http://www.southeastlincslocalplan.org/south-east-lincolnshire-strategic-housing-land-availability-assessment-april-2018-up-date/,no,no,"The site is identified as a housing allocation capable of providing 41 dwellings in the South East Lincolnshire Local Plan 2011-2036: Publication Version (March 2017), site ref no: Wyb041.""",If the site is allocated in Part 2 it requires assessment against Reg26(3) of Hazardous Substances Regulations and Schedule 2(3) of Brownfield Land Register Regulations 2017.,28,41
20-Nov-17,11-Dec-18,18,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/019,,"The Woadman, Church Road, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22169&p=0,OSGB36,533516,343651,0.1,not owned by public authority,yes,permissioned,full planning permission,16/03/2016,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/15/0515,9,B/15/0515,Conversion of existing Public House into 5no. apartments and extension to Public House to provide 4no apartments,,not started,,no,no,All 9 outstanding,,,
20-Nov-17,11-Dec-18,19,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/020,,"Former Phoenix Poultry Farm, Swineshead Road, Wyberton, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22170&p=0,OSGB36,530047,343063,1.01,not owned by public authority,yes,permissioned,outline planning permission,25/07/2017,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/16/0298,25,B/06/0298,"Outline application for residential development (25 dwellings including 6 affordable homes) including access and layout with matters relating to appearance, scale and landscaping reserved for later approval",,not started,,no,no,All 25 outstanding,,,
20-Nov-17,11-Dec-18,21,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/022,,"Millets, Market Place, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22173&p=0,OSGB36,532814,344111,0.02,not owned by public authority,yes,permissioned,full planning permission,19/05/2015,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/14/0423,6,B/14/0423,Link extension and conversion of first and second floors to form 6 No. apartments,,not started,,no,no,"All 6 outstanding. A new planning application for the same development was submitted on 26/11/2018, B/18/0474. There is an accompanying Listed Building Application, B/18/0475.",,,
20-Nov-17,11-Dec-18,22,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/023,,"Car Park to the rear of 27-29 Wide Bargate, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22174&p=0,OSGB36,533006,344316,0.04,not owned by public authority,yes,permissioned,full planning permission,26/06/2013,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/13/0148,9,B/13/0148,Erection of a three storey block of 9 no. flats following demolition of existing storage building,,under construction,,no,no,9 dwellings under construction,,,
20-Nov-17,11-Dec-18,23,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/024,,"The Duke of York, 7 Lincoln Lane, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22175&p=0,OSGB36,532508,344110,0.07,not owned by public authority,yes,permissioned,outline planning permission,26/07/2016,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/16/0061,12,B/16/0061,Proposed residential development for up to 12 flats with on-site parking,,not started,,no,no,All 12 outstanding,,,
20-Nov-17,11-Dec-18,24,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/025,,"Land north of Broadfield Lane (East of Friars Gate), Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22176&p=0,OSGB36,532302,343533,0.14,not owned by public authority,yes,permissioned,full planning permission,19/09/2016,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/16/0171,8,B/16/0171,"Erection of 2No. blocks of 3No. dwelling houses, 1 pair of semi detached dwellings and associated access roads, parking courts and landscaping (8 two storey dwellings in total)",,not started,,no,no,All 8 outstanding,,,
20-Nov-17,11-Dec-18,25,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/026,,"Exchange Buildings 36-39 Market Place, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22177&p=0,OSGB36,532788,344023,0.05,not owned by public authority,yes,permissioned,full planning permission,11/01/2017,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/16/0382,8,B/16/0382,Change of use of first and second floors from offices (Class B1) to 8 No. dwellings (Class C3),,under construction,,no,no,,,,
20-Nov-17,11-Dec-18,26,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/027,,"New Castle Inn, 36 Fydell Street, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22178&p=0,OSGB36,532221,344434,0.12,not owned by public authority,yes,permissioned,full planning permission,06/03/2017,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/16/0424,9,B/16/0424,"Conversion of a public house to 4 apartments, and the erection of 5.no attached 3 storey apartments",,not started,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/18/0370,no,no,"A planning application (B/18/0370) for the erection of 3 no. three storey apartment blocks consisting of 55 no. flats including some amenity facilities, following demolition of existing public house awaits a decision.",,,
20-Nov-17,11-Dec-18,28,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/029,,"Former nightclub/World Buffet, 23-25 High Street & 24 Bridge Street, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22180&p=0,OSGB36,532731,343930,0.05,not owned by public authority,yes,permissioned,full planning permission,21/09/2016,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/16/0214,11,B/16/0214,Conversion of former nightclub to create 5 retail units at ground floor level and extensions and alterations to provide 11 No. flats to upper floors,Scheme includes 5 retail units on ground floor,not started,,no,no,11 outstanding,,,
20-Nov-17,11-Dec-18,29,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/030,,"Land off Carmel Green, Park Road, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22181&p=0,OSGB36,532185,342805,0.33,not owned by public authority,yes,permissioned,reserved matters approval,09/04/2018,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/17/0494,6,B/17/0494,Application for approval of reserved matters (including appearance and landscaping) for the erection of 8 no. dwellings,,not started,,no,no,The site is for sale,,,
20-Nov-17,11-Dec-18,30,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/FIS/001,,"Land at Norwood Yard off Church Green Road, Fishtoft",http://www.boston.gov.uk/CHttpHandler.ashx?id=22182&p=0,OSGB36,535845,342992,0.62,not owned by public authority,yes,permissioned,outline planning permission,03/11/2016,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/15/0424,20,B/15/0424,Outline application will all matters reserved for a proposed residential development - 20 no. dwellings,,not started,,no,no,All 20 outstanding,,,
20-Nov-17,11-Dec-18,31,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/KIR/001,,"31-33 London Road, Kirton",http://www.boston.gov.uk/CHttpHandler.ashx?id=22183&p=0,OSGB36,530321,338391,1.25,not owned by public authority,yes,not permissioned,,,,25,,,,not started,http://www.southeastlincslocalplan.org/south-east-lincolnshire-strategic-housing-land-availability-assessment-april-2018-up-date/,no,no,"The site is identified as a housing allocation capable of providing 25 dwellings in the South East Lincolnshire Local Plan 2011-2036: Publication Version (March 2017), site ref no: Kir016.",If the site is allocated in Part 2 it requires assessment against Reg26(3) of Hazardous Substances Regulations and Schedule 2(3) of Brownfield Land Register Regulations 2017.,25,31
20-Nov-17,11-Dec-18,32,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/KIR/002,,"Mani Firs, London Road, Kirton",http://www.boston.gov.uk/CHttpHandler.ashx?id=22184&p=0,OSGB36,530165,338380,3.83,not owned by public authority,yes,permissioned,outline planning permission,14/01/2016,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/15/0391,105,B/15/0391,Outline application for residential development (105 dwellings) including layout and access with all other matters reserved for later approval,,not started,http://www.southeastlincslocalplan.org/south-east-lincolnshire-strategic-housing-land-availability-assessment-april-2018-up-date/,no,no,"A reserved matters application has been submited on 26/09/2018, B18/0398 and awaits a decision.",,,
20-Nov-17,11-Dec-18,34,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/SWI/001,,"Golden Cross Inn, North End, Swineshead",http://www.boston.gov.uk/CHttpHandler.ashx?id=22186&p=0,OSGB36,523074,341372,0.15,not owned by public authority,yes,permissioned,full planning permission,30/10/2013,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/13/0290,9,B/13/0290,"Change of use of existing public house (A4) into 5 No. flats and erection of 3 No. town houses and 1 No. detached bungalow, including associated parking, garden and amenity areas and boundary treatments.",,under construction,,no,no,"5 dwellings completed, 4 under construction",,,
20-Nov-17,11-Dec-18,36,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/SWI/003,,"Former Youth Centre Site, Station Road, Swineshead",http://www.boston.gov.uk/CHttpHandler.ashx?id=22188&p=0,OSGB36,523155,341277,0.21,not owned by public authority,yes,permissioned,full planning permission,26/07/2017,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/17/0125,8,B/17/0125,"Erection of 8no residential dwellings plus construction of new vehicular access, estate road and parking areas",,under construction,,no,no,7 under construction and 1 outstanding,,,
20-Nov-17,11-Dec-18,37,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/SWI/004,,"Old Station Yard, Swineshead Bridge, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22189&p=0,OSGB36,521958,342970,1.35,not owned by public authority,yes,permissioned,reserved matters approval,07/07/2008,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/08/0156,35,B/08/0156,"Application for the approval of reserved matters for the construction of 35 dwellings plus new estate road, landscaping and associated works",,under construction,,no,no,All 35 outstanding. Permission has been implemented owing to construction of access road.,,,
20-Nov-17,11-Dec-18,38,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/WRA/001,,"Geo H Kime & Co., Main Road, Wrangle",http://www.boston.gov.uk/CHttpHandler.ashx?id=22190&p=0,OSGB36,542985,351319,0.5,not owned by public authority,yes,permissioned,outline planning permission,21/08/2017,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/16/0296,27,B/16/0296,Outline application for residential development (27 dwellings) with all matters reserved,,not started,,no,no,All 27 outstanding,,,
11-Dec-18,11-Dec-18,39,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/031,,"NCP Carpark, Red Lion Street, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=24159&p=0,OSGB36,532813,344388,0.64,not owned by public authority,yes,permissioned,full planning permission,04/10/2018,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/18/0060,14,B/18/0060,"Demolition of 36 Strait Bargate and 2 Wide Bargate and part of the boundary wall to the Methodist Church. Refurbishment and extension of Grade II listed 4 Wide Bargate. Erection of 14 no. retail units (A1); 2 no. retail units (A3/A5); and 15 no. residential apartments, with associated car parking. Creation of a new pedestrian (and delivery/service vehicle) link connecting Wide Bargate to Red Lion Street",Erection of 14 no. retail units (A1); 2 no. retail units (A3/A5),not started,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/18/0059,no,no,B/18/0059 Listed Building Consent for Listed building consent for single storey extension and refurbishment of 4 Wide Bargate. Demolition of part of the boundary wall to the Methodist Church and replacement with realigned wall and railings including pedestrian gate.,,,
11-Dec-18,11-Dec-18,40,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/032,,"Crown House, Lincoln Lane, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=24158&p=0,OSGB36,532583,344052,0.23,owned by public authority,yes,permissioned,other,28/03/2018,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/18/0042,18,B/18/0042,Application for Prior Approval for the change of use from offices (Class B1) to residential use (Class C3) of first and second floors,,not started,,no,no,,,,
11-Dec-18,11-Dec-18,41,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/033,,"5-7 Witham Bank East, Boston.",http://www.boston.gov.uk/CHttpHandler.ashx?id=24157&p=0,OSGB36,532297,344672,0.12,not owned by public authority,yes,permissioned,full planning permission,10/11/2016,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/16/0282,24,B/16/0282,"Demolition of a chandlery, detached house and cottage and reduction in height of boundary walls plus the construction of 24 residential apartments together with ancillary external works including parking provision and the extinguishing of a vehicular access point",,not started,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/16/0283,no,no,B/16/0283 Listed building Consent for demolition of part of boundary wall shared with The Witham Tavern,,,
11-Dec-18,11-Dec-18,42,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/034,,"10-13 London Road, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=24156&p=0,OSGB36,532619,343225,0.11,not owned by public authority,yes,permissioned,full planning permission,29/09/2005,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/05/0538,12,B/05/0538,Construction of 11 No. 1 Bedroom flats and 1 No. Two Bedroom House,,under construction,,no,no,,,,
11-Dec-18,11-Dec-18,43,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/SUT/001,,"Land at Station Road, Sutterton, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=24155&p=0,OSGB36,528370,335599,0.61,not owned by public authority,yes,permissioned,full planning permission,15/02/2017,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/16/0409,21,B/16/0409,"Erection of 21 dwellings (to include 4 affordable dwellings), new vehicular access, private access road and associated works",,not started,,no,no,,,,
11-Dec-18,11-Dec-18,44,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/035,,"1, Witham Town, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=24154&p=0,OSGB36,532261,344719,0.21,not owned by public authority,yes,pending decision,full planning permission,,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/11/0514,12,B/11/0514,Erection of twelve dwellings following the demolition of all buildings on the site,,not started,,no,no,"The site is in the Boston Conservation Area. Consent for demolition has been granted, B/11/0515, and implemented.",,,
