OrganisationURI,OrganisationLabel,SiteReference,AlternativeReferences,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,OtherNotes 
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0021,APP/15/00951/F,,"""27 Forest Road, Poole, BH13 6DQ""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_230047,ETRS89,49.90021143,-1.948308038,403808.6428,93768.0212,0.2,Unknown ownership,Yes,Permissioned,Full planning permission,01/09/2015,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_230047,,5,Demolish existing house and erect 5 houses with associated parking.,,,,,,,,01/12/2017,01/12/2017,
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0022,APP/15/01064/P,,"""78 High Street, Poole, BH15 1DB""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_230198,ETRS89,49.90019482,-1.919787813,405856.8665,91983.4842,0.04,Unknown ownership,Yes,Permissioned,Outline planning permission,19/02/2016,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_230198,,6,"""Outline planning permission with some matters reserved to form new second floor over 78 High Street, creating 6 no. flats.""",,,,,,,,01/12/2017,01/12/2017,
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0023,APP/15/01077/F,,"""9 Brudenell Road, Poole, BH13 7NN""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_230217,ETRS89,49.90018992,-1.913113379,406336.2015,90562.9938,0.16,Unknown ownership,Yes,Permissioned,Full planning permission,21/03/2016,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_230217,,8,Demolition of existing 2 flats and construction of a block of 8 apartments with parking located on ground floor.,,,,,,,,01/12/2017,01/12/2017,
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0024,APP/15/01193/P,,"""385 Sandbanks Road, Poole, BH14 8HZ""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_230356,ETRS89,49.90020311,-1.932529966,404941.769,88904.1647,0.15,Unknown ownership,Yes,Permissioned,Full planning permission,28/10/2015,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_230356,,5,Demolish existing detached dwelling and erect an apartment building comprising 5 three bedroom apartments and a basement car park. ,,,,,,,,01/12/2017,01/12/2017,
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0025,APP/15/01318/F,,"""1 & 2 Bessborough Road, Poole, BH13 7JS""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_230527,ETRS89,49.90020621,-1.937943352,404552.9984,89195.6308,0.2,Unknown ownership,Yes,Permissioned,Full planning permission,16/02/2016,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_230527,,14,Demolition of the existing care home and adjoining dwelling and the erection of a 4-storey block of 14 apartments with basement parking,,,,,,,,01/12/2017,01/12/2017,
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0026,APP/15/01360/F,,"""1 to 3 Commercial Road, Poole, BH14 0HU""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_230580,ETRS89,49.90020946,-1.944165757,404106.127,89380.1671,0.19,Unknown ownership,Yes,Permissioned,Full planning permission,08/03/2016,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_230580,,50,"""Demolish existing buildings and erect a mixed use development consisting of 50 residential units and retail space, with associated access and parking.""",,,,,,,,01/12/2017,01/12/2017,
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0027,APP/15/01491/F,,"""302-304 Sandbanks Road, Poole, BH14 8HX""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_244935,ETRS89,49.90021696,-1.962120483,402816.6814,91554.2439,0.19,Unknown ownership,Yes,Permissioned,Full planning permission,12/02/2016,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_244935,,6,Demolish existing buildings and erection of 6 detached dwellings and parking (Revised Scheme). ,,,,,,,,01/12/2017,01/12/2017,Other site permissions refs and dates of decision: APP/14/01286/F & 19/01/2015
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0028,APP/15/01592/F,,"""107-117 Bournemouth Road, Poole, BH14 9HR""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_245116,ETRS89,49.90019066,-1.914083751,406266.5127,90988.3389,0.16,Unknown ownership,Yes,Permissioned,Full planning permission,15/01/2016,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_245116,,9,Demolish existing outbuildings and steel framed car park cover and erect 9 No. houses and new parking area. ,,,,,,,,01/12/2017,01/12/2017,
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0029,APP/15/01639/PA,,"""Merck House, 24-32 Seldown Road, Poole, BH15 1TD""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_245222,ETRS89,49.90021043,-1.946176381,403961.731,89747.1204,0.36,Unknown ownership,Yes,Permissioned,Full planning permission,15/01/2016,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_245222,,81,Prior Approval for Change of Use of B1 Office to C3 Residential (81 Units).,,,,,,,,01/12/2017,01/12/2017,Other site permissions refs and dates of decision: APP/14/01011/PA & 03/10/2014
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0030,APP/15/01795/F,,"""1 High Street, Poole, BH15 1AB""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_245458,ETRS89,49.90020673,-1.938900409,404484.2659,91718.4084,0.01,Unknown ownership,Yes,Permissioned,Full planning permission,30/03/2017,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_245458,,9,Demolition of the existing building and the erection of a part 2-storey and a part 5-storey building comprising a commercial unit on the ground floor and 9 residential units above.,,,,,,,,01/12/2017,01/12/2017,
