OrganisationURL,SiteReference,SiteNameAddress,GeoY,GeoX,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",58037,"Former Foxley Works, Redhills Road, Milton, Stoke-on-Trent, ST2 7PE",349759.9183,389927.6093,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.22,not owned by a public authority,permissioned,outline planning permission,18/09/2015,,yes,5,5,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",58175,"Land between Newport Lane and Lucas Street, Burslem, Stoke-on-Trent, ST6 3PP",349522.3751,386273.3704,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.18,not owned by a public authority,permissioned,outline planning permission,25/06/2015,,yes,14,14,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",58354,"Former Stanfield Nursery School, Dollys Lane, Burslem, Stoke-on-Trent, ST6 7AW",350838.027,387232.0228,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.5,not owned by a public authority,permissioned,full planning permission,04/03/2016,,yes,40,40,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",58468,"Former Nursing Home, 1 Ricardo Street, Longton, Stoke-on-Trent, ST3 4EU",342279.2858,390852.6432,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.12,not owned by a public authority,permissioned,full planning permission,19/08/2015,,yes,10,10,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",58571,"Ubberley Working Mens Club, Ubberley Road, Bucknall, Stoke-on-Trent, ST2 0EF",346632.8011,391259.4725,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.23,not owned by a public authority,permissioned,full planning permission,05/11/2015,,yes,13,13,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",58658,"24 - 26 Glover Street, Hanley, Stoke-on-Trent, ST1 2LU",348449.2338,388835.2501,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.05,not owned by a public authority,permissioned,full planning permission,11/09/2015,,yes,6,6,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",58748,"Land adjacent 52 Glebedale Road, Fenton, Stoke on Trent, ST4 3AQ",344560.646,389240.153,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.43,not owned by a public authority,permissioned,full planning permission,13/11/2015,,yes,22,22,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",58844,"Former St Chads Church, Scotia Road, Tunstall, Stoke-on-Trent, ST6 6EQ",350988.573,386465.1275,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.2,not owned by a public authority,permissioned,full planning permission,09/12/2015,,yes,18,18,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",58877,"Former Bucknall Hospital site, Eaves Lane, Stoke-on-Trent, ST2 8LD",347939.7699,391003.7437,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,8.9,not owned by a public authority,permissioned,full planning permission,29/02/2016,,yes,66,66,,Site is under construction,31/12/2017,09/10/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",58896,"Chris Shenton Engineering Ltd, Rear of 30 Wilson Road, Hanford, Stoke-on-Trent ST4 4QQ",342117.8827,386878.4005,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.25,owned by a public authority,permissioned,outline planning permission,16/12/2015,,yes,6,6,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",58939,"Land at rear of Greenfield Centre, Furlong Road, Tunstall, Stoke-on-Trent, ST6 5UP",351893.1391,385950.2763,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.18,not owned by a public authority,permissioned,full planning permission,04/03/2016,,yes,12,12,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",59041,"59 Gilman Street, Hanley, Stoke-on-Trent ST1 3PL",347448.0978,388643.0679,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.02,not owned by a public authority,permissioned,full planning permission,19/01/2016,,yes,6,6,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",59042,"Land at Former St. Peters High School, Queen's Road, Hartshill, Stoke-on-Trent, ST4 7LH",345169,386561,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,1.99,Mixed ownership,permissioned,outline planning permission,19/03/2018,,yes,61,61,,,31/12/2017,05/12/2018,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",59182,"Ringway House, Bryan Street, Hanley, Stoke-on-Trent, ST1 5AJ",348008.3401,388184.9144,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.09,not owned by a public authority,permissioned,full planning permission,25/05/2016,,yes,18,18,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",59223,"Minton Hollins (land) (employment), Shelton Old Road, Stoke",345763.1002,387495.4928,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,2.79,not owned by a public authority,permissioned,full planning permission,,,yes,485,485,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",59462,"Webberley Limited, Percy Street, Hanley, Stoke-on-Trent, ST1 1NG",347541.8063,388404.5532,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.06,not owned by a public authority,permissioned,full planning permission,27/04/2016,,yes,12,12,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",59519,"49 Mcgough Street, Tunstall, Stoke-on-Trent, ST6 5DJ",351182.9357,385911.4727,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.03,not owned by a public authority,permissioned,full planning permission,09/06/2016,,yes,10,10,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",59852,"Trent Country Club, Birches Head Road, Birches Head, Stoke-on-Trent, ST2 8DD",349238.2797,390258.5065,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.29,not owned by a public authority,permissioned,full planning permission,05/09/2016,,yes,12,12,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",60035,"Goldenhill Working Mens Club, Kidsgrove Road, Goldenhill, Stoke-on-Trent, ST6 5SH",353531.8066,385214.5241,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.62,not owned by a public authority,permissioned,full planning permission,26/10/2016,,yes,14,14,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",60223,"Unit 2, Victoria House, Paxton Street, Hanley, Stoke-on-Trent, ST1 3SD",346884.7239,388586.5622,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.03,not owned by a public authority,permissioned,outline planning permission,11/11/2016,,yes,16,16,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",60371,"The Winchester, Winchester Avenue, Bucknall, Stoke-on-Trent, ST2 0LL",346028.7069,391905.3424,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.14,not owned by a public authority,permissioned,full planning permission,25/11/2016,,yes,7,7,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",60389,"Junction of Upper Hillchurch Street & Ratton Street, Hanley, Stoke-on-Trent, ST1 2BX",347914.6679,388586.4846,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.04,not owned by a public authority,permissioned,full planning permission,05/12/2016,,yes,6,6,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",60432,"Former Churchill Pottery, off Waterloo Road, Hanley, Stoke on Trent",348612.6887,387807.0101,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,4.41,not owned by a public authority,permissioned,full planning permission,01/03/2017,,yes,129,129,,Site is under construction,31/12/2017,09/10/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",60499,"Grosvenor Chambers, Foundry Street, Hanley, Stoke-on-Trent, ST1 5SY",347674.1817,388202.82,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.04,not owned by a public authority,permissioned,other,23/12/2016,,yes,10,10,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",60500,"Grosvenor Chambers, Foundry Street, Hanley, Stoke-on-Trent, ST1 5SY",347674.1817,388202.82,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.04,not owned by a public authority,permissioned,other,23/12/2016,,yes,18,18,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",60636,"Majestic Chambers, 24 Campbell Place, Stoke-on-Trent, ST4 1LX",345125.7688,387648.1003,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.06,not owned by a public authority,permissioned,other,06/02/2017,,yes,26,26,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",60638,"First Floor, 2-8 Queen Street, Burslem, Stoke-on-Trent, ST6 3EF",349767.5909,386895.0575,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.1,not owned by a public authority,permissioned,other,03/03/2017,,yes,9,9,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",60777,"Former Tunstall Health Centre, Dunning Street, Tunstall, Stoke On
Trent, ST6 5AP",351450.3719,385858.8091,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.47,not owned by a public authority,permissioned,reserved matters approval,11/04/2017,,yes,19,19,,,31/12/2017,09/10/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",60831,"Former Dyson Thermal Technologies, Shelton New Road, Hartshill,
Stoke-on-Trent, ST4 6EP",346142.7335,386459.6166,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,4.57,not owned by a public authority,permissioned,reserved matters approval,14/06/2017,,yes,35,35,,Site is under construction,31/12/2017,09/10/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",60886,"Former Methodist Church, Sandon Old Road, Meir, Stoke On Trent, ST3 7AB",341377.3868,392942.5858,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.14,not owned by a public authority,permissioned,full planning permission,06/04/2017,,yes,5,5,,Site is under construction,31/12/2017,24/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",60951,"Shelton Pool, Simon Place, Shelton, Stoke on Trent, ST4 2DD and adjacent Shelton Day Centre, Cemetery Road, Shelton, Stoke on Trent, ST4 2DL",346391.1053,387644.8203,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.94,not owned by a public authority,permissioned,full planning permission,21/12/2017,,yes,9,9,,,31/12/2017,24/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",60994,"Queen Elizabeth II Court, Temple Street, Fenton, Stoke-on-Trent",344641,388836,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.53,not owned by a public authority,permissioned,full planning permission,25/05/2017,,yes,57,57,,Site is under construction,05/12/2018,05/12/2018,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",61254,"Former Victoria Ground, Off Boothen Old Road, Stoke-on-Trent",344609,387902,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,6.96,not owned by a public authority,permissioned,full planning permission,23/10/2018,,yes,138,138,,Site is under construction,05/12/2018,24/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",61264,"Former St Dominic's School, Hartshill Road, Stoke-on-Trent, ST4
7LY",345758,387032,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.13,not owned by a public authority,permissioned,full planning permission,28/09/2017,,yes,5,5,,,05/12/2018,05/12/2018,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",61283,"Land off, Leek Road, Northwood, ST1 6AT",347574.2889,389794.9237,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.31,not owned by a public authority,permissioned,outline planning permission,03/10/2018,,yes,119,119,,,31/12/2017,09/10/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",61450,"Stoke-on-Trent, College Road",346423.2344,388037.3087,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,1.04,not owned by a public authority,permissioned,full planning permission,26/06/2018,,yes,778,778,,,31/12/2017,31/12/2018,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",61641,"Abbots House, 103 Abbots Road, Abbey Hulton, Stoke-on-Trent, ST2 8DU",349028,390871,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.41,not owned by a public authority,permissioned,full planning permission,21/12/2017,,yes,14,14,,Site is under construction,05/12/2018,27/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",61688,"Land at Bucknall New Road, Hanley, Stoke-on-Trent",347501.4084,388949.172,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,1.32,not owned by a public authority,permissioned,full planning permission,18/12/2017,,yes,58,58,,Site is under construction,31/12/2017,27/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",61710,"Land at Broad Street / Potteries Way, Hanley, Stoke-on-Trent",347212,388054,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.95,owned by a public authority,permissioned,full planning permission,07/12/2017,,yes,277,277,,Site is under construction,31/12/2017,27/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",61735,"56 Edensor Road, Longton, Stoke On Trent, ST3 2QE",343138.9199,390740.0057,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.06,not owned by a public authority,permissioned,full planning permission,03/01/2018,,yes,8,8,,,31/12/2017,05/12/2018,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",61773,"Land at Bycars Road, Burslem, Stoke-on-Trent, ST6 1BY",350357,386895,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.9,not owned by a public authority,permissioned,outline planning permission,05/02/2018,,yes,3,3,,,05/12/2018,05/12/2018,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",61804,"Eastwood Road, Hanley",346948.6147,388702.5528,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,4.74,not owned by a public authority,permissioned,full planning permission,30/05/2018,,yes,128,128,,,31/12/2017,09/10/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",61905,"Trentwood Timber Supplies Ltd, Junction of Stoke Old Road and  Victoria Street, Basford, Stoke-on-Trent,ST4 6HD",346023,385963,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.47,not owned by a public authority,permissioned,outline planning permission,29/03/2018,,yes,19,19,,,05/12/2018,05/12/2018,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62106,"Lightwood Tavern, 581 Lightwood Road, Lightwood, Stoke-",341463,392380,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.27,not owned by a public authority,permissioned,full planning permission,04/05/2018,,yes,6,6,,,05/12/2018,09/10/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62496,"Site of former Trentham Library, Trentley Road, Trentham, Stoke-on-Trent, ST4 8PH",341348.4492,386980.9558,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.25,not owned by a public authority,permissioned,full planning permission,03/08/2018,,yes,6,6,,Site is under construction,31/12/2017,27/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62955,"1 Marychurch Road, Bucknall, Stoke-on-Trent, ST2 9BJ",347500.2989,390468.112,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.07,not owned by a public authority,permissioned,full planning permission,26/10/2018,,yes,9,9,,,31/12/2017,09/10/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",63129,"Land at, Norfolk Street, Norfolk Street, Shelton, Stoke on Trent",346489.1652,387876.7502,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.36,not owned by a public authority,permissioned,full planning permission,07/01/2019,,yes,28,28,,,31/12/2017,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",63168,"Swallows Nest, Ufton Close, Blurton, Stoke-on-Trent,  ST3 3NQ",341009,389547,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.34,not owned by a public authority,permissioned,outline planning permission,06/12/2018,,yes,10,10,,Site is under construction,05/12/2018,27/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",63272,"Bird In Hand, 942 London Road, Stoke On Trent, ST4 5NX",343293.7724,386528.9673,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.33,not owned by a public authority,permissioned,full planning permission,08/01/2019,,yes,8,8,,,31/12/2017,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",63292,"Former Station P.H., Stanton Road, Meir, Stoke-on-Trent, ST3 6DF",342284.1847,393458.477,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.14,not owned by a public authority,permissioned,full planning permission,06/02/2019,,yes,18,18,,,31/12/2017,27/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",63462,"66 Grove Road, Fenton, Stoke-on-Trent, ST4 3BB",343879.8878,389046.3448,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.19,not owned by a public authority,permissioned,full planning permission,07/03/2019,,yes,7,7,,,31/12/2017,09/10/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",137,"Broadway House, Broadway, Meir",342850.8326,393183.8031,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.92,not owned by a public authority,not permissioned,,,,,37,37,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",142,"California Business Park (employment element but full site area shown), Whieldon Road, Stoke",344143.5946,387977.9857,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,2.95,not owned by a public authority,not permissioned,,,,,165,165,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",186,"Ford Green House, Ford Green Road, Smallthorne",350896.6315,388913.1086,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.27,not owned by a public authority,not permissioned,,,,,4,4,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",187,"Foley Goods Yard, Bute Street, Fenton",343926.5155,390358.0669,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,1,not owned by a public authority,not permissioned,,,,,56,56,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",201,"Former Co-op Bakery Site, Newport Lane, Middleport, Stoke-on-Trent",348935.1129,386517.714,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,1.98,not owned by a public authority,not permissioned,,,,,96,96,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",220,"Former Parkside Residential Home, Weston Coyney Road, Stoke on Trent, and Training & Development Centre",343552.4429,392865.3333,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.87,owned by a public authority,not permissioned,,,,,22,22,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",222,"Former pottery, Parsonage Street, Tunstall",351792.07,385759.7767,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.49,not owned by a public authority,not permissioned,,,,,28,28,,,31/12/2017,31/12/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",238,"Former Tuscan Works,Anchor Road,Longton,Stoke on Trent,ST3 1LL",343778.2122,391428.9616,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,3.08,not owned by a public authority,not permissioned,,,,,110,110,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",245,"Heathfield Special School, Chell Heath Road, Chell Heath, Stoke on Trent, ST6 6PD",352247.6647,388036.4667,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,1.08,owned by a public authority,not permissioned,,,,,35,35,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",60680,"Keele Street, Tunstall, Stoke on Trent, ST6 5AR.",351586.9959,385879.0788,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.28,not owned by a public authority,permissioned,full planning permission,24/01/2018,,yes,17,17,,,31/12/2017,09/10/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",304,"Land at, Furlong Road, Tunstall, Stoke-on-Trent",351891.2339,386435.4483,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.91,not owned by a public authority,not permissioned,,,,,33,33,,,31/12/2017,05/12/2018,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",310,"Land at, junction of Newport Lane and Furlong Lane, Burslem
Stoke-on-Trent",349444.7631,386343.9595,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,1.86,not owned by a public authority,not permissioned,,,,yes,86,86,,,31/12/2017,05/12/2018,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",333,"Land at, Vernon Road, Stoke-on-Trent, ST4 2TP",345871.8791,387607.9697,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.28,not owned by a public authority,not permissioned,,,,,14,14,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",364,"Land off, Lichfield Street, Hanley",346723.4481,388611.9772,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.44,not owned by a public authority,not permissioned,,,,,33,33,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",370,"Land off, Baron Street, Fenton",344031.4905,390178.7013,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.85,not owned by a public authority,not permissioned,,,,,50,50,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",373,"Land off, Hawkins Street, Fenton",344591.2912,388586.6793,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,1.22,not owned by a public authority,not permissioned,,,,,48,48,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",438,"Botteslow Street, Hanley",347064.1638,389071.3106,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,1.2,owned by a public authority,not permissioned,,,,,77,77,,,31/12/2017,31/12/2017,
