OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate,KEYVAL,REFVAL,Id
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,17/01292/FUL,15 New Road Basingstoke,,152112.458,463997.866,0.126114,not owned by a public authority,permissioned,full planning permission,20171207,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=ONW5XNCRIWO00&activeTab=summary,yes,10,10,,"The site gained permission for 10 units in December 2017 (17/01292/FUL). The original building has been demolished and significant progress has been made, completions are expected from 2019/20. The site is deliverable within five years.",2018-12-31,2019-12-23,,ONW5XNCRIWO00,17/01292/FUL,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,17/02279/FUL,Land At Chapel Hill  Kingsclere Road Basingstoke,,152713.4205,463094.732,2.023111,not owned by a public authority,permissioned,full planning permission,20180323,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=OSBDQHCRN0Q00&activeTab=summary,yes,491,491,,Outline planning permission granted for 578 units (14/00865/OUT) in January 2015. Reserved matters consent for the full 578 units  (15/03667/RES) was granted in May 2016. Work has commenced on site and the first 12 units were completed in 2016/17 and 115 in 2017/18 and 132 in 2018/19. 56 of the units are to be delivered in the existing  'white building' and an application to increase this to 96 units (17/02279/FUL) was granted in March 2018.   The site is deliverable within five years.,2017-12-31,2019-12-23,,OSBDQHCRN0Q00,17/02279/FUL,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,17/02516/GPDOFF,Spinnaker House  Lime Tree Way Chineham Basingstoke,,155802.076,465646.9805,0.411764,not owned by a public authority,permissioned,planning permission granted under an order,20171220,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=OTDRNXCR0GT00&activeTab=summary,yes,36,36,,A prior approval application for conversion from office to residential was approved in February 2017 (16/04426/GPDOFF) for 33 units. A  further prior approval application  (17/02516/GPDOFF) for 36 units was granted in December 2017. Conversion of the ground floor has now commenced. The site is deliverable within five years.,2018-12-31,2019-12-23,,OTDRNXCR0GT00,17/02516/GPDOFF,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,17/02605/GPDOFF,Spectrum House 8 Woodlands Business Village Coronation Road Basingstoke,,152979.4245,464701.068,0.204516,not owned by a public authority,permissioned,planning permission granted under an order,20170920,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=OTP7K2CR0GT00&activeTab=summary,yes,18,18,,Prior notification was approved  for 13 flats on the  site in December 2015  (15/03777/GPDOFF). A further prior notification was approved for 18 flats in September 2017 (17/02605/GDPOFF). It is understood that the site has been sold to a developer who will implement the scheme.  Completions expected from 2021/22.   The site is deliverable within five years.,2017-12-31,2019-12-23,,OTP7K2CR0GT00,17/02605/GPDOFF,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,17/03309/OUT,Centenary House 10 Winchester Road,,151719.5295,463542.082,0.811121,not owned by a public authority,permissioned,outline planning permission,20170301,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=OX1TGCCRJY000&activeTab=summary,yes,9,9,,Small site granted outline permission for 9 dwellings in March 2017 (17/03309/OUT).  No starts recorded at 1 April 2019 but site considered deliverable within five years.,2018-12-31,2019-12-23,,OX1TGCCRJY000,17/03309/OUT,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,17/03673/FUL,Deeside Alliston Way,,151025.227,461088.072,0.344844,owned by a public authority,permissioned,full planning permission,20190211,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=OYQJP6CRLFS00&activeTab=summary,yes,15,15,,This site gained planning permission in  (17/03673/FUL). Soverign who are taking the site forward state that the site will be completed by 2020/21. The site is deliverable within five years.,2018-12-31,2019-12-23,,OYQJP6CRLFS00,17/03673/FUL,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,17/04029/FUL,Sandringham Court Paddock Road Basingstoke,,151110.6955,461569.6215,0.15673900000000002,owned by a public authority,permissioned,full planning permission,20190219,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=P0544CCRMRI00&activeTab=summary,yes,13,13,,The site gained full planning permission in Feburary 2019 (17/04029/FUL). The site is being actively persued by a housing association. The site is deliverable within five years.,2017-12-31,2019-12-23,,P0544CCRMRI00,17/04029/FUL,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,17/04259/FUL,Chineham House  Shakespeare Road Basingstoke,,153942.518,464594.3435,0.12983,owned by a public authority,permissioned,full planning permission,20180525,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=P19XN0CRFZC00&activeTab=summary,yes,10,10,,Planning permission for the conversion of this council owned building was granted in October 2014 (14/00759/FUL). This permission lapsed in 2018 and a new permission was granted in September 2018 (17/04259/FUL).  The site is deliverable within five years.,2017-12-31,2019-12-23,,P19XN0CRFZC00,17/04259/FUL,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,18/00524/RES,Burnham Copse Infant School New Church Road Tadley,,162199.901,459226.614,1.4082379999999999,owned by a public authority,permissioned,reserved matters approval,20181008,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=P4EQ9KCRIHF00&activeTab=summary,yes,36,36,,Outline planning permission for 36 residential units was granted in March 2016 (14/02200/OUT) and reserved matters approval in October 2018 (18/00524/RES). Aster Communities who are developing the site expect it be complete in 2019/20. The site is deliverable within five years.,2017-12-31,2019-12-23,,P4EQ9KCRIHF00,18/00524/RES,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,18/01184/FUL,Site Of Harlech Hall Harlech Close Winklebury Basingstoke,,152357.855,461341.9865,0.192581,owned by a public authority,permissioned,full planning permission,20180619,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=P7NBIVCRLCN00&activeTab=summary,yes,6,6,,This site benefits from full planning permission granted in June 2018 (18/01184/FUL). The site is considered deliverable within five years.,2017-12-31,2019-12-23,,P7NBIVCRLCN00,18/01184/FUL,
