OrgURL,OrgLabel,SiteRefere,Previously,SiteNameAd,SiteplanUR,Coordinate,GeoX,GeoY,Hectares,OwnershipS,Deliverabl,PlanningSt,PermiType,PermiDate,PlanningHi,ProposedFo,MinNetDwel,Developmen,NonHousing,Part2,NetDwellin,NetDwell00,HazardousS,SiteInform,Notes,FirstAdded,LastUpdate,PlanningA1,PlanningA2,PlanningAu,SOURCE,MI_PRINX,EASTING,NORTHING
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,BRK9,n/a,Land at the junction of Crow Lane and Sandgate Close,https://www.havering.gov.uk/download/downloads/id/2960/map_brooklands_december_2018.pdf,ETRS89,0.169939,51.569849,1.43,Not owned by a public authority,yes,permissioned,full planning permission,06/12/2018,,,82,"""P1152.18-Redevelopment of the site to provide 82 dwellings with new access junctions, associated car parking, landscaping and infrastructure works""",n/a,n/a,,,,,,31/12/2018,31/12/2018,APPROVAL,Brooklands,Havering,LDD,55,550484,187895
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,CRA1,n/a,"""Brunswick Court, Brunswick Avenue, Upminster""",https://www.havering.gov.uk/download/downloads/id/2959/map_cranham_december_2018.pdf,ETRS89,0.270832,51.568289,0.48,Owned by a public authority,yes,not permissioned,n/a,n/a,,,7,"""Council Regeneration Site, demolition of existing building and loss of 47 units to yield a net total 287 units""",n/a,n/a,,,,,,31/12/2018,31/12/2018,POTENTIAL DEVELOPMENT,Cranham,Havering,SHLAA,38,557476,187934
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,CRA2,n/a,"""Chapmans Farm, Hall Lane, Upminster""",https://www.havering.gov.uk/download/downloads/id/2959/map_cranham_december_2018.pdf,ETRS89,0.256874,51.575772,0.44,Not owned by a public authority,yes,pending decision,n/a,n/a,,,9,"""Demolition of existing livery yard buildings and the erection of nine dwellings, comprising of no.4 3 beds, no.3 4 beds and no.2 5 beds, with landscaping and associated works""",n/a,n/a,,,,,,31/12/2018,31/12/2018,SUBMITTED,Cranham,Havering,LDD,56,556488,188736
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,EMPK2,n/a,"""16 & 18 Prospect Road (and land to rear), Hornchurch""",https://www.havering.gov.uk/download/downloads/id/2961/map_emmerson_park_december_2018.pdf,ETRS89,0.234916,51.581822,0.43,Not owned by a public authority,yes,permissioned,outline planning pemission,11/01/2016,http://development.havering.gov.uk/OcellaWeb/planningDetails?reference=P1119.13&from=planningSearch,,7,"""P0972.14- Allowed on appeal (APP/B5480/W/15/3049320)Demolish 16 & 18 and create a new access road to provide 9 detached dwellings"" ",n/a,n/a,,,,,,31/12/2018,31/12/2018,APPROVAL,Emerson Park,Havering,LDD,58,554946,189362
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,EPK1,n/a,Station Parade,http://www.havering.gov.uk/download/downloads/id/2958/map_elm_park_december_2018.pdf,ETRS89,0.199221,51.548962,0.74,Not owned by a public authority,no,not permissioned,n/a,n/a,,,190,"""The site allocation DPD (2008) identifies the sites suitable for redevelopment,with the requirement to retain/reprovide the retail floor space at ground floor.""","Commercial/retail 4,210 sqm",n/a,,,,,"""Site twinned with Tadworth Parade- Potential development opportunity""",31/12/2018,31/12/2018,ALLOCATION,Elm Park,Havering,SHLAA,31,552583,185633
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,GOO1,n/a,"""Former Harold Hill Library, Hilldene, Romford""",https://www.havering.gov.uk/download/downloads/id/2962/map_gooshays_december_2018.pdf,ETRS89,0.218319,51.607829,0.28,Owned by a local authority,yes,not permissioned,n/a,n/a,,,21,Potential Development Site,n/a,n/a,,,,,,31/12/2018,31/12/2018,POTENTIAL DEVELOPMENT,Gooshays,Havering,SHLAA,35,553707,192218
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,GOO2,n/a,"""The pompadours PH, Edenhall Road, Harold Hill""",https://www.havering.gov.uk/download/downloads/id/2962/map_gooshays_december_2018.pdf,ETRS89,0.214245,51.60645,0.31,Not owned by a public authority,yes,pending decision,full planning permssion,n/a,http://development.havering.gov.uk/OcellaWeb/planningDeatils?reference=P1754.14&from=planningSearch,,21,Demolition of existing Public House and construction of 21 new residential units,n/a,n/a,,,,,,31/12/2018,31/12/2018,SUBMITTED,Gooshays,Havering,LDD,49,553431,192057
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,GOO3,n/a,"""Farnham, Hilldene & Chippenham Road""",https://www.havering.gov.uk/download/downloads/id/2962/map_gooshays_december_2018.pdf,ETRS89,0.229686,51.60649,1.01,Owned by a public authority,yes,not permissioned,n/a,n/a,,,602,"""Council's 12 Estate Regeneration site, demolition of 176 existing units and yielding a gross total of 768 units""",n/a,n/a,,,,,,31/12/2018,31/12/2018,ALLOCATION,Gooshays,Havering,LDD,51,554500,192094
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,GOO4,n/a,"""Newstead House, Troopers Drive, Romford""",https://www.havering.gov.uk/download/downloads/id/2962/map_gooshays_december_2018.pdf,ETRS89,0.219106,51.612248,0.28,Not owned by a public authority,yes,permissioned,full planning permission,05/12/2017,,,28,"""P1513.16-Conversion, adaption and extension of a vacant care home into 258no. self-contained residential units (C2 to C3)""",n/a,n/a,,,,,,31/12/2018,31/12/2018,APPROVAL,Gooshays,Havering,LDD,59,553748,192712
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,GOO5,n/a,"""Land btw 112 & 144 Priory Road, Romford""",https://www.havering.gov.uk/download/downloads/id/2962/map_gooshays_december_2018.pdf,ETRS89,0.223831,51.616116,0.38,Not owned by a public authority,yes,not permissioned,n/a,n/a,,,5,"""P1836.17-Construction of five residential ubits with off-street parking and garages and private amenity space""",n/a,n/a,,,,,,31/12/2018,31/12/2018,SUBMITTED,GOOSHAYS,Havering,LDD,60,554062,193152
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,GOO6,n/a,"""Quarles Campus, Tring Gardens, Harold Hill (Former Technical College)""",https://www.havering.gov.uk/download/downloads/id/2962/map_gooshays_december_2018.pdf,ETRS89,0.230017,51.613237,3.67,Not owned by a public authority,no,not permissioned,n/a,n/a,,,138,n/a,n/a,n/a,,,,,,31/12/2018,31/12/2018,POTENTIAL DEVELOPMENT,Gooshays,Havering,LDD,50,554500,192845
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,HAC1,n/a,Tadworth Parade,https://www.havering.gov.uk/download/downloads/id/2963/map_hacton_december_2018.pdf,ETRS89,0.200106,51.549233,0.64,Not owned by a public authority,no,not permissioned,n/a,n/a,,,0,"""The site allocation DPD (2008) identifies the site suitable for redevelopment, with the requirement to retain/reprovide the retail floor space at ground floor-Twinned with Station Parade below""",n/a,n/a,,,,,"""Twinned with Sation Parade-refer to Station Parade for details below""",31/12/2018,31/12/2018,ALLOCATION,Hacton,Havering,SHLAA,30,552642,185662
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,HEA1,n/a,"""Three Horseshoe Farm, Noak Hill Road, Romford""",https://www.havering.gov.uk/download/downloads/id/2964/map_heaton_december_2018.pdf,ETRS89,0.215788,51.609073,0.54,Not owned by a public authority,yes,permissioned,full planning permission,04/05/2017,,,5,"""P0759.16-Allowed on appeal-Demolition of all existing stabling, storage and residential buildings on site and construction of 4no. 4 beds and 1no. 3 bed dwellings with landscaping and associated works""",n/a,n/a,,,,,Site for sale with planning permission and S106 agreed,31/12/2018,31/12/2018,APPROVAL,HEATON,Havering,LDD,63,553373,190901
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,HPK3,n/a,"""Upper Bedfords Farm, Lower Bedfords Road, Romford""",https://www.havering.gov.uk/download/downloads/id/2965/map_havering_park_december_2018.pdf,ETRS89,0.199481,51.609047,1.65,Not owned by a public authority,yes,permissioned,full planning permission,21/12/2017,,,8,"""P2045.16-Demolition of former agricultural and storage buildings and redevelopment, including conversion of barn to provide 8no. new residential dwellings, with associated landscape, access and parking""",n/a,n/a,,,,,,31/12/2018,31/12/2018,APPROVAL,Havering Park,Havering,LDD,61,552400,192315
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,HPK4,n/a,"""1 Pinewood Poultry Farm, Pinewood Road, Havering atte-Bower""",https://www.havering.gov.uk/download/downloads/id/2965/map_havering_park_december_2018.pdf,ETRS89,0.177172,51.613987,0.85,Not owned by a public authority,yes,permissioned,full planning permission ,26/01/2018,,,5,"""P1753.16 (Allowed on appeal)-Demolition of 15 commercial storage units, and change of use to residential to include the creation of 5 detached 3 bed dwellings""",n/a,n/a,,,,,,31/12/2018,31/12/2018,APPROVAL,Havering Park,Havering,LDD,62,550839,192818
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,HYL1,n/a,"""Maygreen Crescent, Hornchurch""",https://www.havering.gov.uk/download/downloads/id/2969/map_hylands_december_2018.pdf,ETRS89,0.193777,51.566476,1.09,Owned by a public authority,no,not permissioned,n/a,n/a,,,89,"""Council Regeneration Site, loss of 111 units yielding a net total 89 units""",n/a,n/a,,,,,"""Council's 12 Estate Renewal Programme""",31/12/2018,31/12/2018,POTENTIAL DEVELOPMENT,Hylands,Havering,SHLAA,43,552145,187567
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,HYL2,n/a,"""Neopost House, Romford""",https://www.havering.gov.uk/download/downloads/id/2969/map_hylands_december_2018.pdf,ETRS89,0.187325,51.566278,0.58,Not owned by a local authority,yes,permissioned,planning permission granted under an order,16/01/2018,,,112,Prior approval for change of use from B1(a) to 112 residential units,n/a,n/a,,,,,"""Recent prior approval application received J0038.18, 09/11/2018 for 109 units.""",31/12/2018,31/12/2018,APPROVAL,Hylands,Havering,SHLAA,48,551702,187529
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,HYL3,n/a,"""Purbeck House, 230-234 Hornchurch Road, Hornchurch""",https://www.havering.gov.uk/download/downloads/id/2969/map_hylands_december_2018.pdf,ETRS89,0.198328,51.565445,0.04,Not owned by a public authority,yes,pending decision ,n/a,n/a,,,16,"""P1588.18-Change of use from offices and various extensions to create 9no. residential units. P2048.16 condition 2""",n/a,n/a,,,,,,31/12/2018,31/12/2018,SUBMITTED,Hylands,Havering,LDD,65,552466,187464
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,MAW1,n/a,"""Land to the rear of Kent House, Durham House and Cumberland House (White Hart Lane Scheme, Collier Row)""",https://www.havering.gov.uk/download/downloads/id/2968/map_mawneys_december_2018.pdf,ETRS89,0.155579,51.593278,0.36,Owned by a public authority,yes,permissioned,full planning permission,17/12/2018,,,16,"""P2031.16-Erection of 16 residential units (10 houses and 6 apartments) comprising a part two/part three storey residential block plus terraced housing and detached housing""",n/a,n/a,,,,,,31/12/2018,31/12/2018,APPROVAL,Mawneys,Havering,SHLAA,45,549407,190473
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,PET1,n/a,"""Delderfield House, Portnoi Close, Romford""",https://www.havering.gov.uk/download/downloads/id/2971/map_pettits_december_2018.pdf,ETRS89,0.174557,51.592264,0.25,Owned by a local authority,no,not permissioned,n/a,n/a,,,16,"""Council Regeneration Site, demolition of existing building and loss of 14 units to yield a net total 16 units""",n/a,n/a,,,,,"""Pre-application advice sought""",31/12/2018,31/12/2018,POTENTIAL DEVELOPMENT,Pettits,Havering,SHLAA,36,550728,190397
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,PET2,n/a,"""Royal Jubilee Court, Main Road, Romford""",https://www.havering.gov.uk/download/downloads/id/2971/map_pettits_december_2018.pdf,ETRS88,0.193458,51.585551,1.21,Owned by a public authority,no,not permissioned,n/a,n/a,,,71,"""Demolition of existing building and loss of 79 units yielding a net total 71 units""",n/a,n/a,,,,,,31/12/2018,31/12/2018,POTENTIAL DEVELOPMENT,Pettits,Havering,SHLAA,40,552059,189686
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,PET3,n/a,"""Land adjacent to Tweed Hall Way, Tweed Way, Romford""",https://www.havering.gov.uk/download/downloads/id/2971/map_pettits_december_2018.pdf,ETRS89,0.178064,51.599744,0.11,Not owned by a public authority,yes,pending decision,n/a,n/a,,n/a,7,Construction of 7 new houses and replacement community store,n/a,n/a,,,,,"""Pre-application advice sought""",31/12/2018,31/12/2018,SUBMITTED,Pettits,Havering,LDD,83,550948,191236
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,R&W2,n/a,"""Former Rainham Library and offices, 7 Broadway, Rainham""",https://www.havering.gov.uk/download/downloads/id/2973/map_rainham_and_wennington_december_2018.pdf,ETRS89,0.189582,51.517957,0.75,Mixed ownership,yes,pending decision,full planning permission,n/a,,,57,Demolition of existing buildings and construction of 57 homes comprising a mix of 22 homes and 35 apartments,n/a,n/a,,,,,,31/12/2018,31/12/2018,ALLOCATION,Rainham & Wennington,Havering,SHLAA,25,552005,182170
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,ROM1,n/a,"""29-33 Victoria Road, Romford""",https://www.havering.gov.uk/download/downloads/id/2975/map_romford_town_december_2018.pdf,ETRS89,0.186291,51.575004,0.12,Not owned by a public authority,yes,permissioned,planning permission granted under an order,28/11/2016,http://development.havering.gov.uk/OcellaWeb/planningDetails?reference=J0015.16&from=planningSearch,,11,"""J0015.16-CHANGE OF USE FROM OFFICES (CLASS B1A) TO RESIDENTIAL USE TO FORM 1NO. STUDIO UNIT, 5NO. ONE-BEDROOM UNITS, 3NO. TWO-BEDROOM UNITS AND 2NO. THREE-BEDROOM UNITS.""",n/a,n/a,,,,,,31/12/2018,31/12/2018,APPROVAL,Romford Town,Havering,LDD,1,551600,188502
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,ROM10,n/a,"""Victoria Hospital, Pettits Lane, Romford""",https://www.havering.gov.uk/download/downloads/id/2975/map_romford_town_december_2018.pdf,ETRS89,0.188118,51.5839,0.71,Not owned by a public authority,no,not permissioned,n/a,n/a,,,56,Potential Development Site,n/a,n/a,,,,,NHS owned who have signalled an interest in disposing,31/12/2018,31/12/2018,POTENTIAL DEVELOPMENT,Romford Town,Havering,SHLAA,33,551697,189495
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,ROM11,n/a,"""Waterloo Estate (Queens Street), Romford""",https://www.havering.gov.uk/download/downloads/id/2975/map_romford_town_december_2018.pdf,ETRS89,0.176752,51.574393,4.29,Owned by a public authority,yes,not permissioned,n/a,n/a,,,1165,"""Council Regeneration Site, demolition of existing building and yield a net total 1165 units""",n/a,n/a,,,,,"""Council's 12 Estate Regeneration Programme - Pre-application discussions currently underway""",31/12/2018,31/12/2018,POTENTIAL DEVELOPMENT,Romford Town,Havering,SHLAA,44,550947,188408
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,ROM12,n/a,Angel Way and High Street Area,https://www.havering.gov.uk/download/downloads/id/2975/map_romford_town_december_2018.pdf,ETRS89,0.178648,51.578236,0.94,Owned by a public authority,yes,not permissioned,n/a,n/a,,,270,n/a,n/a,n/a,,,,,"""Site is located within the Romford Strategic Development Area (GLA housing Zone status) & adopted Romford area Action Plan""  ",31/12/2018,31/12/2018,POTENTIAL DEVELOPMENT,Romford Town,Havering,SHLAA,47,551051,188846
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,ROM13,n/a,"""St Edwards Court, London Road, Romford""",https://www.havering.gov.uk/download/downloads/id/2975/map_romford_town_december_2018.pdf,ETRS89,0.173578,51.57444,0.46,Not owned by a public authority,yes,permissioned,full planning permission,01/12/2017,,,8,"""P0569.17-Provision of 8 residential units at ground floor and first floor together with fenestration alterations""",n/a,n/a,,,,,,31/12/2018,31/12/2018,APPROVAL,Romford Town,Havering,LDD,66,550721,188413
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,ROM14,n/a,"""222-226 South Street, Romford""",https://www.havering.gov.uk/download/downloads/id/2975/map_romford_town_december_2018.pdf,ETRS89,0.186677,51.570708,0.34,Not owned by a public authority,yes,not permissioned,n/a,n/a,,,81,"""Re-development of existing commercial premises to provide mixed use development varying from 2 to 7 floors comprising 81 residential units and A1, A2 & A3 uses at ground floor and basement car parking""","""Total gross new internal floorspace proposed 420 sq.m.  A net additional loss of 600 sq.m.""  ",n/a,,,,,"""Applicant has appealed for non-determination""",31/12/2018,31/12/2018,SUBMITTED,Romford Town,Havering,LDD,67,551641,188025
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,ROM15,n/a,"""6 Holgate Court, Western Road, Romford (rear of)""",https://www.havering.gov.uk/download/downloads/id/2975/map_romford_town_december_2018.pdf,ETRS89,0.186274,51.575553,0.01,Not owned by a public authority,yes,permissioned,planning permission granted under an order,19/09/2017,,,14,"""J0018.17-Prior approval for the change of use from office to residential""",n/a,n/a,,,,,,31/12/2018,31/12/2018,APPROVAL,Romford Town,Havering,LDD,68,551597,188631
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,ROM16,n/a,"""28-36 Eastern Road, Romford (HCL House)""",https://www.havering.gov.uk/download/downloads/id/2975/map_romford_town_december_2018.pdf,ETRS89,0.189245,51.575498,0.13,Not owned by a public authority,yes,permissioned,planning permission granted under an order,28/10/2016,,,52,"""J0009.16-Prior approval for the change of use of offices to form 52no. flats""",n/a,n/a,,,,,,31/12/2018,31/12/2018,APPROVAL,Romford Town,Havering,LDD,69,551803,188563
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,ROM17,n/a,"""7 Eastern Road, Romford""",https://www.havering.gov.uk/download/downloads/id/2975/map_romford_town_december_2018.pdf,ETRS89,0.187199,51.575284,0.04,Not owned by a public authority,yes,permissioned,planning permission granted under an order,01/11/2017,,,12,"""J0020.17-Prior approval for conversion of existing office to 12 residential units, comprising of eight one-bed units four two bed-units""",n/a,n/a,,,,,,31/12/2018,31/12/2018,APPROVAL ,Romford Town,Havering,LDD,70,551662,188535
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,ROM18,n/a,"""110-120 Balgores Lane, Romford""",https://www.havering.gov.uk/download/downloads/id/2975/map_romford_town_december_2018.pdf,ETRS89,0.195234,51.582086,0.18,Not owned by a public authority,yes,permissioned,planning permission granted under an order,16/09/2016,,,12,"""P1439.15-Demolition of all existing buildings and construct a 2.5 storey building, providing 14 residential units with associated parking and landscaping""",n/a,n/a,,,,,,31/12/2018,31/12/2018,APPROVAL,Romford Town,Havering,LDD,71,552916,189308
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,ROM19,n/a,"""113-117 South Street, Romford""",https://www.havering.gov.uk/download/downloads/id/2975/map_romford_town_december_2018.pdf,ETRS89,0.184855,51.575148,0.02,Not owned by a public authority,yes,permissioned,planning permission granted under an order,19/03/2018,,n/a,11,"""J0004.18-Change of use of first & second floor from offices to 11 flats""",n/a,n/a,,,,,,31/12/2018,31/12/2018,APPROVAL,Romford Town,Havering,LDD,72,551500,188515
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,ROM2,n/a,"""Enterprise House, Eastern Road, Romford""",https://www.havering.gov.uk/download/downloads/id/2975/map_romford_town_december_2018.pdf,ETRS89,0.185566,51.575836,0.06,Not owned by a public authority,yes,permissioned,planning permission granted under an order,13/07/2015,http://development.havering.gov.uk/OcellaWeb/planningSearch,,11,Prior Approval application for a conversion of B1 office to C3 residential use to provide 12 self contained flats on all four floors,n/a,n/a,,,,,A number of prior approval applications since 2015,31/12/2018,31/12/2018,APPROVAL,Romford Town,Havering,LDD,3,551547,188593
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,ROM21,n/a,"""Enterprise House, 18 Eastern Road, Romford""",https://www.havering.gov.uk/download/downloads/id/2975/map_romford_town_december_2018.pdf,ETRS89,0.185566,51.575836,0.06,Not owned by a public authority,yes,pending decision,n/a,n/a,,n/a,6,"""P0046.18-two new floors containing 6 x 1 bed flats, including alterations to elevations""",n/a,n/a,,,,,"""Prior approval application granted for a change of use.  Refer to ROM2 for further information""",31/12/2018,31/12/2018,SUBMITTED,Romford Town,Havering,LDD,74,551547,188593
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,ROM22,n/a,"""The Seedbed Centre, Davidson Way, Romford""",https://www.havering.gov.uk/download/downloads/id/2975/map_romford_town_december_2018.pdf,ETRS89,0.184429,51.569571,2.88,Not owned by a public authority,yes,not permissioned,n/a,n/a,,n/a,1100,"Preliminary enquiries - The proposal comprises the erection of a mixed use development comprising approximately 1,144 homes and quality commercial space",n/a,n/a,,,,,"""Pre-application advice currently being sought""",31/12/2018,31/12/2018,POTENTIAL DEVELOPMENT,Romford Town,Havering,SUBMITTED,84,551489,187894
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,ROM3,n/a,"""23-55 North Street, Romford""",https://www.havering.gov.uk/download/downloads/id/2975/map_romford_town_december_2018.pdf,ETRS89,0.178862,51.579603,0.27,Not owned by a public authority,yes,pending decision,n/a,n/a,http://development.havering.gov.uk/OcellaWeb/planningDetails?reference=P0403.15&from=planningSearch,,100,"""P1292.15 - Mixed use redevelopment of the site, including retention of part of built structure for a building (of 6 and 19 storeys) which includes 100 dwellings (C3) 842sq.m of flexible uses""",n/a,n/a,,,,,"""Pre-application advice sought""",31/12/2018,31/12/2018,SUBMITTED,Romford Town,Havering,SHLAA 2017,4,551070,188998
