OrganisationURL,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinDetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,30719,#N/A,"Crown Inn, Cradley, Malvern, Herefordshire, WR13 5LS",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=30719,OSGB36,372666.500,246850.500,0.32,,,permissioned,full planning permission,2003-10-13,,#N/A,4,Residential development of 4 dwellings,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,161944,#N/A,"Land to the rear of Butterfields, Bosbury Road, Cradley, Worcestershire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=161944,OSGB36,372564.000,246613.000,0,,,permissioned,outline planning permission,2017-01-25,,#N/A,0,"Proposed removal of derelict sheds, animal pens and caravan and~construction of detached dwelling.",,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,163491,#N/A,"Woodavens, Dormington, Herefordshire, HR1 4ES",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=163491,OSGB36,358289.000,240149.000,0,,,permissioned,full planning permission,2017-01-23,,#N/A,0,Proposed conversion of outbuilding into dwelling (For DOC 3 4 6 & 8~see 172018),,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,143678,#N/A,"Site adjacent to Cooper's Hall, Chapel Lane, Dorstone, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=143678,OSGB36,331597.000,241640.000,0.14,,,permissioned,full planning permission,2015-04-30,,#N/A,2,Proposed erection of two houses,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,163056,#N/A,"Land adjacent to The Chapel, Chapel Lane, Dorstone, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=163056,OSGB36,331526.000,241619.000,0,,,permissioned,full planning permission,2017-01-23,,#N/A,0,Proposed two retirement cottages. (For DOC  4 6 9 11 12 and 15 see~171048),,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,164098,#N/A,"Church of St Michael and All Angels, Dulas, Herefordshire, HR2 0HL",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=164098,OSGB36,337177.000,229416.000,0,,,permissioned,full planning permission,2017-03-13,,#N/A,0,Proposed repair and conversion of existing church including partial~change of use to holiday let. New access and carparking.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,143624,#N/A,"The Surgery, Eardisley, Hereford, Herefordshire, HR3 6NS",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=143624,OSGB36,331310.000,249098.000,0.07,,,permissioned,full planning permission,2015-01-29,,#N/A,1,Proposed change of use of a doctors surgery into living accommodation~and proposed conservatory,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,161674,#N/A,"Land to the rear of the Laurels Veterinary Practice, Pontrilas Road, Ewyas Harold, Herefordshire, HR2 0EL",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=161674,OSGB36,339200.000,227668.000,0,,,permissioned,outline planning permission,2016-09-15,,#N/A,0,Construction of three dwellings and alterations to the existing access,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,152955,#N/A," New Inn, Fownhope, Hereford, HR1 4PE",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=152955,OSGB36,357895.000,234425.000,0.22,,,permissioned,full planning permission,2016-01-06,,#N/A,1,Proposed new dwelling.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,152359,#N/A,"Former Activity Barn, Hole-in-the-wall, Foy, Ross-on-Wye, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=152359,OSGB36,360925.000,228468.000,0.85,,,permissioned,full planning permission,2015-12-14,,#N/A,1,Proposed change of use and conversion of former activity barn to form~live/work unit,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
