OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedforPIP,MinNetDwellings,DevelopmentDesciption,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazourdousSubstances,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Easting,Northing
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,N/MART/B001,,"""Burfield Gloves, Manor Road, Martock""",https://www.southsomerset.gov.uk/media/902323/martb001.pdf,ETRS89,-2.765496,50.969823,0.2,not owned by a public authority,yes,not permissioned,,,,,4,,,,4,4,,,,,16/11/2017,16/11/2017,371283,122590
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,N/SOME/0800,,"""Land at Etsome Terrace, Somerton""",https://www.southsomerset.gov.uk/media/902319/some0800.pdf,ETRS89,-2.737039,51.055876,0.4,not owned by a public authority,yes,permissioned,full planning permission,01/12/2016,,,10,,1 retail unit,,10,10,,,,,16/11/2017,16/11/2017,371283,122590
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,N/SOME/B001,,"""Former Garage Site, West Street, Somerton""",https://www.southsomerset.gov.uk/media/902316/someb001.pdf,ETRS89,-2.734638,51.053832,0.16,not owned by a public authority,yes,permissioned,full planning permission,26/01/2017,,,6,,,,6,6,,,,,16/11/2017,16/11/2017,342706,116491
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,N/SOPE/0013,,"""Parkway Farm, West Street, South Pertherton""",https://www.southsomerset.gov.uk/media/902330/sope0013.pdf,ETRS89,-2.816902,50.944997,4.2,not owned by a public authority,yes,permissioned,full planning permission ,19/09/2016,,,4,,,,4,4,,,,,16/11/2017,31/08/2018,363571,129882
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,S/BRYM/0004/,,"""Land off George Smith Way, Yeovil""",https://www.southsomerset.gov.uk/media/902254/brym0004.pdf,ETRS89,-2.686249,50.952142,8.9,mixed ownership,yes,not permissioned,,,,,65,,"""17,000sq.m B1,B2,B8""",,65,75,,,,,16/11/2017,16/11/2017,331788,109083
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,S/BRYM/0501,,"""Land at Yeovil Town FC""",https://www.southsomerset.gov.uk/media/927003/sbrym0501.pdf,ETRS89,-2.673344,50.951656,3.57,not owned by a public authority,yes,not permissioned,,,,,10,,,,10,10,,,,,31/08/2018,31/08/2018,332472,108449
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,S/ODCO/1101/,,"""Manor Farm, Street Lane, Odcombe""",https://www.southsomerset.gov.uk/media/902357/odco1101.pdf,ETRS89,-2.706608,50.936203,0.7,not owned by a public authority,    ,not permissioned,,,,,7,,,,7,17,,,,,16/11/2017,16/11/2017,350445,115433
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,S/YEOV/0005,,"""Land at Eastville Road""",https://www.southsomerset.gov.uk/media/927000/yeov0005.pdf,ETRS89,-2.62339,50.944375,0.1,not owned by a public authority,yes,not permissioned,,,,,20,,,,20,20,,,,,31/08/2018,31/08/2018,351892,117192
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,S/YEOV/0008,,"""Former Bus Depot""",https://www.southsomerset.gov.uk/media/926996/yeov0008.pdf,ETRS89,-2.628513,50.944258,0.5,not owned by a public authority,yes,not permissioned,,,,,100,,,,100,100,,,,,31/08/2018,31/08/2018,332375,108484
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,S/YEOV/1300/,,"""Former Box Factory, South Street, Yeovil""",https://www.southsomerset.gov.uk/media/902236/yeov1300.pdf,ETRS89,-2.928603,50.940345,0.5,owned by public authority,,not permissioned,,,,,20,,50%Town Centre Mixed Uses,,20,20,,,,,16/11/2017,16/11/2017,334852,116067
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,S/YEOV/1302/,,"""Former Cattle Market, Yeovil""",https://www.southsomerset.gov.uk/media/902247/yeov1302.pdf,ETRS89,-2.629254,50.943255,2.1,not owned by a public authority,,not permissioned ,,,,,100,,50% Commercial,,100,120,,,,,16/11/2017,16/11/2017,355887,116168
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,S/YEOV/B001,,"""3, Newtown Road, Yeovil""",https://www.southsomerset.gov.uk/media/902239/yeovb001.pdf,ETRS89,-2.624683,50.942075,0.21,not owned by a public authority,yes,permissioned,full planning permission,31/03/2017,,,85,,,,85,85,,,,,16/11/2017,16/11/2017,356207,116034
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,S/YEOV/B002,,"""108/110 West Coker Road, Yeovil""",https://www.southsomerset.gov.uk/media/902250/yeovb002.pdf,ETRS89,-2.655481,50.928642,0.7,not owned by a public authority,yes,permissioned,full planning permission,11/08/2017,,,9,,,,9,9,,,,,16/11/2017,16/11/2017,354030,114559
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,S/YEOV1303/,,"""Petters Way Car Park, Yeovil""",https://www.southsomerset.gov.uk/media/902244/yeov1303.pdf,ETRS89,-2.634503,50.939836,0.6,owned by a public authority,,not permissioned,,,,,9,,50% Commercial,,9,9,,,,,16/11/2017,16/11/2017,355515,115791
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/CHAR/0019/,,"""Land off Boden Street and Silver Street, Chard""",https://www.southsomerset.gov.uk/media/902262/char0019-b002.pdf,ETRS89,-2.962448,50.871883,1.4,mixed ownership,yes,not permissioned, ,,,,8,,50% Commercial,,8,20,,,,,16/11/2017,16/11/2017,332632,108728
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/CHAR/B001,,"""Slades Garage, Touchstone Lane, Chard""",https://www.southsomerset.gov.uk/media/902265/charb001.pdf,ETRS89,-2.970902,50.8772,0.14,not owned by a public authority,yes,permissioned,full planning permission,23/11/2016,,,6,,,,6,6,,,,,16/11/2017,16/11/2017,344861,109177
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/CHAR/B002,,"""Former Tyre Depot, Silver Street, Chard""",https://www.southsomerset.gov.uk/media/927040/char0019-b002.pdf,ETRS89,-2.961064,50.87158,0.14,not owned by a public authority,yes,permissioned,full planning permission,10/10/2008,,,22,,,,22,22,,,,,16/11/2017,16/11/2017,344006,109869
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/CHAR/B003,,"""Church Hall, East Street, Chard""",https://www.southsomerset.gov.uk/media/902268/charb003.pdf,ETRS89,-2.958842,50.874107,0.09,not owned by a public authority,yes,permissioned,full planning permission,22/07/2016,,,10,,,,10,10,,,,,16/11/2017,16/11/2017,344084,109266
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/CREW/B001,,"""Viney Bridge Mills, South Street, Crewkerne""",https://www.southsomerset.gov.uk/media/902272/crewb001.pdf,ETRS89,-2.78512,50.879444,1.02,not owned by a public authority,yes,permissioned,full planning permission,24/12/2014,,,58,,242sq.m Commercial,,58,58,,,,,16/11/2017,16/11/2017,336239,114653
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/CREW/B002,,"""The Shirt Factory, Abbey Street, Crewkerne""",https://www.southsomerset.gov.uk/media/902275/crewb002.pdf,ETRS89,-2.797379,50.885584,0.02,not owned by a public authority,yes,permissioned,full planning permission,22/09/2016,,,6,,,,6,6,,,,,16/11/2017,16/11/2017,335125,114968
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/CREW/B003,,"""Builder's Yard, Dairy Court, Crewkerne""",https://www.southsomerset.gov.uk/media/902278/crewb003.pdf,ETRS89,-2.796177,50.880169,0.07,not owned by a public authority,yes,permissioned,full planning permission,26/10/2010,,,5,,,,5,5,,,,,16/11/2017,16/11/2017,334603,115153
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/ILMI/0016,,"""Former Powrmatic, Winterhay Lane, Ilminster""",https://www.southsomerset.gov.uk/media/902285/ilmi0016.pdf,ETRS89,-2.924526,50.930499,1.74,not owned by a public authority,yes,permissioned,outline planning permission,15/01/2015,,,72,,,,72,72,,,,,16/11/2017,16/11/2017,371138,128097
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/ILMI/0022,,"""Land north of Station Road""",https://www.southsomerset.gov.uk/media/927006/ilmi0022.pdf,ETRS89,-2.930882,50.931653,5.2,not owned by a public authority,yes,not permissioned,,,,,80,,,,80,100,,,,,31/08/2018,31/08/2018,364277,132572
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/ILMI/B001,,"""Police Station, Butts, Ilminster""",https://www.southsomerset.gov.uk/media/902282/ilmib001-b003.pdf,ETRS89,-2.908621,50.927791,0.11,unknown ownership,yes,permissioned,full planning permission,31/03/2017,,,7,,,,7,7,,,,,16/11/2017,16/11/2017,336149,114591
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/ILMI/B002,,"""Former Cheese Factory Site, Station Road, Ilminster",https://www.southsomerset.gov.uk/media/902288/ilmib002.pdf,ETRS89,-2.931986,50.932103,3.3,not owned by a public authority,yes,not permissioned,,,,,50,,,,50,70,,,,,16/11/2017,16/11/2017,371107,128218
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/ILMI/B003,,"""Gooch & Housego, Cornhill, Ilminster""",https://www.southsomerset.gov.uk/media/927043/ilmib001-b003.pdf,ETRS89,-2.90989,50.927224,0.14,not owned by a public authority,yes,permissioned,full planning permission,23/04/2015,,,14,,Three Shop/Office Units,,14,14,,,,,16/11/2017,16/11/2017,364277,132803
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/MERR/B001,,"""Tail Mill, Tail Mill Lane, Merriot""",https://www.southsomerset.gov.uk/media/902365/merrb001.pdf,ETRS89,-2.784576,50.907936,1.8,not owned by a public authority,yes,permissioned,full planning permission,07/05/2015,,,38,,,,38,38,,,,,16/11/2017,16/11/2017,344933,112345
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/MIST/1200/,,"""Former Coal Yard, Station Road, Misterton""",https://www.southsomerset.gov.uk/media/902369/mist1200.pdf,ETRS89,-2.777342,50.873291,0.95,not owned by a public authority,yes,permissioned,reserved matters approval,03/02/2017,,,16,,,,16,16,,,,,16/11/2017,16/11/2017,345401,108487
