OrganisationURI,"Organisation
Label",SiteReference,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PlanningHistory,ProposedforPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningApplicationReference,PermissionDate,Brownfield/GreenfieldMix?,Settlement
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/36,"""Turnfields land rear of Regent, The Moors, Thatcham""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=JGDKT1RDG4000,OSGB36,451863,167260,0.1,not owned by a public authority,,permissioned,reserved matters approval,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=JGDKT1RDG4000,,13,"Approval of reserved matters from permission 05/02916/OUTMAJ, for the erection of 13no. apartments comprising 2no. 2-bed apartments and 11no. 1-bed apartments",N,,,17/10/2017,17/10/2017,07/00739/RESMAJ,23/07/2007,N,Thatcham
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/37,"""131, 133, 137, 139 & 141 Bath Road, Thatcham""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NSX6JTRD09N00,OSGB36,450402,167633,0.2,not owned by a public authority,yes,permissioned, reserved matters approval,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OKY43LRD0KD00,,30,Approval of reserved matters following Outline Permission 15/02077/OUTMAJ [Development of 26 apartments and 7 houses],N,,,17/10/2017,07/01/2019,17/00229/REM,24/03/2017,N,Thatcham
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/39,"""Kingsland Shopping Centre And Adjoining Land, Thatcham""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=L20E7IRD09N00,OSGB36,451852,167332,2.1,not owned by a public authority,,permissioned,outline planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=L20E7IRD09N00,,46,Application to renew planning permission 07/00565/OUTMAJ - Outline application for the redevelopment of the Kingsland Shopping Centre and adjoining land,"Financial and professional services (A2) 350 sq.m, 284 sq.m cafe/restaurants/retail (A3/A1), offices 1,116 sq.m, leisure (D2) 1,500 sq.m",,,17/10/2017,17/10/2017,10/00975/XOUTMA,26/03/2015,N,Thatcham
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/40,"""Former deport at Pound Lane, Thatcham""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O0683QRD0HD00,OSGB36,450042,167336,0.88,owned by a public authority,yes,permissioned,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O0683QRD0HD00,,47,"Demolition of existing facilities, and the erection of 47 new dwellings, including internal access road",N,,,17/10/2017,17/10/2017,15/03468/FULEXT,21/07/2017,N,Thatcham
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/41,"""The Red Lion, 5 Church Street, Theale, Reading""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O5BJ4CRD01V00,OSGB36,464173,171255,0.08,not owned by a public authority,yes,permissioned,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O5BJ4CRD01V00,,8,"Change of use from Public House to residential use, demolition of the former skittle alley and outbuildings replaced with a new two storey side extension comprising of an additional 8 dwellings",N,,,17/10/2017,17/10/2017,16/00853/FULD,21/06/2016,N,Theale
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2018/01,"""Bridge House, Overbridge Square, Hambridge Lane, Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ODRF1YRD09N00,OSGB36,449058,167081,1.9,not owned by a public authority,yes,permissioned,other,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=ODRF1YRD09N00,,17,Application to determine if Prior Approval is required for the Change of Use of office (Class B1) to 17 residential dwellings,N,,,02/01/2018,08/01/2019,16/02497/PACOU,04/11/2016,N,Greenham
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2018/02,"""Lock House, Overbridge Square, Hambridge Lane, Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ODRF3ZRD09N00,OSGB36,449084,167026,1.9,not owned by a public authority,yes,permissioned,other,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=ODRF3ZRD09N00,,17,Application to determine if Prior Approval is required for the Change of Use of office (Class B1) to 17 residential dwellings,N,,,02/01/2018,08/01/2019,16/02498/PACOU,04/11/2016,N,Greenham
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2018/03,"""Leat House, Overbridge Square, Hambridge Lane, Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ODRF5IRD09N00,OSGB36,449032,167038,1.9,not owned by a public authority,yes,permissioned,other,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=ODRF5IRD09N00,,24,Application to determine if Prior Approval is required for the Change of Use of office (Class B1) to 24 residential dwellings,N,,,02/01/2019,08/01/2019,16/02499/PACOU,04/11/2016,N,Greenham
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2018/04,"""Mill House, Overbridge Square, Hambridge Lane, Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ODRF78RD09N00,OSGB36,449004,166995,1.9,not owned by a public authority,yes,permissioned,other,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=ODRF78RD09N00,,25,Application to determine if Prior Approval is required for the Change of Use of office (Class B1) to 25 residential dwellings,N,,,02/01/2019,08/01/2019,16/02500/PACOU,04/11/2016,N,Greenham
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2018/05,"""Weir House, Overbridge Square, Hambridge Lane, Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ODRF8NRD09N00,OSGB36,449113,167074,1.9,not owned by a public authority,yes,permissioned,other,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=ODRF8NRD09N00,,24,Application to determine if Prior Approval is required for the Change of Use of office (Class B1) to 24 residential dwellings,N,,,02/01/2019,08/01/2019,16/02501/PACOU,04/11/2016,N,Greenham
