OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/hart,Hart District Council,17/02501/FUL,,"Queens Arms, Farnham Road",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.833672,51.237508,0.26,not owned by a public authority,yes,permissioned,full planning permission,2018-04-27,,,9,Conversion of extended building to provide 9 No residential units - change of use from Use Class B1 to Use Class C3,,,,,2018-12-20,2018-12-20
http://opendatacommunities.org/id/district-council/hart,Hart District Council,17/02492/FUL,,"The Oakmede and the Millmede, Minley Road, Fleet",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.829103,51.294571,0.25,not owned by a public authority,yes,permissioned,full planning permission,2018-06-27,,,14,Demolition of The Oakmede and outbuildings and the construction of two blocks of 7 flats each,,,,,2018-12-20,2018-12-20
http://opendatacommunities.org/id/district-council/hart,Hart District Council,"SHL038 
18/00110/FUL",,"Rawlings, Hook",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.961059,51.278768,1.13,not owned by a public authority,yes,pending decision,,,,,56,37 retirement living apartments for older persons and 19 residential units,68 extra care apartments for older persons (C2 use),,,,2017-12-22,2018-12-20
http://opendatacommunities.org/id/district-council/hart,Hart District Council,SHL041 18/02285/FUL,,"Imac Systems, Fleet",https://www.hart.gov.uk/Evidence-base#SHLAA Docs,OSGB36,-0.841537,51.279561,0.05,not owned by a public authority,yes,pending decision,,,17/02891/PREAPP for 6 units submitted at the end of last year,,6,8 units,,,,,2017-12-22,2018-12-20
http://opendatacommunities.org/id/district-council/hart,Hart District Council,SHL192 18/02321/FUL,,"140-150 Fleet Road, Fleet",https://www.hart.gov.uk/Evidence-base#SHLAA Docs,OSGB36,-0.842446,51.282178,0.21,not owned by a public authority,yes,pending decision,,,,,12,14 flats,,,,,2017-12-22,2018-12-20
http://opendatacommunities.org/id/district-council/hart,Hart District Council,SHL104,,Land at Elvetham Heath,https://www.hart.gov.uk/Evidence-base#SHLAA Docs,OSGB36,-0.872939,51.289409,0.84,not owned by a public authority,yes,not permissioned,,,,,40,,,,,Part of SHLAA site SHL104. The southern part of the whole site is not brownfield land,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/hart,Hart District Council,SHL195,,"Lismoyne Hotel, 45 Church Road, Fleet",https://www.hart.gov.uk/Evidence-base#SHLAA Docs,OSGB36,-0.845655,51.284035,0.98,not owned by a public authority,,not permissioned,,,,,40,Potential for 40-unit residential (C3 use) or a 70-unit care home (C2 use),,,,,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/hart,Hart District Council,SHL208,,"Admiral House, Fleet",https://www.hart.gov.uk/Evidence-base#SHLAA Docs,OSGB36,-0.847441,51.279683,0.46,not owned by a public authority,yes,not permissioned,,,,,20,,,,,,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/hart,Hart District Council,SHL047,,"Geffery's House, Hook",,OSGB36,-0.954733,51.28489,1.87,not owned by a public authority,,not permissioned,,,,,65,,,,,,2018-12-20,2018-12-20
http://opendatacommunities.org/id/district-council/hart,Hart District Council,14/02101/MAJOR,,93 Fleet Road,https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.836563,51.285213,0.17,Not owned by a public authority,,not permissioned,,,14/02101/MAJOR granted 20.11.14 and has now lapsed,,10,,,,,,2017-12-22,2018-12-20
