entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2018-01-15,local-authority-eng:TEN,16/01397/DETAIL,"Forbourn Motors, High Street, Thorpe-le-Soken",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OD2VICQB0K100,yes,not owned by a public authority,permissioned,reserved matters approval,,51.858551,1.161289,0.22,,,2018-01-15,,9bd3f66080949054223825fbef170d5f00c7c1420b89964457009d4ddfc24131
2018-01-15,local-authority-eng:TEN,15/01634/FUL,"The Abbey, High Street, Mistley",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NWVIXSQB0JH00,yes,not owned by a public authority,permissioned,full planning permission,,51.944433,1.07925,0.21,,,2018-01-15,,9bd3f66080949054223825fbef170d5f00c7c1420b89964457009d4ddfc24131
2018-01-15,local-authority-eng:TEN,16/00562/FUL,"The Carlton, Rosemary Road, Clacton On Sea, Essex",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O5MF8LQB0EL00,yes,not owned by a public authority,permissioned,full planning permission,,51.789585,1.152654,0.07,,,2018-01-15,,9bd3f66080949054223825fbef170d5f00c7c1420b89964457009d4ddfc24131
2018-01-15,local-authority-eng:TEN,14/01552/OUT,"Former Red Cross Centre, Manor Lane, Dovercourt, CO12 4EB",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NDQOJMQB0G400,yes,not owned by a public authority,permissioned,outline planning permission,,51.932238,1.265948,0.25,,,2018-01-15,,9bd3f66080949054223825fbef170d5f00c7c1420b89964457009d4ddfc24131
2018-01-15,local-authority-eng:TEN,14/01560/FUL,"Hamilton Lodge, Parsons Hill, Great Bromley",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NDSELDQB0G400,,not owned by a public authority,not permissioned,,,51.889646,1.033342,0.48,,,2018-01-15,,9bd3f66080949054223825fbef170d5f00c7c1420b89964457009d4ddfc24131
2018-01-15,local-authority-eng:TEN,17/00456/FUL,"Sturricks Farm, Sturrick Lane, Great Bentley, Colchester, Essex",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ON43S4QB0KO00,yes,not owned by a public authority,permissioned,full planning permission,,51.858951,1.05818,0.59,,,2018-01-15,,9bd3f66080949054223825fbef170d5f00c7c1420b89964457009d4ddfc24131
2017-12-29,local-authority-eng:TEN,16/00920/FUL,"32-37 Brooklands, Jaywick, Essex CO15 2JS",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O8T18DQB0JH00,yes,not owned by a public authority,permissioned,full planning permission,,51.772639,1.103189,0.05,,,2017-12-29,,9bd3f66080949054223825fbef170d5f00c7c1420b89964457009d4ddfc24131
2018-01-15,local-authority-eng:TEN,15/00013/COUNOT,"Valley Barns, Golden Lane, Thorpe le Soken",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NHUSIXQB0GS00,yes,not owned by a public authority,permissioned,other,,51.867075,1.163104,0.21,,,2018-01-15,,9bd3f66080949054223825fbef170d5f00c7c1420b89964457009d4ddfc24131
2018-01-15,local-authority-eng:TEN,17/01721/FUL,"58/58A Station Road, Alresford, Colchester, Essex",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OXK8LHQB0LD00,yes,not owned by a public authority,permissioned,full planning permission,,51.854174,0.997187,0.09,,,2018-01-15,,9bd3f66080949054223825fbef170d5f00c7c1420b89964457009d4ddfc24131
2017-12-29,local-authority-eng:TEN,14/01375/FUL,"3 Marine Parade East, Clacton-on-Sea, Essex CO15 1PT",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NCANP0QB0G400,yes,not owned by a public authority,not permissioned,,,51.787942,1.154952,0.09,,,2017-12-29,,9bd3f66080949054223825fbef170d5f00c7c1420b89964457009d4ddfc24131
