entry-date,organisation,site,site-address,site-plan-url,deliverable,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2018-12-20,local-authority-eng:HAT,17/02492/FUL,"The Oakmede And The Millmede, Minley Road, Fleet, Hampshire, GU51 2RB",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.294571,-0.829103,0.25,14,14,2018-12-20,2019-11-22,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-11-20,local-authority-eng:HAT,18/00110/FUL,"Rawlings Building, Station Road, Hook, RG27 9HU",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.278768,-0.961059,1.13,56,56,2017-12-22,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-11-14,local-authority-eng:HAT,18/02285/FUL,"Imac Systems Ltd, Upper Street, Fleet, GU51 3PE",https://www.hart.gov.uk/Evidence-base#SHLAADocs,,,51.279561,-0.841537,0.05,6,6,2017-12-22,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-11-19,local-authority-eng:HAT,SHL192,"Land To The Rear Of, 140-148 Fleet Road, Fleet, GU51 4BE",https://www.hart.gov.uk/Evidence-base#SHLAADocs,,,51.282178,-0.842446,0.21,12,12,2017-12-22,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-11-15,local-authority-eng:HAT,SHL104,"Land south and east of Elvetham Heath Way, Elvetham Heath, Fleet",https://www.hart.gov.uk/Evidence-base#SHLAADocs,,,51.289409,-0.872939,0.84,20,40,2017-12-22,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2017-12-22,local-authority-eng:HAT,SHL195,"Lismoyne Hotel, 45 Church Road, Fleet, Hampshire, GU51 4NE",https://www.hart.gov.uk/Evidence-base#SHLAADocs,,,51.284035,-0.845655,0.98,40,40,2017-12-22,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2017-12-22,local-authority-eng:HAT,SHL208,"Admiral House, Harlington Way, Fleet, Hampshire, GU51 4YA",https://www.hart.gov.uk/Evidence-base#SHLAADocs,,,51.279683,-0.847441,0.46,20,20,2017-12-22,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2018-12-20,local-authority-eng:HAT,SHL047,"Gefferys House, London Road, Hook, Hampshire, RG27 9EF",,,,51.28489,-0.954733,1.87,65,65,2018-12-20,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-12-04,local-authority-eng:HAT,14/02101/MAJOR,"93 Fleet Road, Fleet, Hampshire, GU51 3PJ",https://publicaccess.hart.gov.uk/online-applications/,,,51.285213,-0.836563,0.17,10,10,2017-12-22,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-12-04,local-authority-eng:HAT,18/01637/FUL,"Poundworld Plus, 187-191 Fleet Road, Fleet, Hampshire, GU51 3BL",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.282737,-0.841588,0.09,10,10,2019-12-04,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-12-04,local-authority-eng:HAT,17/00340/FUL,"The Acorns, Rye Common, Odiham, Hook, Hampshire, RG29 1HU",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.247038,-0.903248,0.48,2,2,2019-12-04,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-12-04,local-authority-eng:HAT,17/02569/PRIOR,"Unit B, Lees Buildings, Alton Road, South Warnborough, Hook, Hampshire, RG29 1RZ",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.223026,-0.964149,0.7,3,3,2019-12-04,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-12-04,local-authority-eng:HAT,18/01754/PRIOR,"Building A, Lees Buildings, Alton Road, South Warnborough, Hook, Hampshire, RG29 1RZ",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.223196,-0.963974,0.41,4,4,2019-12-04,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-12-04,local-authority-eng:HAT,18/01755/PRIOR,"Steel Frame Building, Lees Buildings, Alton Road, South Warnborough, Hook, Hampshire, RG29 1RZ",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.223196,-0.963974,0.41,6,6,2019-12-04,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-12-04,local-authority-eng:HAT,19/00272/PRIOR,"Regus, Centaur House, Ancells Road, Fleet, Hampshire, GU51 2UJ",https://publicaccess.hart.gov.uk/online-applications/,,,51.297039,-0.820388,0.51,38,38,2019-12-04,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-12-04,local-authority-eng:HAT,19/00279/PRIOR,"One Fleet, Ancells Road, Fleet, Hampshire, GU51 2UN",https://publicaccess.hart.gov.uk/online-applications/,,,51.296538,-0.819798,0.63,28,28,2019-12-04,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-12-04,local-authority-eng:HAT,18/02263/PRIOR,"EDS Ltd, Hartley House, Bartley Wood Business Park, 15 Bartley Way, Hook, Hampshire, RG27 9XA",https://publicaccess.hart.gov.uk/online-applications/,,,51.279712,-0.950903,0.7,37,37,2019-12-04,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-12-04,local-authority-eng:HAT,18/02551/PRIOR,"Hook A, Bartley Wood Business Park, Bartley Way, Hook, Hampshire, RG27 9XA",https://publicaccess.hart.gov.uk/online-applications/,,,51.278144,-0.956531,1.02,41,41,2019-12-04,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-12-04,local-authority-eng:HAT,18/02552/PRIOR,"1-3 Bartley Wood Business Park, Bartley Way, Hook, Hampshire, RG27 9XA",https://publicaccess.hart.gov.uk/online-applications/,,,51.278312,-0.955193,0.75,37,37,2019-12-04,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-12-04,local-authority-eng:HAT,18/02553/PRIOR,"EDS Ltd, Unit D, 7 Bartley Wood Business Park, Bartley Way, Hook, Hampshire, RG27 9XA",https://publicaccess.hart.gov.uk/online-applications/,,,51.280061,-0.953691,0.91,55,55,2019-12-04,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
