entry-date,organisation,site,site-address,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-12-19,local-authority-eng:BST,13/05307/F,88 - 94 West Street Bedminster Bristol BS3 3LL,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MWCUOJDNK8000,51.437853,-2.603951,0.04,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,13/05616/P,St Catherines Place Shopping Centre East Street Bedminster Bristol,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MXE9YBDNK8000,51.441156,-2.595933,0.41,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2017-12-19,local-authority-eng:BST,14/00660/F,Long Cross Inn Long Cross Bristol BS11 0SJ,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N11519DNFXE00,51.506064,-2.650161,0.15,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,14/01347/F,Builders Yard 183 Henleaze Terrace Bristol BS9 4AS,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N2ZIRKDNGW700,51.492075,-2.607641,0.25,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,14/01593/F,13 - 17 Dean Street St Pauls Bristol BS2 8SF,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N3IHSUDNH7900,51.461999,-2.586145,0.16,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2017-12-19,local-authority-eng:BST,14/01723/F,5 Kingsdown Parade Bristol BS6 5UD,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N3V0YTDN0DG00,51.460476,-2.59808,0.02,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2017-12-19,local-authority-eng:BST,14/02829/FB,R/O Butler House Summerhill Road Bristol BS5 8HQ,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N6YNENDNIVA00,51.460574,-2.538548,0.54,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,14/03770/F,37 - 39 And 41 Corn Street Bristol BS1 1HT,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N9IXM5DNK8000,51.454441,-2.594855,0.08,,,2018-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2017-12-19,local-authority-eng:BST,14/04712/F,16 - 18 Cherry Lane Bristol BS1 3NG,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NCEHAPDNLJK00,51.460554,-2.591489,0.02,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2017-12-19,local-authority-eng:BST,14/04959/P,Guardian Royal Exchange Temple Way Bristol BS1 6HF,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ND4BZ1DNLVY00,51.453534,-2.582775,1.28,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2017-12-19,local-authority-eng:BST,14/05459/F,25 Redcliff Street 14/14A St Thomas Street Bristol BS1 6LR,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NEIBTJDNMKS00,51.451959,-2.58965,0.41,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,14/05930/F,Westmoreland House 104 - 106 Stokes Croft Bristol BS1 3RU,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NFWRLZDN00C00,51.46396,-2.589003,0.51,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,14/06078/COU,28 Baldwin Street Bristol BS1 1NG,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NGD67WDN06900,51.453141,-2.5948,0.06,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2017-12-19,local-authority-eng:BST,14/06238/F,Land Adj 24 Pembroke Road Shirehampton Bristol BS11 9SQ,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NGU4ITDNG0P00,51.488787,-2.675667,0.1,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2017-12-19,local-authority-eng:BST,15/00688/F,93 Bridgwater Road Bristol BS13 8AE,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NJM4HVDNH9R00,51.42098,-2.630195,0.2,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2017-12-19,local-authority-eng:BST,15/01372/F,16 - 20 Midland Terrace Bristol BS16 3DH,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NLD3EIDNI8900,51.475061,-2.539382,0.08,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,15/01453/F,Trident VSU Balfour Road Bristol BS3 2AF,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NLK10CDNIC400,51.440007,-2.611882,0.03,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2017-12-19,local-authority-eng:BST,15/01536/F,12 Station Road Shirehampton Bristol BS11 9TX,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NLTFY8DNIGJ00,51.487652,-2.674379,0.08,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2017-12-19,local-authority-eng:BST,15/01589/F,Land adj. Pembroke Court Pembroke Street Bristol BS2 8AH,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NLVOSNDNIIS00,51.460199,-2.586614,0.01,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2017-12-19,local-authority-eng:BST,15/01650/P,Land At Bath Road Brislington Bristol BS4 3EH,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NM4BO5DNIMO00,51.443147,-2.56575,0.5,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,15/01681/F,Queen Victoria House Redland Hill Bristol BS6 6US,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NM66JKDNINS00,51.470996,-2.613888,1.05,,,2018-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,15/01988/F,Malago House Bedminster Road Bristol BS3 5NP,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NN41VDDNJ3P00,51.434258,-2.600104,2.81,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2017-12-19,local-authority-eng:BST,15/02101/F,8 Pennywell Road Bristol BS5 0TJ,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NNDB3BDNJAN00,51.459639,-2.578061,0.01,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2017-12-19,local-authority-eng:BST,15/02242/F,6 Kingsdown Parade Bristol BS6 5UD,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NNVLG8DNJIE00,51.460711,-2.597655,0.1,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,15/02941/F,25 Portland Square Bristol BS2 8NN,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NPOPZJDNKHV00,51.461547,-2.585986,0.04,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,15/03213/P,Land Opposite Foundry Lane On South Side Of Deep Pit Road Bristol,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NQE1P9DN0MC00,51.46746,-2.540067,3.1,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2017-12-19,local-authority-eng:BST,15/03714/F,149 Wick Road Bristol BS4 4HH,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NRN39PDNLM600,51.44011,-2.551497,0.04,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,15/03895/COU,15A Etloe Road Bristol BS6 7NZ,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NS7A47DN0DG00,51.478196,-2.613118,0.03,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2017-12-19,local-authority-eng:BST,15/03921/F,14 Stapleton Road Easton Bristol BS5 0QX,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NS95WKDN0MC00,51.45939,-2.576705,0.03,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
