entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,local-authority-eng:RCH,SH 2230,,,,,permissioned,,,,,5.84,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2231,,,,,permissioned,,,,,0.26,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2234,,,,,permissioned,,,,,0.04,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2235,,,,,permissioned,,,,,0.47,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2238,,,,,not permissioned,,,,,7.15,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2239,,,,,not permissioned,,,,,1.01,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2240,,,,,not permissioned,,,,,2.15,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2243,,,,,not permissioned,,,,,0.57,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2244,,,,,not permissioned,,,,,0.65,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2251,,,,not owned by a public authority,not permissioned,,,,,0.41,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
