entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,local-authority-eng:CHW,DOH/0022,"Balderton Saw Mill, Welsh Road, Doddleston",http://consult.cheshirewestandchester.gov.uk/file/4828209,,not owned by a public authority,permissioned,outline planning permission,,53.152732,-2.935534,1.67,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,DOH/0037,"93-99 Chester Road (Hartwell Garage), Huntington Road, Huntington",http://consult.cheshirewestandchester.gov.uk/file/4828210,yes,not owned by a public authority,pending decision,,,53.17432,-2.863576,0.44,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,EPT/0017,"Land at Marina Drive (upper floors of retail centre), Ellesmere Port",http://consult.cheshirewestandchester.gov.uk/file/4828211,,not owned by a public authority,not permissioned,,,53.27769,-2.901787,1.17,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,EPT/0025,"The Wing Half, Alnwick Drive, Ellesmere Port CH65 9HE",http://consult.cheshirewestandchester.gov.uk/file/4828212,yes,not owned by a public authority,permissioned,full planning permission,,53.26703,-2.887304,0.13,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,EPT/0027,"64 Whitby Road, Ellesmere Port CH65 0AA",http://consult.cheshirewestandchester.gov.uk/file/4828213,yes,not owned by a public authority,permissioned,planning permission granted under an order,,53.279451,-2.900805,0.03,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,EPT/0038a,"CROMWELL ROAD-Phase 1b and 2-Land north of Cromwell Road, Ellesmere Port (adjacent site EPT0092)",http://consult.cheshirewestandchester.gov.uk/file/4828214,yes,not owned by a public authority,permissioned,outline planning permission,,53.280845,-2.89233,4.76,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,EPT/0038b,"CROMWELL ROAD-Land north of Cromwell Road, Ellesmere Port (former HH Robertsons / DSM Resins)",http://consult.cheshirewestandchester.gov.uk/file/4828215,,not owned by a public authority,permissioned,outline planning permission,,53.280364,-2.889275,4.59,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,EPT/0041,"Wellington Road car park, rear of 89-109 Cambridge Road, Ellesmere Port",http://consult.cheshirewestandchester.gov.uk/file/4828216,,owned by a public authority,not permissioned,,,53.279623,-2.893444,0.82,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,EPT/0059,"The Knot PH, Whitby Road, Ellesmere Port",http://consult.cheshirewestandchester.gov.uk/file/4828217,,not owned by a public authority,not permissioned,,,53.279773,-2.898622,0.24,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,EPT/0063a,"Wellington Road car park, Ellesmere Port Cheshire ",http://consult.cheshirewestandchester.gov.uk/file/4828218,yes,owned by a public authority,permissioned,full planning permission,,53.273964,-2.900029,0.18,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,EPT/0063b,"Land at Coronation Road (site of former leisure centre and office building), Stanney Lane, Ellesmere Port",http://consult.cheshirewestandchester.gov.uk/file/4828219,,owned by a public authority,not permissioned,,,53.274516,-2.900731,2.02,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,EPT/0067,"Land south of Cromwell Road (former PZ Cussons), Ellesmere Port",http://consult.cheshirewestandchester.gov.uk/file/4828220,,not owned by a public authority,not permissioned,outline planning permission,,53.278433,-2.88793,1.54,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
